LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA17620,87,1673,1760,1823,325,2154,703,73,780,673,41,716,344,11,362,129,13,138,3763,2135,5899
LGA17640,61,966,1023,1216,219,1438,398,33,435,363,35,392,164,18,183,109,10,121,2312,1283,3595
LGA17650,21,645,663,840,125,963,297,30,330,267,16,279,133,4,134,71,4,74,1630,819,2450
LGA17750,399,7192,7591,7331,1206,8536,3480,418,3901,3292,211,3509,1615,93,1705,843,69,911,16963,9182,26149
LGA17850,20,383,405,473,70,542,117,16,135,105,11,117,65,11,73,28,6,28,812,503,1310
LGA17900,28,825,849,486,405,888,186,91,275,135,62,195,73,39,112,75,24,99,980,1442,2421
LGA17950,19,320,342,286,68,352,119,16,142,90,13,102,62,6,69,35,0,39,612,424,1037
LGA18020,44,1268,1316,1152,338,1491,391,82,467,306,54,364,192,27,227,117,16,125,2210,1784,3990
LGA18050,368,8654,9021,7873,2579,10447,3424,826,4252,3445,278,3720,1144,98,1239,335,30,357,16587,12448,29041
LGA18100,20,542,561,547,77,622,168,18,189,135,8,144,60,0,63,34,0,41,963,649,1611
LGA18200,42,763,805,898,174,1072,354,64,412,333,40,377,168,28,195,70,14,88,1876,1080,2952
LGA18250,298,6402,6702,7861,1204,9063,4662,346,5010,5112,212,5327,1675,61,1739,600,29,627,20207,8253,28465
LGA18350,260,5366,5624,7200,1008,8204,2604,205,2810,2610,156,2762,1201,72,1267,604,43,647,14478,6844,21320
LGA18400,186,2956,3141,5094,507,5606,2766,152,2921,3229,137,3366,1808,61,1866,1068,36,1105,14163,3847,18010
LGA18450,918,21931,22846,24057,3794,27848,11788,1259,13047,11978,691,12670,4878,259,5141,2172,138,2311,55796,28074,83868
LGA18500,346,7194,7537,6884,1427,8311,2716,419,3133,2454,179,2639,930,54,986,281,13,288,13611,9287,22894
LGA18710,80,1271,1348,1974,238,2211,899,47,943,969,41,1007,493,29,522,241,4,241,4653,1624,6277
LGA19399,12,118,127,109,57,172,47,16,67,37,6,45,23,7,27,15,9,28,246,218,467
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,93,1635,1724,1977,379,2354,588,88,678,572,77,646,251,18,263,89,19,109,3567,2213,5779
LGA20260,84,1561,1645,1574,254,1823,521,54,578,447,32,474,228,23,249,92,3,94,2939,1924,4867
LGA20570,606,13896,14505,13655,2210,15864,5967,654,6627,5694,300,5996,2503,127,2629,958,74,1033,29393,17260,46650
LGA20660,625,11992,12622,14413,1770,16182,7446,521,7970,8210,295,8501,2685,107,2792,892,57,950,34279,14753,49024
LGA20740,236,5639,5870,6169,1137,7304,1824,215,2040,1635,141,1772,754,58,809,284,16,308,10909,7194,18102
