LGA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
LGA24970,11825,3465,3847,4620,5476,2218,536,1248,76834,32,10,7,7,0,7,11,3,0,146,220,42991,14987,13642,3879,4299,5195,6095,2515,619,1810,96035
LGA25060,2612,803,797,1007,1045,331,90,491,22601,16,0,3,0,5,3,10,0,0,25,64,20357,3514,3777,1048,1076,1305,1311,431,135,726,33680
LGA25150,419,127,79,89,119,38,13,49,2026,7,0,0,0,0,0,0,0,0,3,11,3186,764,691,151,104,117,140,46,19,146,5364
LGA25250,5230,1635,2056,2347,2495,789,179,753,39014,15,0,0,3,5,6,8,5,0,131,170,28137,6951,7653,2137,2683,2910,3111,1013,274,1241,56105
LGA25340,680,173,148,180,211,83,34,199,6153,41,0,0,0,0,0,0,0,0,80,128,21091,3293,2413,409,389,363,392,198,71,1026,29635
LGA25430,56,12,11,18,12,12,0,5,391,4,0,0,0,0,0,0,0,0,231,238,1730,212,154,20,25,27,28,16,3,309,2524
LGA25490,65,14,19,24,24,12,10,10,272,0,0,0,0,0,0,0,0,0,0,0,724,184,176,20,33,30,37,25,11,54,1293
LGA25620,59,8,10,15,13,10,0,15,395,0,0,0,0,0,0,0,0,0,0,4,1299,112,109,22,20,23,33,17,4,101,1746
LGA25710,563,81,105,73,91,23,3,67,3635,0,0,0,0,0,0,0,0,0,14,16,6645,1594,1092,172,180,135,135,46,6,212,10226
LGA25810,105,39,41,57,78,16,13,6,524,0,0,0,0,0,0,0,0,0,0,0,534,136,140,42,51,71,78,16,18,33,1117
LGA25900,2765,879,1035,1142,1369,494,125,278,15737,11,0,6,5,0,0,3,0,0,79,110,14040,4397,5425,1567,1762,2017,2472,884,260,610,33436
LGA25990,10,3,0,0,3,0,0,5,92,5,0,0,0,0,0,0,0,0,42,47,550,53,18,7,0,8,11,0,0,66,718
LGA26080,6,0,7,4,5,0,0,3,64,0,0,0,0,0,0,0,0,0,0,0,285,17,19,0,5,4,4,0,0,18,360
LGA26170,109,22,27,19,27,19,14,33,812,4,0,0,0,0,0,0,0,0,7,9,2694,284,187,45,52,28,43,25,19,147,3533
LGA26260,77,12,25,30,32,14,3,11,365,0,0,0,0,0,0,0,0,0,3,3,707,179,143,26,38,50,45,18,3,68,1272
LGA26350,2781,923,1099,1170,1492,575,160,233,17319,10,3,0,0,0,3,3,0,0,60,83,15245,3680,4765,1397,1693,1838,2345,921,312,535,32723
LGA26430,57,13,10,13,25,8,0,11,317,4,0,0,0,0,0,0,0,0,0,3,742,94,111,33,21,34,32,13,0,55,1132
LGA26490,190,36,33,46,68,24,8,14,933,3,0,0,0,0,0,0,0,0,6,5,2610,632,606,103,94,91,140,57,22,112,4458
LGA26610,460,183,277,346,372,100,59,178,2830,4,4,0,0,0,0,0,0,0,19,22,967,403,530,197,295,363,403,110,61,221,3544
LGA26670,22,8,9,7,6,3,12,4,120,0,0,0,0,0,0,0,0,0,0,0,359,27,46,4,19,13,10,9,12,14,508
LGA26700,164,72,58,82,85,38,11,35,1086,7,0,0,0,0,0,0,0,0,9,15,1612,273,263,99,79,88,108,55,16,108,2705
LGA26730,277,87,122,182,261,59,16,30,1532,0,0,0,0,0,0,0,0,0,18,25,1514,456,454,121,147,216,318,75,28,106,3435
LGA26810,287,70,62,85,93,51,15,29,1425,5,5,0,0,0,0,0,0,0,264,268,3057,519,481,96,98,143,142,85,18,414,5050
LGA26890,7,3,9,10,11,6,0,0,78,0,0,0,0,0,0,0,0,0,0,0,171,29,13,6,9,12,15,3,3,11,274
LGA26980,9713,2610,3209,3233,3636,1307,281,982,54313,25,5,9,0,4,4,8,0,0,121,173,30551,11376,11075,2869,3542,3571,4046,1461,317,1423,70231
LGA27070,12399,2652,2734,3092,3334,1002,247,1202,71026,42,3,31,5,12,4,7,0,0,184,288,39450,16345,14186,2955,3118,3437,3610,1090,296,1772,86259
LGA27170,482,142,160,239,209,59,24,43,2362,3,3,0,0,0,0,0,0,0,10,23,2397,719,667,172,188,276,240,84,36,124,4898
LGA27260,25462,6207,6334,7036,7920,2685,785,1550,111474,33,20,41,10,14,9,19,0,0,371,509,36005,35602,30485,7216,7270,7961,8989,3007,976,2528,140034
LGA27350,1622,502,513,587,657,258,87,263,12305,14,0,0,4,5,0,0,0,0,28,52,12530,3075,3580,1032,1122,1334,1471,619,278,510,25543
LGA27450,1729,319,263,368,323,125,45,137,8846,16,0,3,0,0,0,0,0,0,13,32,17158,3513,2744,501,382,468,456,166,67,518,25973
LGA27630,24,9,4,5,11,3,0,6,128,0,0,0,0,0,0,0,0,0,0,0,275,47,34,9,8,9,11,3,0,26,433
LGA29399,18,0,3,11,72,26,0,4,193,0,0,0,0,0,0,0,0,0,0,0,219,52,39,7,6,20,80,30,3,14,480
LGA29799,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,12,4,0,0,0,0,0,0,0,41
LGA30250,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,23
LGA30300,26,9,4,9,24,14,3,4,125,0,0,0,0,0,0,0,0,0,0,0,149,40,38,11,5,19,27,25,3,14,325
LGA30370,102,29,62,53,78,31,20,10,590,0,0,0,0,0,0,0,0,0,0,3,543,219,181,34,72,68,80,43,20,51,1315
LGA30410,4,0,6,3,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,180,31,17,6,0,3,6,3,0,6,245
LGA30450,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,20
LGA30760,8,4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,88,16,17,3,0,0,0,0,0,7,127
LGA30900,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,21,7,3,0,0,0,0,0,0,0,40
LGA31000,42828,10877,12029,14302,18232,7279,1881,3987,231576,133,52,71,8,17,15,38,20,5,1114,1481,166438,74781,62070,14387,15530,18127,22492,9734,2969,8334,394851
LGA31750,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,36,7,9,0,0,3,0,0,0,0,52
LGA31820,737,163,225,281,582,255,104,168,4262,10,0,0,0,3,0,10,6,8,28,66,8083,1327,1260,241,310,373,740,335,153,523,13352
LGA31900,67,10,21,37,80,42,81,54,768,0,0,0,0,0,0,0,0,3,0,12,841,134,108,20,30,63,161,93,86,84,1618
LGA31950,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,75,9,7,0,3,3,6,0,0,0,102
LGA32080,3234,658,654,762,1160,471,107,394,16061,32,0,8,3,0,5,0,5,0,83,143,19575,6423,5350,1046,1056,1121,1586,671,210,1008,38037
LGA32250,13,0,0,5,8,6,0,0,65,0,0,0,0,0,0,0,0,0,6,6,188,34,21,3,9,8,13,8,0,16,288
LGA32260,307,89,76,111,224,95,51,123,2025,8,0,0,0,0,0,0,0,0,11,24,2553,521,462,123,116,142,272,111,59,260,4625
LGA32270,288,64,73,93,157,64,60,40,1374,4,0,0,0,0,0,0,0,0,5,15,1454,721,601,107,101,124,208,95,86,125,3627
LGA32310,44,7,3,18,19,29,3,3,236,0,0,0,0,0,0,0,0,0,0,0,516,107,77,14,19,31,26,40,6,47,893
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA32450,30,4,6,9,21,8,3,0,161,0,0,0,0,0,0,0,0,0,0,3,242,98,81,10,16,23,37,15,0,16,538
LGA32500,41,13,16,17,68,21,9,26,297,0,0,0,0,0,0,0,0,0,8,5,558,81,92,21,26,29,93,26,9,75,1006
LGA32600,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,34,0,5,0,0,0,0,0,0,4,44
LGA32750,3,4,4,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,31,7,6,4,4,0,5,0,0,0,52
LGA32770,0,0,0,0,4,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,4,4,9,0,41
LGA32810,119,28,37,65,199,109,13,20,923,0,0,0,0,0,0,3,0,0,4,5,1788,377,310,69,68,85,236,134,25,104,3189
LGA33100,3,3,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,108,14,13,8,0,0,3,0,0,3,159
LGA33200,4,0,3,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,81,17,15,0,3,3,6,0,0,4,136
LGA33220,529,143,141,141,165,84,36,87,3328,20,0,0,0,0,3,0,0,0,84,108,12134,1665,1201,278,241,264,319,193,71,691,17045
LGA33360,769,141,144,129,182,70,36,39,2894,5,0,0,0,0,0,0,0,0,16,21,4284,1608,1505,232,231,218,283,114,57,225,8753
LGA33430,11939,3330,3531,3963,4883,1940,465,1390,67313,100,29,18,8,3,3,13,3,0,548,732,90695,32380,25156,5697,5632,6271,7310,3263,1121,4649,182179
LGA33610,55,11,17,21,32,10,14,8,289,0,0,0,0,0,0,0,0,0,0,0,286,122,108,18,25,28,43,19,14,17,684
LGA33620,177,57,51,50,57,21,8,40,1108,3,0,0,0,0,0,0,0,0,11,21,4475,626,432,99,84,107,98,51,16,265,6250
LGA33800,35,10,7,3,11,0,0,30,309,0,0,0,0,0,0,0,0,0,5,5,842,64,50,20,15,9,21,5,8,88,1113
LGA33830,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,7,0,4,3,0,0,0,0,0,30
LGA33960,5451,1030,879,1062,1019,356,158,410,24070,15,11,7,5,3,0,9,0,0,243,296,21576,11204,8818,1577,1341,1537,1526,536,294,1295,49701
LGA33980,218,56,43,68,106,33,8,35,967,9,0,3,0,0,0,0,0,0,0,9,1225,585,458,92,81,105,151,60,22,98,2876
LGA34420,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,18
LGA34530,133,28,39,49,48,14,4,21,818,5,3,0,0,0,0,0,0,0,41,48,2694,566,408,63,82,85,121,35,14,159,4225
LGA34570,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,24
LGA34580,388,127,158,233,427,157,84,70,2367,8,6,0,0,0,0,5,0,0,45,62,2803,722,604,165,207,267,497,184,106,228,5784
LGA34590,9803,2259,1830,1992,2569,841,260,953,47279,47,24,33,4,0,6,6,3,0,148,263,47214,18366,14759,2978,2412,2748,3214,1103,467,2478,95731
LGA34710,17,0,6,5,15,12,0,0,103,0,0,0,0,0,0,0,0,0,0,0,189,47,33,9,6,10,23,16,4,18,347
LGA34770,1245,294,282,270,448,175,58,94,5577,8,0,0,0,0,0,0,0,0,19,29,6444,3190,2317,433,442,409,636,285,95,365,14617
LGA34800,4,0,0,0,3,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,69,9,7,4,0,0,0,0,4,4,99
LGA34830,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11
LGA34860,103,25,14,24,55,9,18,14,446,0,0,0,0,0,0,0,0,0,0,5,445,227,191,32,24,40,67,16,21,33,1100
LGA34880,207,61,49,119,196,58,15,66,1661,8,0,0,0,0,0,0,0,0,65,71,2419,372,366,103,74,147,234,77,21,249,4050
LGA35010,6455,1430,1325,1366,1765,595,178,540,31035,82,15,15,0,3,3,6,0,0,306,433,51235,19907,13968,2491,2369,2341,2748,1068,409,2668,99196
LGA35250,0,0,0,0,3,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,17,7,8,0,0,0,4,0,0,6,39
LGA35300,318,53,75,74,128,61,52,40,1435,0,0,0,0,0,0,0,0,0,0,3,1144,626,678,84,121,117,186,89,72,93,3209
LGA35600,30,22,17,11,44,4,3,12,201,0,0,0,0,0,0,0,0,0,0,0,159,47,43,29,20,17,49,3,3,21,390
LGA35670,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,18
LGA35740,448,116,138,144,176,115,23,58,2515,15,0,3,0,0,0,0,0,0,37,66,8294,1796,1338,297,280,296,329,238,86,423,13374
LGA35760,73,24,32,73,108,26,13,22,483,0,0,0,0,0,0,0,0,0,3,3,537,83,99,32,38,78,130,32,14,46,1089
LGA35780,4,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,80,20,13,0,0,0,3,0,0,4,122
LGA35790,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,6,3,0,0,5,4,0,0,5,32
LGA35800,14,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,4,85,0,17,0,0,0,0,0,4,3,125
LGA36070,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,6,0,4,33
LGA36150,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,45,11,0,0,0,0,3,0,0,5,63
LGA36250,1454,310,268,294,334,154,43,239,8801,24,3,0,0,0,0,0,0,0,99,128,21288,6965,4223,673,572,628,686,289,132,1004,36448
LGA36300,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,0,0,0,3,0,0,48
LGA36370,970,206,269,294,361,164,64,78,4192,8,3,0,0,0,0,0,0,0,19,34,3086,1810,1385,305,347,349,464,235,88,246,8321
LGA36510,138,34,44,54,80,27,10,30,1111,7,0,0,0,0,0,0,0,0,60,74,4456,774,482,90,96,94,146,51,18,332,6537
LGA36580,177,71,79,86,140,72,22,35,1048,0,0,0,0,0,0,0,0,0,10,9,2050,348,318,86,93,100,163,77,32,149,3415
LGA36630,128,36,25,54,93,47,39,24,806,11,0,0,0,0,0,0,0,0,3,14,2160,314,206,53,54,76,121,61,39,160,3249
LGA36660,151,50,48,67,102,64,0,21,1128,4,0,0,0,0,0,0,0,0,5,5,2549,330,286,73,57,86,122,76,0,135,3727
LGA36720,3346,938,1056,1051,1145,473,123,343,16221,36,7,4,0,3,4,5,0,0,156,214,38410,11837,9039,2026,2057,1963,2294,1053,388,1803,70866
LGA36820,112,35,29,54,88,48,39,39,893,8,0,0,0,0,0,0,0,0,9,18,2572,290,242,72,42,89,120,65,38,186,3712
LGA36910,2547,602,984,1380,1992,544,121,250,12762,13,5,3,0,0,4,0,0,0,33,68,9610,3855,3583,746,1155,1556,2162,648,169,600,24068
LGA36950,26,5,8,6,13,3,0,8,131,0,0,0,0,0,0,0,0,0,0,0,157,41,43,7,9,10,9,3,0,16,298
LGA36960,3,0,4,0,0,0,0,25,107,0,0,0,0,0,0,0,0,0,0,0,96,7,9,0,4,0,5,3,0,23,141
LGA37010,2195,481,495,691,931,421,91,212,11026,13,8,5,0,0,0,7,0,0,87,119,13501,5104,3769,714,723,998,1285,609,181,738,27625
LGA37300,34,6,8,10,8,9,0,6,169,0,0,0,0,0,0,0,0,0,0,0,214,104,64,16,11,17,9,10,0,19,442
LGA37310,292,72,71,121,150,57,16,27,1209,0,0,0,0,0,0,0,0,0,3,14,1226,494,452,99,104,166,209,72,18,119,2958
LGA37340,385,91,112,181,445,179,91,68,2314,3,4,0,0,0,3,7,3,0,9,28,3500,828,820,185,200,277,588,266,111,215,6990
LGA37400,4,0,0,0,3,3,0,3,30,0,0,0,0,0,0,0,0,0,0,0,101,17,8,4,0,0,8,3,0,3,152
LGA37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7
LGA37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
LGA39799,0,6,8,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,8,4,12,3,0,4,48
LGA40070,1473,689,958,1083,1554,778,158,133,8393,5,0,4,0,0,0,0,0,0,42,56,2910,998,1805,796,1072,1240,1758,934,250,241,12006
LGA40120,180,50,67,35,73,23,0,35,1453,9,0,0,0,0,0,0,0,0,0,15,4779,785,457,96,125,88,118,48,8,185,6688
LGA40150,42,11,4,9,25,54,0,15,351,0,0,0,0,0,0,0,0,0,0,0,944,104,59,7,11,7,25,58,0,34,1258
LGA40220,68,19,10,19,39,10,3,17,517,6,0,0,0,0,0,0,0,0,3,15,3587,384,240,48,38,28,51,29,9,181,4597
LGA40250,5,0,0,4,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,37,17,7,3,0,0,8,0,0,6,77
LGA40310,50,10,16,21,20,10,17,8,417,0,0,0,0,0,0,0,0,0,0,5,2153,327,193,27,34,42,39,31,22,84,2940
LGA40430,0,8,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,181,5,0,8,0,0,0,0,0,9,210
LGA40520,67,18,24,33,54,24,24,23,662,0,0,0,0,0,0,0,0,4,0,8,805,141,101,27,33,48,55,27,28,58,1327
LGA40700,1795,473,512,612,664,261,73,135,9513,4,0,0,0,0,0,0,0,0,4,10,6960,2577,2205,542,601,714,788,342,86,261,15081
LGA40910,2542,673,768,898,1044,388,61,223,14571,10,0,0,0,0,0,0,0,0,8,18,9096,3181,2913,778,863,1028,1134,436,69,337,19826
LGA41010,30,6,4,7,8,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,154,36,55,11,9,7,10,9,0,8,295
LGA41060,3193,999,989,1170,1294,604,108,481,22497,27,6,0,0,0,0,5,6,0,21,65,18147,4659,4297,1200,1190,1402,1589,775,154,789,34204
LGA41140,52,15,18,16,13,15,0,0,203,3,0,0,0,0,0,0,0,0,0,4,669,85,78,16,22,22,16,15,0,32,942
LGA41190,0,0,0,3,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,62,12,5,0,0,3,0,4,0,3,83
LGA41330,28,18,14,17,6,5,0,8,244,0,0,0,0,0,0,0,0,0,0,4,293,42,43,15,21,19,16,8,4,20,473
LGA41560,47,4,9,15,10,6,5,0,233,0,0,0,0,0,0,0,0,0,0,4,1170,92,68,11,15,16,19,5,4,58,1460
LGA41750,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,48,4,9,3,0,0,4,0,0,9,78
LGA41830,3,3,4,6,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,111,14,10,8,4,3,0,0,0,10,161
LGA41960,9,0,0,0,0,3,0,0,19,5,0,0,0,0,0,0,0,0,0,5,65,6,14,0,5,0,4,3,0,0,107
LGA42030,145,35,27,26,29,16,3,27,776,5,0,0,0,0,0,0,0,0,8,12,3177,400,294,43,45,40,44,23,3,144,4210
LGA42110,11,6,0,4,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,341,8,14,6,4,10,6,0,0,18,410
LGA42250,22,12,0,13,7,8,3,0,110,0,0,0,0,0,0,0,0,0,74,80,374,67,36,11,5,23,16,8,9,106,645
LGA42600,493,174,172,289,273,122,30,61,3036,7,0,0,0,0,0,0,0,0,6,12,4721,1188,1030,252,270,381,446,212,81,180,8774
LGA42750,22,13,0,9,16,11,0,3,141,0,0,0,0,0,0,0,0,0,5,4,489,84,71,15,7,12,22,12,0,41,747
LGA43080,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,49,0,6,0,0,0,0,0,0,3,61
LGA43220,9,0,0,5,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,24,7,9,0,0,5,6,0,0,0,52
LGA43360,8,4,7,5,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,115,19,19,0,3,5,5,0,0,8,178
LGA43650,42,7,9,4,11,5,0,6,247,4,0,0,0,0,0,0,0,0,4,9,1314,196,93,12,15,12,26,16,4,64,1750
LGA43710,22,3,0,3,3,0,0,7,54,0,0,0,0,0,0,0,0,0,16,12,251,38,41,7,3,9,3,8,3,35,386
LGA43790,45,25,32,25,66,18,4,7,406,0,0,0,0,0,0,0,0,0,0,0,597,79,72,33,38,31,71,25,6,39,990
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA44060,2977,970,940,912,1290,492,52,228,15351,16,0,3,0,0,0,0,5,0,13,46,11512,5285,4239,1170,1105,1183,1544,637,84,502,27249
LGA44210,18,7,7,3,8,0,3,4,150,0,0,0,0,0,0,0,0,0,31,33,837,47,28,12,13,10,10,0,5,76,1035
LGA44340,1213,331,447,487,623,297,38,131,7360,4,0,5,0,0,0,0,0,0,9,19,8332,2357,1788,419,552,618,745,384,58,309,15560
LGA44550,278,76,44,69,70,32,10,22,1354,0,0,0,0,0,0,0,0,0,4,8,3519,933,673,144,88,118,112,66,30,154,5834
LGA44620,349,62,90,92,99,30,16,31,1412,3,0,0,0,0,0,0,0,0,4,10,1578,444,458,84,106,107,119,42,16,109,3061
LGA44830,11,0,0,0,5,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,185,18,25,0,6,0,4,4,0,12,256
LGA45040,342,75,105,66,121,49,13,25,1314,0,0,0,0,0,0,0,0,0,81,79,1237,418,443,82,114,77,138,60,13,162,2732
LGA45090,210,65,93,56,100,36,19,23,769,0,0,0,0,0,0,0,0,0,0,10,381,157,276,80,103,75,118,40,15,39,1286
LGA45120,11,3,10,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,204,25,26,10,11,7,4,0,0,13,293
LGA45290,1201,436,509,636,754,374,52,126,7494,8,0,0,0,0,0,0,0,0,9,14,5289,1387,1515,508,588,739,884,436,83,233,11661
LGA45340,1606,330,294,252,354,177,32,161,9029,36,3,0,0,0,0,0,0,0,52,97,23190,6179,3755,590,529,477,616,303,80,875,36599
LGA45400,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,42,6,5,0,0,0,0,0,0,3,57
LGA45540,3,0,0,0,4,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,122,9,11,0,0,4,4,0,0,7,161
LGA45680,2691,638,465,527,656,175,73,267,10960,30,3,3,0,0,0,0,0,0,20,61,11481,3463,3094,693,547,575,715,202,100,631,21502
LGA45890,6941,1677,1764,2219,2826,1158,189,644,35574,20,9,8,4,0,0,9,0,0,178,232,18506,9008,7928,1884,1946,2403,3057,1273,222,1123,47351
LGA46090,119,30,60,61,69,50,26,12,591,0,0,0,0,0,0,0,0,0,52,53,575,114,147,40,76,72,87,53,32,90,1293
LGA46300,72,17,29,26,33,17,0,10,445,0,0,0,0,0,0,0,0,0,0,0,806,145,141,30,33,45,41,26,0,42,1306
LGA46450,95,27,30,20,32,17,0,5,497,0,0,0,0,0,0,0,0,0,4,7,861,130,141,32,37,38,42,29,0,51,1350
LGA46510,710,236,286,390,431,155,23,82,4339,0,0,0,0,0,0,0,0,0,3,5,2936,764,851,271,325,435,480,181,34,131,6391
LGA46670,115,29,35,25,122,65,22,99,959,0,0,0,0,0,0,0,0,0,0,6,727,133,146,38,45,22,136,72,22,132,1469
LGA46860,6,3,0,0,4,8,0,6,36,0,0,0,0,0,0,0,0,0,0,0,108,17,6,4,0,0,8,8,0,12,163
LGA46970,123,18,32,30,25,16,12,17,472,0,0,0,0,0,0,0,0,0,0,6,326,248,187,30,40,44,38,24,7,24,972
LGA47140,7536,1765,1507,1888,2296,871,202,648,35554,26,12,8,5,3,0,0,4,0,69,140,21877,9047,8246,1882,1622,1998,2423,962,231,1195,49494
LGA47290,22,15,10,19,39,7,0,11,149,0,0,0,0,0,0,0,0,0,0,0,74,41,31,15,16,25,45,10,0,16,266
LGA47490,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,97,7,10,7,0,0,3,0,0,5,135
LGA47630,142,51,64,71,81,34,4,6,569,0,0,0,0,0,0,0,0,0,0,0,240,123,182,58,70,82,91,35,5,27,912
LGA47700,2063,478,494,630,609,262,29,137,11070,18,0,0,0,0,0,0,0,0,59,80,14881,3884,2716,569,564,777,699,320,49,448,24906
LGA47800,17,17,14,10,16,6,0,4,113,0,0,0,0,0,0,0,0,0,0,4,307,30,37,23,20,10,25,12,0,17,474
LGA47910,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,128,7,5,4,0,0,0,0,0,3,155
LGA47980,916,289,365,453,564,214,29,86,5444,8,0,0,0,0,0,0,0,0,4,17,4791,1186,1206,374,445,569,670,290,59,180,9785
LGA48050,57,11,27,25,20,8,5,9,418,10,0,0,0,0,0,0,0,0,5,12,2451,232,154,21,34,36,35,5,5,106,3085
LGA48130,90,20,9,20,12,9,3,5,221,0,0,0,0,0,0,0,0,0,0,0,436,46,105,25,10,18,19,4,6,25,699
LGA48260,201,35,68,91,109,53,6,19,1352,6,0,0,0,0,0,0,0,0,7,12,1277,335,279,47,82,105,124,62,13,44,2375
LGA48340,40,20,19,26,21,3,0,22,260,0,0,0,0,0,0,0,0,0,3,4,754,71,60,22,24,29,26,11,8,64,1069
LGA48410,2380,832,1079,1178,1469,515,62,219,14106,8,0,0,0,0,0,4,0,0,13,28,7872,2637,2869,951,1195,1311,1622,582,72,352,19462
LGA48540,195,44,51,95,63,31,18,43,1080,3,0,0,0,0,0,0,0,0,4,7,2695,334,267,56,65,120,76,37,27,152,3832
LGA48640,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,8,14,3,0,0,0,0,0,8,51
LGA48750,15,0,3,3,10,7,0,3,95,0,0,0,3,0,0,0,0,0,0,3,836,90,42,10,7,7,13,6,0,31,1050
LGA48830,29,0,4,0,8,0,0,9,128,0,0,0,0,0,0,0,0,0,8,10,855,51,52,10,11,4,11,0,0,70,1052
LGA49399,35,8,5,8,22,0,0,3,160,0,0,0,0,0,0,0,0,0,0,0,412,81,76,9,9,13,33,0,3,21,651
LGA49799,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,4,0,0,0,0,0,17
LGA50080,406,103,62,92,88,25,41,31,1852,17,0,0,0,0,0,0,0,0,90,108,4613,1102,710,156,103,131,159,53,63,303,7393
LGA50210,5119,748,578,554,634,262,99,181,16928,12,7,7,0,4,0,0,0,0,35,76,13671,8489,7022,923,743,746,784,334,148,550,33412
LGA50250,214,33,30,48,72,22,11,19,948,3,3,5,0,0,0,0,0,0,4,19,1356,714,551,58,58,78,140,46,19,65,3089
LGA50280,204,33,42,32,75,43,4,84,878,4,0,0,0,0,0,0,0,0,15,16,2130,528,507,72,79,66,148,52,11,168,3767
LGA50350,295,46,69,70,57,29,7,35,1583,3,0,0,0,0,0,0,0,0,0,5,2599,680,531,78,99,88,75,37,16,74,4276
