LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA14000,1718,1547,3265,6037,5485,11525,711,690,1403,713,624,1337,7465,6816,14277,3979,3580,7556,959,1172,2130,1176,1088,2266,6124,5849,11971,215,233,451,227,330,555,554,237,790,605,1170,1769,4,4,4,1604,1972,3573,2441,2614,5055,533,703,1231,336,333,671,740,1137,1879,7,11,23,4058,4794,8855,5663,6769,12434,187,192,381,327,460,788,5,8,14,520,660,1179,1929,2271,4202,175,229,396,23601,24129,47726
LGA14100,130,128,261,276,269,547,197,157,354,89,70,155,562,493,1053,107,128,233,260,203,461,240,210,452,612,538,1152,11,7,25,10,18,24,37,7,41,31,64,98,0,0,0,88,100,190,261,283,540,37,36,73,50,27,75,46,88,134,3,0,3,393,434,825,485,531,1014,15,13,27,30,32,60,0,0,0,41,41,86,306,432,733,20,20,37,2151,2186,4336
LGA14170,1709,1567,3280,4555,4278,8835,859,929,1785,519,476,992,5940,5687,11624,2328,2148,4481,1054,1236,2288,1260,1012,2269,4653,4396,9052,280,314,596,482,568,1055,381,237,618,942,1293,2236,11,7,18,2101,2416,4519,2408,2820,5232,1220,1533,2753,379,433,815,1473,2257,3731,9,10,13,5491,7055,12546,7599,9487,17081,317,303,625,492,710,1201,10,9,15,822,1026,1846,3833,3546,7379,173,176,350,24732,25873,50609
LGA14220,180,177,352,528,542,1067,169,171,337,21,22,49,714,732,1448,438,459,898,84,61,148,28,33,61,552,552,1107,16,18,34,12,30,46,47,53,98,61,151,207,0,0,6,145,250,390,17,44,59,8,15,26,7,19,29,29,74,99,0,0,0,61,152,217,204,399,602,6,13,23,12,39,54,0,0,0,23,53,77,909,843,1753,24,9,37,2615,2766,5382
LGA14300,68,71,139,145,125,265,65,73,142,16,17,38,228,215,450,123,100,224,24,23,43,23,31,64,174,158,328,8,4,10,5,12,14,30,25,52,16,40,56,0,0,0,59,77,132,11,21,28,6,15,21,5,11,11,8,35,44,0,0,0,30,79,108,86,156,241,4,9,15,8,15,16,0,0,0,13,22,28,1064,189,1252,35,0,39,1666,814,2479
LGA14350,283,281,558,790,826,1619,148,168,316,131,145,282,1072,1142,2214,456,488,949,237,250,493,140,110,255,836,858,1694,22,58,77,19,39,61,110,75,182,88,195,287,0,0,7,241,372,612,46,76,121,29,63,94,11,29,34,54,139,192,3,0,4,135,308,440,380,680,1060,10,19,29,23,61,79,5,0,4,30,76,109,1968,1319,3290,28,13,39,4606,4362,8962
LGA14400,299,237,536,706,694,1402,147,123,270,53,48,105,908,863,1769,438,442,879,134,146,279,117,119,233,689,705,1395,32,38,75,14,15,33,153,61,214,77,156,232,5,0,5,277,274,555,148,201,349,39,79,118,23,43,69,94,176,274,0,0,0,305,499,805,580,784,1363,22,18,37,41,47,85,4,4,5,66,67,135,463,488,943,13,17,22,3015,3157,6169
LGA14500,1407,1314,2722,4141,3805,7946,525,538,1062,1587,1585,3175,6261,5935,12194,2172,1712,3882,765,957,1726,2871,2881,5749,5813,5556,11368,94,102,198,111,197,309,221,113,334,365,722,1088,0,0,3,791,1133,1922,2687,2746,5438,410,538,952,286,270,555,612,927,1539,6,9,16,4000,4493,8494,4796,5631,10429,105,121,221,256,368,621,0,4,4,362,491,848,1195,1450,2649,195,216,410,20036,20589,40625
LGA14550,64,69,139,228,220,444,72,76,146,24,42,64,319,330,650,161,173,333,52,66,124,27,32,55,242,269,508,6,12,20,11,19,32,30,16,43,17,66,83,0,0,0,68,109,180,15,22,36,7,20,25,6,9,12,24,48,70,0,0,0,45,94,137,113,206,315,4,5,13,3,18,22,4,0,3,15,27,41,457,486,939,36,29,67,1246,1414,2656
LGA14600,64,66,138,237,193,429,69,56,116,7,6,21,312,253,567,112,130,238,11,6,18,21,22,45,143,159,306,7,5,8,6,9,10,20,21,39,10,41,55,0,0,0,39,77,113,12,24,30,0,8,11,4,4,14,3,26,29,0,0,0,20,65,79,55,138,193,5,0,5,0,4,7,0,0,0,4,4,10,355,372,723,4,0,11,944,995,1943
LGA14650,2578,2418,4998,6777,6265,13047,1333,1316,2654,1024,1015,2042,9152,8613,17765,4667,4438,9106,1089,1160,2246,1018,1042,2060,6778,6647,13427,266,349,611,179,341,522,1206,597,1808,878,1396,2279,12,8,22,2543,2692,5232,1269,1779,3047,493,730,1218,242,398,643,753,1501,2250,6,0,3,2754,4409,7160,5304,7111,12414,159,150,316,335,535,873,6,5,18,503,697,1206,3858,4037,7890,72,76,144,28246,29597,57842
LGA14700,488,422,915,1099,1050,2146,367,300,669,174,188,363,1639,1541,3181,345,394,736,514,372,884,446,436,885,1303,1201,2505,35,29,62,47,99,142,78,44,124,179,269,449,0,0,0,338,443,776,657,558,1218,169,225,393,72,89,167,285,416,698,4,3,4,1182,1291,2477,1521,1730,3254,54,47,102,120,170,286,4,0,0,177,215,390,573,669,1245,60,67,124,5765,5852,11616
LGA14750,116,109,222,373,359,728,119,115,233,8,11,14,501,484,984,272,279,555,227,239,468,12,3,18,514,528,1040,6,9,13,3,18,23,58,48,106,39,94,126,0,0,0,102,172,272,19,34,53,0,15,21,3,20,24,21,41,65,0,0,0,53,103,156,155,278,428,8,6,10,11,17,27,0,0,0,17,28,40,495,493,988,10,4,13,1803,1915,3716
LGA14850,452,381,829,1046,993,2039,371,393,767,294,255,550,1714,1644,3351,770,696,1466,520,493,1014,154,127,283,1444,1319,2765,67,87,158,61,120,185,189,129,315,198,346,548,0,3,8,519,687,1212,164,249,417,134,183,315,67,89,154,205,413,615,0,5,10,574,939,1509,1098,1631,2722,39,46,87,68,106,175,0,0,4,114,154,268,1782,1809,3590,48,31,81,6653,6960,13609
LGA14870,189,155,347,589,605,1188,148,139,285,24,31,56,759,776,1534,408,379,790,139,133,273,60,55,119,611,574,1180,26,31,59,12,28,45,97,65,162,80,143,227,0,4,5,220,281,495,50,82,131,21,42,64,9,23,31,50,112,163,0,0,0,127,265,395,353,545,893,18,12,31,18,29,43,0,0,4,31,42,75,1073,696,1769,6,5,17,3022,2792,5813
LGA14900,2498,2287,4787,7084,6548,13626,2631,2570,5203,1763,1767,3536,11511,10923,22434,5300,4937,10231,2362,2349,4715,1546,1581,3128,9231,8888,18122,486,525,1009,488,868,1353,911,353,1260,786,1359,2149,15,24,38,2686,3117,5801,2824,3858,6680,719,965,1679,419,540,961,677,1093,1769,15,22,38,4659,6480,11135,7377,9639,17016,433,497,929,512,733,1244,11,17,36,959,1247,2203,7552,7363,14919,157,189,347,39296,40534,79830
LGA14920,73,64,134,230,255,481,49,27,73,7,0,10,284,282,565,185,164,346,4,17,23,31,53,81,220,233,455,6,8,13,3,5,11,32,22,52,18,49,65,0,0,0,55,80,138,17,14,31,6,15,20,4,7,12,16,30,41,0,0,0,43,61,104,101,139,238,4,0,11,3,7,9,0,0,0,6,12,22,456,414,873,3,0,3,1142,1140,2287
LGA14950,40,32,70,95,101,196,26,42,69,22,18,36,146,159,309,43,53,90,22,30,51,27,26,56,85,108,193,0,3,3,4,0,3,24,11,34,3,21,28,0,0,0,34,34,70,13,17,25,0,3,3,0,0,0,0,16,21,0,0,0,13,39,54,53,79,120,0,6,10,0,9,10,0,0,0,3,14,20,123,120,242,0,0,0,440,513,951
LGA15050,1204,1169,2377,2788,2652,5445,1166,1083,2253,434,418,851,4391,4160,8552,1815,1714,3531,838,968,1802,428,404,838,3082,3093,6171,174,232,410,108,179,285,494,328,820,389,746,1138,8,6,12,1175,1496,2662,441,718,1155,189,349,534,111,175,288,380,725,1112,0,0,0,1126,1964,3094,2299,3463,5759,105,98,205,151,252,406,12,3,14,264,357,623,1682,1756,3436,37,39,74,12955,14036,26992
LGA15240,771,737,1503,2568,2496,5062,382,336,717,334,325,654,3277,3164,6447,1893,1782,3677,332,318,656,319,356,684,2552,2475,5019,83,136,220,60,179,244,329,278,605,248,627,879,7,4,10,738,1222,1960,169,275,441,62,190,249,37,72,108,155,432,587,0,4,5,423,969,1401,1165,2197,3358,45,57,99,73,147,216,6,7,11,121,210,332,3532,3757,7287,43,35,83,11461,12573,24027
LGA15270,272,247,519,847,758,1601,341,316,659,12,17,35,1204,1089,2295,535,540,1074,220,231,449,31,19,48,781,788,1577,31,35,64,12,27,44,150,87,242,127,225,350,4,0,5,328,377,703,46,84,132,21,48,68,10,30,41,66,145,207,0,0,0,142,314,454,474,686,1157,15,20,32,35,77,118,0,0,0,55,97,151,1092,948,2035,12,11,22,3881,3869,7750
LGA15300,132,135,263,326,313,640,146,120,268,39,40,81,515,478,991,185,187,375,49,52,102,52,57,113,286,298,586,8,0,10,10,12,19,31,22,51,29,85,116,0,0,0,76,127,203,35,51,79,10,16,29,7,24,33,24,55,76,0,0,0,69,150,218,148,270,419,3,7,8,10,17,23,0,0,0,15,23,38,1465,1417,2887,15,15,29,2570,2627,5205
LGA15350,279,241,522,533,524,1056,160,212,374,337,347,686,1034,1081,2113,275,250,527,209,192,401,600,511,1111,1091,955,2045,25,30,47,26,47,71,25,25,50,78,155,235,0,0,0,147,261,407,420,455,874,74,114,189,57,69,123,154,254,415,0,4,4,703,896,1601,859,1154,2017,16,22,34,53,108,158,0,0,0,64,126,192,383,418,804,34,41,81,3745,4025,7769
LGA15520,135,129,261,294,288,584,124,139,264,61,65,120,482,490,971,183,155,335,118,137,258,55,78,129,357,367,727,9,10,18,4,7,18,40,19,57,23,65,89,0,0,0,82,108,185,18,54,66,4,13,13,6,6,11,13,55,65,0,0,0,40,121,160,120,226,349,0,7,7,5,25,29,0,0,0,5,30,36,526,489,1016,0,4,7,1632,1734,3363
LGA15560,35,40,69,87,70,155,40,34,74,4,3,6,127,109,233,63,75,135,7,7,14,0,7,9,75,82,157,3,4,5,3,4,3,10,16,24,11,17,32,0,0,0,28,40,71,4,7,12,0,0,0,0,8,8,3,19,26,0,0,0,13,34,47,38,81,118,0,0,0,9,5,10,6,5,3,9,5,18,184,152,334,10,0,14,475,468,941
LGA15650,204,195,407,570,518,1089,192,151,340,60,69,128,819,738,1564,384,345,729,155,146,296,42,46,86,583,539,1119,13,23,34,14,26,42,111,74,181,58,149,214,0,7,7,203,269,474,17,49,65,17,28,45,13,24,43,37,84,115,0,0,0,80,183,268,290,455,743,9,10,18,27,47,74,0,0,0,35,56,86,831,492,1322,11,12,21,2767,2492,5260
LGA15700,177,167,344,448,409,852,158,133,293,100,122,222,707,663,1372,463,423,885,32,39,74,86,101,189,578,565,1140,15,20,36,17,38,54,81,51,127,71,162,232,4,0,4,183,264,444,24,56,80,9,63,80,7,15,20,33,100,136,0,5,5,82,235,312,259,494,759,15,18,29,15,30,42,0,0,4,31,46,72,876,905,1785,9,7,19,2648,2853,5503
LGA15750,144,141,288,349,372,718,191,164,356,31,28,58,575,563,1139,275,304,583,43,42,89,21,36,57,338,386,728,9,16,23,8,13,21,47,36,88,48,98,145,0,0,0,119,159,279,22,46,68,5,16,24,5,23,24,40,57,95,0,0,0,70,138,212,184,301,487,3,18,19,14,22,34,0,0,0,14,40,54,779,666,1442,9,4,16,2056,2104,4160
LGA15800,46,62,111,154,165,319,96,76,170,3,3,6,254,240,498,133,164,293,12,29,45,0,0,6,146,191,336,3,4,5,5,11,14,17,9,31,19,47,63,0,0,0,43,75,111,8,12,22,12,13,23,3,4,9,9,28,38,0,0,0,30,59,90,71,132,199,10,0,11,7,7,17,0,0,0,16,12,28,281,257,543,4,4,14,823,905,1722
LGA15850,92,64,152,146,142,290,61,59,125,54,66,120,265,270,538,134,117,249,32,23,60,47,50,95,216,187,405,3,0,10,4,10,7,25,24,42,14,30,43,0,0,0,49,62,100,16,29,47,0,7,10,0,3,3,0,32,36,0,0,0,18,70,92,62,133,193,9,6,12,4,5,9,0,0,0,8,10,21,443,429,865,0,5,10,1088,1091,2180
LGA15900,1814,1619,3433,4558,4124,8686,1227,1203,2433,634,581,1218,6429,5918,12344,3126,3083,6205,857,897,1758,782,743,1528,4766,4729,9500,318,302,617,285,366,656,649,478,1131,835,1140,1977,5,0,7,2089,2288,4383,2773,3514,6289,1177,1410,2585,384,502,886,1127,1791,2916,15,7,16,5471,7229,12699,7577,9524,17097,178,182,356,307,479,783,0,4,10,485,666,1156,4255,4207,8461,126,132,254,25444,26799,52246
LGA15950,632,557,1183,1314,1297,2609,233,231,467,243,239,484,1789,1770,3559,577,542,1124,281,242,519,420,454,877,1280,1239,2524,66,67,138,107,200,311,101,61,158,300,507,812,4,3,6,576,841,1426,736,863,1599,327,510,843,115,137,252,623,873,1491,4,3,5,1808,2384,4192,2392,3233,5623,71,104,173,198,321,523,0,5,5,273,429,703,1255,1396,2659,118,134,250,7744,8755,16502
LGA15990,3213,2995,6204,8514,8085,16600,1664,1469,3131,1434,1272,2715,11630,10832,22462,5083,4767,9845,2540,2389,4932,2535,2564,5104,10164,9735,19898,348,341,689,300,433,731,1255,567,1819,1143,1667,2814,12,8,19,3057,3016,6073,3168,3637,6805,585,892,1472,483,596,1077,1024,1889,2914,8,12,22,5270,7028,12296,8335,10059,18392,223,255,482,564,819,1381,6,0,8,793,1084,1878,3931,4391,8321,256,280,532,38326,39367,77696
LGA16100,43,42,85,134,142,276,59,64,122,7,5,12,195,212,407,104,80,185,30,36,69,25,17,37,155,134,287,4,3,3,0,3,8,24,16,37,16,40,55,0,0,0,47,59,102,10,25,31,5,6,11,0,3,6,9,24,30,0,0,0,23,61,82,69,119,193,8,8,14,4,5,9,0,0,0,13,15,29,433,309,741,7,0,6,918,831,1745
LGA16150,576,502,1078,1409,1288,2693,411,416,826,283,275,549,2104,1973,4084,778,732,1508,407,408,811,426,443,867,1603,1592,3193,42,62,101,50,94,144,213,164,377,248,393,642,5,0,5,556,712,1267,190,317,514,104,176,280,36,76,109,237,363,599,0,0,0,570,931,1507,1127,1646,2774,35,46,75,52,100,156,0,3,3,85,147,231,1223,1285,2511,35,24,63,6766,7175,13942
LGA16200,153,142,289,482,443,923,95,114,207,67,60,126,637,624,1260,309,271,575,128,131,258,70,56,122,508,448,957,17,16,34,6,12,17,58,56,120,56,95,150,3,0,3,138,189,325,19,38,57,8,20,27,13,24,34,29,62,90,0,0,0,68,142,209,201,330,535,8,12,21,18,19,34,0,0,0,22,31,51,558,531,1086,7,11,12,2087,2114,4199
LGA16260,2713,2549,5260,8429,7827,16256,1741,1701,3439,654,673,1327,10829,10214,21048,4592,4400,8993,1704,1550,3249,891,894,1787,7193,6849,14042,576,437,1011,800,1166,1963,593,361,947,1276,2233,3513,11,15,19,3252,4202,7453,4165,4364,8528,2108,2109,4216,533,535,1065,1315,1741,3055,24,21,43,8140,8770,16914,11424,12996,24416,999,819,1817,890,1079,1970,9,13,22,1902,1909,3812,7563,6131,13694,363,455,820,41984,41107,83091
LGA16350,2773,2431,5201,7338,6860,14201,1760,1822,3580,1060,989,2046,10168,9690,19857,4039,4099,8140,2242,2247,4492,1026,928,1945,7317,7280,14602,333,475,808,270,566,839,1200,616,1815,800,1494,2293,12,14,20,2614,3159,5773,1471,2159,3627,508,787,1300,281,440,712,644,1318,1958,7,9,16,2907,4713,7617,5529,7884,13411,262,258,517,388,592,972,9,7,17,654,855,1506,6714,6692,13403,148,145,291,33303,34972,68278
LGA16380,846,734,1579,1965,1873,3835,890,863,1753,455,406,861,3313,3146,6462,1127,1111,2232,1168,1174,2346,433,422,858,2736,2708,5445,138,125,259,87,183,275,328,229,558,326,646,967,7,6,15,878,1190,2072,393,795,1191,149,299,453,63,130,191,268,570,836,0,6,5,877,1802,2678,1759,2994,4752,61,68,130,112,223,335,6,0,3,173,284,466,2189,2206,4393,67,53,119,11090,12125,23213
LGA16400,771,702,1470,2273,2082,4356,394,401,796,372,365,736,3042,2855,5896,1650,1587,3238,381,411,794,406,362,767,2441,2367,4805,100,107,203,62,112,170,349,180,528,280,511,792,3,0,8,790,910,1704,288,434,724,112,199,308,57,117,165,197,445,640,5,0,10,647,1196,1846,1440,2107,3552,51,57,107,71,138,210,5,3,11,131,199,326,1834,1923,3756,33,28,59,9690,10169,19862
LGA16490,686,604,1286,1923,1714,3634,710,561,1271,222,266,488,2858,2542,5399,1052,1003,2052,739,686,1425,280,271,554,2075,1961,4033,99,89,188,111,105,213,328,178,501,311,505,819,3,3,8,854,880,1730,342,491,836,213,263,476,88,141,224,415,690,1105,4,4,9,1064,1588,2652,1917,2474,4392,103,73,176,172,249,418,0,4,6,275,328,604,1616,1458,3071,32,48,76,9449,9406,18862
LGA16550,1334,1179,2513,2447,2365,4806,1224,1220,2439,926,873,1797,4599,4463,9061,1058,1018,2070,1427,1393,2823,1234,1190,2418,3723,3604,7315,171,179,349,247,423,666,382,211,595,750,1087,1840,3,10,15,1561,1905,3461,2778,2896,5674,1152,1160,2308,231,291,520,777,1195,1971,15,5,21,4950,5546,10503,6521,7458,13980,234,214,446,405,588,990,9,4,18,648,805,1456,4331,3590,7923,264,262,528,21420,21353,42774
LGA16610,222,213,429,557,567,1127,331,319,651,62,51,109,952,940,1887,398,428,826,234,240,474,49,56,105,683,720,1397,23,43,65,14,56,69,93,82,176,79,162,239,0,0,0,210,347,551,37,62,103,16,47,70,16,41,59,38,94,132,0,3,3,113,249,361,321,594,916,12,4,18,16,34,54,0,4,4,29,44,75,1212,1175,2386,6,4,14,3424,3691,7113
LGA16700,1376,1217,2596,3488,3175,6661,932,975,1907,418,357,778,4844,4518,9367,1947,1751,3699,1085,957,2046,513,540,1056,3552,3264,6818,177,201,380,335,502,841,286,140,429,687,1119,1796,3,6,9,1489,1970,3456,2539,2582,5120,1052,1249,2302,298,304,597,744,1072,1816,12,11,26,4645,5222,9867,6144,7199,13345,247,259,503,404,547,951,3,4,10,655,812,1465,2595,2634,5224,202,245,447,19365,19885,39252
LGA16900,998,879,1880,2576,2311,4888,542,551,1087,251,223,471,3370,3092,6461,1757,1643,3403,556,637,1198,255,248,506,2578,2538,5113,106,125,236,74,163,245,495,296,788,320,575,900,3,4,10,1006,1168,2174,308,632,941,104,206,309,68,143,213,192,423,614,0,0,7,674,1411,2084,1682,2588,4270,45,61,114,99,167,265,0,0,3,151,227,380,1746,1759,3506,31,26,58,10561,11110,21666
LGA16950,1166,1002,2169,3146,2992,6147,358,371,728,379,398,778,3893,3772,7667,2063,1955,4020,487,495,986,438,451,887,2993,2910,5902,122,144,266,81,167,249,474,261,740,389,750,1145,6,11,18,1078,1331,2411,260,481,739,165,317,484,52,101,157,259,550,812,0,4,4,742,1453,2192,1816,2784,4602,89,70,162,110,255,364,3,0,11,210,328,536,4127,3314,7441,60,52,118,14272,14156,28433
LGA17000,276,283,560,745,708,1448,337,295,636,122,135,255,1208,1139,2343,484,474,959,230,209,438,116,123,244,830,813,1648,24,29,55,15,33,50,148,108,252,103,205,307,5,0,5,299,375,677,84,125,214,21,57,82,19,32,58,54,133,188,0,0,0,187,350,541,485,732,1214,43,23,65,41,88,126,0,0,0,87,104,189,892,607,1500,15,10,20,3785,3686,7471
LGA17040,231,213,442,670,595,1261,195,180,370,178,154,330,1042,922,1964,513,444,956,116,109,224,226,250,475,861,797,1661,33,27,62,19,44,62,87,87,175,143,214,353,0,0,0,282,364,649,115,174,287,36,67,100,40,79,116,105,239,341,0,6,7,291,560,855,579,924,1504,20,29,48,35,61,96,0,3,7,57,90,152,1592,1111,2709,89,69,162,4451,4134,8586
LGA17080,146,166,311,435,434,869,171,149,318,7,5,11,611,594,1206,355,359,717,76,63,138,6,15,24,433,440,880,18,8,32,3,22,21,75,46,125,47,96,141,0,0,3,152,178,327,11,37,49,0,22,24,5,14,15,23,95,122,0,0,0,42,166,211,198,340,536,6,10,18,18,51,70,0,0,0,27,59,85,718,560,1276,6,0,13,2136,2173,4303
LGA17100,377,355,733,935,869,1806,317,330,651,207,248,449,1463,1449,2909,607,663,1271,275,219,495,297,290,588,1179,1169,2350,213,128,341,281,281,566,129,75,207,252,292,537,0,3,5,878,776,1654,1150,1028,2177,521,443,967,154,125,282,259,266,532,8,7,16,2081,1877,3964,2971,2659,5635,354,228,585,257,248,501,11,7,18,619,478,1101,1225,1051,2276,66,79,142,7906,7242,15147
LGA17150,2876,2652,5533,7200,6538,13739,2233,2146,4377,557,539,1098,10005,9225,19233,5149,4932,10081,2129,2143,4271,884,954,1834,8164,8031,16196,278,377,660,232,348,578,1612,569,2186,895,1402,2301,10,7,21,3030,2711,5738,2181,3072,5249,454,661,1116,381,488,873,931,1578,2504,8,9,11,3950,5806,9755,6985,8526,15508,153,157,307,379,599,972,8,5,11,534,759,1293,3320,3804,7125,130,146,278,32019,33149,65168
LGA17200,1124,1021,2143,2026,1936,3955,441,417,857,431,449,881,2900,2805,5702,1010,930,1940,362,449,811,608,550,1161,1978,1935,3916,373,456,831,1247,1685,2931,380,318,700,1707,2061,3771,10,16,21,3712,4538,8253,5000,5789,10794,2985,3042,6026,451,508,959,2246,2418,4664,31,15,42,10709,11775,22490,14445,16329,30778,1153,1526,2682,1503,1891,3392,19,7,32,2672,3429,6105,10892,7749,18648,1087,878,1965,35101,34150,69254
LGA17310,738,637,1374,1854,1741,3592,686,648,1331,331,307,636,2869,2691,5562,1656,1172,2822,356,457,812,345,458,801,2355,2087,4440,69,84,154,46,135,186,266,202,474,252,502,759,0,4,7,638,937,1576,135,279,414,76,147,227,44,95,136,162,405,568,0,3,3,420,926,1343,1060,1859,2917,44,48,89,83,125,212,5,4,5,128,179,313,2410,2371,4775,52,24,73,9610,9847,19455
LGA17350,65,56,121,198,171,369,68,59,128,3,3,3,266,234,504,140,153,297,27,27,56,8,0,4,172,185,358,3,3,6,0,9,6,36,24,56,18,46,67,0,0,0,61,79,142,8,22,34,0,4,13,3,8,9,14,30,41,0,0,0,28,63,95,88,148,238,0,5,8,10,6,20,0,0,0,10,9,18,168,165,325,0,3,3,775,806,1579
LGA17400,40,44,79,139,139,279,57,61,118,4,0,7,202,204,405,138,165,302,10,13,20,9,10,15,151,192,344,11,6,18,3,11,13,22,15,42,21,47,67,0,0,0,58,79,133,6,15,21,0,6,10,0,5,11,7,27,39,0,0,0,22,57,75,75,138,212,0,10,12,0,10,16,0,0,0,3,26,28,353,352,703,78,38,118,905,982,1892
LGA17420,2398,2277,4674,7200,6650,13855,1769,1713,3479,1345,1288,2630,10327,9657,19982,3843,3620,7462,2151,2201,4354,2097,1941,4034,8093,7770,15864,257,358,608,217,401,614,808,350,1152,665,1267,1931,3,3,11,1953,2374,4323,3027,3469,6497,617,738,1358,472,457,932,883,1224,2101,9,14,22,5013,5904,10911,6971,8280,15252,225,220,451,374,540,910,0,6,11,599,764,1368,2282,2336,4617,217,275,494,30889,31363,62254
LGA17550,894,830,1720,2377,2125,4497,879,878,1755,481,477,956,3743,3478,7220,1587,1511,3101,699,747,1440,598,577,1174,2889,2840,5728,115,155,269,122,217,338,321,226,549,336,617,953,13,8,19,911,1217,2134,322,578,903,171,390,563,83,152,234,264,658,921,7,10,15,841,1792,2634,1761,3008,4771,55,109,165,148,277,426,10,9,15,206,392,600,3452,3539,6987,53,63,123,12995,14147,27146
LGA17620,143,149,294,396,350,744,126,106,237,109,110,216,631,569,1201,227,202,427,158,170,325,120,125,244,504,500,1004,20,13,31,12,22,30,84,60,144,45,103,148,5,0,5,162,201,360,24,66,92,10,21,30,6,15,24,17,81,96,0,0,0,56,189,242,224,381,601,10,11,15,6,34,43,0,0,0,19,47,65,494,423,918,14,12,25,2031,2079,4113
LGA17640,81,79,162,242,212,455,86,70,154,8,12,20,343,290,633,150,164,315,47,42,87,20,18,37,220,221,444,10,4,15,8,6,14,38,37,77,27,61,92,0,0,0,82,105,191,10,32,50,8,16,22,5,5,15,17,38,53,7,0,9,47,99,144,123,206,333,10,3,10,15,12,23,0,0,0,19,12,35,357,324,681,0,4,3,1145,1146,2298
LGA17650,60,60,116,181,156,344,32,37,73,28,31,61,247,223,472,124,140,258,34,58,88,22,57,76,184,244,434,4,7,9,0,8,12,27,21,44,31,49,76,0,0,0,57,85,143,9,29,37,13,20,35,9,13,21,20,49,66,0,0,0,45,113,160,106,200,301,4,5,11,4,11,15,0,0,0,4,17,24,208,210,423,4,3,5,806,960,1765
LGA17750,867,793,1660,1871,1623,3492,827,877,1707,393,352,751,3095,2851,5947,1052,1120,2173,778,818,1592,429,418,846,2254,2362,4615,179,133,313,117,155,268,404,251,654,371,562,930,3,6,5,1078,1099,2174,509,1192,1701,181,318,495,79,176,253,320,605,923,0,0,3,1081,2298,3386,2165,3400,5564,121,79,203,120,165,289,0,0,0,241,255,493,2009,1945,3959,99,35,127,10728,11637,22362
