LGA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA25150,38,72,175,155,159,89,31,0,0,723,50,71,143,165,182,120,51,17,3,792,1055,1474,3732,4088,3974,2979,798,118,12,18235
LGA25250,43,283,886,715,536,367,94,17,0,2939,76,382,1269,870,574,349,77,24,8,3627,2646,8933,29694,22994,15879,9689,2066,206,15,92121
LGA25340,112,247,536,481,647,525,184,37,4,2772,177,230,479,586,757,648,259,99,18,3253,4922,6195,11925,14378,18004,14826,5267,826,53,76389
LGA25430,14,19,45,53,73,58,21,0,0,293,24,26,39,63,51,80,34,10,0,317,421,415,1142,1666,2083,2030,713,92,10,8566
LGA25490,26,33,52,57,65,37,18,3,0,293,25,29,55,43,50,67,25,14,5,322,502,538,1405,1544,1803,1797,737,152,27,8503
LGA25620,11,25,62,49,65,59,15,0,0,289,9,16,40,63,78,75,34,17,6,333,316,409,998,1206,1577,1571,577,139,16,6813
LGA25710,49,120,197,230,296,269,63,5,0,1232,55,109,157,275,324,223,68,23,0,1231,2059,3088,4677,6456,8453,6642,1806,254,11,33447
LGA25810,9,17,22,16,26,19,18,3,0,128,9,10,42,19,29,33,7,10,5,154,286,440,1025,842,1057,1104,406,90,7,5257
LGA25900,29,168,625,386,333,254,69,8,4,1868,34,166,811,680,450,272,102,20,6,2537,1214,4083,19164,14737,11140,7325,2285,372,16,60333
LGA25990,3,12,18,25,19,13,5,0,0,93,12,11,24,13,34,22,16,7,0,140,143,201,439,489,713,681,271,52,10,3006
LGA26080,0,6,4,6,7,7,9,0,0,30,0,0,7,11,3,15,9,3,0,53,59,83,146,192,265,384,201,45,5,1362
LGA26170,32,50,115,111,104,113,25,3,0,553,35,42,80,89,122,126,52,26,10,572,833,884,2049,2438,3110,2910,1218,212,23,13675
LGA26260,22,17,39,43,50,54,15,0,0,235,24,20,49,47,43,55,29,12,7,290,468,574,1324,1342,1574,1638,703,126,23,7766
LGA26350,38,165,492,280,249,173,64,12,4,1480,45,245,854,530,400,268,137,40,10,2531,1554,5921,20172,12330,9731,7015,3062,637,74,60508
LGA26430,0,10,22,24,30,38,19,0,0,140,11,8,24,36,30,34,23,5,5,181,259,299,712,859,996,1137,565,123,14,4966
LGA26490,17,51,92,134,139,105,30,4,0,568,33,49,109,172,169,98,47,7,0,680,1056,1286,3113,4561,4356,3315,1122,146,8,18965
LGA26610,27,46,92,70,49,56,18,4,0,362,28,54,138,131,97,82,31,17,4,580,551,846,2240,1983,1735,1833,602,103,14,9908
LGA26670,10,7,15,12,17,21,15,0,0,105,4,6,4,21,19,24,9,3,0,94,131,138,354,464,567,709,329,96,10,2805
LGA26700,35,49,120,100,101,82,29,4,0,514,50,46,80,79,138,102,43,11,3,555,1008,977,2473,2636,3062,2754,934,176,14,14042
LGA26730,42,72,157,115,114,78,40,5,0,628,31,55,133,94,127,82,28,7,0,561,1287,1462,3670,3386,3541,3084,790,101,3,17334
LGA26810,60,71,177,121,115,115,37,8,0,706,52,65,147,144,127,149,52,26,6,766,1198,1565,3709,3700,3930,3780,1240,219,25,19365
LGA26890,0,5,9,8,12,8,0,0,0,42,7,0,7,5,11,14,4,5,0,59,82,95,293,296,359,456,204,57,7,1860
LGA26980,65,262,614,547,631,453,138,32,0,2743,71,391,941,832,718,452,130,29,11,3573,3852,8672,18297,18731,17980,11842,3293,451,37,83154
LGA27070,96,359,1060,1059,810,524,118,10,0,4031,148,500,1464,1450,1042,679,155,25,8,5468,4656,10027,26796,28543,20515,13135,2923,222,15,106839
LGA27170,41,89,200,172,124,102,37,3,0,767,46,65,165,157,132,114,31,14,3,726,1576,1996,4653,4329,4067,3141,833,100,9,20706
LGA27260,107,426,1122,1071,746,454,100,4,0,4033,196,806,2263,2141,1146,578,110,10,3,7255,5254,11885,35896,43754,23455,12760,2489,158,11,135659
LGA27350,15,132,559,358,243,172,54,18,0,1543,32,158,887,487,273,166,40,4,4,2054,950,4891,22841,12486,7751,5171,1647,262,7,56009
LGA27450,165,359,800,775,729,627,195,18,0,3672,160,299,726,758,827,615,200,37,7,3633,4546,6804,15708,16720,17398,13700,3926,468,26,79290
LGA27630,3,9,12,10,12,26,9,0,0,79,4,9,15,8,12,21,0,4,0,77,134,163,435,417,505,689,216,58,6,2633
LGA29399,0,0,0,0,3,3,0,0,0,12,4,27,22,15,19,10,0,0,0,96,195,569,622,337,361,269,97,6,3,2461
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,4,16,44,56,44,5,0,0,170
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,7,5,16,40,29,36,31,4,0,0,159
LGA30300,10,6,14,5,14,13,3,0,0,78,14,9,14,11,23,19,5,0,0,106,124,195,405,382,480,429,171,30,0,2227
LGA30370,25,32,53,64,28,36,9,5,0,251,21,22,44,53,42,46,36,14,0,276,419,615,1454,1643,1561,1377,472,142,16,7697
LGA30410,3,6,6,9,10,5,3,0,0,37,5,3,15,6,9,4,6,0,0,52,79,121,270,253,333,323,136,30,0,1548
LGA30450,0,3,0,0,0,5,0,0,0,12,0,0,0,0,6,0,0,0,0,10,10,40,25,27,48,53,16,7,0,233
LGA30760,5,0,4,3,0,3,0,0,0,18,5,5,9,8,9,8,4,0,0,48,59,86,168,175,186,186,106,25,0,997
LGA30900,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,3,4,0,0,11,14,29,51,36,48,60,30,3,0,272
LGA31000,938,2534,5847,4907,4177,2877,815,123,6,22229,1033,2968,7088,6448,4841,2960,852,227,50,26477,33793,70258,163877,154020,131176,82404,21256,2667,190,659643
LGA31750,0,0,3,0,3,3,0,0,0,7,0,0,0,5,4,0,4,0,0,19,16,38,54,61,60,70,23,0,0,322
LGA31820,80,153,320,289,295,246,80,9,0,1477,128,179,350,333,380,274,105,44,6,1804,2746,3342,7297,7341,8475,7428,1971,310,26,38943
LGA31900,30,40,59,41,58,60,17,3,0,313,23,31,59,47,60,53,28,14,6,320,530,647,1353,1330,1653,1583,550,115,12,7770
LGA31950,0,9,3,0,0,0,0,0,0,13,0,0,4,0,0,4,0,0,0,8,20,44,74,70,71,107,35,4,0,431
LGA32080,181,378,790,805,776,518,166,22,0,3620,192,276,696,623,601,432,140,51,11,3009,4956,6117,15962,17284,18032,13372,3696,458,36,79905
LGA32250,3,3,4,8,5,5,6,0,0,28,4,9,15,10,14,3,6,3,0,60,65,140,225,204,252,271,121,14,0,1295
LGA32260,22,40,84,101,83,91,32,0,0,458,50,48,133,118,127,129,56,19,8,694,689,856,2316,2233,2647,2816,976,166,18,12714
LGA32270,53,80,130,112,92,80,23,3,0,572,45,48,123,106,114,83,21,9,0,554,964,1311,3313,3471,3145,2482,668,137,7,15497
LGA32310,21,15,26,37,29,24,6,3,0,161,28,16,40,40,41,42,21,10,0,232,375,389,904,963,1107,986,325,45,0,5095
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,17,52,44,35,20,0,0,0,184
LGA32450,0,6,11,15,13,10,3,0,0,68,6,9,16,15,12,7,6,0,0,73,115,243,575,573,507,421,125,27,0,2586
LGA32500,6,15,26,21,24,12,0,3,0,104,4,4,18,11,15,8,9,6,0,77,96,187,526,492,594,638,192,25,0,2739
LGA32600,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,7,34,27,40,53,15,5,0,182
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,49,28,50,39,13,0,0,220
LGA32770,0,0,3,3,7,7,0,0,0,21,0,4,4,0,7,0,0,0,0,11,9,28,75,44,60,42,11,0,0,260
LGA32810,9,17,41,42,54,54,9,0,0,231,33,24,54,60,67,75,11,12,0,328,299,378,1278,1244,1403,1469,527,74,13,6682
LGA33100,0,0,0,5,5,0,0,0,0,7,0,0,4,0,10,9,0,3,0,33,25,40,83,87,132,160,64,16,0,603
LGA33200,4,6,3,5,0,0,0,0,0,17,0,7,3,6,3,9,4,0,0,33,39,68,171,109,164,168,68,29,3,819
LGA33220,78,157,333,341,366,312,61,10,0,1651,125,136,263,323,365,296,111,42,13,1668,2589,2851,6239,7318,8743,7949,1940,247,22,37899
LGA33360,68,123,241,225,234,180,32,4,0,1103,91,158,328,309,317,209,54,12,6,1478,1980,2235,5729,6253,6614,4930,1064,132,4,28945
LGA33430,528,1332,3085,2874,2482,1698,499,68,4,12558,712,1533,3628,3525,3079,2112,698,171,37,15500,17940,28389,65780,66661,64379,45648,13818,1767,133,304518
LGA33610,14,23,54,36,34,28,4,0,0,203,16,26,40,35,40,48,11,8,3,224,291,369,923,969,1008,942,341,58,10,4915
LGA33620,69,90,194,201,156,139,49,3,0,900,65,69,187,190,188,199,74,23,8,1008,1483,1481,3414,3842,4553,4215,1162,176,23,20358
LGA33800,24,15,27,32,40,37,13,4,0,192,19,19,21,22,40,41,34,12,9,216,273,334,716,719,1014,1148,409,102,22,4740
LGA33830,0,0,0,0,0,0,0,0,0,4,4,0,4,0,3,0,0,0,0,21,3,31,78,49,54,28,5,0,0,256
LGA33960,170,530,1222,913,746,486,114,15,5,4191,291,655,1436,1267,921,629,120,31,8,5350,6423,10479,25514,24756,20276,13334,2541,235,19,103584
LGA33980,31,45,124,79,57,56,17,0,0,402,25,29,75,85,76,54,13,0,5,363,625,1062,3236,3402,3155,2247,468,57,11,14271
LGA34420,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,0,0,18,6,15,46,30,48,27,9,0,0,189
LGA34530,63,55,144,158,166,115,48,5,0,750,65,55,121,112,119,112,47,12,0,640,1347,1253,2907,3470,3826,3434,961,122,13,17325
LGA34570,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,10,20,52,34,39,23,0,3,0,172
LGA34580,51,76,154,126,114,114,29,3,0,678,46,74,204,174,184,126,36,10,0,855,1252,1521,3680,3553,3775,3090,736,133,9,17749
LGA34590,345,755,1712,1483,1313,926,264,24,0,6815,435,985,2279,2007,1668,1128,291,40,3,8829,9155,14965,34672,34343,30560,21404,5027,385,19,150539
LGA34710,11,8,12,19,11,19,8,0,0,92,11,11,13,15,20,23,13,0,0,100,122,173,383,387,384,440,176,16,5,2076
LGA34770,241,352,740,588,523,377,99,19,0,2935,190,306,547,523,534,383,128,34,6,2643,4036,5106,11521,12315,12345,9867,2537,289,23,58041
LGA34800,0,0,3,5,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,14,33,64,179,183,124,143,47,8,0,791
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,11,13,29,19,15,24,12,0,0,119
LGA34860,30,42,55,41,47,24,16,4,0,260,31,34,89,79,71,50,25,20,3,400,384,621,1342,1384,1424,1249,442,144,14,6995
LGA34880,31,37,73,62,69,51,23,0,0,348,39,37,78,70,89,73,42,12,3,447,526,604,1610,1665,2115,1890,617,117,9,9151
LGA35010,510,994,2129,1887,1959,1265,373,37,0,9145,534,973,2208,2249,2059,1381,352,70,21,9853,14602,19650,43621,48585,48908,33295,7720,731,56,217162
LGA35250,0,0,0,0,0,3,0,0,0,9,0,0,6,0,0,0,0,0,0,8,6,14,56,61,47,52,5,3,0,237
LGA35300,24,52,106,70,66,51,21,4,0,400,38,35,88,73,61,37,18,0,0,353,629,997,2574,2120,1816,1445,341,49,6,9968
LGA35600,0,5,15,14,7,14,3,0,0,66,16,7,25,20,19,28,10,3,0,116,84,150,404,319,394,465,153,20,0,1985
LGA35670,0,0,0,0,0,0,0,0,0,3,4,4,0,9,0,5,0,0,0,17,9,11,20,37,29,12,3,4,0,127
LGA35740,57,84,177,182,272,201,48,11,0,1029,58,85,187,262,279,200,93,25,8,1187,1706,1477,3166,4814,6316,5239,1847,296,11,24868
LGA35760,10,14,18,20,25,22,7,0,0,120,17,21,44,41,43,44,30,18,3,263,227,308,701,708,905,946,423,131,17,4372
LGA35780,0,0,8,7,3,7,0,0,0,27,9,5,16,9,9,8,0,0,0,47,44,115,238,205,203,166,39,5,0,1016
LGA35790,0,0,0,0,0,0,0,0,0,5,0,0,6,3,3,3,3,0,0,18,14,28,89,81,72,65,19,0,0,362
LGA35800,0,3,0,3,3,6,3,0,0,19,0,5,7,4,5,0,0,0,0,19,16,47,144,104,141,166,75,15,0,719
LGA36070,0,0,0,0,3,0,0,0,0,8,0,0,0,3,3,0,0,0,0,7,4,27,66,58,45,25,4,0,0,233
LGA36150,0,0,3,0,0,0,0,0,0,9,0,0,3,4,3,4,0,0,0,19,12,35,86,69,90,112,31,9,0,438
LGA36250,206,313,666,707,733,548,168,20,0,3377,175,306,606,762,782,554,168,24,9,3400,5335,6369,12968,16150,17662,13990,3476,341,21,76324
LGA36300,0,0,4,0,0,0,0,0,0,10,0,3,0,3,4,0,0,3,0,14,13,41,88,76,67,91,30,12,0,418
LGA36370,113,203,415,332,241,228,70,6,0,1611,115,141,330,243,230,169,59,18,9,1302,2683,3657,8150,7672,7040,5882,1445,145,20,36706
LGA36510,52,66,122,155,164,175,41,5,0,776,72,76,158,192,232,206,82,25,18,1051,1297,1237,2778,3646,4523,3884,1283,245,32,18924
LGA36580,21,35,70,55,78,59,21,5,0,340,42,53,95,110,116,84,38,10,0,550,630,689,1722,2087,2366,1993,609,100,8,10195
LGA36630,38,46,85,55,74,87,30,0,0,423,44,37,105,111,133,92,49,18,3,601,884,1006,2164,2144,2567,2392,842,185,27,12203
LGA36660,57,57,103,117,93,100,42,3,0,571,55,51,101,115,135,121,89,27,4,701,1126,1108,2478,2615,3180,3109,1164,221,24,15018
LGA36720,369,634,1436,1369,1326,928,258,24,0,6352,462,647,1443,1454,1446,1031,314,98,21,6912,11234,13328,29700,33655,36029,27482,7369,833,62,159690
LGA36820,35,48,75,83,73,83,31,7,0,429,35,20,93,72,112,104,60,27,0,527,756,632,1674,1905,2435,2408,931,164,8,10906
LGA36910,246,369,767,644,578,458,162,23,4,3250,217,320,613,599,553,412,162,65,21,2956,5651,7755,16601,15822,15885,12793,3736,657,77,78977
LGA36950,0,3,6,11,4,8,4,0,0,36,3,7,16,8,8,10,0,0,0,56,70,151,406,386,345,286,75,4,0,1719
LGA36960,0,0,3,0,0,0,0,0,0,3,0,4,6,6,5,0,4,0,0,29,16,77,261,247,228,155,43,0,0,1027
LGA37010,270,485,933,729,633,468,151,32,0,3710,266,403,782,657,626,487,156,27,0,3399,6578,10428,20718,18991,18531,14246,3646,359,18,93514
LGA37300,4,8,9,12,8,14,0,0,0,61,7,14,22,10,12,17,0,0,0,76,126,223,658,520,528,317,63,0,0,2440
LGA37310,69,60,121,115,100,75,27,8,0,571,48,85,179,149,135,114,54,25,3,797,1036,1322,3249,3126,3350,2684,981,249,23,16030
LGA37340,43,61,150,165,143,102,37,0,0,705,60,79,153,163,178,144,66,13,3,859,1116,1637,4282,3881,3873,3412,1065,142,13,19415
LGA37400,0,0,3,6,0,0,0,0,0,15,0,0,8,0,5,13,3,0,0,27,21,43,112,101,164,176,68,9,0,692
LGA37550,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,10,19,63,28,42,21,10,0,0,200
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,8,14,12,12,0,0,0,42
LGA37600,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,13,7,37,112,85,86,63,11,0,0,394
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,19,27,27,17,6,0,0,99
LGA40070,18,60,96,66,66,52,21,3,0,382,9,76,136,66,51,38,25,11,0,417,521,2065,4394,2494,1761,1533,684,128,7,13592
LGA40120,36,64,131,134,164,143,47,7,0,725,42,49,76,107,134,108,46,20,4,589,1262,1539,2835,4083,5146,4160,1379,208,13,20627
LGA40150,22,29,48,50,41,25,12,0,0,224,6,19,51,40,45,42,14,5,0,219,268,380,935,906,1090,892,210,37,8,4723
LGA40220,25,48,89,84,112,94,42,0,0,493,24,19,42,70,100,71,47,24,0,400,672,782,1626,2034,2614,2492,908,155,7,11301
LGA40250,5,3,13,3,3,4,5,0,0,36,0,5,10,0,6,0,0,0,0,21,20,55,167,100,122,110,29,9,0,603
LGA40310,19,31,79,65,76,70,24,8,0,368,33,32,52,60,90,73,22,15,6,386,790,866,1871,2503,2819,2418,704,119,4,12081
LGA40430,0,0,9,5,4,9,0,0,0,28,0,0,0,4,4,5,3,0,0,26,42,54,127,138,210,243,80,8,0,905
LGA40520,10,10,37,37,26,27,14,0,0,171,16,23,37,24,37,39,12,5,0,184,251,411,851,832,953,947,299,49,5,4614
LGA40700,29,68,98,120,142,109,48,8,0,626,29,47,84,115,132,80,50,14,0,559,1207,1928,3372,4683,5122,3945,1566,293,27,22147
LGA40910,22,98,246,203,267,220,49,10,0,1118,28,89,193,187,150,102,29,10,3,793,1351,2662,6020,6106,5637,4162,1077,134,9,27156
LGA41010,4,14,17,19,15,9,9,0,0,85,4,3,20,13,9,16,3,0,0,72,79,126,342,289,368,314,123,20,0,1662
LGA41060,81,265,638,513,493,414,129,25,0,2562,71,202,490,417,424,318,108,41,9,2073,2886,5905,14885,12734,12140,9534,2321,288,27,60711
LGA41140,6,14,32,32,32,35,13,0,0,156,11,8,20,22,28,26,13,11,0,146,232,279,675,792,947,960,368,89,8,4349
LGA41190,4,0,11,5,3,4,6,0,0,29,5,0,10,0,7,3,0,7,0,31,39,53,145,144,174,192,67,14,0,835
LGA41330,0,0,0,0,4,0,0,0,0,11,3,4,7,0,5,16,6,6,0,52,19,34,150,122,113,159,62,17,0,678
LGA41560,12,27,33,50,56,54,13,3,0,243,12,13,27,30,35,39,19,12,0,197,333,400,884,938,1170,1193,363,46,8,5337
LGA41750,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,4,0,0,0,12,18,29,82,98,82,133,39,9,0,481
LGA41830,0,0,3,6,4,5,3,0,0,15,0,3,5,5,0,6,7,0,0,29,36,45,124,113,152,195,94,12,0,765
LGA41960,0,0,3,3,3,5,0,0,0,18,0,4,6,0,4,3,3,0,0,19,28,35,109,102,123,131,45,6,0,571
LGA42030,17,48,120,95,73,80,28,4,0,461,10,33,96,67,62,59,21,3,0,351,653,1086,2354,2223,2287,2050,449,42,4,11151
LGA42110,4,7,9,9,15,8,0,0,0,51,4,10,4,7,12,15,11,0,0,62,82,90,243,267,364,418,161,28,8,1672
LGA42250,12,18,28,28,38,33,5,0,0,158,12,14,18,12,46,40,24,8,0,166,319,280,531,753,962,829,303,70,11,4056
LGA42600,38,59,139,91,135,138,56,4,0,666,20,36,86,112,106,80,37,20,4,500,1070,1535,3344,3694,3950,3512,1174,157,15,18455
LGA42750,5,4,12,13,16,19,3,0,0,75,11,6,9,10,15,22,9,0,0,81,119,130,401,429,491,549,228,52,0,2391
LGA43080,3,0,3,3,6,0,0,0,0,20,0,0,0,4,0,0,0,0,0,8,19,28,61,57,95,92,49,7,3,411
LGA43220,0,0,0,5,9,5,0,0,0,20,0,0,4,3,0,3,4,0,0,17,22,32,90,112,98,121,40,10,0,524
LGA43360,0,0,6,3,7,0,0,3,0,20,3,3,3,3,4,3,3,4,4,31,51,86,162,186,205,202,124,21,4,1038
LGA43650,17,39,61,52,70,41,12,5,0,302,8,36,41,56,57,54,17,9,0,285,600,726,1243,1568,1883,1521,410,61,6,8019
LGA43710,13,11,12,26,34,17,6,0,0,121,7,4,12,11,20,15,15,4,0,95,180,136,396,589,651,564,201,43,0,2760
LGA43790,18,17,39,40,40,42,12,0,0,200,16,16,31,39,32,35,27,9,3,198,330,356,912,911,1147,1065,378,66,9,5173
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,7,13,5,0,0,36
LGA44060,78,186,431,398,365,280,81,14,0,1827,42,180,314,305,233,184,42,19,6,1312,2302,4674,11575,10939,8922,7001,1752,145,12,47313
LGA44210,6,5,27,17,36,25,12,0,0,127,5,5,18,27,38,33,12,4,0,151,190,198,467,514,815,890,305,41,3,3422
LGA44340,56,106,217,217,295,223,75,17,3,1213,28,63,135,200,200,127,43,22,6,831,2011,3015,5756,7427,8021,5768,1601,284,23,33904
LGA44550,38,94,207,187,164,126,49,5,0,862,39,63,93,121,122,96,41,14,0,586,1206,1759,3955,4136,4367,3175,980,128,17,19724
LGA44620,26,48,126,113,108,78,27,5,0,526,16,42,118,71,82,76,26,12,0,446,960,1091,2621,2377,2553,2170,554,54,5,12384
LGA44830,4,5,8,7,9,17,0,0,0,50,3,3,4,9,6,0,6,6,0,42,66,49,167,187,266,369,149,28,0,1285
LGA45040,14,49,75,64,66,57,19,4,0,349,24,24,65,57,72,53,18,7,0,323,567,788,1741,1538,1780,1700,446,53,4,8620
LGA45090,8,11,19,15,37,18,10,0,0,127,16,18,32,47,24,26,17,8,0,185,218,334,813,899,884,812,300,79,3,4334
LGA45120,6,0,11,16,12,19,10,6,0,75,0,7,10,7,7,16,11,5,3,60,99,140,288,367,401,468,202,46,4,2028
LGA45290,25,68,169,122,133,129,37,5,0,680,11,49,129,109,92,73,32,14,0,514,864,1846,4673,4032,3703,3008,974,129,8,19232
LGA45340,153,351,823,838,786,521,157,19,0,3645,128,222,515,516,590,391,121,33,8,2526,4881,7144,16479,17665,17497,13850,3232,303,26,81089
LGA45400,0,0,0,0,5,0,0,0,0,10,0,0,0,5,0,7,0,0,0,17,24,14,66,67,69,106,54,11,0,412
LGA45540,0,0,0,4,3,0,0,0,0,11,0,0,5,0,4,0,4,0,0,15,27,34,50,85,95,132,56,7,0,486
LGA45680,84,200,484,327,255,201,50,8,0,1605,100,212,531,370,281,268,53,18,9,1824,2179,4343,10371,8365,7167,5651,1041,95,11,39223
LGA45890,63,278,769,590,511,325,106,20,0,2666,68,268,647,581,452,284,77,14,4,2391,2540,6043,16954,15041,11620,8382,1867,161,10,62614
LGA46090,24,25,63,44,39,39,9,0,0,243,10,18,39,40,22,40,11,6,0,190,361,449,1345,1022,1143,1110,254,23,0,5716
LGA46300,19,41,63,45,70,36,18,0,0,287,7,20,41,44,38,38,5,8,0,208,447,568,1360,1279,1348,1153,299,48,6,6508
LGA46450,11,29,61,60,58,56,23,0,0,297,11,16,30,36,47,42,13,9,0,193,498,655,1326,1210,1473,1337,301,31,0,6832
LGA46510,5,54,92,89,79,76,34,0,0,419,12,30,90,86,39,46,12,0,6,310,571,1228,2903,2726,2270,1880,518,42,9,12159
LGA46670,0,17,40,29,35,23,7,0,0,151,13,27,55,29,42,34,16,0,0,216,294,392,950,821,934,872,260,42,3,4580
LGA46860,3,3,8,6,14,4,0,0,0,28,4,4,0,4,4,8,0,6,0,26,33,46,122,128,168,181,79,13,0,775
LGA46970,0,10,22,18,11,0,0,0,0,58,7,0,26,24,20,17,0,0,0,93,103,302,1220,1029,779,539,56,4,0,4029
LGA47140,93,286,764,623,504,382,98,5,0,2754,103,327,712,654,531,383,97,19,4,2823,3178,6561,15189,14838,12300,9215,1849,143,13,63281
LGA47290,0,6,4,0,6,9,0,0,0,23,0,4,9,9,0,5,4,0,0,30,53,66,200,185,187,206,87,9,6,993
LGA47490,0,0,13,5,5,8,6,0,0,45,0,5,8,3,5,12,0,3,0,32,37,44,157,192,214,198,97,18,0,969
LGA47630,19,22,24,27,30,21,8,0,0,156,8,6,12,29,19,22,14,0,0,110,202,332,696,683,769,665,293,53,3,3700
LGA47700,91,246,440,404,485,376,119,12,0,2168,60,123,290,354,311,232,78,19,5,1464,3002,4539,9845,11192,10866,8391,2038,166,7,50055
LGA47800,0,12,12,11,10,13,3,0,0,68,5,4,18,14,14,20,7,9,0,85,94,166,411,392,441,562,210,65,9,2351
LGA47910,0,4,4,13,9,4,3,0,0,30,4,0,0,3,10,6,3,5,0,43,71,62,198,218,264,273,109,21,0,1219
LGA47980,24,55,128,115,133,106,47,9,0,623,12,51,103,98,85,85,31,12,4,486,941,1843,3990,4254,4224,3152,1110,146,15,19679
LGA48050,7,18,52,36,53,60,10,3,0,240,13,6,17,20,36,26,21,9,6,149,353,357,752,951,1127,1272,449,87,10,5358
LGA48130,4,10,15,11,21,9,8,0,0,81,8,10,25,15,27,24,14,4,0,122,161,221,462,540,612,567,233,41,3,2850
LGA48260,3,13,21,15,25,17,6,0,0,94,9,11,19,19,17,10,8,4,0,86,202,359,757,791,846,672,268,54,6,3948
LGA48340,10,25,32,31,35,28,14,0,0,172,10,14,22,29,53,34,19,10,3,192,331,329,752,924,1145,1077,426,87,10,5089
LGA48410,48,149,322,244,254,171,57,9,0,1258,39,122,283,191,173,94,36,16,6,960,1461,3614,9159,7168,5829,4260,1079,132,12,32722
LGA48540,13,29,57,46,62,52,17,0,0,280,21,23,45,55,60,60,13,7,0,291,516,798,1976,1715,2099,1699,311,32,0,9147
LGA48640,6,0,0,3,0,3,3,0,0,15,6,0,8,0,3,4,0,0,0,23,32,28,101,130,123,117,59,4,0,585
LGA48750,0,11,12,8,18,20,7,0,0,72,6,4,12,18,16,23,11,7,0,92,131,132,283,368,500,617,225,38,9,2297
LGA48830,5,13,29,22,22,43,14,6,0,148,4,10,8,23,33,38,16,7,3,139,157,258,639,738,849,1098,409,83,8,4247
LGA49399,3,0,8,6,9,19,5,0,0,57,6,6,21,19,18,25,6,0,0,105,81,230,648,562,712,697,178,17,3,3120
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22
LGA50080,54,81,145,140,117,129,56,5,0,724,58,51,100,107,119,98,43,21,6,598,1306,1263,2927,3258,3841,3500,1108,171,18,17393
LGA50210,85,192,469,444,330,204,58,6,0,1791,119,220,649,617,449,286,76,17,7,2433,2304,3719,10132,11755,8105,5815,1423,151,9,43411
LGA50250,6,17,39,37,18,17,4,0,0,143,18,20,56,56,60,34,10,0,0,257,136,471,2002,2044,1822,1349,246,20,0,8091
LGA50280,13,20,55,63,55,44,10,0,0,262,18,13,54,86,80,66,24,5,0,347,453,338,1364,2035,1873,1479,508,77,12,8147
LGA50350,11,38,80,64,55,36,16,3,0,298,13,22,72,94,80,57,17,0,0,353,355,634,1704,1872,1669,1282,333,37,0,7887
LGA50420,45,145,367,315,277,215,83,8,0,1455,53,157,482,378,282,223,69,20,0,1667,1449,3195,9264,8448,6739,5064,1506,158,12,35829
LGA50490,28,101,236,205,134,100,45,3,0,847,27,111,340,246,183,122,30,0,7,1069,809,2187,6533,4928,3672,2808,762,81,9,21783
LGA50560,0,0,0,6,3,4,0,0,0,19,0,0,3,3,6,8,3,0,0,36,22,17,75,101,135,152,82,11,0,603
LGA50630,0,0,11,5,5,4,0,0,0,32,0,3,5,5,5,0,4,3,0,29,15,54,174,234,264,240,57,14,0,1067
LGA50770,0,5,0,4,5,4,0,0,0,17,0,4,3,4,4,5,6,3,0,29,30,59,90,156,162,180,79,41,0,786
