LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA17640,9,18,35,919,975,1896,0,0,0,21,28,47,0,0,0,1186,1198,2388,0,0,0,19,11,33,6,5,13,0,4,3,11,8,14,0,0,0,7,5,12,17,21,37,91,66,151,10,13,16,7,18,19,197,224,423,40,48,92,6,7,13,2532,2639,5165,11,11,19,8,6,10,3,5,8,0,0,0,5,5,6,5,16,23,7,26,33,1304,1133,2437,10,11,15,3,15,19,1314,1157,2473,447,385,827,0,4,3,4345,4234,8574
LGA17650,15,30,48,624,711,1334,0,0,0,21,22,43,0,0,0,489,599,1090,0,3,4,3,4,4,31,40,72,0,0,3,4,11,18,0,0,0,3,3,8,12,10,24,100,109,209,15,12,25,0,5,11,73,105,179,47,71,119,0,0,4,1436,1717,3148,0,3,3,11,9,15,0,6,6,0,0,5,0,0,0,10,21,35,14,21,38,1118,1034,2148,15,9,23,6,10,16,1136,1045,2184,249,251,500,4,3,5,2865,3085,5947
LGA17750,207,245,458,4689,5689,10380,0,0,0,401,413,814,94,93,194,8758,9812,18568,37,39,74,111,100,211,68,89,161,37,35,78,255,330,586,102,113,222,206,183,396,290,355,642,1133,1371,2499,46,53,100,82,84,165,981,1321,2299,666,760,1431,12,13,26,17972,20850,38829,424,342,768,360,309,669,6,10,18,3,10,14,125,100,217,469,547,1018,598,656,1250,11368,10424,21789,91,63,159,27,44,81,11488,10535,22025,2447,2201,4649,99,35,127,33607,35177,68783
LGA17850,5,0,9,434,481,917,0,0,0,0,8,11,0,0,0,258,263,523,0,0,5,0,0,4,16,20,38,0,0,0,8,3,8,0,0,0,0,0,5,6,6,10,127,126,252,3,0,4,5,0,4,17,16,34,17,23,39,0,0,0,895,962,1856,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,0,6,4,5,3,11,432,370,803,0,3,3,0,0,0,432,379,807,166,150,318,0,0,0,1503,1500,2999
LGA17900,9,16,21,479,481,956,0,0,0,14,17,34,0,0,0,496,466,968,3,3,9,31,25,52,10,11,17,0,5,12,3,9,13,0,3,0,14,7,16,0,3,3,87,92,180,4,4,8,4,6,13,25,42,73,34,38,66,4,0,4,1207,1206,2418,10,10,19,5,5,12,0,0,0,0,0,3,0,6,3,0,7,12,12,11,19,882,767,1649,5,3,14,4,0,9,893,771,1664,753,746,1494,10,5,16,2898,2774,5672
LGA17950,0,3,5,323,361,685,0,0,0,6,5,13,0,0,0,378,400,780,6,0,3,0,0,0,0,0,0,0,0,0,6,4,7,5,0,0,4,0,4,4,6,15,75,90,163,0,0,4,0,0,0,37,29,60,7,11,17,0,0,0,849,912,1758,0,0,0,12,6,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,282,207,491,0,0,3,0,0,0,282,212,497,179,161,339,10,4,11,1333,1294,2625
LGA18020,13,15,28,1154,1212,2362,0,0,0,22,22,44,0,0,0,910,1002,1919,0,5,4,12,10,23,7,14,23,0,9,14,10,7,17,0,0,4,5,7,14,16,26,39,201,218,416,7,7,10,18,27,46,110,130,241,80,103,181,4,0,7,2568,2793,5359,11,14,19,8,5,14,3,0,4,3,0,9,3,3,3,11,13,21,12,15,33,1349,1129,2483,6,4,11,11,6,12,1362,1140,2502,724,731,1449,9,4,13,4708,4722,9423
LGA18050,306,518,823,2106,2336,4445,4,4,3,58,91,144,0,0,0,6035,6610,12650,4,8,8,767,968,1742,32,34,63,14,7,26,49,69,116,24,32,55,82,78,166,76,102,183,233,255,491,6,4,7,9,14,29,189,222,417,282,378,658,5,19,22,9977,11234,21215,144,161,304,180,145,326,5260,5677,10945,3,0,5,15,21,35,67,80,145,88,98,187,13920,13878,27792,141,119,263,53,147,200,14116,14140,28256,2471,2611,5080,169,153,323,32711,34741,67453
LGA18100,0,4,3,399,414,809,0,0,0,10,11,21,0,0,0,411,436,854,0,0,0,3,3,4,4,5,7,0,0,3,11,3,7,0,0,0,3,0,3,22,17,37,114,112,222,10,10,24,5,4,10,114,99,212,21,37,54,0,0,0,1125,1145,2272,4,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,522,433,960,0,0,0,4,0,5,527,433,968,141,132,272,0,0,0,1808,1719,3534
LGA18200,23,28,58,448,468,916,0,0,0,12,9,22,0,0,0,746,680,1419,10,12,21,13,16,25,14,12,19,0,6,3,27,31,58,3,0,0,7,10,12,31,31,64,74,87,163,5,7,13,18,20,40,164,201,370,78,83,161,4,0,9,1654,1672,3328,10,4,12,12,14,29,0,0,0,3,5,3,6,4,13,0,10,9,14,13,24,1692,1421,3115,6,4,10,8,4,18,1706,1431,3144,610,473,1084,46,16,55,4072,3656,7726
LGA18250,1348,2044,3387,3280,3779,7066,29,30,60,320,399,716,0,0,4,7116,8143,15260,14,26,41,536,554,1091,24,27,50,21,10,30,65,82,145,282,320,605,171,172,349,176,250,425,672,799,1472,11,9,22,15,24,42,474,708,1181,647,862,1512,11,20,28,13872,16222,30094,1379,1376,2751,502,479,979,348,376,726,0,0,0,65,68,138,156,193,349,226,265,485,16383,16050,32432,175,120,296,47,72,118,16598,16246,32845,2211,2417,4621,182,187,372,36663,39607,76269
LGA18350,209,299,511,4932,5929,10862,0,3,6,255,272,525,90,85,176,5083,5789,10873,22,26,46,223,224,449,122,150,272,21,31,56,62,66,133,7,13,21,66,61,127,137,201,335,531,709,1242,34,31,60,29,37,68,639,876,1515,603,712,1318,30,47,81,12897,15261,28155,366,320,690,141,100,242,84,85,170,4,5,4,63,63,120,50,125,173,110,189,298,9887,9509,19398,75,71,152,31,69,101,9999,9651,19650,1672,1694,3372,38,40,78,25516,27647,53166
LGA18400,135,190,327,5316,5989,11303,8,8,15,313,314,635,116,110,224,7647,7839,15483,13,19,29,370,338,705,65,92,154,32,28,61,64,78,136,21,18,40,55,69,130,183,212,392,369,387,755,19,34,52,37,42,81,512,554,1068,456,474,932,35,36,70,15630,16640,32273,41,47,84,206,202,408,14,14,27,7,6,12,16,26,41,46,69,113,71,95,167,9132,8030,17160,65,62,128,26,52,72,9222,8140,17360,1518,1454,2972,34,19,55,26865,26800,53664
LGA18450,965,1494,2459,12131,14874,27003,7,5,13,817,923,1740,148,153,306,22913,25742,48655,77,110,188,4627,4655,9290,315,418,736,111,144,251,277,347,620,183,173,358,345,400,744,790,945,1734,1653,1961,3617,188,262,447,111,153,266,2162,2977,5142,2906,3176,6076,62,64,126,49832,57477,107300,1133,834,1965,2899,2694,5596,80,80,159,16,11,31,148,138,290,266,397,661,432,547,982,42776,38663,81438,420,355,779,170,272,444,43369,39293,82661,6268,6082,12345,102,113,210,105065,108612,213680
LGA18500,266,440,709,2731,3512,6242,6,6,7,65,86,149,0,0,0,4166,5414,9585,0,3,8,821,1009,1831,15,22,34,0,5,10,51,59,109,14,21,32,50,52,98,47,54,98,337,325,666,4,6,5,14,22,33,197,253,451,233,319,556,6,8,16,8756,11177,19928,155,162,316,125,140,262,3547,3898,7443,0,0,0,16,13,31,49,80,127,65,95,161,9407,9681,19087,130,99,223,52,90,145,9586,9867,19451,1656,1870,3526,93,111,206,24236,27761,51999
LGA18710,26,65,89,1284,1530,2816,0,0,0,85,94,179,0,0,0,1977,2087,4063,0,0,0,37,52,86,18,20,38,3,5,5,39,44,85,6,3,9,22,33,56,53,51,107,140,143,288,23,16,37,18,18,35,248,299,542,157,181,336,7,8,14,4118,4579,8695,28,27,56,33,26,64,5,11,18,3,0,3,7,7,18,27,36,60,39,40,80,3576,3380,6957,31,19,51,9,16,23,3616,3416,7030,733,555,1290,7,12,19,8601,8730,17332
LGA19399,0,0,4,94,97,193,0,0,0,7,3,8,0,0,0,88,97,188,0,0,0,0,0,0,0,0,0,5,4,3,9,8,20,0,0,0,0,0,0,0,0,0,8,7,14,0,0,0,13,24,37,22,28,49,7,16,22,0,0,0,255,287,543,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,306,230,539,4,0,4,0,0,4,305,235,542,72,59,127,4,4,8,645,588,1236
LGA19799,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,0,0,0,0,0,0,11,3,18,0,0,0,0,3,3,31,4,38
LGA20110,35,50,87,572,661,1232,0,0,0,51,43,92,0,0,0,1272,1437,2710,31,28,59,31,31,62,27,38,67,5,4,12,24,31,56,0,0,0,11,18,33,31,41,74,111,109,221,3,8,11,4,14,17,223,331,558,131,151,278,10,6,16,2530,2959,5487,32,26,56,17,8,24,12,6,15,0,0,0,7,7,15,16,35,49,28,38,69,3407,3130,6541,28,17,36,10,18,29,3442,3167,6606,615,597,1207,8,19,25,6719,6863,13583
LGA20260,24,38,61,455,551,1008,0,0,0,30,28,66,0,0,0,852,996,1844,29,34,66,19,20,36,20,40,64,8,0,8,41,45,89,0,0,0,7,3,12,16,18,32,131,146,275,16,25,41,11,12,27,368,420,793,74,76,152,4,3,3,2087,2430,4513,57,32,89,40,36,77,3,9,11,0,0,0,14,18,38,10,21,28,27,35,62,2766,2530,5297,13,6,18,10,10,18,2784,2550,5336,1240,454,1694,8,3,13,6268,5586,11855
LGA20570,397,483,878,3848,5039,8886,0,0,0,404,451,862,124,121,242,10946,13146,24096,332,461,794,233,238,471,125,162,291,43,72,111,210,258,469,44,36,80,126,153,279,361,407,763,936,1185,2125,92,140,233,74,103,181,2156,3112,5267,921,1104,2027,18,29,47,20987,26222,47210,725,585,1316,419,346,766,28,30,60,10,5,21,335,308,644,161,279,437,506,597,1101,27362,26597,53956,182,161,341,73,141,213,27618,26895,54511,3712,3565,7273,58,47,102,54444,58766,113214
LGA20660,971,1422,2397,3545,4738,8284,11,11,12,585,703,1283,45,49,93,14428,16789,31214,55,69,125,2775,2891,5666,51,74,127,42,55,100,170,223,389,156,137,293,153,190,345,329,378,709,747,852,1593,70,85,153,20,41,63,1111,1674,2786,1215,1487,2697,27,40,61,25511,30492,56005,1253,1061,2312,1576,1485,3062,89,104,188,6,5,6,162,151,310,194,292,489,365,442,809,27835,26275,54107,261,209,471,106,147,256,28199,26632,54830,3248,3004,6253,80,98,182,61292,64750,126037
LGA20740,140,239,381,2002,2448,4453,0,0,0,322,381,698,0,5,5,3141,3564,6709,12,17,29,176,168,345,47,63,113,19,21,39,42,61,103,11,7,15,43,57,98,87,102,184,353,387,746,27,51,82,20,22,45,565,792,1357,337,400,737,15,24,40,7229,8572,15799,95,66,167,41,32,71,15,19,32,7,0,5,45,33,79,43,84,127,93,116,209,10187,9893,20080,75,60,141,38,84,120,10303,10039,20340,1685,1680,3370,16,20,36,19623,20783,40410
LGA20830,178,279,455,2653,3314,5972,0,0,0,356,390,745,65,77,141,4452,4999,9453,46,69,114,124,128,255,122,143,263,62,51,105,57,76,135,6,9,12,251,264,513,186,218,408,708,826,1537,55,69,121,61,90,152,841,1138,1980,715,876,1594,20,19,41,10782,12753,23531,119,112,233,101,92,196,15,18,30,0,3,0,65,68,131,71,102,169,132,172,304,14011,13515,27522,85,86,172,33,60,87,14128,13663,27788,2058,2038,4097,22,34,54,27541,29153,56689
LGA20910,455,762,1216,5133,6594,11726,0,0,0,221,292,510,4,0,5,9660,11597,21257,32,40,70,1981,2140,4118,46,72,121,13,26,43,152,217,367,89,81,173,105,129,233,127,163,289,595,766,1366,9,19,29,18,24,39,1118,1501,2627,566,748,1316,26,34,64,19917,24428,44344,405,384,785,316,364,686,1415,1496,2910,5,0,0,68,52,121,96,121,222,163,180,343,22316,21739,44052,170,127,293,58,124,185,22541,21987,44531,2322,2489,4810,105,101,204,47638,52184,99827
LGA21010,28,40,72,746,954,1701,0,0,0,81,83,163,0,0,0,1225,1430,2655,4,3,3,29,22,52,18,19,37,6,18,24,36,33,71,3,7,8,25,23,44,61,64,124,220,265,482,18,49,60,6,14,19,339,428,765,131,161,287,3,3,9,2931,3561,6496,55,30,81,24,28,54,7,5,12,0,0,4,17,17,34,9,24,31,29,39,66,3160,2962,6126,15,11,34,10,13,23,3190,2990,6177,722,728,1452,5,4,5,6995,7427,14420
LGA21110,2296,3247,5554,5801,7211,13017,8,4,11,1084,1351,2438,0,0,8,15523,17619,33146,59,108,171,3520,3953,7471,56,68,127,47,50,98,214,284,494,158,177,329,225,301,527,423,536,955,1004,1139,2146,62,79,139,38,53,93,1779,2597,4380,1332,1770,3102,39,39,79,31388,37339,68728,2215,2073,4289,987,898,1881,725,764,1492,0,0,0,205,191,394,277,312,590,485,502,984,37040,37003,74045,340,285,626,88,188,278,37470,37476,74945,3795,3823,7616,309,251,560,79674,86373,166047
LGA21180,9610,11928,21538,2145,2451,4596,28,38,71,1640,1462,3104,0,0,0,27725,29641,57365,53,57,114,5783,5997,11779,290,372,658,287,282,572,135,167,298,774,844,1614,495,540,1034,864,990,1857,529,606,1131,62,72,129,160,160,320,660,900,1560,3626,3869,7492,47,48,95,45302,48487,93787,3585,2469,6050,7106,5918,13018,37,34,72,0,0,4,1971,1594,3562,205,242,449,2177,1829,4013,21658,19100,40756,161,118,283,79,120,201,21899,19340,41242,7591,6867,14456,176,205,385,97485,97076,194566
LGA21270,13,24,37,253,306,564,0,0,0,35,42,82,0,0,0,754,700,1456,0,4,5,5,9,16,0,0,0,9,5,7,8,12,30,0,0,0,5,3,0,8,4,13,87,86,171,0,5,7,0,3,8,382,426,806,59,64,124,4,5,12,1619,1675,3293,14,9,19,4,7,12,0,0,0,0,0,0,0,0,0,7,17,23,7,17,23,1211,1015,2229,7,7,17,3,8,10,1230,1028,2258,330,264,598,0,8,10,3221,3023,6246
LGA21370,106,144,247,2197,2531,4723,0,0,0,171,197,366,0,0,0,3798,4257,8050,19,30,43,77,59,132,23,40,65,22,14,35,48,56,108,9,4,15,39,48,91,196,202,398,573,593,1165,28,81,107,14,14,27,1065,1398,2463,360,377,741,9,9,20,8649,9910,18564,71,62,135,81,59,137,9,9,17,0,0,4,20,20,37,16,40,60,40,65,101,8288,7715,16003,41,32,72,23,40,62,8345,7790,16143,1675,1473,3150,24,20,38,19001,19533,38533
LGA21450,1302,1436,2741,4030,5010,9047,0,0,0,1025,1159,2184,43,47,84,9875,10935,20814,92,99,185,591,597,1191,118,128,243,167,182,352,113,156,270,166,174,340,160,211,378,697,797,1489,742,906,1651,51,77,126,212,241,452,1001,1395,2391,1694,1935,3631,44,45,91,20826,24098,44927,1662,1561,3221,1625,1514,3137,51,44,97,4,0,12,1664,1437,3094,157,201,358,1827,1639,3467,26359,25167,51521,177,134,316,74,128,195,26605,25430,52033,3849,3758,7605,63,92,159,57807,59579,117385
LGA21610,8720,9524,18245,7795,9755,17551,17,16,31,2147,2538,4681,102,88,186,34469,37438,71910,188,261,454,4395,4444,8840,401,589,989,842,878,1719,263,313,573,1075,1124,2196,840,892,1734,3121,3445,6560,2001,2352,4356,139,183,323,597,684,1281,2120,2885,5010,6135,6820,12956,119,141,262,66753,74847,141601,11711,11082,22789,19901,18543,38439,127,151,281,14,12,23,7916,7144,15053,688,812,1502,8613,7967,16580,53689,49598,103286,353,258,615,177,262,442,54224,50120,104342,11058,10397,21455,302,408,709,181415,183040,364455
LGA21670,33,38,72,948,1083,2031,0,0,0,41,42,80,0,0,0,948,1082,2027,27,38,60,30,32,61,17,36,53,3,7,9,22,31,52,0,0,0,10,14,24,36,36,67,163,169,328,33,44,72,11,15,23,351,440,791,101,131,231,3,0,3,2739,3186,5927,26,17,44,11,3,14,3,3,4,0,0,0,8,7,16,22,37,62,34,48,77,3084,2880,5968,14,11,22,11,20,32,3110,2910,6019,620,586,1207,3,4,6,6579,6799,13382
LGA21750,77,86,168,820,989,1808,0,0,0,88,97,187,0,0,0,2436,2502,4935,0,6,12,58,45,108,24,28,50,3,5,10,29,35,65,8,0,9,18,16,33,70,97,171,264,312,570,9,30,44,8,4,12,525,686,1210,183,217,394,9,4,8,4558,5085,9644,46,36,83,59,36,95,8,5,11,0,0,0,15,9,30,22,29,52,40,39,81,5376,4974,10354,18,21,37,17,16,33,5412,5012,10429,993,907,1898,11,14,24,11199,11224,22426
LGA21830,27,36,60,688,799,1488,0,0,0,94,106,207,0,0,0,1740,1900,3649,4,4,10,14,25,38,23,27,46,0,5,5,35,51,81,3,0,6,5,11,16,36,30,65,348,366,720,6,14,22,9,3,9,557,671,1227,95,88,180,0,3,6,3652,4113,7760,10,9,22,11,12,29,3,6,13,0,0,6,5,7,18,13,20,32,22,29,51,3527,3030,6559,13,20,35,3,15,19,3548,3060,6613,704,645,1353,6,8,14,7999,7917,15917
LGA21890,1625,2243,3867,1823,2279,4102,20,34,55,301,366,666,3,6,5,14635,16818,31457,46,64,106,6465,6973,13440,122,215,336,30,34,64,88,119,207,108,115,223,118,162,281,211,254,470,392,496,887,48,75,125,41,43,80,509,770,1274,1252,1499,2753,26,28,55,26242,30342,56581,2173,1588,3759,3205,2931,6135,141,188,336,11,10,16,350,277,627,246,298,543,604,583,1186,32580,33000,65581,426,392,818,138,232,371,33145,33620,66772,4443,4088,8531,105,123,223,71693,75704,147394
LGA22110,143,214,354,2894,3320,6212,0,0,0,280,287,566,71,72,147,3223,3854,7075,11,24,39,83,91,167,140,179,321,22,21,45,47,69,117,8,7,19,49,38,89,214,268,482,545,575,1112,43,49,98,53,67,118,798,1105,1906,441,474,915,18,21,47,8937,10534,19465,71,81,154,66,52,120,11,21,30,9,0,11,43,45,84,51,106,160,103,147,249,12002,11262,23260,80,59,142,37,43,86,12118,11360,23482,2303,2208,4508,28,15,42,23784,24628,48411
LGA22170,647,1039,1690,5373,6742,12117,0,0,0,613,716,1328,0,3,7,11237,12997,24233,69,117,188,1428,1448,2875,205,258,459,231,237,466,166,188,353,100,97,196,181,234,413,503,652,1154,1026,1246,2274,61,84,143,106,126,232,1088,1616,2704,1626,1992,3617,60,51,109,24062,28817,52872,728,705,1436,617,560,1175,160,178,340,0,4,7,141,131,271,262,354,616,409,489,896,35654,33951,69607,257,235,490,137,253,391,36047,34442,70490,4949,4671,9619,59,69,125,67681,70963,138641
LGA22250,27,25,57,658,732,1392,0,0,0,145,150,292,56,43,102,857,971,1834,5,8,15,14,12,24,0,3,5,5,0,6,9,26,30,0,0,0,4,12,19,31,42,70,131,162,293,5,3,14,0,0,0,410,474,885,72,76,143,0,0,0,2404,2716,5118,12,9,20,8,3,13,0,5,5,0,0,0,7,7,16,9,3,17,16,11,35,2237,2044,4286,4,3,14,5,5,10,2251,2053,4310,528,486,1017,9,3,15,5252,5327,10579
LGA22310,1330,1810,3140,2950,3627,6572,3,0,3,357,443,801,0,0,0,10944,12843,23785,41,50,88,4048,4607,8647,114,142,247,25,33,57,127,172,299,122,128,251,131,175,307,186,268,455,502,590,1089,21,33,53,33,40,75,815,1244,2057,863,1189,2051,47,52,94,21323,25621,46942,3532,2942,6478,635,568,1203,12135,13237,25368,0,0,0,217,151,367,227,272,498,440,427,865,27851,26866,54720,295,230,524,104,152,253,28243,27253,55494,3865,4042,7907,137,190,327,71650,76084,147729
LGA22410,34,69,103,915,1100,2016,0,0,0,132,141,278,0,0,0,1267,1388,2659,14,19,35,31,27,59,29,58,90,11,10,21,148,200,343,4,10,17,22,21,44,76,96,175,340,347,687,15,28,44,7,20,26,648,749,1397,219,246,470,3,6,7,3898,4471,8366,40,37,77,14,13,28,3,8,8,0,5,0,16,13,26,13,42,57,28,57,84,4953,4466,9425,32,14,41,6,20,28,4992,4500,9493,952,814,1762,4,0,7,9971,9953,19924
LGA22490,46,65,106,911,1049,1967,0,0,0,167,177,337,0,0,3,2537,2587,5124,23,29,55,85,74,155,35,36,69,9,9,12,88,95,182,0,3,3,19,19,39,79,93,169,333,367,702,19,17,39,29,34,58,425,508,931,302,310,611,3,3,8,5053,5406,10461,12,10,21,29,27,54,0,5,6,3,0,8,6,3,7,29,41,67,36,40,84,6500,5739,12240,21,30,55,5,15,19,6530,5788,12315,845,772,1615,0,0,6,12552,12109,24665
LGA22620,645,807,1450,5128,6507,11638,0,0,5,1251,1438,2692,85,89,178,10640,12266,22904,67,83,151,203,178,381,124,147,267,73,94,165,160,202,367,63,55,117,108,134,242,575,704,1273,871,1028,1899,66,108,174,148,157,302,2448,3354,5804,1136,1404,2539,18,15,36,23185,27958,51143,449,383,829,404,363,768,27,31,60,10,5,17,225,179,408,131,238,364,364,422,786,28808,27869,56681,190,150,338,62,107,166,29061,28128,57188,4382,4172,8554,53,43,95,58570,62311,120882
LGA22670,11549,13498,25047,1823,2162,3988,7,8,12,651,730,1379,8,7,17,13868,14926,28794,112,109,224,3287,3513,6799,199,255,450,114,152,270,82,103,177,236,265,502,332,376,709,698,822,1517,599,684,1282,31,66,94,213,263,476,746,940,1687,2039,2250,4286,41,41,80,25073,27671,52749,4496,3544,8036,12148,10335,22488,98,87,182,0,0,5,2521,2082,4607,352,355,706,2876,2438,5310,17887,14989,32877,127,93,215,70,71,145,18084,15157,33236,6000,5180,11181,188,208,396,80506,78128,158636
LGA22750,1154,1618,2772,9344,12059,21405,3,0,3,2130,2561,4684,82,86,166,27820,32136,59952,147,199,353,2014,2091,4104,309,423,736,126,139,267,691,905,1594,78,78,157,282,330,617,722,894,1618,2210,2787,4999,194,274,463,113,132,252,3892,5751,9645,2952,3638,6592,90,104,201,53223,64585,117804,2155,1473,3626,2286,1750,4042,95,81,184,12,5,16,1007,838,1844,327,469,802,1344,1319,2660,60075,58271,118340,466,331,804,157,358,519,60694,58959,119656,9493,8235,17733,123,144,266,130580,138161,268740
LGA22830,294,387,680,2607,3188,5797,0,0,0,267,278,545,63,62,121,7286,7939,15219,48,67,115,421,384,810,106,160,268,62,64,128,68,82,152,38,44,77,105,97,201,327,351,672,682,810,1493,33,51,82,34,45,83,1308,1761,3070,776,849,1625,8,20,31,14238,16253,30491,504,465,972,2275,2085,4361,12,12,26,7,8,16,777,654,1429,92,126,218,875,783,1657,12299,11305,23604,65,45,115,34,56,90,12402,11408,23811,3212,2776,5983,44,47,85,33863,34209,68070
LGA22910,72,123,193,686,803,1490,0,0,0,33,50,82,0,0,0,1215,1329,2543,18,23,41,62,55,119,8,10,19,3,5,7,21,36,52,0,0,0,12,7,18,27,36,65,131,152,282,11,20,32,9,14,26,288,365,654,117,132,248,10,16,20,2655,3055,5711,31,33,68,24,22,45,20,14,31,0,0,0,5,10,14,37,68,99,39,77,116,4383,4177,8566,43,32,71,22,47,71,4455,4251,8711,773,830,1606,10,4,21,8082,8405,16488
LGA22980,42,34,79,255,303,563,0,0,0,82,74,152,0,0,0,243,321,561,8,5,3,0,3,9,6,4,5,3,3,8,284,289,579,0,0,0,16,7,17,29,31,60,47,43,92,12,17,24,13,10,17,361,418,777,69,80,144,0,0,0,1426,1589,3015,11,17,31,14,4,15,0,0,0,0,0,0,0,5,5,15,14,27,16,14,32,1098,908,2004,9,6,9,5,3,6,1106,913,2024,216,223,444,0,0,0,2844,2800,5642
LGA23110,819,1227,2040,2062,2772,4834,3,3,5,403,476,884,0,0,0,10793,12489,23277,52,56,107,2489,2628,5112,99,109,206,45,41,90,143,209,352,84,97,184,148,165,315,214,272,485,396,536,928,35,40,72,37,38,73,537,773,1313,993,1135,2123,18,17,38,18558,21861,40412,1165,971,2134,2395,2252,4653,42,50,90,4,4,10,317,238,550,117,151,267,433,396,828,17821,16744,34564,197,129,329,68,88,157,18087,16960,35050,2810,2510,5318,67,54,121,44374,46278,90654
LGA23190,40,59,105,705,915,1624,0,0,0,75,73,147,0,0,0,1337,1486,2824,117,148,263,27,29,50,3,11,17,6,8,21,682,767,1448,0,4,5,20,24,39,135,151,286,122,143,265,21,26,48,12,22,30,1014,1291,2314,185,215,403,6,8,11,4476,5324,9797,80,79,160,46,32,80,0,6,5,0,0,0,22,19,39,19,18,38,35,38,74,4515,4138,8655,23,21,41,8,19,28,4543,4183,8733,736,669,1405,9,8,11,9975,10390,20362
LGA23270,2793,3193,5986,3640,4752,8392,1451,1481,2926,599,664,1271,91,89,184,32309,34515,66826,84,100,184,3761,3791,7555,328,356,683,439,502,944,132,186,320,743,773,1518,375,419,791,764,854,1620,813,905,1718,100,130,232,142,153,298,1161,1570,2735,3406,3662,7064,52,53,107,50388,54964,105352,6114,5553,11670,23324,22825,46145,44,47,86,4,0,7,5818,5076,10894,316,353,673,6137,5429,11567,24449,21888,46339,188,142,333,98,126,229,24743,22158,46893,8319,7502,15817,239,260,493,122095,121926,244021
