LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA33620,48,1326,554,290,1359,0.8,1116,2.4
LGA33800,53,1168,630,200,1555,0.7,1152,2.2
LGA33830,30,975,415,120,874,1.1,859,3.1
LGA33960,33,1600,790,330,1936,0.8,1663,2.8
LGA33980,38,1213,1558,104,2910,0.8,2355,2.6
LGA34420,29,0,348,115,858,1.3,1171,3.7
LGA34530,44,1733,734,350,2008,0.8,1576,2.5
LGA34570,28,0,426,125,959,1.2,1149,3.4
LGA34580,39,1500,661,300,1684,0.8,1451,2.7
LGA34590,34,1733,733,350,1825,0.8,1612,2.9
LGA34710,46,1083,859,200,2094,0.7,1444,2.3
LGA34770,38,1733,844,340,2215,0.8,1837,2.6
LGA34800,42,550,1302,150,2297,0.8,1579,2.5
LGA34830,28,0,388,120,924,1.2,1116,3.6
LGA34860,39,1300,898,220,2042,0.7,1569,2.5
LGA34880,44,1500,640,270,1596,0.9,1241,2.5
LGA35010,39,1777,757,360,1957,0.8,1643,2.6
LGA35250,30,0,294,100,624,1.2,955,3.5
LGA35300,34,1517,1122,270,2647,0.9,2154,2.6
LGA35600,47,867,779,170,1766,0.7,1284,2.2
LGA35670,27,0,329,120,924,1.3,875,3.7
LGA35740,51,1900,731,475,1800,0.8,1483,2.4
LGA35760,49,1000,561,200,1317,0.8,1025,2.2
LGA35780,27,2059,676,120,1287,1.3,1437,3.5
LGA35790,27,2167,384,125,898,1.2,985,3.7
LGA35800,51,729,544,125,1268,0.8,979,2.2
LGA36070,33,0,450,120,947,1.2,1125,3.4
LGA36150,51,867,821,140,1968,0.8,1295,2.4
LGA36250,43,1950,786,420,2131,0.7,1763,2.6
LGA36300,43,800,888,137,1929,0.8,1694,2.6
LGA36370,37,1398,749,280,1888,0.8,1472,2.5
