LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA57490,5841,8759,11508,9012,7161,5337,5514,6471,1117,60725
LGA57630,12,16,11,4,5,0,9,18,5,69
LGA57700,1646,1978,3055,1870,2168,1203,1742,1479,329,15470
LGA57770,187,177,190,132,124,58,115,147,28,1160
LGA57840,3466,8423,1923,2343,2700,1653,699,1183,349,22738
LGA57910,15062,32926,13839,13614,14182,9238,5545,9560,1859,115822
LGA57980,1399,4371,476,749,868,533,151,359,117,9004
LGA58050,7552,11208,12564,10118,10199,6672,7240,7764,1395,74710
LGA58190,63,11,7,13,17,5,10,21,0,153
LGA58260,84,24,32,24,19,4,26,25,11,257
LGA58330,251,262,301,209,220,120,204,172,33,1781
LGA58400,49,7,15,15,9,3,15,10,0,128
LGA58470,27,31,6,8,7,0,10,15,0,117
LGA58510,2625,6291,2365,2414,2414,1342,1008,1519,310,20285
LGA58540,147,28,44,21,25,19,38,59,9,385
LGA58570,3350,8518,1901,2172,2315,1286,532,1029,277,21381
LGA58610,150,71,92,68,64,48,59,116,13,684
LGA58680,81,15,22,11,14,3,44,32,5,234
LGA58760,10567,16836,17445,13813,13712,9319,7507,10753,1788,101739
LGA58820,191,154,399,173,150,103,261,245,48,1724
LGA58890,190,29,30,16,21,11,27,47,0,365
LGA59030,57,14,43,0,16,10,49,21,5,203
LGA59100,127,19,36,16,17,13,22,42,4,299
LGA59170,191,53,56,27,43,23,55,77,10,520
LGA59250,64,101,156,24,34,3,156,77,10,613
LGA59310,158,63,97,47,63,49,68,87,10,638
LGA59320,87,14,22,11,18,13,17,22,0,208
LGA59330,73,25,25,12,27,5,15,31,0,208
LGA59340,739,1026,682,579,513,206,353,497,95,4682
LGA59350,42,55,98,15,27,0,114,25,0,371
LGA59360,166,69,235,38,62,15,313,131,22,1056
LGA59370,243,199,216,168,156,110,127,160,23,1406
LGA59799,96,324,627,58,45,6,172,344,23,1697
LGA60210,351,347,362,332,217,218,159,346,46,2374
LGA60410,778,855,1342,1240,1189,834,747,1041,179,8202
LGA60610,839,1404,1227,1271,993,898,781,1139,132,8676
LGA60810,1243,1641,1515,1329,1019,857,828,1212,184,9829
LGA61010,249,99,153,107,83,42,110,199,20,1054
LGA61210,743,362,415,366,299,234,362,814,71,3662
LGA61410,3801,6782,4018,3980,4066,2357,1095,2308,464,28877
LGA61510,452,498,778,734,544,403,471,642,96,4618
LGA61610,1109,1595,1672,1702,1163,1145,809,1657,212,11058
LGA61810,594,288,384,283,257,201,291,539,56,2886
LGA62010,131,68,61,45,37,19,26,67,13,465
LGA62210,248,296,406,332,218,210,307,394,67,2474
LGA62410,418,313,298,255,191,135,108,415,43,2172
LGA62610,2089,3647,3525,3918,3099,2271,1586,2975,512,23630
LGA62810,4231,10733,2633,3767,3154,2081,621,1764,417,29395
LGA63010,1111,1438,1193,887,827,487,433,1040,183,7590
LGA63210,429,387,519,330,298,195,281,416,59,2904
LGA63410,202,77,105,64,75,44,47,183,16,814
LGA63610,2664,5317,2535,2313,2465,1499,608,1451,340,19197
LGA63810,742,778,847,732,543,534,433,671,97,5385
LGA64010,3654,6667,4195,4692,3573,3128,2259,3786,578,32531
LGA64210,1461,1453,1339,1178,1173,846,792,1110,167,9526
LGA64610,963,805,980,721,674,566,561,859,111,6234
LGA64810,957,1178,1331,1034,1114,689,437,824,175,7732
LGA65010,441,276,489,367,340,254,299,410,89,2966
LGA65210,170,154,135,122,76,43,51,145,26,932
LGA65410,683,926,914,788,610,520,580,706,118,5838
LGA65610,185,230,336,223,141,100,296,293,37,1842
LGA65810,1436,2425,1674,1465,1348,1035,725,1039,195,11337
LGA69799,14,78,74,21,9,0,18,58,0,277
LGA70200,1791,3721,1806,2422,1815,872,531,992,375,14334
LGA70420,332,495,267,419,241,109,117,397,49,2415
LGA70540,0,5,3,5,5,0,0,0,3,17
LGA70620,164,259,160,172,90,33,195,177,12,1257
LGA70700,132,128,76,68,86,29,55,88,19,688
LGA71000,6373,12343,5651,6598,6144,3131,1970,3460,828,46500
LGA71150,119,114,25,40,50,8,5,6,0,367
LGA71300,189,481,215,340,112,107,149,146,96,1831
LGA72200,702,1025,832,833,639,255,269,441,118,5105
LGA72300,1755,1860,2270,1637,1729,675,864,974,278,12048
LGA72330,245,405,146,399,126,68,50,209,19,1666
LGA72800,2073,2951,3079,3105,3058,1546,1202,1506,390,18916
LGA73600,342,612,267,333,212,95,191,327,71,2443
LGA74050,69,138,50,108,41,24,14,53,16,517
LGA74550,187,234,127,181,77,33,62,293,18,1208
LGA74560,31,37,20,23,28,12,9,9,3,172
LGA74660,331,668,269,359,191,71,91,189,52,2222
LGA74680,51,132,52,101,30,27,19,58,44,517
LGA79399,571,835,615,550,443,191,343,383,76,4003
LGA79799,12,85,63,17,0,0,8,86,4,282
LGA89399,44313,78043,23917,27158,36088,15245,6008,12417,5262,248458
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,335,199,213,193,171,121,47,117,24,1419
LGA99799,0,0,0,0,0,0,0,0,0,0
