RA_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
RA65,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,0,10,20,4,0,0,5,13,0,52,0,21,22,3,0,0,0,11,0,60,4,11,17,0,0,0,4,14,0,58,0,12,12,3,5,0,4,3,0,44,0,5,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,66,9,3,0,18,48,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,5,0,12,0,3,0,0,0,0,0,4,0,12,4,0,4,5,0,0,0,4,0,16,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,11,0,0,0,8,0,48
RA72,31,33,374,238,59,379,107,496,38,1754,170,277,978,826,235,311,283,427,96,3608,1001,1848,2619,1534,749,533,849,946,235,10301,1441,1754,2242,1013,646,310,713,666,190,8974,1474,1339,1754,767,541,249,752,572,161,7605,1187,973,1149,405,426,205,697,454,128,5627,401,411,286,97,134,84,180,141,47,1787,51,44,16,5,8,10,19,13,7,179,7,0,0,0,5,0,0,0,5,14,5759,6681,9412,4889,2800,2081,3603,3723,915,39852,31,34,81,459,210,746,27,191,42,1821,161,509,187,864,693,447,47,156,60,3121,919,3423,523,2008,2030,692,100,456,162,10312,1287,2872,400,1394,1825,500,86,459,141,8956,1238,2006,260,1017,1746,436,93,514,98,7407,787,1429,146,632,1309,359,85,379,58,5185,152,360,57,151,362,115,20,95,25,1333,22,20,0,7,34,9,0,5,4,108,0,0,0,0,5,0,0,0,0,4,4600,10653,1640,6532,8216,3311,460,2251,587,38261
RA73,10,11,98,84,20,107,22,101,23,462,37,93,245,147,38,68,47,129,20,816,274,595,745,496,141,117,179,312,101,2967,423,531,581,412,140,77,165,209,80,2621,438,345,459,333,131,49,215,190,57,2210,461,407,421,231,113,57,236,192,60,2170,174,144,126,52,46,27,77,60,19,732,20,11,9,7,5,5,10,11,0,75,0,0,0,0,0,0,0,0,0,9,1832,2141,2695,1755,635,502,941,1203,360,12062,5,21,22,134,59,166,6,63,14,484,34,177,52,226,137,75,13,48,18,783,272,1182,152,617,520,189,26,158,75,3193,335,846,91,448,445,95,18,131,50,2461,392,686,67,359,511,115,23,145,49,2353,281,617,66,302,451,107,20,142,41,2024,94,165,20,55,104,28,6,30,10,528,9,3,0,4,11,4,0,0,6,40,0,0,0,0,0,0,0,0,0,0,1429,3705,472,2143,2243,773,118,721,254,11856
RA74,4,16,29,27,4,17,18,106,14,238,22,89,97,99,16,28,31,210,31,623,198,325,358,268,69,54,174,285,39,1763,246,310,362,218,61,38,212,175,38,1657,249,215,301,182,51,30,222,192,27,1473,242,230,240,129,70,19,183,156,14,1279,100,89,50,34,28,23,42,56,11,428,20,10,3,3,8,0,0,0,0,49,0,0,0,0,0,0,0,0,0,4,1077,1274,1443,960,302,213,892,1177,177,7511,3,27,5,79,12,43,0,81,18,274,13,132,33,154,69,46,11,132,26,617,147,494,70,401,211,107,28,140,31,1636,179,432,66,303,206,80,32,85,32,1414,196,381,55,272,185,59,36,96,25,1295,163,408,37,171,186,62,18,75,18,1127,41,105,12,38,51,19,0,19,6,300,0,10,0,0,4,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,746,1989,284,1417,923,415,128,629,164,6689
RA75,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,12,0,9,0,4,0,0,3,24,0,33,0,26,16,0,0,0,0,13,0,60,3,20,18,0,0,0,6,22,0,75,0,22,19,0,0,0,0,8,0,60,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,54,7,0,0,8,77,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,12,0,35
RA80,355,250,928,1168,264,1459,253,1319,91,6083,1111,2460,2668,1978,1265,1406,513,1193,270,12873,4364,10468,6139,2721,2904,1719,1487,2313,756,32868,7014,10611,4264,1821,2505,816,1052,1503,715,30302,6597,7535,3068,1346,2265,592,973,1051,590,24023,3513,4497,1851,730,1469,439,891,810,307,14516,750,1486,492,213,350,190,335,256,95,4169,119,202,55,23,47,49,22,37,18,568,9,15,5,0,0,5,0,4,5,49,23842,37521,19469,10003,11082,6671,5527,8485,2851,125452,190,318,251,2285,576,2549,46,554,74,6839,818,2986,704,3574,2962,1816,62,402,245,13573,4337,12704,1366,4226,5885,1658,109,998,726,32004,6543,11147,899,2897,5579,832,56,677,627,29265,5585,7796,663,2237,5363,764,95,574,431,23511,2515,4290,406,1522,3643,670,88,534,230,13901,359,1074,87,344,866,241,12,155,44,3186,28,100,17,25,83,19,0,9,15,294,4,4,0,0,5,3,0,5,6,29,20378,40423,4387,17121,24959,8558,473,3904,2404,122600
RA81,0,0,4,3,0,3,0,3,0,14,0,3,4,0,3,0,3,4,0,16,12,9,17,7,0,4,0,0,3,41,11,17,9,5,4,0,0,3,0,50,16,3,12,3,0,0,0,5,4,39,7,5,4,3,3,0,5,4,0,31,7,3,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,51,40,50,10,12,9,11,23,4,214,0,0,0,3,0,5,0,5,0,12,0,3,5,3,4,0,0,6,0,17,10,14,3,11,5,0,0,0,3,46,16,20,0,0,6,0,0,0,0,46,7,8,0,4,10,0,0,0,0,32,4,11,6,4,7,0,0,4,0,28,3,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,56,14,26,37,8,0,7,7,195
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,17,0,4,3,0,0,0,0,0,21,22,8,0,0,0,0,0,3,0,33,37,13,3,4,0,0,0,0,0,56,10,0,0,5,0,0,0,0,5,16,9,0,0,3,0,0,0,0,0,15,5,5,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,23,7,15,3,0,0,3,5,146,7,0,0,0,0,0,0,0,0,16,6,0,0,4,0,0,0,0,0,10,18,13,0,0,0,0,0,0,0,29,3,4,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,0,0,17,0,5,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,23,4,8,9,0,0,6,6,89
RA94,0,0,12,16,0,6,4,14,0,45,3,7,24,11,0,0,6,10,0,60,16,19,66,35,8,0,13,27,3,188,38,26,62,21,15,6,25,20,0,211,51,31,69,27,20,3,28,24,7,242,69,38,91,11,8,16,28,27,8,301,18,23,41,4,3,3,26,17,3,142,3,3,6,5,0,0,0,4,3,21,3,0,0,0,0,0,0,0,0,3,197,145,365,125,50,47,123,143,26,1218,0,0,0,40,3,6,0,9,0,56,6,14,5,25,11,0,0,7,0,73,13,47,4,50,35,15,6,11,3,179,38,40,10,48,43,19,4,18,0,218,45,47,12,44,54,18,0,31,0,251,46,43,12,31,61,29,0,29,0,262,11,21,0,18,19,13,3,14,6,106,3,4,0,7,3,3,0,3,0,20,0,0,0,0,0,0,0,0,0,0,172,220,44,249,225,105,11,117,14,1157
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
