RA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
RA64,0,0,0,0,37,4,0,42,3,0,0,3,29,8,0,33,31,6,0,36,89,17,0,142,68,0,0,75,60,18,0,155,30,8,3,39,99,21,0,156,6,11,0,14,169,10,0,193,0,7,0,10,197,20,0,232,3,8,0,10,94,14,0,119,0,0,0,0,18,0,0,21,147,37,8,186,794,108,6,1099,0,0,0,0,22,0,0,22,5,0,0,4,23,0,0,36,47,3,0,51,57,12,0,122,73,0,9,83,43,22,0,149,34,13,0,45,83,5,0,134,4,27,0,29,157,7,0,195,0,25,0,23,155,14,0,192,0,5,0,5,83,15,0,99,0,0,0,0,31,3,0,34,159,70,13,249,655,83,5,982,0,0,0,0,58,4,0,66,5,0,0,12,52,5,0,72,72,5,0,89,146,30,0,265,139,5,16,161,111,37,0,306,64,20,0,89,176,26,0,293
RA65,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,4,3,0,5,22,25,3,58,10,0,0,10,28,24,3,67,12,0,0,9,33,22,0,71,0,4,0,0,33,27,0,63,0,0,0,0,24,0,0,25,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,29,4,0,36,157,102,8,296,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,0,3,0,5,8,0,0,13,0,0,0,0,7,3,0,16,3,0,0,3,12,4,0,18,0,0,0,0,9,3,0,11,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,48,13,0,75,0,0,0,0,6,0,0,5,0,0,0,0,9,0,0,15,3,3,0,9,34,25,3,69,12,0,0,9,33,30,4,78,13,0,0,18,42,31,0,90
RA72,11,203,0,214,3320,434,89,4057,148,163,7,313,4025,786,1098,6224,2415,293,74,2781,8668,1919,510,13877,4750,222,162,5137,4754,1532,158,11580,2626,282,58,2965,5689,1364,68,10083,519,539,12,1076,6622,1150,72,8915,131,632,4,772,5021,836,37,6668,14,133,3,146,1870,272,13,2294,0,11,0,8,336,53,0,399,10614,2475,325,13417,40293,8349,2046,64106,38,359,9,399,3051,406,12,3867,341,264,18,623,3308,514,126,4577,3988,529,226,4740,7812,1584,177,14305,5818,381,367,6562,4180,1261,46,12046,2309,615,129,3050,5738,1095,23,9906,212,1312,10,1539,6161,977,78,8744,57,1118,5,1180,4197,687,43,6102,8,188,4,197,1672,253,8,2136,0,7,0,13,404,81,8,504,12765,4770,768,18296,36515,6860,509,62191,44,559,9,613,6368,845,99,7921,481,426,30,942,7329,1304,1221,10795,6401,822,296,7520,16476,3500,688,28189,10567,603,533,11698,8929,2793,198,23627,4935,896,186,6017,11430,2460,87,19990
RA73,28,123,0,151,1102,215,0,1465,103,120,12,232,1018,274,12,1541,898,154,48,1098,2711,783,58,4656,1423,136,70,1619,1720,673,12,4020,690,151,35,875,2007,591,11,3490,156,192,10,359,2817,614,14,3804,48,187,0,239,2277,485,13,3007,4,38,0,47,619,137,5,804,0,0,0,0,86,13,0,99,3350,1102,172,4626,14345,3793,121,22889,47,178,9,229,933,214,4,1375,198,154,34,385,935,187,8,1516,1371,272,135,1775,2655,598,52,5085,1698,192,133,2026,1436,508,9,3973,638,327,51,1011,2168,524,8,3709,97,472,14,585,2822,609,16,4033,31,314,3,346,1873,427,6,2650,7,45,0,46,509,96,8,655,0,0,0,3,141,26,0,166,4090,1945,381,6411,13469,3178,113,23176,76,302,5,385,2034,428,4,2839,303,270,48,621,1954,459,22,3056,2270,423,182,2877,5371,1376,113,9736,3117,325,198,3649,3155,1181,19,7998,1324,481,90,1891,4178,1115,16,7196
RA74,45,586,32,665,1061,238,6,1971,209,466,105,786,1019,337,69,2213,921,600,302,1824,1879,894,70,4669,1105,411,240,1763,1291,702,31,3787,498,478,127,1102,1505,678,13,3301,115,345,50,511,1800,583,12,2908,26,193,21,238,1462,338,8,2048,5,26,0,34,355,77,0,468,0,8,0,7,31,0,0,47,2936,3110,870,6921,10416,3854,227,21416,103,570,62,732,845,207,3,1782,366,506,159,1034,800,220,11,2065,1310,672,454,2442,1454,533,48,4479,1175,591,361,2133,912,337,6,3381,402,747,169,1317,1281,330,4,2936,62,579,84,723,1740,336,18,2812,20,262,20,306,1225,220,6,1760,0,44,6,50,233,44,0,332,0,10,0,16,23,0,0,44,3443,3984,1324,8749,8520,2228,100,19589,147,1155,93,1392,1911,446,7,3758,578,980,259,1818,1824,556,81,4278,2232,1272,763,4268,3338,1426,123,9151,2285,1004,606,3898,2198,1034,45,7166,899,1227,290,2421,2788,1011,19,6233
RA75,0,0,0,0,10,0,0,10,0,0,0,0,14,5,0,17,5,0,0,5,28,16,0,54,12,0,0,14,51,41,0,106,12,0,0,9,62,43,0,117,4,0,0,4,58,33,0,96,0,0,0,0,13,7,0,22,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,26,7,0,27,245,138,12,429,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,15,0,0,0,0,6,5,7,16,0,0,0,0,6,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,11,0,0,12,0,0,0,0,12,5,0,21,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,5,43,17,7,67,0,0,0,0,10,0,0,11,0,0,0,3,24,3,0,27,5,0,0,5,34,18,9,65,12,0,0,14,53,43,0,112,12,4,0,9,69,43,0,124
RA80,36,614,4,652,12102,670,19,13435,192,401,10,599,15482,1122,50,17260,6344,791,138,7276,29101,2225,88,38687,17363,555,538,18455,14162,1561,100,34286,10213,582,295,11083,15610,1082,72,27852,1828,1640,53,3516,17206,793,60,21577,240,3123,16,3384,12190,606,65,16238,42,917,0,962,7162,457,22,8610,3,57,0,65,2526,270,5,2861,36267,8676,1053,45995,125543,8787,493,180815,43,928,7,984,11389,647,20,13036,495,789,24,1305,14957,1000,43,17301,10060,1310,415,11783,25331,1805,88,39008,20328,901,1049,22280,11389,1206,75,34952,9276,1300,401,10976,16331,877,63,28250,812,4105,54,4972,17522,650,122,23262,176,5114,30,5326,12645,674,87,18733,45,1117,12,1175,8702,568,21,10465,9,45,0,54,3805,480,3,4340,41239,15610,2003,58849,122078,7908,520,189354,77,1545,7,1633,23493,1308,45,26476,690,1192,29,1910,30440,2117,92,34559,16400,2104,551,19058,54433,4029,177,77703,37694,1455,1590,40735,25554,2772,177,69237,19491,1877,697,22065,31945,1958,139,56102
RA81,0,0,0,0,20,3,0,26,0,0,0,0,21,0,0,22,14,0,0,16,29,3,0,48,27,0,0,33,18,0,0,52,19,3,0,18,29,0,0,45,3,5,0,5,27,3,0,40,0,0,0,0,26,11,0,34,0,3,0,3,4,0,0,4,0,0,0,0,3,0,0,3,59,12,0,73,163,25,0,271,0,0,0,0,17,5,0,19,0,0,0,0,22,0,0,20,22,0,0,24,23,3,0,53,37,0,0,37,14,3,0,50,14,7,0,21,18,5,0,41,3,6,0,12,31,4,0,49,0,8,0,8,13,4,0,22,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,5,76,25,0,107,151,18,0,273,0,0,0,0,38,4,0,44,0,0,0,0,35,4,0,38,39,7,0,38,56,4,0,102,65,0,0,73,31,6,0,104,27,10,0,36,44,5,0,89
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,23,0,0,31,0,0,0,0,30,0,5,35,3,0,0,3,55,10,0,60,7,0,0,5,14,7,0,26,0,0,0,3,21,6,0,25,0,0,0,0,15,5,0,19,0,0,0,0,7,4,0,16,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,7,4,0,17,169,39,6,226,0,0,0,0,18,3,0,18,0,0,0,0,18,4,4,21,4,3,0,6,24,3,0,40,6,0,3,8,5,9,0,24,4,0,0,4,18,6,0,27,0,3,0,3,7,8,0,15,0,0,0,0,3,4,0,10,0,0,0,0,6,6,0,10,0,0,0,0,0,0,0,0,15,15,3,25,100,39,0,168,0,0,0,0,38,0,0,46,0,0,0,0,49,3,5,60,5,3,0,11,81,12,0,104,9,3,3,18,17,8,0,49,3,4,0,4,36,11,0,56
RA94,0,0,0,5,60,17,0,79,0,5,0,5,60,46,0,114,46,5,3,55,149,183,3,390,103,5,5,119,111,111,0,338,78,12,5,90,171,98,3,364,24,23,0,52,301,82,3,432,8,23,0,32,257,56,0,350,0,9,0,9,105,31,0,139,0,0,0,0,25,0,0,30,259,87,18,364,1248,616,13,2240,0,7,0,7,66,12,0,93,9,14,0,25,60,23,0,108,67,12,4,81,113,57,0,249,139,14,16,166,89,59,0,309,74,17,6,96,195,60,0,352,12,52,0,65,292,68,0,426,0,30,0,35,224,36,0,296,0,8,0,8,102,23,0,134,0,0,0,0,26,3,0,31,304,154,25,479,1170,348,5,1993,0,14,0,11,131,31,0,177,9,12,0,26,124,68,0,220,116,14,9,134,263,242,3,640,244,18,25,281,200,164,0,649,153,23,13,192,365,155,3,716
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
