RA_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
RA64,0,10,4,3,0,9,7,0,27,0,0,0,3,0,5,0,0,12,0,11,13,15,9,14,7,0,77,0,12,9,12,20,17,7,3,72,12,47,54,55,59,53,22,6,311,0,4,0,0,0,0,0,0,7,0,3,3,4,4,3,0,0,23,13,48,57,58,70,58,23,8,334,0,0,0,0,0,0,0,0,4,5,17,20,17,15,33,18,0,130,25,101,99,117,112,134,61,12,658,0,4,4,7,5,8,5,0,33,0,4,5,4,10,9,4,0,34,0,23,35,31,22,26,7,0,145,0,14,19,12,12,18,10,3,98,7,31,21,20,32,19,5,0,130,3,0,4,3,3,4,0,0,18,0,3,4,5,3,6,0,0,23,15,32,27,23,40,23,6,0,170,0,0,0,0,0,0,0,0,3,3,15,25,14,18,21,17,14,125,23,91,116,93,107,105,50,14,603,0,16
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,7,3,4,0,0,33,0,4,10,7,14,6,0,0,37,3,13,15,18,11,10,0,0,63,0,0,0,3,0,0,0,0,7,0,0,0,0,6,0,0,0,9,3,13,15,16,13,10,0,0,76,0,3,0,0,0,0,0,0,3,0,25,24,26,20,0,0,0,96,4,50,54,64,54,19,0,0,248,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,7,0,7,3,3,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,5,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,6,8,12,14,13,8,0,0,59,0,0
RA72,36,1319,1034,545,477,309,85,10,3815,3,208,220,247,244,114,33,3,1074,481,2521,1921,1192,888,678,199,32,7913,209,935,1096,1215,887,554,163,16,5070,1280,3236,2964,2658,2374,1550,504,66,14631,367,160,97,68,31,31,10,0,777,85,106,160,160,128,126,45,4,823,1732,3504,3223,2887,2535,1712,556,73,16232,22,73,79,61,40,55,29,8,366,1029,1613,1387,1352,1214,936,320,82,7937,3514,10171,8951,7503,6282,4367,1387,218,42402,49,1629,1232,733,555,272,64,3,4536,55,543,612,509,389,223,36,0,2364,722,4086,3060,1803,1256,781,206,33,11952,258,1193,1340,1263,1027,560,169,24,5835,902,1872,1677,1308,995,386,74,18,7230,314,259,182,120,106,76,11,3,1068,77,126,162,227,191,148,60,9,996,1288,2260,2024,1656,1284,609,145,29,9290,35,102,72,54,57,44,8,5,384,945,1636,1375,1229,1150,850,357,103,7652,3350,11455,9709,7251,5716,3351,980,195,42012,85,2951
RA73,4,291,276,137,178,130,29,3,1042,5,53,54,63,67,48,5,0,301,78,738,523,307,330,264,59,0,2299,55,262,334,300,336,227,46,5,1565,318,974,891,869,924,656,164,17,4805,63,51,48,23,23,13,5,0,237,15,39,53,50,54,71,14,0,294,404,1064,989,946,993,741,179,17,5333,9,16,18,20,16,12,0,3,88,441,644,552,578,636,538,151,25,3556,986,3067,2750,2347,2556,1961,473,49,14193,12,434,349,228,226,98,20,0,1367,11,177,179,153,178,89,19,0,795,196,1324,780,592,549,334,62,9,3837,53,330,337,385,440,262,55,13,1877,254,548,468,434,374,189,20,9,2299,67,78,65,54,57,29,0,0,355,29,52,55,74,83,57,8,0,362,351,678,587,563,517,278,34,6,3015,8,28,10,18,14,15,7,0,108,413,669,555,591,715,519,111,33,3609,1048,3633,2796,2531,2639,1605,300,67,14611,17,728
RA74,0,110,90,57,64,66,10,0,388,0,19,36,25,37,42,4,0,164,44,316,220,158,213,178,35,0,1156,39,128,156,139,185,149,37,0,833,262,658,666,643,619,429,69,9,3358,80,87,75,54,40,20,0,0,362,25,74,64,50,53,36,3,0,310,368,822,810,751,714,487,72,9,4025,0,0,0,4,0,0,0,0,10,672,973,757,733,651,377,91,3,4267,1131,2370,2062,1871,1855,1294,244,11,10840,9,165,121,69,108,62,3,0,529,0,67,72,75,86,55,6,0,360,89,536,321,238,328,167,17,0,1698,41,160,154,205,267,156,15,0,999,204,329,280,281,265,132,9,0,1502,65,115,96,97,55,16,6,0,448,28,74,60,75,56,37,3,0,337,304,520,439,447,378,185,22,0,2293,0,3,9,3,3,0,4,0,22,562,668,439,424,427,281,55,3,2859,1008,2110,1553,1466,1597,901,117,7,8760,11,271
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,11,5,0,0,0,38,0,0,16,14,14,4,0,0,58,4,11,23,23,25,5,0,0,88,0,0,3,0,3,0,0,0,10,3,0,3,7,5,0,0,0,21,10,13,29,30,26,5,0,0,115,0,0,3,3,0,0,0,0,0,4,15,42,40,38,3,0,0,144,16,38,92,101,90,15,4,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,5,0,0,0,0,3,0,0,8,0,3,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,0,0,0,7,0,0,16,10,8,0,3,3,14,0,0,49,0,0
RA80,235,6685,7336,5289,3780,2535,1132,301,27288,74,1167,1367,1303,1224,934,283,24,6370,3399,11489,8976,6378,4350,3519,1709,505,40329,753,2778,3665,3258,2322,1478,674,194,15115,2351,6035,5018,4277,3378,2214,1367,441,25091,520,359,229,142,98,73,29,11,1468,161,249,380,318,346,322,178,59,1999,3036,6640,5626,4739,3818,2607,1572,512,28559,96,227,216,161,121,108,87,39,1066,1758,2258,1724,1238,986,791,637,366,9757,9344,31256,28914,22363,16605,11970,6101,1937,128486,321,7743,7435,4604,2807,1577,558,91,25141,227,2092,2481,2135,1586,1236,428,59,10253,4363,14299,11569,7686,5218,3708,1726,451,49019,1205,3339,3969,3789,3102,2170,1090,358,19028,2066,3437,2993,2646,1981,966,347,122,14568,522,345,294,274,265,214,80,31,2023,197,253,342,656,776,800,405,147,3579,2788,4036,3636,3575,3025,1980,831,293,20163,90,168,191,123,158,178,131,58,1106,1673,1939,1466,1086,952,1105,958,689,9865,10668,33619,30754,22997,16855,11949,5715,2008,134562,556,14428
RA81,0,0,5,3,3,0,0,0,12,0,0,0,0,0,0,0,0,5,3,6,7,10,3,6,0,0,41,0,3,10,4,0,4,0,0,22,5,18,16,12,12,11,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,16,12,12,11,0,0,85,0,0,0,0,0,0,0,0,0,4,3,3,0,3,9,0,0,23,12,37,44,35,29,27,3,0,189,0,5,6,3,8,7,0,0,18,0,0,3,0,5,3,0,0,14,9,23,24,13,7,0,0,0,69,0,9,9,9,15,0,0,0,43,4,7,3,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,4,9,8,7,4,0,0,0,40,0,0,0,0,0,0,0,0,0,4,4,0,3,6,5,0,0,28,12,46,53,34,37,17,0,0,200,0,6
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,3,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,11,24,4,0,7,0,0,0,49,5,5,0,8,0,3,0,0,16,3,5,3,6,6,3,0,0,26,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,5,3,3,6,3,0,0,35,0,0,0,0,0,0,0,0,0,4,10,7,6,9,7,3,0,43,34,57,22,22,16,15,7,0,167,0,3,0,5,0,0,0,0,8,0,4,4,0,0,0,0,0,5,3,13,4,5,0,0,0,0,23,0,5,0,0,0,0,0,0,10,5,3,0,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,4,3,0,0,0,25,0,0,0,0,0,0,0,0,0,7,8,7,5,8,3,6,0,41,15,26,19,22,8,7,10,0,115,3,10
RA94,0,7,8,9,9,15,6,0,54,0,5,10,0,3,3,0,0,19,0,20,33,27,32,33,7,0,155,0,14,18,28,31,25,7,3,121,29,70,84,93,132,77,28,9,526,6,11,0,8,7,3,0,0,32,0,5,4,6,3,4,6,0,22,39,88,89,104,136,89,30,9,578,0,0,0,0,4,6,4,0,16,58,188,114,102,84,57,32,6,646,96,319,277,276,297,228,82,14,1587,0,18,15,12,14,7,0,0,65,0,5,8,17,20,4,0,0,58,7,43,61,53,34,32,10,0,250,8,28,37,34,47,26,17,3,195,22,33,38,42,39,13,5,0,187,21,4,3,10,12,6,0,0,55,5,0,3,0,12,10,5,0,36,49,44,46,52,57,26,3,0,283,0,0,0,4,4,13,4,0,23,38,62,64,70,85,47,33,9,413,105,208,239,235,257,158,66,18,1283,0,25
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
