RA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
RA50,2482,56768,2901,63,62219,2880,57946,3771,195,64786,7010,123776,9122,574,140487,11112,123375,8097,402,142989,14232,106143,6213,376,126960,15151,89460,4630,408,109652,10584,71732,3666,343,86323,5166,38114,3111,123,46512,1571,12038,2015,28,15655,70188,679352,43521,2510,795570,2811,53815,2832,71,59523,3810,56673,3201,189,63867,11480,131290,8006,486,151252,18839,126501,6862,247,152450,24654,105185,5236,265,135335,26328,87993,4049,517,118888,16334,74957,3938,450,95676,6151,43532,4075,140,53892,1203,20095,3583,50,24925,111604,700030,41772,2408,855812,5291,110587,5736,134,121742,6689,114611,6966,383,128653,18486,255060,17129,1062,291735,29948,249884,14958,648,295438,38884,211326,11449,637,262294,41480,177454,8680,927,228534,26919,146691,7603,792,182000,11319,81645,7177,263,100405,2771,32132,5598,78,40577,181789,1379386,85295,4920,1651383
RA51,282,6067,556,4,6918,217,4642,746,76,5683,587,9607,2020,91,12309,1099,10777,1896,52,13818,1579,11751,1568,26,14927,1957,11789,1188,19,14955,1429,10808,893,14,13143,690,5249,560,10,6505,159,1357,254,0,1771,8007,72048,9682,285,90027,331,5674,494,9,6510,260,4106,372,13,4751,1106,10282,860,62,12316,2140,11768,870,24,14798,2934,12107,901,18,15950,3401,11636,845,25,15903,2173,10215,772,15,13175,794,5337,629,8,6772,131,2133,402,5,2675,13270,73262,6146,173,92852,617,11746,1051,15,13422,480,8747,1117,88,10434,1692,19892,2884,150,24621,3238,22539,2765,76,28619,4512,23853,2469,40,30873,5359,23420,2036,39,30855,3601,21020,1666,26,26320,1484,10587,1188,17,13278,295,3492,655,5,4449,21282,145308,15832,465,182875
RA52,248,4629,603,4,5490,215,3864,595,39,4710,512,8678,1560,97,10852,852,8571,1568,41,11043,1276,9423,1472,15,12179,1644,10355,1370,19,13394,1118,8917,1057,17,11114,550,4401,601,13,5554,172,1245,234,3,1657,6594,60079,9072,253,75992,233,4236,546,4,5021,236,3505,459,14,4211,898,8519,1084,47,10543,1580,8544,1143,16,11277,2046,9021,1051,16,12133,2501,9451,1058,18,13031,1509,8046,944,20,10520,654,4345,640,6,5648,116,1784,351,0,2247,9773,57450,7259,149,74624,484,8867,1150,8,10509,446,7370,1052,55,8928,1404,17196,2646,145,21390,2428,17113,2710,59,22315,3320,18441,2517,27,24313,4149,19803,2428,37,26422,2633,16960,2003,41,21632,1205,8742,1240,16,11204,293,3027,582,7,3908,16366,117523,16329,400,150616
RA53,82,1865,393,0,2345,81,1908,550,23,2567,284,5840,1786,85,7997,491,6332,1932,35,8801,511,5745,1795,21,8077,557,5496,1552,32,7635,335,4093,800,18,5235,153,1539,333,4,2027,38,296,68,0,398,2533,33111,9218,219,45077,92,1571,354,0,2014,97,1760,405,22,2288,439,5788,1223,72,7520,684,5342,1047,12,7080,748,4367,915,10,6044,812,4356,871,14,6056,501,3352,635,18,4507,158,1290,279,0,1723,24,363,86,0,472,3552,28195,5811,149,37710,177,3430,750,6,4357,184,3670,955,47,4852,724,11630,3005,156,15517,1175,11677,2979,45,15879,1260,10111,2713,30,14121,1373,9852,2421,45,13690,837,7439,1433,36,9748,306,2832,607,4,3751,58,657,156,0,870,6086,61307,15023,367,82788
RA54,108,1243,359,0,1707,135,2282,1110,65,3595,478,8336,4480,181,13476,629,7951,4413,97,13093,653,7625,4178,66,12527,556,6965,2929,42,10491,355,4915,1010,22,6303,106,1375,238,0,1720,12,146,29,0,193,3032,40850,18753,478,63107,93,1133,316,6,1539,186,1883,631,70,2774,448,5329,1649,154,7569,495,4041,1142,19,5699,563,3743,1156,12,5473,642,4660,1024,23,6352,347,3783,580,16,4722,76,954,198,0,1231,13,133,42,4,185,2862,25656,6733,301,35550,196,2374,674,6,3249,321,4167,1745,142,6373,926,13665,6125,332,21048,1120,11997,5555,119,18791,1219,11372,5333,77,18000,1200,11624,3952,66,16848,704,8699,1588,39,11025,181,2333,436,0,2952,24,280,71,3,380,5897,66502,25485,781,98652
RA55,0,8,7,0,14,3,46,28,0,81,11,222,193,24,459,29,465,416,37,945,30,427,374,53,896,23,234,196,24,473,3,69,41,0,119,0,11,0,0,15,0,0,0,0,0,105,1492,1256,143,3002,5,3,3,0,8,0,20,15,0,37,7,57,28,3,94,0,30,20,7,55,7,30,22,0,57,7,43,29,3,86,5,43,14,0,61,0,10,5,0,17,0,0,0,4,3,23,242,123,16,405,5,6,10,0,19,6,69,43,0,121,11,278,223,33,549,31,492,432,37,999,38,459,399,61,951,33,280,220,29,560,9,115,54,0,178,0,22,6,0,32,0,0,0,4,3,129,1727,1382,164,3410
RA61,440,8882,539,5,9872,542,9563,647,105,10858,1643,23890,1672,175,27378,1925,17930,1175,60,21089,2653,16327,997,22,20008,3069,15672,852,24,19621,2162,13620,806,25,16618,1143,7528,616,8,9300,304,2455,300,5,3054,13887,115862,7609,438,137797,520,8335,495,5,9357,730,9196,576,16,10516,2424,23166,1321,79,26990,3531,17878,965,20,22393,4591,16475,811,31,21905,5206,15562,781,46,21593,3364,14636,886,26,18921,1373,9272,825,16,11487,256,4320,537,9,5116,21989,118836,7189,253,148267,962,17219,1035,13,19223,1272,18758,1220,117,21373,4064,47055,2990,257,54369,5459,35806,2143,80,43486,7240,32802,1806,54,41910,8279,31232,1631,77,41210,5526,28261,1692,54,35536,2515,16799,1442,27,20784,557,6764,832,12,8170,35877,234704,14790,691,286061
RA62,248,4651,506,3,5411,254,4178,323,19,4779,680,8950,740,50,10423,1096,8243,695,37,10073,1672,9854,782,15,12329,2238,11977,900,8,15127,1745,11249,953,11,13967,839,5632,609,3,7075,155,1439,259,5,1853,8939,66175,5778,154,81042,279,4315,420,0,5014,344,3899,283,9,4537,1300,8762,682,32,10784,2026,8370,656,14,11070,2807,9704,710,5,13223,3666,11340,808,12,15825,2295,10450,843,11,13601,798,5732,706,11,7242,115,2202,337,3,2657,13632,64783,5437,103,83958,525,8967,926,3,10429,605,8079,607,22,9310,1982,17716,1424,84,21204,3121,16609,1352,53,21145,4475,19563,1494,25,25554,5905,23321,1708,24,30953,4044,21704,1792,23,27563,1638,11364,1311,12,14322,268,3646,598,4,4518,22571,130962,11213,254,164997
RA63,4,114,34,0,150,9,158,36,5,207,39,495,73,14,620,44,412,67,5,537,78,507,62,0,648,89,700,82,0,877,86,627,65,0,775,24,251,42,0,317,11,50,9,0,71,384,3315,482,27,4216,9,92,16,0,121,9,132,24,0,169,39,458,81,5,585,79,313,50,4,454,90,377,49,0,521,138,583,77,0,799,92,481,59,0,628,25,202,29,0,261,0,69,13,0,83,485,2715,397,19,3613,12,207,51,0,268,17,287,58,4,373,71,955,158,22,1207,132,733,121,8,993,168,888,114,0,1175,225,1281,158,3,1668,175,1106,121,4,1411,53,456,69,0,574,11,120,27,4,160,874,6034,880,41,7825
RA64,7,27,0,0,42,4,25,8,0,33,10,112,17,0,142,13,125,16,0,155,12,119,14,0,156,27,156,15,0,193,31,177,20,0,232,15,85,16,0,119,0,18,0,0,21,125,864,106,6,1099,0,25,0,0,22,3,29,0,0,36,7,99,11,0,122,24,106,22,0,149,14,110,11,0,134,36,145,7,0,195,44,134,13,0,192,12,71,14,0,99,0,30,3,0,34,153,746,84,5,982,8,51,5,0,66,4,57,5,0,72,19,215,29,0,265,41,227,38,0,306,33,232,27,0,293,65,297,27,0,388,72,314,29,0,421,31,159,26,0,221,5,45,0,0,56,274,1608,191,3,2081
RA65,0,0,0,0,0,0,8,0,0,9,0,29,25,3,58,0,40,24,3,67,10,32,22,0,71,7,35,20,0,63,0,22,0,0,25,0,3,0,0,4,0,0,0,0,0,23,165,99,8,296,0,4,0,0,4,0,3,0,0,6,0,9,3,0,13,0,9,3,0,16,5,11,4,0,18,0,13,3,0,11,4,5,0,0,9,0,0,0,0,0,0,0,0,0,0,9,50,12,0,75,0,5,0,0,5,3,13,0,0,15,0,38,29,3,69,0,46,30,4,78,14,42,31,0,90,7,46,25,0,77,3,26,0,0,33,0,6,0,0,3,0,0,0,0,0,36,217,115,13,374
RA72,172,3348,451,89,4057,187,4136,801,1098,6224,622,10784,1962,510,13877,851,9009,1564,158,11580,934,7694,1389,68,10083,776,6905,1160,72,8915,520,5263,848,37,6668,201,1813,279,13,2294,34,311,59,0,399,4288,49267,8507,2046,64106,217,3207,431,12,3867,202,3718,536,126,4577,1023,11488,1621,177,14305,1379,9306,1319,46,12046,1404,7366,1117,23,9906,1319,6340,1011,78,8744,790,4567,703,43,6102,210,1646,264,8,2136,33,381,82,8,504,6577,48014,7085,509,62191,390,6557,881,99,7921,387,7859,1328,1221,10795,1641,22277,3583,688,28189,2226,18316,2891,198,23627,2336,15065,2510,87,19990,2095,13247,2171,150,17665,1310,9826,1550,83,12766,404,3457,546,22,4433,63,691,140,6,904,10862,97278,15596,2555,126296
RA73,74,1158,236,0,1465,70,1168,288,12,1541,250,3538,804,58,4656,295,3017,698,12,4020,266,2601,614,11,3490,265,2917,610,14,3804,195,2308,484,13,3007,46,622,130,5,804,3,79,16,0,99,1464,17416,3887,121,22889,79,1086,209,4,1375,130,1187,189,8,1516,382,4029,624,52,5085,429,3002,536,9,3973,442,2723,537,8,3709,503,2898,615,16,4033,244,1959,436,6,2650,63,496,91,8,655,6,135,23,0,166,2279,17507,3277,113,23176,154,2243,447,4,2839,200,2358,478,22,3056,634,7564,1428,113,9736,721,6025,1230,19,7998,702,5325,1153,16,7196,766,5814,1223,39,7838,438,4275,925,17,5657,110,1113,229,10,1463,12,216,45,0,273,3740,34926,7167,236,46061
RA74,180,1545,244,6,1971,244,1546,354,69,2213,437,3243,918,70,4669,362,2648,740,31,3787,306,2289,696,13,3301,234,2060,593,12,2908,107,1588,349,8,2048,18,378,78,0,468,4,39,6,0,47,1889,15329,3974,227,21416,198,1369,215,3,1782,251,1569,228,11,2065,527,3332,573,48,4479,505,2485,382,6,3381,421,2161,351,4,2936,314,2128,350,18,2812,140,1382,232,6,1760,21,262,42,0,332,4,38,4,0,44,2389,14722,2376,100,19589,380,2911,462,7,3758,492,3121,581,81,4278,963,6575,1491,123,9151,870,5133,1124,45,7166,722,4445,1046,19,6233,551,4183,940,29,5712,251,2967,574,15,3810,44,637,123,0,800,9,74,5,0,85,4280,30048,6348,321,40999
RA75,0,10,0,0,10,0,14,5,0,17,0,33,13,0,54,0,62,41,0,106,0,70,42,0,117,0,63,33,0,96,0,11,3,0,22,0,4,0,0,4,0,0,0,0,0,9,266,141,12,429,0,0,0,0,0,0,12,0,0,15,0,6,5,7,16,0,6,0,0,3,0,7,0,0,7,0,6,0,0,12,0,13,5,0,21,0,4,0,0,5,0,0,0,0,0,0,48,17,7,67,0,4,0,0,11,0,24,3,0,27,0,41,17,9,65,0,67,43,0,112,0,77,42,0,124,0,70,34,0,106,0,28,7,0,40,0,5,3,0,10,0,0,0,0,0,12,314,158,17,494
RA80,634,12096,691,19,13435,867,15196,1140,50,17260,2103,34190,2306,88,38687,3180,29368,1638,100,34286,3947,22682,1149,72,27852,3704,17001,815,60,21577,2277,13273,624,65,16238,1298,6817,463,22,8610,358,2222,272,5,2861,18366,152848,9107,493,180815,677,11655,691,20,13036,1016,15219,1027,43,17301,2840,34196,1886,88,39008,4687,28894,1294,75,34952,5694,21578,908,63,28250,5538,16936,675,122,23262,3536,14415,692,87,18733,1525,8318,600,21,10465,287,3552,497,3,4340,25790,154775,8262,520,189354,1309,23746,1378,45,26476,1886,30419,2167,92,34559,4939,68390,4188,177,77703,7866,58262,2936,177,69237,9643,44264,2060,139,56102,9239,33936,1488,179,44848,5815,27688,1321,152,34970,2821,15138,1068,49,19076,643,5780,772,7,7201,44156,307620,17370,1020,370173
RA81,0,22,3,0,26,0,16,0,0,22,0,42,4,0,48,6,43,5,0,52,11,38,0,0,45,7,25,3,0,40,3,23,10,0,34,0,7,0,0,4,0,3,0,0,3,27,215,25,0,271,0,19,5,0,19,0,22,0,0,20,6,49,4,0,53,9,39,3,0,50,5,31,3,0,41,14,31,4,0,49,3,18,4,0,22,0,7,0,0,7,0,5,0,0,5,40,212,24,0,273,0,41,3,0,44,0,36,4,0,38,3,90,8,0,102,21,86,3,0,104,11,67,9,0,89,18,58,9,0,88,5,36,12,0,56,0,10,0,0,12,0,7,0,0,7,68,428,44,0,542
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,27,0,0,31,0,30,5,5,35,6,54,10,0,60,0,18,7,0,26,3,19,6,0,25,3,13,5,0,19,4,0,4,0,16,0,3,3,0,10,0,0,0,0,0,14,167,41,6,226,3,14,3,0,18,0,15,4,4,21,0,32,3,0,40,5,10,7,0,24,4,19,6,0,27,0,7,4,0,15,0,3,4,0,10,0,6,6,0,10,0,0,0,0,0,19,108,40,0,168,3,38,5,0,46,0,45,4,5,60,3,88,12,0,104,7,29,13,0,49,5,39,11,0,56,0,19,10,0,38,7,11,14,0,27,0,6,9,0,16,0,0,0,0,0,36,277,80,9,396
RA94,5,58,21,0,79,4,65,46,0,114,9,191,187,3,390,21,208,108,0,338,25,236,98,3,364,38,307,86,3,432,28,262,58,0,350,11,105,23,0,139,4,22,3,0,30,142,1458,623,13,2240,0,68,18,0,93,8,79,23,0,108,15,180,60,0,249,25,223,59,0,309,49,231,66,0,352,69,290,66,0,426,32,220,43,0,296,14,93,19,0,134,0,25,7,0,31,222,1419,352,5,1993,12,131,32,0,177,15,139,63,0,220,18,374,245,3,640,42,435,168,0,649,73,468,164,3,716,105,598,154,5,856,65,482,95,0,642,30,202,43,0,271,8,48,10,0,63,362,2874,979,17,4232
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
