RA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
RA64,0,3,30,34,6,10,20,32,23,36,47,107,46,31,44,130,48,35,47,128,76,26,67,171,111,23,58,191,61,8,41,111,11,0,5,15,387,168,368,920,0,4,17,22,3,12,11,28,29,43,31,99,62,35,27,127,51,30,35,113,86,24,60,171,114,12,50,168,43,3,44,86,3,0,20,25,394,170,284,844,0,6,48,58,8,22,32,59,51,77,76,207,116,70,80,255,107,59,77,244,162,49,124,344,222,34,109,363,102,11,80,200,11,0,29,39,779,333,654,1769
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,3,45,3325,3379,95,647,2934,3673,2986,2543,4618,10145,5028,1626,2287,8941,4262,1225,2267,7754,3445,814,2092,6345,2361,343,1519,4222,963,85,556,1605,140,3,138,278,19282,7327,19749,46352,8,92,3163,3263,266,892,2269,3426,4285,2907,4198,11400,5579,1780,2648,10008,4338,1186,2493,8020,3201,711,2356,6266,1888,254,1850,3995,546,45,960,1550,41,4,294,346,20161,7856,20236,48257,13,137,6493,6637,359,1538,5202,7098,7278,5447,8818,21541,10609,3407,4936,18951,8606,2403,4760,15771,6643,1524,4444,12615,4243,597,3372,8215,1508,123,1523,3159,182,8,434,629,39443,15182,39987,94611
RA73,11,18,1204,1234,68,195,826,1091,901,820,1447,3171,1360,591,850,2800,1097,459,796,2354,1116,318,777,2206,663,132,541,1343,222,17,184,422,21,4,31,59,5468,2557,6660,14687,18,37,1073,1129,125,250,715,1092,1220,961,1537,3718,1418,589,989,2995,1124,492,1024,2638,1021,262,946,2226,511,86,615,1216,139,11,261,411,11,0,80,92,5586,2691,7249,15523,25,53,2279,2362,191,444,1548,2184,2115,1784,2987,6888,2779,1175,1836,5796,2223,951,1818,4989,2138,579,1727,4438,1182,221,1158,2558,355,35,446,835,35,8,114,155,11057,5245,13905,30208
RA74,76,21,1572,1668,366,117,1056,1537,1187,435,1353,2981,1279,319,832,2433,977,248,719,1946,658,131,556,1346,320,46,294,657,78,12,86,167,13,0,17,28,4946,1335,6482,12761,119,35,1362,1515,455,160,982,1593,1352,476,1486,3310,1319,321,1028,2665,965,229,938,2129,537,111,817,1460,209,17,452,677,31,4,145,180,3,0,29,29,4982,1353,7236,13569,192,61,2932,3183,820,281,2036,3133,2540,907,2839,6293,2593,640,1857,5095,1943,479,1653,4075,1191,239,1372,2802,527,66,748,1340,106,15,231,356,16,0,49,65,9925,2689,13719,26331
RA75,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
RA80,10,82,11360,11450,276,1804,11986,14058,10197,8650,16376,35216,20094,4478,7406,31979,16661,3000,6343,26008,13194,1852,5086,20131,10862,896,3348,15097,5850,248,1765,7862,1393,31,826,2252,78520,21046,64495,164058,5,150,10529,10693,668,2619,11091,14380,13808,8916,13390,36114,20973,4223,7936,33135,16146,2810,7934,26892,12639,1586,7650,21882,9891,670,6858,17414,4294,172,4952,9415,659,19,2435,3114,79087,21172,72779,173035,12,238,21891,22140,947,4425,23080,28442,24003,17560,29768,71330,41070,8704,15338,65113,32810,5808,14275,52893,25836,3442,12733,42013,20748,1558,10203,32511,10140,421,6719,17281,2050,57,3261,5363,157609,42215,137273,337096
RA81,0,0,15,22,0,5,17,21,14,13,12,41,34,13,5,47,30,6,10,44,22,4,9,33,20,0,6,28,4,0,3,9,0,0,0,0,129,37,71,230,0,0,20,19,0,7,11,14,17,13,12,46,35,7,0,50,26,6,5,36,27,0,14,41,7,5,5,21,4,0,0,7,0,0,0,5,125,37,71,234,0,0,35,35,0,11,25,34,37,21,26,85,66,21,13,99,60,8,12,84,52,5,20,77,27,6,12,43,4,0,6,11,3,0,0,4,252,72,143,466
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,6,6,0,0,8,8,0,3,8,14,7,0,8,18,0,3,14,20,13,0,8,17,6,0,8,12,0,0,5,10,0,0,0,0,30,9,61,100,0,0,8,8,0,0,10,10,6,3,6,17,6,3,7,14,7,0,15,30,5,0,5,13,3,0,8,10,0,0,7,8,0,0,0,0,31,8,67,104,0,0,15,15,0,0,20,20,7,6,17,29,11,0,15,26,12,3,27,47,18,6,9,28,7,0,12,22,9,0,9,18,0,0,0,0,61,17,129,207
RA94,0,3,69,73,6,9,40,53,55,35,54,149,113,28,45,186,123,44,47,207,148,44,88,281,146,13,63,226,54,9,29,87,13,0,12,25,663,181,446,1285,0,0,67,67,9,19,40,64,67,41,46,150,136,38,53,228,120,39,66,224,173,34,89,300,106,11,79,198,46,0,50,98,0,0,19,28,662,183,514,1362,0,0,139,141,15,21,80,122,126,72,97,297,250,67,98,414,241,85,113,434,322,81,175,577,254,32,138,425,103,9,78,190,18,0,36,54,1331,365,958,2651
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
