RA_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
RA63,28,108,323,230,193,219,237,82,24,1435,17,23,64,55,73,75,43,11,7,362,30,31,128,138,264,373,245,73,11,1299,0,3,16,24,39,77,111,62,5,344,0,0,6,8,14,29,60,36,22,165,0,0,4,0,0,0,0,3,3,15,20,29,74,73,69,95,80,49,12,502,96,200,608,530,652,868,778,317,75,4125,26,95,335,243,176,236,177,71,17,1371,17,19,61,65,54,73,43,12,3,349,10,28,84,86,211,305,210,70,10,1014,3,0,10,6,14,79,101,47,7,264,3,0,0,6,0,18,33,25,22,109,0,0,0,3,0,4,4,0,0,17,13,24,88,47,56,82,72,38,17,429,68,168,581,451,521,795,626,258,88,3547,57,196,660,468,375,452,414,147,37,2809,28,42,124,121,130,149,79,24,5,707,37,59,214,229,477,677,458,142,23,2317,3,3,23,27,57,160,216,107,15,612
RA64,0,20,67,69,55,44,79,31,0,366,3,3,12,22,21,13,20,10,0,100,8,9,41,45,44,98,75,32,5,359,0,0,6,6,15,18,33,14,0,92,0,0,0,0,0,10,7,21,5,42,0,0,0,0,0,0,0,0,3,4,4,3,17,22,17,14,23,17,4,118,23,33,139,155,156,193,229,115,21,1074,9,19,75,90,70,70,73,30,11,451,0,3,10,14,11,19,18,3,0,82,5,3,17,18,39,80,69,31,8,270,0,0,3,0,9,4,14,13,6,39,0,0,0,0,0,5,9,5,5,30,0,0,0,0,0,0,0,0,0,0,0,0,9,21,6,14,14,14,6,93,14,34,122,149,134,197,192,97,34,971,7,43,144,157,121,117,151,63,14,818,3,9,19,33,33,35,31,16,0,180,15,11,59,63,83,184,139,60,12,630,0,0,4,6,18,23,46,29,5,130
RA65,0,9,24,30,14,9,8,0,0,100,0,0,3,4,8,7,0,0,0,20,0,3,7,11,23,22,6,0,0,68,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,24,22,20,3,0,0,95,5,9,58,65,70,62,25,4,0,286,0,0,9,9,9,7,3,0,0,34,0,0,0,0,4,3,0,0,0,9,0,0,0,0,3,4,4,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,14,0,6,13,12,18,11,9,0,0,71,6,7,30,40,25,19,14,0,0,131,0,4,0,4,10,8,0,0,0,25,0,0,7,11,28,27,10,0,0,78,0,0,0,0,0,3,4,6,0,6
RA72,851,3426,8680,7013,4865,3277,2454,787,111,31468,271,478,1167,1068,1352,1417,711,166,14,6640,319,512,1587,1638,1946,2221,1583,448,63,10314,89,58,223,280,335,454,459,191,35,2128,38,23,110,140,230,289,460,342,82,1728,7,22,61,46,70,58,70,46,24,401,326,586,1525,1226,1207,1122,875,311,76,7262,1898,5109,13360,11413,10009,8836,6626,2286,397,59934,908,3279,10458,8375,5664,3753,2185,651,110,35388,165,330,867,896,1147,1350,706,163,24,5653,179,283,1003,1096,1463,1823,1513,483,87,7928,65,50,189,216,242,339,371,161,37,1667,21,13,81,145,200,295,421,315,118,1606,4,12,33,62,72,103,109,60,24,471,351,482,1492,1206,1085,1002,743,283,94,6731,1696,4439,14128,11994,9874,8659,6047,2119,496,59452,1761,6705,19145,15387,10532,7027,4646,1437,219,66856,433,804,2034,1964,2502,2769,1417,328,35,12288,495,790,2593,2733,3411,4040,3098,929,146,18241,156,104,412,499,580,792,831,353,72,3800
RA73,218,725,2509,2025,1337,1218,922,233,15,9197,119,197,461,393,476,578,319,54,8,2604,186,281,699,688,737,956,712,176,19,4447,78,64,155,162,182,233,236,64,6,1179,57,53,125,173,160,155,250,112,24,1112,13,14,41,56,44,50,36,18,0,283,159,196,597,515,541,590,517,149,30,3284,826,1520,4587,4007,3474,3786,2994,797,99,22097,292,854,3215,2284,1721,1602,806,179,34,10986,89,167,400,338,466,566,322,52,8,2408,118,169,549,522,620,801,627,141,27,3568,54,68,149,169,178,206,166,49,14,1039,60,55,106,121,137,142,178,95,34,928,11,14,28,39,47,46,57,24,25,294,160,182,583,499,531,649,487,108,33,3226,787,1507,5026,3958,3704,4017,2642,647,169,22457,518,1580,5722,4302,3061,2815,1720,416,48,20185,207,353,862,727,941,1148,642,116,12,5009,304,449,1247,1210,1350,1754,1339,315,44,8018,124,128,297,328,358,438,398,107,22,2213
RA74,219,616,1449,1117,822,718,572,119,5,5636,187,302,590,452,381,340,206,26,3,2487,353,415,833,744,678,683,463,87,14,4267,221,224,415,358,276,204,147,38,5,1878,219,194,359,331,330,255,202,63,5,1965,17,34,48,53,76,87,82,41,13,454,192,346,902,697,719,604,364,96,3,3919,1408,2137,4589,3753,3281,2887,2037,472,47,20603,281,760,1749,1172,951,924,440,55,3,6326,174,301,623,481,383,376,197,25,0,2556,271,385,751,648,564,599,429,53,4,3700,176,176,359,325,278,173,119,23,0,1626,159,152,327,297,314,281,222,67,8,1835,21,20,32,53,69,88,112,54,24,469,166,243,580,399,371,358,239,51,0,2408,1240,2043,4421,3375,2930,2790,1755,332,44,18929,494,1385,3195,2287,1775,1643,1011,167,7,11964,361,604,1208,925,765,720,401,53,3,5041,627,800,1581,1389,1240,1280,889,138,15,7964,402,395,774,683,551,372,265,64,4,3506
RA75,5,4,22,32,43,28,8,4,0,151,0,3,4,9,11,8,0,0,0,35,0,0,10,14,16,25,5,0,0,78,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,15,41,40,33,7,0,0,138,10,17,51,101,111,97,19,4,0,414,0,12,7,0,0,3,11,0,0,33,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,17,0,15,12,3,7,12,21,5,0,64,0,18,25,37,46,31,16,6,0,185,0,3,4,9,13,8,4,0,0,40,0,0,10,18,23,28,7,0,0,86,0,0,0,4,0,8,0,0,0,5
RA80,4217,14600,32366,28755,21637,14896,10736,5018,1420,133654,329,552,1168,1149,1167,1076,667,301,103,6513,616,856,2400,2164,3168,3814,2640,1403,455,17509,131,92,320,324,402,462,675,507,184,3085,31,40,178,225,244,351,629,691,360,2750,12,27,169,145,133,106,105,90,34,824,583,1017,1969,1404,1018,805,713,558,302,8368,5919,17178,38567,34168,27764,21510,16169,8580,2856,172706,4560,15325,34143,30610,22742,15733,10484,4643,1416,139662,271,364,850,880,996,1129,820,476,187,5967,406,534,1732,1711,2874,4358,4431,2663,1049,19754,92,72,263,253,327,554,1022,765,405,3748,39,35,121,168,240,497,898,998,637,3634,10,26,106,90,133,185,159,191,117,1018,581,886,1687,1153,859,676,821,712,525,7893,5945,17239,38906,34863,28180,23126,18634,10441,4337,181669,8775,29927,66509,59368,44381,30626,21216,9658,2836,273310,599,917,2023,2030,2162,2204,1483,783,287,12487,1017,1391,4132,3869,6043,8167,7072,4067,1499,37262,221,162,578,578,728,1014,1696,1272,583,6834
RA81,6,16,35,36,27,18,20,3,0,159,0,0,0,0,0,0,0,0,0,8,0,0,6,9,13,14,4,0,0,49,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,5,0,0,24,13,22,48,52,45,40,34,4,3,256,6,16,45,50,33,23,15,0,0,183,0,3,0,0,0,0,0,0,0,6,3,4,6,6,5,16,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,3,6,4,4,0,0,23,11,20,53,50,41,49,22,7,5,261,13,31,79,86,56,45,31,5,0,345,0,0,0,0,5,0,0,0,0,11,5,6,16,16,11,28,9,0,0,92,0,0,0,0,6,0,4,0,0,14
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,17,33,51,17,13,4,0,3,0,142,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,3,0,0,16,0,0,0,5,6,3,0,0,0,12,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,7,6,5,4,3,0,39,23,35,61,26,25,19,16,10,0,223,13,17,31,14,11,7,0,0,0,88,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,0,0,0,0,3,0,5,0,0,10,0,0,0,0,3,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,3,4,3,7,6,8,4,6,0,37,13,20,40,24,27,15,10,10,0,158,28,48,89,27,23,12,0,3,0,230,0,0,0,0,0,0,0,0,0,10,0,5,0,5,8,12,3,0,0,28,0,0,0,7,5,0,5,4,0,25
RA94,18,50,146,169,119,132,112,39,7,799,0,10,13,16,35,34,15,4,0,132,12,9,35,25,88,137,77,29,16,419,0,3,4,5,8,17,17,15,3,69,0,0,6,5,7,11,42,16,3,83,0,0,0,0,0,8,16,11,6,50,8,40,185,113,99,85,65,32,0,636,40,114,384,332,359,430,348,139,30,2177,14,84,173,210,170,163,106,41,10,967,4,0,9,16,22,34,12,7,0,110,7,0,6,25,69,111,85,28,8,345,0,0,5,0,3,5,15,10,0,39,0,0,0,5,6,17,18,5,0,45,0,0,0,0,0,14,18,18,7,59,10,17,55,58,68,81,43,21,3,373,31,103,253,309,350,423,293,134,31,1933,38,135,317,379,288,294,221,80,17,1764,6,10,27,37,59,68,26,16,0,237,13,5,40,46,158,247,163,58,19,758,0,3,4,5,16,24,35,24,4,107
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
