RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA63,444,246,452,342,360,452,275,81,18,2659,56,44,56,84,145,188,246,106,17,948,4,0,11,18,40,76,101,49,15,325,0,0,0,4,23,50,75,41,18,213,62,46,69,112,211,314,420,203,49,1488,70,62,83,77,80,101,82,41,8,604,572,355,606,531,652,868,778,317,75,4753,440,169,374,249,272,356,238,61,12,2169,52,65,99,119,113,204,187,80,25,944,4,9,17,25,46,103,81,46,17,352,0,0,0,4,32,45,61,41,16,203,60,76,117,148,191,356,336,172,57,1507,64,38,88,55,63,84,58,23,14,488,566,285,581,451,521,795,627,261,88,4165,884,414,829,587,628,810,506,135,30,4826,112,112,155,198,256,392,437,188,42,1899,7,11,35,50,87,181,186,97,33,678,0,0,0,14,52,96,135,88,29,418,120,126,191,259,405,673,756,373,98,2998,130,99,169,133,139,188,144,63,24,1096
RA64,154,61,106,111,100,108,96,33,0,765,14,7,9,23,29,54,63,43,7,248,0,0,0,3,6,20,28,17,3,83,0,0,0,0,3,4,16,14,4,42,15,7,8,30,35,76,104,72,21,375,23,10,21,17,19,13,26,13,0,151,194,76,139,155,156,193,229,115,21,1286,141,33,79,91,77,96,72,27,7,627,9,12,23,18,28,47,55,30,10,235,0,5,8,4,8,23,31,19,8,114,0,0,0,0,5,7,18,19,8,59,10,20,33,32,40,79,102,65,21,403,29,4,11,25,16,15,14,8,7,134,180,58,122,149,134,197,192,99,34,1165,292,96,184,202,176,202,171,61,9,1394,22,17,33,46,54,101,118,71,19,481,3,5,8,13,15,44,57,38,15,197,0,0,0,3,9,16,38,32,8,101,29,22,40,60,78,158,209,134,39,777,51,12,30,48,41,32,44,17,7,277
RA65,0,10,28,32,30,19,7,0,0,137,0,4,0,5,6,14,11,4,0,48,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,7,10,17,16,4,0,57,0,0,25,24,26,23,0,0,0,97,0,12,58,65,70,62,25,4,0,294,0,9,7,7,7,8,3,0,0,43,0,5,3,0,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,5,0,0,0,23,0,0,0,3,4,3,0,0,0,15,0,7,13,12,18,11,9,0,0,72,0,17,37,40,41,26,16,0,0,179,0,3,4,5,11,17,12,3,0,58,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,3,4,10,15,23,20,3,0,76,0,0,28,25,30,30,0,0,0,114
RA72,12256,6881,9863,8036,6295,4582,2626,699,97,51334,1023,870,1288,1430,1704,2101,1880,686,127,11096,52,69,160,220,389,580,763,383,73,2693,0,6,21,54,131,300,473,255,48,1298,1077,945,1470,1708,2222,2980,3116,1326,244,15081,1664,1270,2035,1686,1503,1282,885,260,58,10639,14995,9093,13365,11420,10017,8842,6629,2289,397,77059,12086,5980,10162,8239,6142,4441,2534,638,86,50289,697,1146,1907,1927,1854,2057,1685,646,154,12068,27,159,372,368,507,746,685,343,90,3296,0,18,39,85,169,314,420,242,95,1396,734,1314,2321,2383,2536,3114,2793,1228,339,16756,1606,1019,1653,1384,1212,1114,737,254,72,9049,14419,8308,14133,12003,9886,8667,6060,2121,493,76095,24341,12857,20024,16275,12432,9020,5157,1333,180,101623,1718,2012,3204,3354,3560,4157,3563,1328,277,23161,79,224,533,587,901,1321,1445,728,166,5986,5,21,62,141,303,611,896,501,143,2687,1807,2262,3791,4087,4756,6090,5906,2560,586,31834,3268,2286,3687,3067,2712,2402,1625,511,130,19689
RA73,4480,2237,3266,2670,2076,1897,1175,251,23,18079,320,242,449,528,585,813,790,220,24,3979,21,17,56,81,134,283,314,110,14,1024,0,9,9,11,40,126,190,85,22,489,347,265,518,622,753,1223,1294,416,62,5497,701,491,814,719,650,660,528,139,19,4720,5521,2992,4595,4010,3478,3787,3000,802,99,28288,4126,2064,3540,2634,2068,1915,1049,190,23,17604,220,377,699,645,760,932,672,192,42,4546,14,57,132,111,226,317,307,97,45,1308,0,6,15,40,85,174,144,78,39,579,236,440,846,800,1074,1424,1124,369,127,6429,619,386,647,538,561,674,466,92,21,4007,4977,2886,5028,3968,3704,4014,2642,653,166,28038,8604,4301,6803,5302,4143,3817,2231,438,46,35678,543,619,1151,1173,1344,1748,1458,408,67,8527,30,73,187,197,365,599,622,209,59,2335,0,8,22,51,117,298,337,170,60,1071,579,695,1367,1423,1830,2647,2418,781,186,11921,1316,882,1460,1257,1213,1337,999,234,38,8729
RA74,4663,3226,3268,2445,1805,1406,812,172,14,17803,316,337,362,507,606,608,571,120,18,3450,8,24,30,57,126,173,212,66,3,700,0,0,4,9,36,86,86,26,0,259,326,357,396,582,776,869,867,214,24,4413,608,526,935,732,708,614,364,90,3,4579,5604,4110,4600,3753,3287,2893,2036,472,47,26794,4315,3032,3231,2263,1641,1338,732,115,11,16680,196,374,556,607,685,743,524,89,17,3788,9,35,68,112,191,241,180,49,9,887,0,4,4,35,52,93,76,26,4,305,206,415,629,752,931,1078,777,163,27,4974,541,384,570,366,362,379,244,49,4,2905,5062,3837,4430,3378,2932,2793,1755,332,44,24558,8976,6262,6500,4703,3442,2746,1543,289,30,34485,514,712,920,1113,1291,1347,1090,208,29,7237,18,56,97,165,324,418,392,108,13,1586,0,3,13,47,94,185,163,59,6,565,532,773,1025,1328,1706,1943,1647,376,48,9384,1161,914,1507,1093,1067,991,612,139,3,7483
RA75,0,15,33,53,61,40,8,0,0,219,0,4,4,9,10,16,9,0,0,48,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,3,4,5,15,19,6,0,0,58,0,6,14,40,39,34,7,0,0,140,0,26,51,101,111,97,19,4,0,414,0,4,6,0,6,4,11,0,0,42,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,8,0,0,5,0,0,0,5,0,0,16,0,12,12,3,7,12,21,5,0,65,0,22,42,54,67,51,17,3,0,256,0,9,4,6,10,17,6,0,0,57,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,7,4,10,14,18,14,4,0,69,0,11,15,38,39,36,11,3,0,156
RA80,35719,22728,29087,24946,18461,11994,6733,2528,580,152775,4129,4798,5860,5927,5828,5659,5003,2813,888,40903,247,617,921,1114,1419,1853,2351,1584,631,10736,11,37,91,192,403,788,1275,1197,554,4552,4379,5451,6875,7238,7649,8298,8628,5601,2067,56189,2401,2448,2633,2000,1668,1229,810,458,211,13861,42507,30621,38601,34185,27777,21517,16178,8586,2856,222824,34413,20020,26856,23694,17232,11992,7596,2931,790,145529,3070,6723,7794,7196,6698,6413,5816,3485,1394,48581,176,1243,1861,1820,2056,2440,2778,2007,1015,15400,10,101,262,412,765,1178,1494,1476,819,6517,3257,8065,9921,9429,9521,10026,10089,6959,3225,70499,2275,2189,2143,1753,1436,1123,955,553,323,12745,39939,30275,38918,34878,28187,23143,18641,10447,4338,228775,70133,42751,55946,48638,35692,23987,14330,5458,1367,298302,7195,11518,13657,13126,12526,12069,10822,6303,2279,89490,425,1854,2784,2941,3479,4294,5130,3592,1640,26139,19,140,357,600,1166,1961,2773,2674,1372,11065,7643,13517,16798,16669,17168,18324,18719,12564,5290,126691,4672,4634,4775,3752,3108,2350,1768,1009,537,26605
RA81,76,31,38,34,28,16,12,5,3,238,7,6,4,7,12,13,9,0,0,64,4,4,0,3,0,0,4,0,0,16,0,0,0,0,0,3,0,0,0,8,8,12,4,13,11,12,17,3,0,86,8,4,3,0,5,7,7,0,0,42,94,45,48,52,45,40,34,4,3,367,63,33,39,34,27,23,5,0,0,221,5,10,12,11,12,11,7,0,0,62,0,0,3,3,8,7,4,0,0,24,0,0,0,3,0,3,0,0,0,6,8,12,17,15,17,21,13,0,5,92,3,3,0,6,5,9,3,0,0,30,70,46,53,50,41,49,22,7,5,342,136,60,77,73,56,34,15,6,3,454,14,12,19,19,16,22,19,4,0,125,3,4,3,8,11,7,11,0,0,40,0,0,0,3,0,4,0,0,0,12,15,18,20,26,28,35,29,9,5,177,11,6,3,3,13,16,9,3,0,71
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,8,52,51,20,10,8,0,3,0,151,0,3,0,0,6,8,4,0,0,23,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,6,0,0,12,0,3,0,6,12,6,7,0,0,38,10,8,10,7,6,5,4,6,0,55,20,61,61,26,25,19,16,10,0,247,24,31,28,10,15,4,6,0,0,108,5,0,5,6,8,3,0,0,0,33,0,0,0,0,0,3,0,0,0,8,0,0,0,0,4,0,0,5,0,9,5,7,5,6,9,6,3,4,0,46,11,5,3,3,6,8,4,5,0,50,39,38,40,24,27,15,10,10,0,201,32,82,82,29,23,14,6,3,0,261,3,8,8,8,11,7,6,0,0,52,0,0,0,0,4,3,0,0,0,12,0,0,0,0,7,4,6,3,0,20,3,12,8,9,22,7,15,4,0,85,24,12,12,9,14,8,14,7,0,102
RA94,330,130,170,174,214,252,162,47,14,1489,25,13,22,37,31,67,77,42,3,332,0,0,0,9,14,18,27,11,5,90,0,0,0,0,0,10,16,8,3,37,25,13,23,49,47,95,119,64,12,462,55,53,184,115,96,83,66,28,4,684,410,198,385,337,363,430,346,139,30,2637,279,121,155,208,209,250,149,54,8,1440,13,35,28,39,55,81,66,37,13,363,0,4,5,9,15,23,29,15,5,85,0,0,0,0,0,0,11,10,0,30,13,40,38,45,70,106,104,58,20,485,52,34,62,62,68,66,44,24,4,422,349,192,249,309,352,424,293,134,31,2340,608,247,332,383,423,503,311,100,25,2922,41,48,55,83,85,150,146,76,18,696,0,4,3,16,25,40,50,26,3,174,0,0,0,0,7,14,24,19,6,69,41,49,57,92,121,204,224,119,28,948,104,87,249,176,171,152,106,53,6,1109
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
