RA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
RA72,80,140,354,267,214,147,59,12,0,1276,1821,3121,10312,8956,7407,5185,1333,108,4,38261,26,67,180,158,209,222,106,25,0,1001,14,73,368,454,461,246,30,5,0,1642,104,161,432,479,474,333,82,4,0,2085,12,47,277,347,305,247,55,5,0,1294,244,495,1691,1717,1419,954,253,26,0,6793,31,89,293,308,314,220,63,9,0,1334,767,746,1460,952,828,639,231,23,0,5640,1173,759,1817,957,576,408,130,14,0,5826,71,222,856,724,763,692,186,17,0,3532,23,49,177,155,105,94,24,0,0,631,9,52,280,242,216,129,53,3,0,975,16,60,230,230,223,163,86,26,0,1032,77,302,1288,1099,789,626,241,23,0,4448,59,186,590,549,525,370,97,11,0,2376,173,1423,3684,3520,3122,1945,428,21,0,14317,137,380,1346,1671,1494,1149,296,16,0,6488,157,761,3450,2642,1818,1387,426,29,5,10680,159,240,525,315,242,164,65,3,0,1705
RA73,18,31,115,76,81,56,20,3,0,402,484,783,3193,2461,2353,2024,528,40,0,11856,23,58,141,127,119,122,59,13,0,666,6,7,65,104,101,83,10,0,0,370,31,42,108,111,101,83,31,0,0,507,5,10,57,45,70,69,20,0,0,278,63,143,447,375,319,325,96,10,0,1776,9,30,74,89,55,77,19,5,0,354,251,157,403,243,208,216,80,11,0,1575,172,120,465,248,185,222,74,3,0,1492,15,55,175,145,185,196,59,10,0,837,8,24,66,50,49,49,16,3,0,250,3,14,39,48,26,33,9,0,0,183,3,20,52,39,40,51,20,4,0,232,11,36,326,252,229,206,75,7,0,1147,15,38,144,121,140,138,39,7,0,647,40,257,1027,967,881,656,147,6,0,3983,92,133,544,478,523,511,126,7,0,2420,65,267,1363,1108,885,765,220,10,0,4693,43,47,162,110,100,75,39,3,0,583
RA74,24,32,46,56,28,28,9,3,0,224,274,617,1636,1414,1295,1127,300,28,0,6689,142,302,322,181,151,159,69,8,0,1334,9,60,281,355,339,188,29,0,0,1276,7,7,48,34,37,47,8,0,0,199,0,4,19,19,34,34,3,0,0,112,23,52,198,203,163,160,44,6,0,848,9,10,22,17,5,25,6,4,0,93,61,85,242,189,164,124,51,7,0,930,62,131,313,165,160,126,40,4,0,1002,15,21,84,92,76,67,23,9,0,390,0,5,15,13,9,14,0,0,0,55,0,4,16,25,8,24,4,0,0,88,0,4,10,11,17,21,10,0,0,77,0,10,88,70,54,75,36,7,0,337,11,34,79,77,76,73,27,0,0,380,34,138,426,440,438,312,88,3,0,1874,36,122,441,441,382,310,89,8,0,1829,30,104,490,438,397,455,112,8,0,2034,15,57,122,108,88,70,28,4,0,493
RA75,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,3,9,15,7,6,9,3,0,0,48,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,12,0,10,14,16,17,13,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,5,3,4,5,4,0,0,0,14,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RA80,94,229,631,422,284,155,50,13,6,1891,6839,13573,32004,29265,23511,13901,3186,294,29,122600,35,64,142,104,82,114,70,27,5,637,0,15,33,40,36,18,5,0,0,148,289,425,1043,817,865,501,159,29,0,4130,23,144,529,485,403,243,42,3,0,1875,772,2078,5099,3838,2690,1607,426,50,3,16569,71,235,423,441,402,309,79,9,3,1974,2894,3303,4255,2169,1626,1278,468,61,7,16060,4298,3532,4105,1879,1086,737,192,25,0,15852,92,362,1394,1147,1034,859,303,25,5,5225,97,316,975,995,805,407,89,18,4,3710,29,287,979,995,699,400,119,22,6,3527,71,354,830,658,503,384,153,39,11,2999,287,2593,7730,7263,5127,2981,972,133,9,27091,168,592,1776,1522,1201,924,285,33,3,6490,708,4679,17724,21422,18298,9234,1513,86,3,73664,1103,2239,5250,5683,4920,3135,872,97,8,23294,638,2929,8231,6740,5126,3648,1014,82,0,28417,677,782,1002,767,630,425,174,39,6,4487
RA81,0,0,0,0,0,0,0,0,0,3,12,17,46,46,32,28,4,0,0,195,7,0,4,4,3,3,10,3,0,28,0,0,0,0,0,0,0,0,0,0,6,0,5,5,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,9,12,14,5,6,0,0,0,54,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,4,0,0,0,14,3,3,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,0,0,0,6,0,0,12,9,7,0,3,0,0,39,0,0,0,0,0,0,0,0,0,10,0,0,20,27,15,15,0,0,0,74,0,0,11,14,12,12,0,0,0,51,3,5,6,12,9,0,3,0,0,35,0,5,11,4,0,0,0,0,0,24
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,6,16,10,29,7,17,7,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,32,34,71,19,15,12,0,0,0,182,0,0,3,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3
RA94,5,9,9,9,7,8,6,5,0,45,56,73,179,218,251,262,106,20,0,1157,0,0,6,4,9,11,0,0,0,34,3,5,11,20,29,22,9,0,0,103,0,0,4,4,5,14,3,0,0,36,0,0,10,12,5,16,9,0,0,51,9,19,39,33,51,52,13,4,0,218,0,0,6,3,4,5,3,3,0,34,14,10,16,34,30,53,30,11,3,203,35,16,36,37,47,56,24,5,0,250,0,13,25,19,19,24,9,0,0,114,0,0,0,0,3,7,6,0,0,15,0,0,6,6,6,5,0,0,0,25,0,0,0,8,4,5,0,0,0,20,0,3,6,11,17,32,7,3,0,73,5,6,17,34,37,36,15,3,0,154,8,25,89,105,107,85,38,6,0,458,0,10,33,27,35,45,9,0,0,155,0,5,25,29,37,50,29,3,0,187,12,7,6,10,16,15,4,0,0,61
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
