RA_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA51,95216,99174,194386,598,644,1243,131,115,244,132,174,304,103,110,212,376,558,928,11,18,29,488,689,1173,43,41,88,241,272,514,313,441,759,52,83,141,29,27,59,58,38,97,77,70,148,52,52,98,175,135,311,61,53,114,86,64,156,17,19,40,551,458,1013,673,693,1361,86,137,227,28,21,42,130,114,241,17,20,40,146,141,287,35,23,60,110,141,251,100,117,218,62,92,150,20,6,26,24,28,57,344,396,742,115,175,291,368,478,843,184,238,422,1003,1287,2294,208,225,437,44,48,97,78,294,372,10,3,17,147,213,355,1347,1394,2744,6720,7752,14477,10092,6490,16586,302,192,493,112330,113614,225941
RA52,76835,75979,152814,551,551,1094,77,47,129,238,251,488,65,71,134,315,356,670,12,22,36,396,447,843,25,26,58,168,163,335,237,339,575,48,27,78,26,25,48,54,48,103,109,99,205,43,36,78,120,94,218,50,36,84,75,57,133,24,20,43,500,417,918,305,326,629,34,48,82,3,17,19,31,39,71,48,46,91,165,146,315,56,36,90,51,70,120,69,75,138,36,46,84,42,43,79,16,12,35,417,497,919,122,170,290,467,558,1022,356,417,778,1363,1642,3001,127,110,237,61,47,106,86,321,409,17,10,24,160,206,366,1795,1654,3451,6517,6960,13474,9989,8133,18125,265,154,419,93609,91228,184833
RA53,40479,35975,76463,254,227,481,56,27,83,585,640,1225,62,81,145,176,226,403,14,8,24,250,315,566,26,18,48,150,116,263,132,185,312,44,30,80,24,16,40,73,63,137,106,68,178,35,27,65,62,50,108,79,55,131,51,33,84,20,18,43,453,332,785,143,110,255,27,40,60,11,9,23,22,28,53,24,22,42,47,33,82,16,11,29,25,30,57,43,50,96,22,23,47,13,8,19,18,12,32,265,273,538,74,100,179,359,337,701,169,196,370,873,907,1780,142,173,318,44,35,77,99,274,373,21,13,31,67,82,152,1270,1212,2479,4324,4395,8717,10265,6811,17078,224,152,379,55294,47341,102631
RA54,42090,27723,69811,221,92,314,79,29,109,3650,3894,7547,57,43,106,284,192,475,17,5,23,356,242,599,67,45,114,151,145,297,179,153,328,58,31,88,29,9,35,38,12,48,55,25,83,24,5,29,61,23,84,63,22,80,41,13,53,28,3,33,342,98,437,190,127,317,30,36,63,18,7,31,47,24,72,42,9,52,56,36,89,53,18,63,51,41,92,95,74,169,31,12,46,23,6,32,40,14,54,219,107,332,122,74,200,314,137,454,113,59,170,772,385,1159,208,179,381,47,20,61,84,172,254,7,9,10,151,131,281,4690,4429,9113,8167,6674,14840,19271,7359,26631,490,300,789,70021,42058,112078
RA55,1404,244,1654,0,0,0,3,0,3,3,0,0,0,0,0,8,3,12,0,0,0,8,3,12,0,0,0,9,4,6,3,0,5,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,5,0,5,3,0,3,0,0,0,16,0,14,3,0,3,4,0,4,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,5,7,0,7,3,3,8,0,0,0,18,0,20,13,0,13,28,0,28,6,0,6,67,7,74,4,0,4,0,0,0,5,4,8,0,0,0,7,0,7,41,5,41,208,22,233,1238,122,1364,143,16,164,3003,413,3413
RA61,139248,148493,287731,215,221,436,427,424,853,55,71,129,657,714,1372,3314,4027,7340,88,94,175,4053,4830,8889,89,104,195,269,315,582,421,493,919,484,533,1017,373,275,649,413,278,695,615,505,1122,3521,3015,6543,1328,963,2287,472,442,915,813,406,1224,90,65,160,7641,5955,13594,399,421,816,183,252,434,41,38,75,300,305,604,11,12,26,258,275,536,226,228,455,222,281,502,192,226,418,118,153,279,22,8,34,57,68,124,159,284,444,150,183,333,224,386,608,92,141,233,623,994,1614,587,641,1235,217,180,398,127,316,441,40,41,80,589,742,1322,2539,2527,5070,20360,20591,40957,7796,7414,15208,457,264,724,167861,176762,344620
RA62,88346,90522,178869,79,94,177,67,68,132,21,26,49,74,87,156,263,394,664,4,8,12,344,488,831,10,6,14,97,106,201,213,263,480,51,62,114,21,22,45,27,25,52,87,74,157,319,272,587,157,85,235,90,85,178,178,57,237,9,12,19,892,618,1514,90,48,136,53,82,132,5,5,10,29,42,72,3,0,9,41,41,74,18,11,28,51,55,104,29,28,53,48,57,100,15,12,28,17,7,25,39,115,146,36,50,85,38,153,192,33,75,109,145,389,535,143,162,307,40,28,65,35,122,158,10,9,21,51,89,143,698,736,1435,3262,3639,6909,5935,5526,11461,158,100,259,97701,99791,197497
RA63,3956,3475,7428,9,12,20,0,0,0,9,6,10,0,0,3,21,32,51,0,4,4,24,40,63,3,5,0,8,3,16,16,23,36,0,0,0,0,0,0,9,0,9,3,5,7,77,53,126,7,4,16,9,9,15,28,0,34,0,0,0,135,72,207,4,5,5,4,4,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,7,8,9,0,0,0,4,0,3,0,0,0,0,4,3,5,7,11,5,4,6,4,8,11,5,4,11,13,20,36,13,14,27,3,0,3,3,7,13,0,0,0,3,9,9,37,37,69,285,254,546,509,436,945,31,19,45,4781,4181,8965
RA64,1123,993,2114,3,3,15,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,3,6,3,11,0,0,0,0,0,3,0,0,0,0,4,5,0,0,0,8,0,5,6,3,9,0,0,0,0,0,0,16,7,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,0,6,9,6,0,0,4,3,0,7,0,0,0,9,6,17,0,0,3,0,0,0,3,8,6,0,0,0,0,0,0,7,15,18,51,60,110,112,109,221,6,5,3,1291,1164,2455
RA65,181,59,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,16,0,16,97,13,110,8,0,13,299,76,378
RA72,51699,50269,101969,118,109,225,181,111,292,672,898,1571,318,404,717,931,1196,2130,294,325,622,1543,1926,3471,9,14,19,209,269,479,222,307,529,1637,1547,3185,398,261,661,225,202,428,414,331,745,1399,1248,2642,580,526,1102,423,404,828,485,297,781,78,64,146,4001,3331,7332,264,290,552,77,101,173,72,126,198,125,165,284,7,8,13,554,523,1079,57,36,87,43,58,103,237,307,543,62,73,132,38,24,60,20,24,45,767,1016,1786,474,701,1171,1089,1449,2533,360,516,875,2685,3680,6366,253,313,566,257,243,502,258,626,880,34,22,61,577,747,1326,2403,2808,5212,15988,17830,33816,9371,7995,17364,2077,552,2629,79131,76649,155778
RA73,17346,17078,34428,45,51,89,85,62,143,3717,4242,7958,37,55,89,145,220,365,7,15,20,189,281,472,3,4,4,64,90,154,85,103,183,38,29,68,36,19,49,29,22,52,129,107,227,212,174,386,254,218,469,87,62,147,64,44,106,9,11,16,812,648,1461,67,68,130,23,32,53,11,17,30,32,33,62,0,0,0,232,242,477,8,13,18,14,12,25,30,37,71,14,15,27,43,49,91,4,3,6,103,144,251,31,40,69,198,234,429,36,58,96,367,478,849,86,102,191,23,21,38,46,86,124,0,0,0,120,122,237,4308,4805,9107,6839,7502,14336,4105,3459,7560,122,118,238,28415,28156,56571
RA74,8972,7940,16915,31,27,57,22,13,31,13032,13496,26529,9,9,20,45,52,96,0,4,6,52,64,123,4,3,3,37,45,80,50,57,107,18,18,36,11,3,12,8,5,17,19,8,28,43,30,68,18,13,32,18,13,31,6,0,3,4,3,8,122,82,200,32,27,53,9,9,16,0,0,3,9,6,16,4,6,8,29,17,49,7,0,12,10,9,16,4,10,14,11,6,16,3,5,7,3,0,9,31,38,67,27,28,53,26,55,82,8,12,20,93,132,223,46,37,81,14,10,22,24,26,53,4,4,8,15,11,27,13156,13612,26765,13952,14390,28346,3865,2223,6089,224,95,323,27015,24651,51671
RA75,248,45,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,3,0,4,0,0,0,4,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,29,4,32,133,14,153,12,7,17,429,73,494
RA80,159245,162380,321624,361,357,722,2019,1852,3871,116,171,289,1967,2279,4243,6703,7719,14419,227,310,539,8901,10309,19206,1063,1169,2233,1085,1250,2335,818,961,1776,1231,1304,2534,1385,1311,2695,917,853,1767,2421,2356,4777,3181,2690,5870,2694,2329,5022,1068,1097,2159,2000,1646,3644,518,484,1007,14174,12767,26946,1322,1502,2825,549,681,1235,196,217,414,1323,1477,2797,361,399,759,1373,1393,2768,638,600,1241,452,554,1009,426,487,907,403,518,920,258,279,536,603,616,1220,702,986,1685,530,676,1209,937,1343,2276,296,391,681,2463,3393,5863,1954,2160,4112,1222,1203,2427,436,859,1285,205,187,393,2183,2841,5023,8047,8242,16284,54088,57584,111670,9494,8815,18305,553,597,1151,223380,229370,452747
RA81,327,305,633,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,8,11,22,30,20,49,0,0,0,367,342,708
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,176,145,323,0,0,0,0,0,0,5,6,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,14,25,11,35,47,44,92,6,0,9,251,209,456
RA94,1013,1021,2034,3,4,9,4,5,3,0,0,4,29,32,62,128,105,236,19,20,35,174,157,332,0,0,0,4,0,9,6,6,8,7,0,6,0,0,0,0,0,0,3,0,3,0,0,0,4,4,4,0,0,0,3,0,3,3,0,5,8,7,11,0,0,0,0,4,5,0,0,0,3,0,8,0,0,0,0,3,7,0,0,0,0,0,0,5,0,3,0,7,10,0,0,4,0,4,3,10,12,21,8,11,16,18,16,35,333,327,661,379,363,735,0,11,13,4,3,4,6,11,6,0,0,0,0,6,10,379,365,739,979,945,1924,642,377,1016,13,5,17,2649,2343,4993
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
