POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3174,534,354,570,423,342,326,213,153,56,2966,6500,4928,7372,5674,4530,4185,3365,2125,882,39554
POA3175,1016,649,1033,883,635,533,425,270,152,5594,9745,6515,9679,7991,6099,5388,4430,2840,1265,53953
POA3177,262,150,254,190,135,108,91,62,35,1291,2323,1449,2267,1789,1299,1157,887,513,201,11881
POA3178,256,210,189,176,239,252,126,74,24,1551,5607,4539,3776,4159,4985,5070,3020,1613,543,33309
POA3179,60,40,36,56,47,25,24,15,6,306,1049,835,691,907,873,736,592,263,63,6016
POA3180,56,48,43,48,50,51,33,39,8,376,1278,915,925,1124,994,899,782,540,126,7581
POA3181,103,152,373,226,155,138,138,184,238,1710,1511,1984,6199,3313,2040,1631,1208,933,568,19389
POA3182,121,168,562,419,318,294,148,73,14,2118,1661,1836,6392,4241,3000,2554,1552,659,175,22061
POA3183,210,143,323,247,161,114,84,51,24,1342,2727,1877,4438,3105,2124,1564,1151,540,223,17757
POA3184,152,77,237,254,184,119,67,39,14,1146,1920,1203,3212,2771,2339,1701,988,407,133,14685
POA3185,126,88,116,108,81,66,52,34,18,694,2267,1449,2292,1959,1803,1418,1119,597,281,13184
POA3186,196,158,81,127,201,196,153,111,58,1280,3575,2679,1820,2422,3429,3259,2737,1914,952,22791
POA3187,195,110,66,110,144,85,77,62,67,922,3157,2043,1142,1930,2635,2092,1578,1197,828,16608
POA3188,208,136,117,145,172,155,112,74,18,1144,3237,2289,1644,2318,3008,2592,1740,1042,385,18252
POA3189,65,34,57,65,56,45,42,44,42,452,1168,619,834,1055,873,694,546,369,206,6367
POA3190,141,83,92,105,116,63,46,24,19,690,2182,1187,1592,1857,1843,1301,1035,590,282,11863
POA3191,98,57,60,75,113,83,78,41,56,666,1727,1196,832,1275,1727,1541,1212,751,477,10739
POA3192,271,140,197,181,192,127,112,95,41,1364,4336,2452,3023,3751,3363,2612,2010,1428,936,23907
POA3193,192,131,52,90,182,158,121,69,38,1021,3443,2513,1121,1919,3301,2961,2477,1456,612,19792
POA3194,97,60,91,104,102,74,62,46,45,685,2071,1322,1708,1894,1982,1582,1265,872,402,13093
POA3195,366,251,212,263,329,256,147,100,43,1966,6915,4581,3569,5046,6084,4784,3222,1878,850,36937
POA3196,313,171,230,258,243,214,143,101,37,1711,4804,2408,3476,4179,3743,3151,2487,1542,689,26481
POA3197,131,83,87,93,98,81,55,50,14,700,1996,1184,1305,1561,1832,1694,1352,690,242,11857
POA3198,277,136,190,227,246,164,88,75,29,1423,3031,1572,2328,2669,2426,2028,1623,998,359,17029
POA3199,865,556,723,635,622,515,363,241,150,4667,9733,6233,7516,7535,7480,6698,5699,3499,1601,55993
POA3200,155,108,121,94,95,91,37,33,11,749,1003,633,970,697,655,700,464,339,196,5662
POA3201,367,188,245,206,206,152,100,69,68,1606,4198,2476,3666,3181,2867,2522,1668,844,425,21837
