POA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
POA3053,1040,467,690,761,1231,638,109,125,6711,0,0,0,0,0,0,0,0,0,7,11,1835,821,1288,551,803,906,1429,760,172,182,8753
POA3054,69,27,38,37,34,10,0,14,691,0,0,0,0,0,0,0,0,0,0,3,1013,193,222,63,73,84,79,25,16,39,1815
POA3055,334,118,163,196,196,66,13,35,2726,0,0,0,0,0,0,0,0,0,5,3,2130,552,587,181,218,265,259,93,32,78,4388
POA3056,517,192,188,231,260,106,15,57,4069,4,0,0,0,0,0,0,0,0,10,10,3817,862,1053,311,333,391,452,181,54,127,7579
POA3057,315,110,112,129,132,34,7,23,2016,0,0,0,0,0,0,0,0,0,3,6,1798,511,639,194,212,226,239,66,24,55,3958
POA3058,626,185,253,309,306,61,28,165,6893,0,0,0,0,4,0,0,0,0,6,11,6389,1116,1093,273,377,379,380,88,30,233,10361
POA3059,756,184,138,107,83,37,13,67,5781,3,0,0,0,0,0,0,0,0,4,15,4450,1100,875,212,161,118,105,48,13,103,7187
POA3060,776,196,285,327,338,108,25,143,5545,3,0,0,0,0,0,0,0,0,8,19,3068,897,901,209,322,349,358,115,27,169,6427
POA3061,239,71,66,48,56,16,3,49,2125,0,0,0,0,0,0,0,0,0,0,5,1446,279,254,76,74,52,66,20,3,61,2326
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,5,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,67,11,5,0,4,0,0,0,0,4,91
POA3064,10160,3626,2981,2356,3278,970,213,722,49225,18,7,9,5,3,6,3,0,0,71,122,15972,13193,11086,3794,3165,2506,3401,1035,245,924,55321
POA3065,233,44,49,46,74,29,17,40,1637,4,0,0,0,3,0,0,0,0,3,15,1588,454,437,103,124,158,202,86,50,69,3266
POA3066,269,90,65,77,109,32,15,40,1595,0,0,0,0,0,0,0,0,0,0,8,1274,414,538,171,155,186,233,88,42,74,3163
POA3067,267,98,113,114,134,50,6,31,1632,0,0,0,0,0,0,0,0,0,0,5,1229,369,534,164,188,204,213,95,24,41,3057
POA3068,175,62,42,61,68,32,3,42,1752,4,0,0,4,0,0,0,0,0,3,8,2614,492,548,153,136,173,171,80,35,105,4502
POA3070,259,67,81,87,80,32,3,71,2909,4,0,0,0,0,0,0,0,0,4,6,3761,654,714,157,173,199,177,71,36,136,6066
POA3071,232,70,76,88,89,29,4,227,2946,0,0,0,0,0,0,0,0,0,0,4,3045,534,557,148,133,144,135,42,12,270,5016
POA3072,903,262,323,406,405,122,24,150,7579,3,0,0,0,0,0,0,0,0,49,53,6085,1249,1350,375,424,504,499,144,32,263,10921
POA3073,1768,475,656,900,814,226,63,330,14060,18,0,0,0,0,0,4,0,0,62,80,9620,2065,2275,573,763,1004,918,256,75,494,18048
POA3074,1119,269,320,392,430,127,24,191,9374,0,0,0,4,0,0,4,0,0,10,17,6147,1119,1214,292,351,412,450,136,32,239,10386
POA3075,1292,257,331,402,476,136,12,202,9800,4,0,0,0,0,0,0,0,0,14,28,6269,1333,1393,289,363,430,505,144,18,263,11007
POA3076,1917,430,419,506,536,164,45,194,11264,5,0,3,0,0,0,0,0,0,81,97,6061,2628,2161,464,456,557,572,173,57,323,13458
POA3078,152,51,49,50,50,20,8,22,1386,0,0,0,0,0,0,0,0,0,0,0,1689,272,319,74,81,94,80,26,11,52,2694
POA3079,368,82,109,106,121,41,15,49,2569,0,0,0,0,0,0,0,0,0,4,6,2588,565,533,125,160,152,156,63,27,90,4464
POA3081,478,104,121,173,141,62,11,48,2976,3,0,0,0,0,0,0,0,0,4,10,2179,613,638,140,150,209,164,76,16,84,4264
POA3082,1097,250,215,265,284,78,14,144,8167,4,0,4,0,0,3,0,0,0,4,14,6299,1295,1305,284,260,294,308,85,17,188,10346
POA3083,1454,380,464,623,697,212,36,207,9759,4,5,0,0,0,0,7,0,0,8,25,5908,1597,1693,425,544,706,807,255,35,282,12257
POA3084,688,160,159,175,174,88,27,78,4654,5,0,0,0,0,0,0,0,0,0,10,4281,1068,961,211,230,217,215,105,35,131,7463
POA3085,339,66,82,62,74,33,0,31,2017,0,0,0,0,0,0,0,0,0,0,3,1900,567,479,91,103,84,88,39,6,67,3421
POA3087,178,32,53,33,30,22,0,14,1227,0,0,0,0,0,0,0,0,0,0,5,1174,274,247,39,63,44,46,25,7,29,1947
POA3088,444,64,85,66,84,28,0,39,2812,4,0,0,0,0,0,0,0,0,0,10,3390,912,659,107,118,93,112,41,12,96,5537
POA3089,128,11,15,8,16,0,0,11,624,0,0,0,0,0,0,0,0,0,0,5,1134,297,246,34,29,17,20,8,0,29,1820
POA3090,8,0,4,3,0,0,0,10,174,0,0,0,0,0,0,0,0,0,3,3,296,48,17,0,4,6,0,0,0,16,385
POA3091,5,0,3,0,0,0,0,5,87,0,0,0,0,0,0,0,0,0,0,0,180,11,9,0,9,0,0,0,0,5,213
POA3093,61,10,7,7,6,5,0,10,334,0,0,0,0,0,0,0,0,0,0,0,469,97,83,10,7,10,9,11,0,32,727
POA3094,107,17,21,14,14,6,3,3,542,0,0,0,0,0,0,0,0,0,0,4,968,206,182,31,30,27,35,14,9,23,1521
POA3095,287,75,80,50,57,14,0,20,1809,0,0,0,0,0,0,0,0,0,6,11,3128,830,552,125,119,87,81,28,5,79,5034
POA3096,14,0,4,0,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,202,33,19,8,4,3,3,0,0,6,269
POA3097,6,0,4,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,153,24,16,0,11,0,3,3,0,8,217
POA3099,19,0,3,0,4,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,407,81,61,8,8,0,5,0,0,16,587
POA3101,701,208,153,180,271,143,24,84,4579,7,0,0,0,0,0,0,0,0,9,12,4183,924,999,249,199,245,321,182,39,173,7521
POA3102,142,40,18,39,37,30,3,21,1170,0,0,0,0,0,0,0,0,0,0,0,1149,212,213,52,31,56,55,33,6,26,1832
POA3103,902,239,295,225,318,134,38,87,5296,0,0,0,0,0,0,0,0,0,3,3,3312,1048,1047,261,311,245,353,149,39,125,6888
POA3104,1051,279,306,316,352,201,47,101,7195,0,0,0,0,0,0,0,0,0,10,12,4843,1339,1208,307,346,358,380,217,53,136,9181
POA3105,380,73,73,56,54,22,4,64,3639,0,0,0,0,0,0,0,0,0,5,5,3150,496,451,89,85,74,73,36,9,78,4527
POA3106,734,127,135,138,176,75,9,94,5373,5,5,0,0,0,0,0,0,0,44,47,4391,975,866,155,158,150,193,99,20,173,7180
POA3107,606,131,98,77,104,31,16,73,4352,3,0,3,0,0,0,0,0,0,7,15,3507,748,719,143,107,108,121,39,19,114,5634
POA3108,1929,490,503,525,564,288,106,172,11336,5,0,0,0,0,0,0,0,4,9,28,6383,2080,2180,536,552,561,639,309,118,241,13585
POA3109,2235,516,604,584,616,293,103,179,13332,5,0,3,0,0,0,0,0,0,5,15,7855,2487,2458,579,665,664,663,319,115,251,16051
POA3111,493,92,102,118,81,38,12,65,3160,12,0,3,0,0,0,0,0,0,10,16,2636,679,593,117,126,147,99,38,17,102,4547
POA3113,70,21,18,13,27,8,3,0,567,0,0,0,0,0,0,0,0,0,0,0,1109,176,132,27,18,31,39,10,3,21,1560
POA3114,40,0,10,0,11,5,0,0,255,0,0,0,0,0,0,0,0,0,0,0,513,54,74,0,13,4,11,10,6,6,690
POA3115,27,4,3,10,0,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,389,51,44,13,3,11,6,8,0,3,518
POA3116,227,33,51,50,56,26,13,11,1250,0,0,0,0,0,0,0,0,0,0,5,1498,410,301,63,51,61,59,29,11,29,2509
POA3121,582,178,181,240,233,101,39,91,4819,0,0,0,0,0,0,0,0,0,9,13,4600,1115,1232,368,420,515,553,240,105,175,9312
POA3122,642,245,246,304,382,164,33,38,3523,4,0,0,0,0,0,0,0,0,4,4,2575,754,983,328,363,408,488,221,48,101,6252
POA3123,494,145,153,205,206,85,38,29,2689,0,0,0,0,0,0,0,0,0,0,0,2051,621,719,202,207,250,243,105,55,67,4514
POA3124,658,175,179,207,231,88,35,61,4134,0,0,0,0,0,0,0,0,0,0,0,3842,911,861,218,227,267,274,117,38,105,6858
POA3125,924,308,378,425,614,230,22,91,5513,0,0,0,0,0,0,3,0,0,5,13,2543,1001,1072,336,441,481,705,276,36,132,7023
POA3126,274,56,44,47,68,21,7,28,1493,0,0,0,0,0,0,0,0,0,0,0,1357,368,348,68,58,52,82,28,14,61,2445
POA3127,497,175,134,162,166,60,8,40,3073,0,0,0,0,0,0,0,0,0,7,3,2750,803,699,211,173,186,215,74,10,79,5205
POA3128,1980,689,1007,1036,1012,384,107,253,10394,3,0,3,0,0,0,5,0,0,24,42,3491,1701,2175,738,1066,1103,1090,415,112,331,12212
POA3129,1043,282,365,331,396,152,23,114,6130,5,0,0,0,0,0,0,0,0,5,6,3486,1267,1156,319,402,367,434,165,23,148,7770
POA3130,1472,328,388,373,422,146,33,139,8304,4,0,0,0,0,0,0,0,0,8,17,5681,1931,1702,382,433,430,478,173,35,211,11445
POA3131,1305,286,305,335,389,99,35,139,7155,4,0,0,0,0,0,0,0,0,18,22,4454,1548,1479,308,336,380,429,115,37,207,9289
POA3132,786,180,195,163,187,56,23,60,4052,5,0,0,0,0,0,0,0,0,0,5,2624,1057,925,199,237,184,230,58,28,82,5621
POA3133,1370,280,266,274,270,108,29,112,7229,3,3,3,0,0,0,0,0,0,50,62,4714,1827,1574,306,296,304,287,119,35,205,9652
POA3134,1355,340,369,431,364,101,25,76,6469,8,0,0,0,0,0,0,0,0,43,52,4652,1717,1626,376,418,485,399,123,35,179,10016
POA3135,779,133,148,194,183,63,11,33,3146,3,0,0,0,0,0,0,0,0,11,14,2331,1011,913,157,171,207,204,69,19,86,5169
POA3136,1401,306,256,274,283,86,21,74,5905,4,0,0,0,0,0,4,0,0,0,13,5507,1925,1706,346,294,320,348,100,38,188,10769
POA3137,315,59,36,52,36,14,8,21,1290,3,0,0,0,0,0,0,0,0,4,6,1604,477,402,83,46,67,51,19,8,47,2795
POA3138,681,112,107,165,122,32,3,43,2663,0,0,0,0,0,0,0,0,0,0,3,2468,912,824,129,126,184,138,40,9,87,4928
POA3139,32,4,5,5,0,7,0,8,323,4,0,0,0,0,0,0,0,0,0,7,1285,160,89,10,8,19,8,4,8,39,1629
POA3140,195,49,28,34,49,14,9,12,1027,0,0,0,0,0,0,0,0,0,0,3,1965,346,341,74,36,44,67,16,18,50,2958
POA3141,955,369,381,377,531,213,57,64,4940,0,0,0,0,0,3,0,0,0,0,5,3229,1092,1637,557,638,675,929,375,125,122,9377
POA3142,292,70,80,80,129,55,21,27,1870,0,0,0,0,0,0,0,0,0,0,0,2266,424,442,104,135,148,175,85,29,73,3891
POA3143,225,93,79,96,106,44,11,15,1327,0,0,0,0,0,0,0,0,0,0,5,1336,278,382,129,122,127,144,69,25,37,2643
POA3144,162,42,60,63,89,35,8,14,1216,6,0,0,0,0,0,0,0,0,0,3,1541,248,299,59,92,95,119,54,18,36,2548
POA3145,635,192,271,362,462,165,23,56,4452,0,0,0,0,0,0,3,0,0,26,38,3505,759,882,256,330,417,583,215,29,135,7104
POA3146,623,146,202,193,186,87,33,52,4080,0,0,0,0,0,0,0,0,0,5,11,4042,980,939,199,262,248,240,120,56,116,7203
POA3147,479,116,109,149,154,51,14,52,3271,0,0,0,0,0,0,0,0,0,0,3,2799,682,671,150,139,181,176,60,26,91,4976
POA3148,517,131,146,203,172,77,19,60,3557,6,0,0,0,0,0,0,0,0,0,9,2163,768,634,152,179,237,206,84,19,93,4526
POA3149,2134,570,621,565,772,355,73,192,13355,5,0,0,0,0,0,0,0,0,13,31,7799,2960,2484,678,692,647,869,401,85,266,16883
POA3150,4502,1143,1140,1320,1526,612,211,410,28066,9,0,0,0,0,0,0,0,0,33,57,16671,5722,5036,1220,1237,1455,1655,700,233,588,34518
POA3151,692,192,236,233,299,110,17,60,4620,0,0,0,0,0,0,0,0,0,0,7,2671,783,790,222,255,268,335,112,15,81,5544
POA3152,1817,320,317,374,404,118,49,146,11302,0,0,0,0,0,0,0,0,0,48,56,8086,2996,2115,365,351,416,440,139,58,259,15225
POA3153,839,181,168,188,182,76,17,117,4296,6,0,0,0,0,0,0,0,0,25,30,3053,1245,1006,221,194,225,219,92,20,195,6469
POA3154,52,12,3,3,10,0,0,19,273,0,0,0,0,0,0,0,0,0,4,5,514,85,65,13,13,6,7,5,3,36,755
POA3155,756,187,151,121,187,75,23,31,3767,10,3,0,0,0,0,0,0,0,32,42,3166,1291,929,217,180,152,234,84,26,128,6401
POA3156,963,149,159,106,169,52,11,53,5076,6,0,4,0,0,0,0,0,0,3,7,5587,1594,1234,203,203,137,198,65,17,138,9368
POA3158,59,11,10,7,4,5,0,3,289,0,0,0,0,0,0,0,0,0,0,0,773,161,124,24,23,12,3,3,0,28,1145
POA3159,11,0,0,3,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,299,57,28,0,0,7,0,0,0,13,397
POA3160,44,4,9,6,10,8,0,4,341,0,0,0,0,0,0,0,0,0,0,0,1056,237,154,24,21,15,27,11,3,28,1568
POA3161,535,158,216,251,348,135,42,53,3280,0,0,0,0,0,0,0,0,0,7,11,3155,578,781,217,271,320,410,186,66,100,6077
POA3162,346,110,100,141,194,56,41,132,3481,3,0,0,0,0,0,0,0,0,12,20,4371,703,591,172,156,209,275,88,58,228,6857
POA3163,1587,533,691,806,883,251,85,180,9489,4,0,0,0,3,3,0,0,0,11,21,5566,1846,2026,662,830,977,1007,300,103,269,13590
POA3165,1034,239,236,233,250,77,45,93,6927,0,0,0,0,0,0,0,0,0,6,9,5856,1760,1438,305,306,306,338,114,56,164,10629
POA3166,1158,361,377,468,472,187,39,122,7771,0,0,0,0,0,0,0,0,0,7,12,5073,1328,1372,416,435,555,564,218,50,170,10177
POA3167,478,104,145,182,153,49,15,47,3468,0,0,0,0,0,0,0,0,0,0,4,2478,621,558,114,156,209,175,57,18,74,4454
POA3168,1843,825,1101,1559,1992,810,143,270,12105,4,0,0,0,0,4,4,3,0,82,99,3044,1600,2073,919,1229,1727,2198,914,160,426,14279
POA3169,1326,413,533,679,723,206,42,312,10281,4,0,0,0,0,0,0,0,0,14,23,5922,1604,1495,472,585,731,803,230,47,368,12262
POA3170,939,211,244,214,271,99,13,118,7237,3,0,0,0,0,0,0,0,0,5,10,5109,1622,1129,243,278,239,295,113,22,162,9222
POA3171,2046,585,717,878,873,272,41,377,13372,3,0,5,0,4,0,0,0,0,22,33,6476,1931,2190,625,770,926,946,298,42,451,14655
POA3172,1071,283,273,361,311,120,31,214,8309,3,0,0,0,0,0,0,0,0,4,22,6124,1302,1234,325,288,390,328,124,29,276,10423
POA3173,1716,435,357,487,462,163,36,241,13318,9,0,0,0,0,0,0,0,0,8,17,9005,2781,1942,481,397,513,518,184,46,320,16187
POA3174,3170,942,1015,1254,1293,418,93,473,19560,21,11,0,0,4,0,3,0,0,17,65,10360,3411,3480,1017,1116,1337,1388,432,117,591,23253
POA3175,5361,1060,1159,1333,1582,526,243,571,25563,21,3,7,0,3,3,3,0,0,174,213,12342,4834,5674,1116,1251,1438,1666,563,252,903,30050
POA3177,1444,193,269,267,332,105,52,111,5499,0,0,4,0,3,0,0,0,0,3,16,2358,1121,1526,219,300,280,358,111,56,170,6485
POA3178,997,190,215,178,229,63,15,79,7897,7,0,0,0,0,0,0,0,0,9,14,7390,1943,1184,242,257,215,262,73,18,148,11742
POA3179,284,57,73,42,70,8,5,6,1785,0,0,3,0,0,0,0,0,0,0,4,1230,574,340,54,77,45,74,16,7,16,2428
POA3180,422,52,70,61,80,34,4,5,1919,0,0,0,0,0,0,0,0,0,0,0,1323,591,480,66,73,65,89,38,9,23,2751
POA3181,404,133,173,189,200,76,23,72,2861,0,0,0,0,0,0,0,0,0,88,97,2743,669,987,280,339,391,432,164,65,207,6263
POA3182,662,217,273,314,377,124,26,55,3466,5,0,0,5,0,0,0,0,0,7,16,2860,1024,1380,451,505,612,752,253,70,114,8017
POA3183,388,129,177,187,240,72,12,47,2533,0,0,3,0,0,0,0,0,0,11,12,2546,686,839,245,320,322,390,119,26,97,5599
POA3184,269,68,98,100,120,50,3,20,1503,4,0,0,0,0,0,0,0,0,0,6,1840,494,663,154,191,201,255,87,27,51,3950
POA3185,266,77,94,93,98,45,20,20,1775,4,0,0,0,0,0,0,0,0,0,4,2064,477,551,141,160,199,183,81,29,55,3930
POA3186,323,97,122,159,185,95,28,65,2583,4,0,0,0,0,0,0,0,0,9,17,3617,731,692,170,206,242,274,162,44,148,6288
POA3187,292,97,111,101,125,89,17,47,2450,0,0,0,0,0,0,0,0,0,20,23,2896,628,533,145,165,136,199,121,20,126,4968
POA3188,285,66,84,76,95,59,7,28,2045,4,0,0,0,0,0,0,0,0,0,13,2901,761,691,131,161,127,180,85,15,90,5148
POA3189,183,53,65,70,49,18,5,27,1323,4,0,0,0,0,0,0,0,0,3,6,1141,354,301,63,77,86,56,27,5,35,2145
POA3190,287,70,53,51,60,24,7,18,1814,0,0,0,0,0,0,0,0,0,0,0,2011,545,561,136,83,82,84,37,16,48,3616
POA3191,174,31,44,28,31,17,8,20,913,3,0,0,0,0,0,0,0,0,0,8,1531,399,458,66,88,75,71,34,21,57,2810
POA3192,687,151,168,167,162,70,26,72,4154,7,0,0,0,0,0,0,0,0,3,12,3871,1170,1067,217,251,241,218,88,46,108,7269
POA3193,148,40,27,42,52,23,13,24,1362,0,0,0,0,0,0,0,0,0,3,8,2998,682,521,113,103,107,113,64,17,93,4805
POA3194,313,72,63,83,108,32,3,30,1900,0,0,0,0,0,0,0,0,0,0,0,2051,572,530,129,96,148,139,40,12,68,3777
POA3195,526,169,109,98,143,41,18,50,4635,0,0,0,3,0,0,0,0,0,4,7,5962,1421,1151,271,200,180,208,54,33,147,9619
POA3196,348,72,72,50,49,33,3,43,2410,3,0,0,0,0,0,0,0,0,11,12,3817,806,822,137,135,120,98,43,11,143,6147
POA3197,154,36,26,42,39,14,0,20,1290,0,0,0,0,0,0,0,0,0,3,3,2014,339,289,59,56,66,55,25,5,45,2954
POA3198,179,56,33,28,42,20,0,13,1142,9,0,0,0,0,0,0,0,0,3,12,2207,415,407,94,59,55,56,36,10,71,3397
POA3199,673,203,188,213,241,87,27,91,4557,8,0,4,0,0,0,0,0,0,71,79,7663,1667,1400,289,272,272,335,113,37,369,12429
POA3200,47,12,10,14,22,8,4,16,464,0,0,0,0,0,0,0,0,0,3,8,708,158,85,24,11,18,29,4,4,45,1092
POA3201,442,94,68,92,95,34,17,44,2790,0,0,0,0,0,0,0,0,0,3,12,3080,973,709,140,104,123,112,36,21,126,5423
POA3202,126,20,7,24,19,8,0,13,631,3,0,0,0,0,0,0,0,0,126,126,535,192,166,34,21,21,34,9,0,150,1161
POA3204,1360,311,381,492,527,177,58,121,7922,0,0,0,0,5,0,0,0,0,8,15,5967,1828,1857,414,518,609,628,214,92,188,12319
POA3205,391,101,119,134,145,54,17,47,2091,0,0,0,0,0,0,0,0,0,8,11,1710,594,678,167,195,224,244,95,33,92,4030
POA3206,91,22,49,26,64,24,10,22,1051,3,0,0,0,0,0,0,0,0,0,5,1484,327,278,52,90,76,126,51,20,43,2553
POA3207,382,102,94,113,112,41,9,38,2384,0,0,0,0,0,0,0,0,0,0,0,2620,716,823,204,192,212,225,103,31,94,5215
POA3211,9,0,3,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,147,33,12,0,3,0,0,0,0,3,199
POA3212,262,92,50,64,58,25,9,29,1404,7,0,0,0,0,0,0,0,0,260,269,1729,499,405,123,72,75,68,24,9,324,3330
POA3213,89,9,15,14,14,3,0,10,514,0,0,0,0,0,0,0,0,0,0,0,547,109,108,11,18,15,11,6,0,17,845
POA3214,1085,301,238,248,325,85,21,83,4330,5,0,0,0,0,0,0,0,0,11,15,2694,782,1191,326,265,273,349,95,27,175,6176
POA3215,456,112,130,151,162,71,15,98,3626,9,0,0,0,0,0,0,0,0,12,23,3414,450,581,131,143,175,204,82,15,161,5360
POA3216,961,283,390,444,571,260,18,75,5285,11,0,0,0,0,4,3,0,0,15,40,4843,1649,1489,366,473,551,728,324,33,238,10695
POA3217,557,130,156,138,209,74,29,26,2180,0,0,0,0,0,0,0,0,0,10,11,1035,876,873,181,193,201,267,88,38,68,3826
POA3218,216,82,93,107,128,32,4,24,1162,0,0,4,0,0,0,0,0,0,0,7,1103,280,345,109,109,126,151,56,8,44,2328
POA3219,274,75,78,97,104,34,6,37,1264,3,0,0,0,0,0,0,0,0,3,11,1640,293,358,89,101,121,131,38,9,91,2874
POA3220,241,77,99,131,165,56,28,33,1471,0,0,0,0,0,0,0,0,0,44,47,1466,375,399,111,140,161,208,97,38,107,3091
POA3221,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,51,3,6,0,0,4,3,0,0,5,67
POA3222,96,30,19,18,26,17,0,10,587,7,0,0,0,0,0,0,0,0,0,8,1909,294,258,63,48,44,38,18,10,63,2746
POA3223,28,3,4,4,4,9,3,13,446,0,0,0,0,0,0,0,0,0,28,33,1207,106,72,11,6,13,14,17,3,98,1546
POA3224,109,20,23,25,29,21,0,8,639,7,0,0,0,0,0,0,0,0,47,55,1354,229,179,30,26,31,44,29,5,87,2007
POA3225,12,6,6,8,12,0,0,5,123,0,0,0,0,0,0,0,0,0,0,0,481,39,42,3,8,10,10,0,4,29,625
POA3226,55,10,6,12,15,7,4,16,346,0,0,0,0,0,0,4,0,0,0,0,1313,244,178,41,24,25,26,14,10,107,1982
POA3227,13,0,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,375,55,56,11,4,12,13,5,0,20,554
POA3228,141,26,20,23,34,12,0,6,638,0,0,0,0,0,0,0,0,0,4,4,1654,502,478,76,76,56,87,44,15,46,3029
POA3230,23,0,0,3,4,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,231,15,45,9,5,5,4,0,0,14,343
POA3231,0,0,0,0,4,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,158,18,4,0,0,0,11,3,0,5,213
POA3232,16,3,4,18,19,7,0,0,92,0,0,0,0,0,0,0,0,0,0,0,134,25,29,8,10,20,19,5,0,6,256
POA3233,32,13,3,14,8,3,0,4,155,0,0,0,0,0,0,0,0,0,0,0,271,40,60,22,12,20,16,9,0,17,469
POA3234,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,31,3,0,6,0,5,6,0,0,0,48
POA3235,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,48,5,9,0,0,0,0,0,0,0,67
POA3236,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,32
POA3237,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,30,5,4,0,0,0,0,0,0,3,42
POA3238,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,31,5,3,0,0,0,0,0,0,0,37
POA3239,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,43
POA3240,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,104,17,18,0,0,0,0,0,0,12,161
POA3241,10,0,3,0,5,0,0,6,46,0,0,0,0,0,0,0,0,0,0,0,184,26,24,0,4,4,3,0,5,18,268
POA3242,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,71,4,9,0,0,0,0,0,0,4,94
POA3243,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,21
POA3249,6,6,0,0,12,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,170,17,20,9,4,4,14,0,0,9,243
POA3250,111,40,77,116,111,25,28,13,751,0,0,0,0,0,0,0,0,0,0,8,496,156,145,45,82,125,119,29,28,32,1265
POA3251,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,31
POA3254,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10
POA3260,13,3,6,9,8,4,0,0,84,0,0,0,0,0,0,0,0,0,0,6,230,28,25,10,4,14,7,6,0,13,336
POA3264,9,0,0,4,9,6,0,0,41,0,0,0,0,0,0,0,0,0,0,4,83,8,16,0,0,4,8,6,9,4,137
POA3265,17,3,7,5,3,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,88,37,30,13,7,5,3,7,0,16,196
POA3266,8,0,4,6,3,0,7,0,49,0,0,0,0,0,0,0,0,0,0,0,111,41,20,0,4,6,7,0,7,9,202
POA3267,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,17
POA3268,19,5,9,15,15,4,3,0,84,0,0,0,0,0,0,0,0,0,0,0,106,38,43,3,10,16,18,8,3,8,256
POA3269,7,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,44,10,15,0,0,4,4,0,0,0,78
POA3270,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,5,3,3,0,0,0,0,0,3,31
POA3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
POA3272,3,4,0,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,87,10,10,4,0,6,0,0,0,5,130
POA3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15
POA3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,6,0,0,0,0,0,0,0,25
POA3276,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,3,3,3,0,3,0,0,0,0,26
POA3277,3,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,56,12,19,0,0,0,5,0,3,3,94
POA3278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,4,0,0,0,24
POA3279,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,0,0,0,0,0,0,24
POA3280,275,87,115,187,261,55,16,30,1519,0,0,0,0,0,0,0,0,0,18,25,1442,449,438,119,140,216,313,81,28,108,3328
