POA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
POA3093,30,75,0,102,376,11,0,491,0,119,6,127,319,11,0,456,0,25,0,25,261,10,0,290,0,0,0,0,139,6,0,142,672,312,10,993,2211,100,0,3307
POA3094,60,145,3,214,841,25,0,1081,9,290,0,301,720,28,0,1043,3,49,0,53,482,13,0,545,5,0,0,5,138,6,0,146,1868,599,52,2522,4594,162,6,7283
POA3095,216,570,8,793,3182,79,4,4058,26,871,0,897,2189,83,3,3175,8,161,0,168,1074,56,3,1303,0,4,0,4,312,43,0,360,5480,1918,137,7535,14500,592,28,22656
POA3096,10,34,0,52,238,4,0,293,0,39,0,42,121,0,0,167,0,7,0,7,99,0,0,115,0,0,0,0,60,3,0,62,317,128,6,451,1098,34,4,1590
POA3097,23,37,0,54,167,12,0,233,0,53,0,58,116,7,0,171,0,9,0,9,64,4,0,80,0,0,0,0,13,0,0,13,243,123,18,385,793,64,0,1240
POA3099,44,119,0,164,576,20,0,765,7,126,0,137,419,19,0,573,0,12,0,12,203,16,0,240,0,0,0,0,37,0,0,42,905,334,36,1273,2558,134,0,3962
POA3101,299,221,8,526,2453,115,17,3109,31,564,5,603,1732,71,20,2427,15,168,0,183,1196,82,5,1470,4,9,0,12,689,95,0,792,4031,1243,62,5337,14392,810,82,20621
POA3102,71,56,4,128,734,21,3,888,10,127,0,135,437,26,0,598,3,47,0,51,303,17,0,371,0,0,0,0,156,8,0,159,1245,290,30,1559,3646,151,18,5373
POA3103,172,153,3,326,1560,34,17,1940,39,384,3,422,1141,40,13,1612,3,97,0,103,964,42,0,1105,0,8,0,10,562,39,0,605,2681,779,29,3492,9087,381,72,13037
POA3104,231,235,8,474,2346,58,17,2892,41,402,0,443,1385,47,13,1891,3,113,4,129,1033,36,7,1204,0,4,0,5,578,28,0,615,3991,951,58,4995,11869,471,79,17408
POA3105,91,136,3,223,1165,33,8,1429,22,228,0,249,816,34,11,1104,8,65,0,74,957,34,4,1061,6,4,0,8,469,24,0,497,1740,536,28,2302,6883,245,15,9444
POA3106,158,276,7,443,1917,58,8,2427,41,455,0,496,1510,52,15,2068,3,103,0,106,1211,85,4,1413,0,3,0,6,600,84,0,696,2738,1020,46,3803,9860,528,49,14246
POA3107,112,150,4,274,1314,32,11,1631,30,294,0,325,1024,31,0,1379,9,97,0,101,1238,60,0,1398,0,9,0,7,563,39,0,606,2509,662,44,3210,8147,367,32,11757
POA3108,179,272,6,457,2306,86,27,2881,56,470,4,529,1810,73,29,2435,15,154,0,168,1787,75,10,2039,0,0,0,0,902,68,0,972,3885,1112,45,5041,15486,849,117,21498
POA3109,253,399,8,659,2936,81,32,3708,92,639,6,739,2270,76,8,3091,10,163,6,172,2091,81,0,2349,0,5,0,5,934,45,0,988,5855,1471,75,7400,17024,771,86,25283
POA3111,95,163,8,270,1327,41,10,1640,26,274,3,302,966,34,6,1305,7,61,0,72,896,40,0,1013,0,6,0,6,526,45,0,568,2133,627,56,2814,7318,318,24,10472
