POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2256,2398,1516,1664,1806,2064,2329,2186,1578,674,16224
POA2257,5093,2829,2656,3656,3855,4227,4346,2714,994,30373
POA2258,954,695,579,663,734,783,513,240,71,5231
POA2259,12685,8277,7419,7819,8500,7838,7092,4771,1699,66088
POA2260,4935,3046,2435,3225,3657,3313,3014,1645,455,25716
POA2261,9915,5875,6385,6624,6635,7099,6630,3904,1834,54913
POA2262,4155,2523,2813,2309,2603,2628,2203,1469,440,21145
POA2263,4093,2631,2946,2628,2819,3198,3125,2038,885,24364
POA2264,2630,1768,1706,1628,1815,2137,2066,1599,611,15959
POA2265,1456,795,968,813,809,824,787,560,337,7350
POA2267,407,236,220,298,320,464,533,298,76,2850
POA2278,490,324,326,340,323,366,279,61,15,2529
POA2280,4736,3074,2653,3080,3546,3586,3374,2075,814,26924
POA2281,2497,1507,1166,1648,2001,2329,2222,1340,478,15189
POA2282,2792,1842,1260,1949,2203,2109,2017,1354,451,15956
POA2283,3899,2655,2426,2431,3020,3387,3459,2039,750,24074
POA2284,2189,1367,1576,1501,1536,1654,1327,848,411,12401
POA2285,6962,4071,4927,4913,4094,3413,2862,1665,653,33554
POA2286,922,566,710,551,554,540,487,244,55,4623
POA2287,7757,5603,5943,5505,4879,4175,3477,2080,996,40409
POA2289,3960,2574,2562,2869,2655,2135,1550,1178,503,19982
POA2290,6560,3857,4498,4489,4345,4099,3323,2272,1167,34613
POA2291,2405,1951,1833,1733,1958,1816,1333,696,340,14062
POA2292,408,385,498,371,340,282,190,88,38,2596
POA2293,393,441,741,435,371,417,282,113,36,3230
POA2294,305,211,412,285,234,260,163,77,31,1987
POA2295,1408,742,822,996,878,1034,1239,670,225,8018
POA2296,258,279,450,302,288,206,125,54,12,1978
POA2297,293,234,327,269,250,215,113,52,21,1785
POA2298,1375,1465,1884,1256,1144,1064,835,681,596,10304
POA2299,2015,1944,2041,1505,1342,1224,867,554,300,11792
POA2300,1139,1679,2462,1488,1517,1528,1205,575,153,11756
POA2302,86,175,379,175,144,192,164,128,72,1515
POA2303,1370,1336,1310,1182,1293,1252,1049,535,279,9607
POA2304,2458,1755,3016,2218,1789,1787,1394,767,530,15720
POA2305,2593,1640,1412,1773,1909,1712,1372,823,380,13612
POA2306,754,412,455,382,420,435,354,184,46,3438
POA2307,703,713,934,491,361,397,446,369,128,4545
POA2308,0,1122,33,4,0,0,0,0,0,1165
