POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2099,34,76,229,169,150,122,28,9,0,815,31,103,300,294,232,166,32,5,0,1162,951,1972,5364,5511,5057,3295,832,93,10,23081
POA2100,24,52,96,97,101,63,21,6,0,452,21,32,84,151,141,65,13,3,0,523,651,991,1790,2572,2978,1855,495,50,0,11383
POA2101,25,28,95,85,81,65,36,3,0,429,13,28,79,106,93,70,30,7,4,432,530,763,1781,2172,2286,1756,561,76,7,9933
POA2102,16,6,26,38,43,24,12,0,0,159,5,16,29,49,40,32,6,7,0,181,267,304,545,1005,1119,652,182,33,0,4107
POA2103,17,27,38,37,40,42,20,10,0,224,13,14,44,56,66,40,10,10,0,255,285,465,808,985,1284,1039,377,55,4,5297
POA2104,0,6,3,4,8,7,5,0,0,42,3,3,8,11,16,18,8,10,0,74,77,109,145,198,353,357,156,55,5,1441
POA2105,3,0,7,3,6,9,0,0,0,24,3,3,0,7,19,11,8,0,0,58,60,54,80,136,260,258,96,16,0,952
POA2106,9,19,24,27,41,43,8,10,0,177,10,10,42,57,68,64,20,7,0,273,305,451,799,846,1222,1109,366,60,0,5164
POA2107,20,19,26,42,49,41,17,3,0,215,19,20,37,75,75,85,22,8,0,341,453,573,719,1318,1845,1668,651,91,9,7333
POA2108,0,0,4,5,3,3,0,0,0,14,0,9,10,10,12,13,6,0,0,61,27,47,95,106,167,214,144,36,0,843
POA2110,10,14,12,12,28,29,6,4,0,107,12,16,23,31,57,31,19,3,0,205,213,370,487,820,1168,797,374,84,7,4321
POA2111,14,24,69,49,57,49,8,4,0,263,5,22,94,68,74,54,13,11,0,337,283,618,1924,1937,1806,1177,379,56,5,8198
POA2112,13,50,149,144,122,95,29,9,0,604,12,43,288,253,133,103,26,4,0,870,587,1541,5289,5003,3456,2532,674,63,4,19150
POA2113,6,43,115,81,78,72,17,0,0,416,12,58,223,180,88,67,19,0,6,657,497,1506,4831,3679,2214,1526,409,46,5,14710
POA2114,4,29,84,95,73,63,17,3,0,364,10,42,192,170,86,74,19,0,0,592,344,1039,3841,3470,2258,1696,414,52,3,13113
POA2115,11,22,35,53,57,37,16,0,0,220,7,15,80,74,41,36,4,0,0,266,210,475,1400,1523,1058,776,195,23,0,5659
POA2116,4,11,26,20,32,23,4,0,0,121,4,7,42,44,33,23,4,0,0,148,147,285,744,770,730,497,113,7,0,3296
POA2117,5,29,52,75,84,84,14,3,0,353,13,31,116,143,113,96,23,5,0,533,332,847,1926,2327,2182,1581,400,37,8,9639
POA2118,10,22,65,77,91,75,24,0,0,356,8,40,128,213,117,83,31,3,0,630,356,1046,2341,3532,2456,1838,526,75,0,12174
POA2119,12,17,8,23,37,28,7,3,0,132,7,13,29,56,57,35,17,5,0,213,301,500,689,1288,1502,1110,400,87,9,5875
POA2120,6,33,45,66,89,58,11,11,0,312,13,30,71,110,103,75,24,5,0,424,479,946,1414,2440,2758,1831,523,77,7,10466
POA2121,6,40,72,104,79,85,20,0,0,414,9,51,185,228,131,90,23,10,3,722,501,1441,4071,4437,3188,2341,600,74,5,16662
POA2122,9,31,78,100,89,75,25,5,0,413,8,71,223,203,127,111,27,0,0,771,334,1261,3625,3635,2637,2103,665,51,3,14307
POA2125,8,17,31,40,52,38,29,5,0,220,11,22,42,80,68,61,29,10,0,324,371,766,1093,1741,1859,1693,592,70,3,8185
POA2126,15,19,24,53,53,65,24,4,0,259,11,30,52,108,80,55,15,5,3,351,472,800,1100,2146,2326,1779,535,60,4,9225
POA2127,0,18,130,95,48,27,9,0,0,322,9,57,340,201,82,53,8,0,0,744,156,845,5357,3739,1705,928,277,17,3,13023
POA2128,0,4,11,20,13,6,4,0,0,52,0,4,20,30,16,9,0,0,0,74,24,83,314,324,177,117,28,0,0,1060
POA2130,0,10,37,22,19,10,8,0,0,111,0,12,42,51,24,10,10,0,0,151,75,310,1361,1057,793,494,140,12,0,4251
POA2131,0,26,96,69,57,49,13,0,0,310,3,58,229,112,79,43,23,7,0,552,223,1233,3996,2736,1858,1382,378,32,3,11845
POA2132,4,16,37,23,32,32,11,0,0,150,5,21,49,55,45,29,14,0,0,227,156,437,1089,1105,1136,812,207,26,3,4968
POA2133,0,11,45,39,41,32,16,0,0,180,9,11,39,45,39,24,5,0,0,170,204,421,954,1075,1204,822,217,15,0,4912
POA2134,0,23,54,30,26,22,8,7,0,176,3,98,253,90,80,52,9,0,0,592,156,1435,3322,1494,1016,817,200,30,4,8467
POA2135,3,32,73,47,46,45,8,6,0,259,15,149,267,136,74,79,11,7,0,738,323,2444,4234,2111,1857,1683,573,112,15,13353
POA2136,0,12,18,26,32,26,8,0,0,134,3,20,50,40,40,33,3,4,0,191,114,331,806,825,758,586,156,21,3,3606
