POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA4711,173,109,19,4,812
POA4712,20,27,8,0,121
POA4713,28,8,0,0,230
POA4714,258,249,92,26,1200
POA4715,497,289,147,59,3407
POA4716,58,37,12,0,296
POA4717,534,123,15,0,3764
POA4718,289,147,43,8,1854
POA4719,102,82,34,16,577
POA4720,1027,512,134,44,7252
POA4721,452,256,78,10,2728
POA4722,164,68,33,5,1011
POA4723,110,98,27,6,724
POA4724,41,25,18,7,235
POA4725,188,168,75,12,916
POA4726,40,45,11,3,189
POA4727,54,40,11,0,219
POA4728,17,35,4,0,120
POA4730,339,274,97,42,1907
POA4731,30,45,9,0,131
POA4732,33,41,12,0,130
POA4733,30,28,4,0,109
POA4735,171,244,50,3,854
POA4736,27,27,10,0,109
POA4737,613,452,189,55,3583
POA4738,111,120,45,0,557
POA4739,55,33,12,6,175
POA4740,6324,3803,1718,627,39913
POA4741,999,522,172,30,5149
POA4742,242,85,13,3,1465
POA4743,109,10,3,0,720
POA4744,1141,252,49,10,8444
POA4745,338,99,10,0,2369
POA4746,390,89,0,0,2359
POA4750,452,258,91,15,2660
POA4751,308,163,61,13,1932
POA4753,222,106,39,8,1855
POA4754,140,103,33,4,1063
POA4756,71,69,23,7,365
POA4757,54,36,11,3,208
POA4798,63,37,32,0,281
POA4799,106,102,39,6,445
POA4800,907,839,303,58,4910
POA4802,1715,1244,342,36,10041
POA4804,325,120,36,6,1780
POA4805,1096,983,435,72,5886
POA4806,280,262,125,35,1621
POA4807,747,575,280,95,4684
POA4808,82,72,20,4,469
POA4809,87,60,26,6,422
POA4810,2430,1536,587,157,13729
POA4811,864,533,246,63,6069
POA4812,1536,1017,525,242,9748
POA4814,3080,2032,1018,331,22590
POA4815,1241,811,413,83,8768
POA4816,978,817,266,26,4756
POA4817,2143,1295,452,118,13665
POA4818,1790,1093,328,52,14350
POA4819,566,540,190,36,2086
POA4820,859,745,322,75,4919
POA4821,184,167,33,13,876
POA4822,84,74,16,3,450
POA4823,198,127,29,4,1367
POA4824,451,440,80,4,2798
POA4825,1704,830,269,39,10855
POA4828,51,69,5,0,234
POA4829,71,56,18,0,337
POA4830,219,154,42,0,841
POA4849,207,249,100,23,829
POA4850,1026,946,443,159,5170
POA4852,661,649,252,33,2860
POA4854,423,340,152,44,2395
POA4855,83,58,16,3,360
POA4856,66,38,22,0,320
POA4858,156,117,43,13,771
POA4859,66,35,13,4,250
POA4860,940,701,331,121,5045
POA4861,184,130,45,18,806
POA4865,684,434,169,59,4033
POA4868,1749,1260,500,102,11141
POA4869,1090,630,285,90,8906
POA4870,6712,4509,2043,633,43613
POA4871,1333,1190,302,43,6016
POA4872,497,445,157,29,2305
POA4873,797,638,237,42,3800
POA4874,568,188,28,7,3683
POA4875,456,177,38,9,3042
POA4876,291,160,17,0,1602
POA4877,1084,1052,382,65,5294
POA4878,1409,1008,366,103,8128
POA4879,2456,1859,768,127,12592
POA4880,966,841,413,106,6185
POA4881,657,479,204,44,2786
POA4882,279,275,111,17,1671
POA4883,770,744,382,150,4586
POA4884,276,249,103,27,1171
POA4885,456,427,180,60,2129
POA4886,115,95,36,6,506
POA4887,258,229,107,28,1104
POA4888,317,296,104,17,1363
POA4890,107,115,39,4,690
POA4891,187,269,85,3,787
POA4892,417,228,55,3,2347
POA4895,683,599,136,12,2988
POA5000,1596,1253,550,184,15028
POA5006,652,703,424,220,4939
POA5007,576,315,109,38,4813
POA5008,919,529,171,60,7115
POA5009,337,205,94,24,2645
POA5010,265,181,100,57,2501
POA5011,918,584,240,77,7340
POA5012,485,282,114,38,4873
POA5013,668,384,127,62,4442
POA5014,861,563,224,72,5841
POA5015,577,332,87,23,3179
POA5016,823,522,221,109,4532
POA5017,331,198,109,21,2195
POA5018,580,494,146,43,2695
POA5019,1056,691,251,93,5037
POA5020,271,293,101,37,1603
POA5021,584,677,369,127,3510
POA5022,1658,1217,520,230,8755
POA5023,1037,691,402,195,8450
POA5024,1204,829,504,200,7346
POA5025,611,429,278,55,4487
POA5031,768,378,104,47,5615
POA5032,1010,670,349,130,7119
POA5033,508,289,144,90,4666
POA5034,969,795,338,104,5955
POA5035,477,361,168,90,3852
POA5037,725,479,268,194,6288
POA5038,1036,725,336,151,9602
POA5039,664,392,171,65,4767
POA5040,203,174,116,21,1173
POA5041,1275,862,390,179,7461
POA5042,763,619,418,180,6929
POA5043,1168,949,548,229,10527
POA5044,1047,857,481,215,6093
POA5045,1593,1395,674,251,9376
POA5046,654,576,289,168,5182
POA5047,527,469,241,72,4582
POA5048,1423,1292,679,291,8348
POA5049,1034,866,366,103,5694
POA5050,524,492,304,128,3322
POA5051,1432,1120,562,117,8336
POA5052,627,591,417,132,3979
POA5061,973,883,403,75,5706
POA5062,1680,1330,623,214,8875
POA5063,1104,1006,486,247,7664
POA5064,964,886,603,309,6039
POA5065,961,945,582,249,6540
POA5066,1310,1031,591,162,7054
POA5067,1019,912,418,85,6772
POA5068,1183,987,634,255,7346
POA5069,894,619,265,92,4958
POA5070,1087,877,501,296,8545
POA5072,1124,880,487,159,7648
POA5073,1268,769,527,174,8801
POA5074,825,611,398,214,7402
POA5075,814,585,423,175,5731
POA5076,841,620,282,48,4927
POA5081,929,805,432,192,5911
POA5082,1314,864,286,120,9135
POA5083,603,441,132,48,4273
POA5084,490,302,129,45,4802
POA5085,1103,756,381,130,12412
POA5086,987,702,292,115,9017
POA5087,735,505,271,104,6872
POA5088,212,138,91,21,1871
POA5089,532,475,236,40,3541
POA5090,433,506,416,283,3956
POA5091,575,508,320,66,3905
POA5092,1146,1004,482,149,9039
POA5093,496,493,309,71,4422
POA5094,45,28,35,4,440
POA5095,1113,662,294,101,10478
POA5096,868,591,256,81,5989
POA5097,972,799,420,123,6731
POA5098,659,591,423,211,5890
POA5106,0,3,16,5,67
POA5107,872,554,275,99,7089
POA5108,2083,1336,517,196,15360
POA5109,1193,880,474,151,8234
POA5110,419,271,142,53,3149
POA5111,0,0,0,0,174
POA5112,1140,776,435,256,7702
POA5113,834,595,298,129,6682
POA5114,1966,1026,439,137,14252
POA5115,444,255,87,13,5012
POA5116,664,467,281,96,4588
POA5117,226,135,73,17,1706
POA5118,1561,1020,552,242,8868
POA5120,118,96,27,9,1110
POA5121,127,93,65,21,961
POA5125,1797,958,487,178,9708
POA5126,465,437,208,37,3555
POA5127,780,485,134,42,3860
POA5131,120,81,31,3,524
POA5132,35,38,17,3,214
POA5133,51,26,12,5,203
POA5134,57,49,15,8,255
POA5136,47,34,15,3,300
POA5137,85,59,20,8,331
POA5138,53,25,4,0,204
POA5139,29,21,3,0,138
POA5140,37,31,25,0,253
POA5141,83,51,27,0,419
POA5142,66,40,14,5,292
POA5144,57,48,23,7,237
POA5150,7,7,7,0,38
POA5151,38,43,9,0,243
POA5152,671,663,296,73,3797
POA5153,823,588,191,49,3731
POA5154,383,349,139,30,1958
POA5155,366,285,102,24,2170
POA5156,99,95,19,0,547
POA5157,367,277,109,11,1690
POA5158,2197,1553,517,99,12665
POA5159,2964,2346,991,324,17173
POA5160,3,3,0,0,14
POA5161,678,535,273,101,4732
POA5162,2344,1833,977,274,15952
POA5163,978,817,397,133,6535
POA5164,278,279,141,69,2227
POA5165,420,318,146,81,2878
POA5166,120,111,73,10,824
POA5167,533,401,176,91,3186
POA5168,416,288,171,45,2665
POA5169,1305,922,426,183,9439
POA5170,124,85,17,11,619
POA5171,578,501,307,96,3175
POA5172,458,363,128,35,2203
POA5173,982,829,388,116,6170
POA5174,288,192,74,7,1482
POA5201,238,136,33,7,1153
POA5202,79,42,18,0,397
POA5203,137,146,71,19,631
POA5204,408,544,186,45,1802
POA5210,152,123,39,4,864
POA5211,1543,2042,1164,354,8282
POA5212,222,270,190,68,1168
POA5213,155,136,41,5,706
POA5214,899,1288,702,198,4759
POA5220,17,8,4,0,52
POA5221,45,48,25,0,186
POA5222,106,80,39,9,412
POA5223,393,292,126,49,1915
POA5231,140,86,37,4,661
POA5232,65,26,15,0,216
POA5233,156,106,38,47,792
POA5234,151,88,41,5,693
POA5235,247,242,75,27,1328
POA5236,37,20,4,0,167
POA5237,34,27,4,0,156
POA5238,406,478,205,51,1988
POA5240,44,43,20,0,272
POA5241,234,126,76,18,1203
POA5242,156,145,57,22,951
POA5243,105,72,25,6,454
POA5244,436,295,150,54,2292
POA5245,309,303,177,88,1821
POA5250,310,232,97,19,1879
POA5251,1225,1047,505,164,9520
POA5252,541,363,110,18,3302
POA5253,1250,955,520,200,7537
POA5254,241,147,50,10,1118
POA5255,897,785,387,110,4874
POA5256,196,194,67,14,790
POA5259,107,79,41,0,510
POA5260,140,106,70,21,738
POA5261,25,8,0,5,124
POA5262,30,25,8,5,197
POA5263,11,12,5,0,70
POA5264,108,100,51,18,567
POA5265,34,21,9,0,169
POA5266,35,23,9,8,265
POA5267,160,80,30,11,886
POA5268,206,160,77,33,1568
POA5269,15,12,0,0,111
POA5270,56,30,11,0,263
POA5271,504,361,178,58,3140
POA5272,85,47,24,3,384
POA5273,8,3,3,0,59
POA5275,193,188,76,24,970
POA5276,151,137,69,11,709
POA5277,191,154,69,15,1127
POA5278,45,36,16,0,220
POA5279,44,40,11,0,231
POA5280,590,462,231,77,3130
POA5290,1574,1256,667,267,10729
POA5291,777,547,191,63,4425
POA5301,49,28,8,4,210
POA5302,49,37,25,11,375
POA5303,9,8,0,0,62
POA5304,80,41,19,7,386
POA5306,10,3,3,0,35
POA5307,48,33,20,7,205
POA5308,9,9,0,0,58
POA5309,8,4,3,0,54
POA5310,0,0,0,0,12
POA5311,29,22,3,0,176
POA5320,87,72,32,0,327
POA5321,56,52,9,3,210
POA5322,64,53,30,0,376
POA5330,246,245,114,39,1429
POA5331,28,25,8,0,148
POA5332,37,22,11,4,157
POA5333,405,316,160,50,2554
POA5340,114,88,35,4,660
POA5341,511,427,180,60,3227
POA5342,98,45,24,0,464
POA5343,356,312,113,61,2185
POA5344,78,44,27,6,349
POA5345,265,256,103,36,1547
POA5346,36,14,11,3,136
POA5350,56,28,8,0,265
POA5351,571,397,131,28,3009
POA5352,461,410,203,75,2618
POA5353,356,296,106,24,1798
POA5354,55,51,24,10,220
POA5355,573,490,240,82,3631
POA5356,84,51,12,0,363
POA5357,51,53,22,0,202
POA5360,135,70,20,10,612
POA5371,102,40,12,0,596
POA5372,152,102,32,15,1075
POA5373,295,241,121,47,1525
POA5374,138,97,55,11,639
POA5381,26,27,6,3,131
POA5400,83,39,7,4,522
POA5401,65,57,9,18,346
POA5410,26,11,3,0,122
POA5411,28,30,8,5,133
POA5412,105,111,64,23,509
POA5413,80,55,17,6,357
POA5414,15,17,5,0,68
POA5415,28,32,7,0,131
POA5416,24,16,9,4,96
POA5417,175,141,62,18,714
POA5418,17,5,3,0,56
POA5419,21,17,9,4,109
POA5420,0,0,4,0,30
POA5421,7,10,0,4,52
POA5422,159,146,54,16,715
POA5431,91,71,26,15,415
POA5432,17,16,6,0,88
POA5433,139,133,53,14,634
POA5434,125,156,38,6,562
POA5440,24,20,5,3,116
POA5451,92,81,28,6,370
POA5452,49,27,15,4,217
POA5453,469,392,154,49,2556
