POA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
POA6219,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,21,0,0,0,0,21,33,0,0,0,0,33,9,0,0,0,0,9,4,0,0,0,0,4,4,0,0,0,0,4,6,0,0,0,0,6,99,0,0,0,0,99
POA6220,31,0,0,0,0,31,10,0,0,0,0,6,11,0,0,0,0,17,22,0,0,0,0,22,27,0,0,0,0,30,86,0,0,0,0,88,89,0,0,0,0,89,92,0,0,0,0,98,34,0,0,0,0,34,25,0,0,0,0,20,14,0,0,0,0,14,29,0,0,0,0,29,468,0,0,4,0,473
POA6221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,21
POA6223,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
POA6224,4,0,0,0,0,4,3,0,0,0,0,3,7,0,0,0,0,7,5,0,0,0,0,5,16,0,0,0,0,22,42,0,0,0,0,43,29,0,0,0,0,29,24,0,0,0,0,27,14,0,0,0,0,14,7,0,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,4,172,0,0,0,0,177
POA6225,49,0,0,0,3,51,46,0,0,0,0,46,47,0,0,0,0,47,101,3,0,0,0,104,136,5,0,0,0,139,260,5,3,0,0,268,215,0,0,0,0,216,191,0,0,0,0,191,48,0,0,0,0,48,41,0,0,0,0,47,30,0,0,0,0,30,86,3,0,0,0,85,1249,12,10,0,0,1273
POA6226,6,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,17,0,0,0,0,17,14,0,0,0,0,14,44,0,0,0,0,44,30,0,0,0,0,30,26,0,0,0,0,26,6,0,0,0,0,6,7,0,0,0,0,7,168,0,0,0,0,168
POA6227,5,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,24,0,0,0,0,24,32,0,0,0,0,32,30,0,0,0,0,35,20,0,0,0,0,20,12,0,0,0,0,12,10,0,0,0,0,10,5,0,0,0,0,5,148,0,0,0,0,148
POA6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
POA6229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
POA6230,240,23,3,0,0,268,98,14,0,0,0,113,99,14,0,0,0,111,199,17,6,0,0,223,331,30,3,0,0,375,1155,95,9,0,0,1265,1342,49,3,5,3,1405,1220,36,8,0,0,1272,403,20,0,0,0,424,298,13,4,0,0,314,187,10,4,0,0,195,297,23,3,0,4,324,5876,346,51,0,15,6290
POA6232,62,0,0,0,0,62,30,3,0,0,0,33,25,0,0,0,0,25,36,0,0,0,0,38,86,6,0,0,0,91,346,9,0,0,0,356,501,7,0,0,0,508,440,8,0,0,0,440,143,0,0,0,0,143,67,0,0,0,0,69,37,0,0,0,0,38,95,4,0,0,0,103,1864,38,0,0,0,1903
POA6233,114,0,0,0,0,118,48,0,0,0,0,51,49,0,0,0,0,50,90,0,0,3,0,88,119,0,0,4,0,122,513,3,0,0,0,515,873,3,0,0,0,880,863,0,0,0,0,872,302,0,0,0,0,302,175,0,0,0,0,179,111,0,0,0,0,111,176,3,0,0,0,179,3429,24,0,7,4,3465
POA6236,10,0,0,0,0,10,14,0,0,0,0,14,7,0,0,0,0,7,9,0,0,0,0,9,10,0,0,0,0,10,50,0,0,0,0,55,64,0,0,0,0,64,75,0,0,0,0,77,33,0,0,0,0,33,35,0,0,0,0,36,17,0,0,0,0,17,13,0,0,0,0,13,338,0,0,0,0,340
POA6237,9,0,0,0,0,9,7,0,0,0,0,7,3,0,0,0,0,3,18,0,0,0,0,18,21,0,0,0,0,21,47,0,0,0,0,47,61,0,0,0,0,61,90,0,0,0,0,90,45,0,0,0,0,45,37,0,0,0,0,39,23,3,0,0,0,26,22,0,0,0,0,22,381,5,0,0,0,382
POA6239,27,0,0,0,0,27,14,0,0,0,0,16,14,0,0,0,0,14,26,0,0,0,0,26,43,0,0,0,0,42,134,8,0,0,0,141,115,0,0,0,0,115,148,0,0,0,0,149,57,0,0,0,0,64,47,0,0,0,0,49,21,0,0,0,0,21,33,0,0,0,0,32,681,8,0,3,3,690
POA6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
POA6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
POA6244,24,0,0,0,0,24,4,0,0,0,0,4,8,0,0,0,0,10,9,0,0,0,0,9,17,0,0,0,0,17,27,0,0,0,0,25,17,0,0,0,0,17,12,0,0,0,0,12,6,0,0,0,0,6,9,0,0,0,0,9,8,0,0,0,0,8,10,0,0,0,0,10,140,0,0,0,0,141
POA6251,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,6,7,0,0,0,0,7,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,0,0,0,0,5,33,0,0,0,0,32
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
POA6253,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,18,0,0,6,0,19,13,0,0,0,0,13,21,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,8,0,0,0,0,8,81,0,0,6,0,86
