POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA2720,0,0,0,21,6,31,0,0,0,0,0,0,0,0,4,1440,1190,2629,103,110,215,38,0,38,16,0,16,9,0,8,9,5,15,74,69,142,1717,1385,3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,30,23,9,33,0,0,0,0,0,0,0,0,0,0,0,0,132,170,300,128,248,375,17,5,25,2012,1817,3829
POA2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,0,4,4,0,0,0,0,0,0,0,0,0,4,0,4,7,0,7,23,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,11,28,5,3,8,0,0,0,50,33,79
POA2722,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,527,405,932,52,61,118,30,4,35,3,0,3,0,0,0,8,5,12,36,26,63,667,505,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,87,93,179,48,94,136,8,0,13,825,692,1514
POA2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,38,89,0,0,0,4,0,4,0,0,0,0,0,0,0,3,3,8,3,7,57,46,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,18,6,12,14,0,0,0,73,64,136
POA2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,63,0,0,0,4,0,4,0,0,0,0,0,0,4,0,5,7,0,3,45,38,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,15,34,3,9,15,0,0,0,66,60,129
POA2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,38,86,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,4,0,11,62,43,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,25,49,0,9,7,0,0,0,94,73,167
POA2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,215,472,14,7,22,11,0,14,0,0,5,0,0,0,5,0,8,18,17,39,317,242,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,68,59,133,25,43,65,3,6,5,417,357,775
POA2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,155,355,18,11,28,4,0,4,0,0,0,0,0,0,6,3,9,17,17,34,238,191,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,17,26,43,24,20,44,4,0,7,287,250,537
POA2731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1174,1017,2193,62,64,122,23,0,23,7,0,10,16,6,26,6,3,11,40,41,85,1341,1133,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,12,4,15,11,10,20,0,0,0,0,0,0,0,0,0,0,0,0,153,214,365,114,232,345,21,24,48,1647,1609,3255
POA2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,216,459,14,11,31,7,0,7,6,0,9,0,0,6,3,0,3,41,24,65,314,266,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,71,65,137,28,49,80,6,7,8,433,390,817
POA2733,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,80,58,136,0,11,9,7,0,7,0,0,0,0,3,3,9,6,9,3,17,13,102,85,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,11,28,7,17,20,0,0,0,130,116,248
POA2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,89,184,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,111,97,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,52,6,17,18,0,0,0,144,132,281
POA2735,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,66,66,129,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,77,71,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,27,0,8,12,0,0,3,97,96,196
POA2736,0,0,0,3,0,3,0,0,0,0,0,0,7,0,7,68,36,108,14,14,24,3,0,3,0,0,0,0,0,0,0,0,0,6,9,11,100,58,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,27,4,6,8,0,0,0,121,75,193
POA2737,0,0,0,12,6,13,0,0,0,0,0,0,0,0,0,140,103,245,11,4,16,0,0,0,0,0,0,0,0,0,4,0,4,13,11,24,182,126,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,44,6,11,20,4,0,4,215,155,369
POA2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,378,790,23,22,47,9,0,9,0,0,0,0,0,0,7,0,7,9,5,16,463,404,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49,65,119,24,47,73,8,9,16,547,526,1075
POA2739,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,248,212,458,26,20,48,4,0,4,3,0,3,4,0,4,0,0,0,3,11,17,291,251,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,20,36,55,14,30,46,6,4,3,334,323,654
POA2745,63,33,89,19,29,41,0,0,0,0,0,0,4,3,11,4867,3200,8072,237,287,521,247,5,250,33,0,31,10,0,9,33,29,61,67,61,131,5574,3644,9220,16,13,25,0,0,0,0,0,0,24,22,49,0,8,11,6,0,6,48,40,89,0,0,0,0,0,0,3,0,3,0,4,3,0,0,0,5,6,11,34,20,48,83,65,148,15,9,19,4,0,4,0,0,4,17,5,22,1964,3176,5144,1018,1455,2476,15,19,36,8681,8368,17043
POA2747,274,241,513,33,65,99,0,0,0,0,0,0,23,14,36,7161,4879,12041,380,500,879,259,0,267,59,9,63,25,7,27,54,40,94,115,146,257,8387,5890,14283,77,92,175,0,0,0,0,0,8,58,25,85,13,9,19,11,6,14,155,136,293,0,0,0,0,0,0,5,3,8,7,0,6,4,4,9,14,10,23,87,40,131,261,182,444,34,36,76,4,4,10,0,0,5,41,44,88,2713,3861,6576,1633,2186,3821,64,39,106,13100,12209,25314
POA2748,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,259,138,401,11,15,26,29,0,29,3,0,3,0,0,0,7,0,10,12,4,14,325,166,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,101,154,256,84,54,134,0,4,4,512,380,888
POA2749,40,25,65,4,11,14,0,0,0,0,0,0,0,8,5,2436,1664,4105,149,124,280,157,6,161,27,4,33,5,0,3,16,19,33,30,30,59,2869,1893,4763,11,11,18,0,0,0,0,0,0,12,14,29,0,3,3,0,0,0,25,25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,25,8,27,52,36,86,7,4,15,0,0,0,3,0,3,10,4,16,806,1368,2173,532,750,1284,17,13,32,4289,4065,8353
POA2750,247,162,411,26,60,86,0,0,0,3,0,3,15,23,39,6278,4211,10482,347,378,728,233,4,239,100,3,108,28,10,40,54,37,92,228,230,450,7559,5117,12677,66,62,133,0,0,0,8,0,8,42,29,70,7,10,20,13,11,26,140,108,252,0,0,0,0,0,0,3,5,7,0,16,12,0,4,5,9,17,22,71,28,100,217,156,376,24,20,45,0,0,0,0,0,5,28,24,47,2660,3925,6591,1458,1984,3445,64,50,107,11989,11256,23244
POA2752,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1005,598,1602,47,32,80,84,3,89,3,0,3,0,0,0,7,6,16,11,13,29,1165,660,1833,0,0,0,0,0,0,0,0,0,6,6,10,0,0,0,0,0,0,10,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,18,10,19,0,0,5,0,0,0,0,0,0,0,0,5,214,487,703,185,236,417,8,4,14,1587,1404,2992
POA2753,52,30,85,7,8,11,3,0,3,0,0,0,0,10,12,2494,1702,4200,127,105,234,218,4,222,24,0,20,26,3,28,19,16,38,117,95,219,3083,1984,5070,4,14,18,0,0,0,0,0,0,10,7,18,4,3,4,7,0,7,22,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,9,25,16,42,49,40,88,6,4,9,0,0,0,0,0,0,10,4,16,752,1261,2013,548,651,1205,16,15,27,4462,3950,8411
POA2754,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,966,759,1727,39,62,98,45,4,46,9,0,9,0,0,0,3,4,11,12,14,28,1086,853,1935,0,0,4,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,17,11,26,0,0,0,0,0,0,0,0,0,0,0,0,332,507,845,183,315,499,9,8,15,1629,1689,3316
POA2756,61,47,109,7,11,18,5,0,5,3,0,0,0,4,4,5532,3613,9144,287,262,547,426,8,435,62,6,70,17,0,25,42,23,69,161,115,278,6601,4096,10702,15,6,23,0,0,0,0,0,0,19,19,45,7,3,9,3,0,6,42,35,82,0,0,0,0,0,0,0,4,5,6,5,10,0,0,0,8,7,20,79,20,103,128,69,195,3,8,9,0,0,4,0,5,5,7,14,18,1552,2765,4317,1000,1460,2461,53,36,85,9338,8443,17782
POA2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,93,208,5,8,14,7,0,7,0,0,0,0,0,0,0,0,0,7,0,7,136,104,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,50,68,116,24,40,64,0,0,0,216,207,422
POA2758,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,1299,925,2223,49,58,101,131,0,131,6,3,9,0,0,0,0,5,8,33,20,54,1531,1019,2550,0,0,0,0,0,0,0,0,0,9,3,13,0,3,4,0,0,0,5,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,24,12,35,0,0,0,0,0,0,0,0,0,0,0,0,562,868,1424,280,374,655,17,12,24,2408,2272,4683
POA2759,50,37,89,24,25,50,0,0,0,0,0,0,12,0,9,3889,2538,6422,196,245,441,160,5,159,28,5,31,3,0,7,31,17,48,19,38,60,4417,2903,7328,33,30,60,0,0,0,0,0,0,25,17,45,8,9,16,0,0,0,66,56,120,0,0,0,0,0,0,0,0,6,3,4,9,3,0,0,11,3,13,20,19,35,91,77,172,13,10,23,0,0,0,0,0,0,15,10,29,1113,2059,3168,1055,1024,2078,38,16,55,6730,6097,12823
POA2760,136,117,253,45,51,96,0,0,0,0,0,0,17,22,42,4491,2919,7410,304,386,686,137,4,143,56,0,58,33,6,43,47,31,80,49,74,119,5328,3607,8929,67,99,162,0,0,0,0,4,4,39,25,60,11,15,21,9,3,12,122,140,258,0,0,0,0,0,0,0,0,5,0,3,12,0,5,5,3,5,12,50,23,74,178,169,346,16,30,45,3,0,10,0,0,0,18,37,54,1362,2018,3378,1051,1111,2165,47,37,84,7983,6975,14957
POA2761,116,112,230,32,75,105,0,0,0,0,0,0,14,9,22,4505,3116,7624,266,451,721,98,7,99,34,0,35,21,0,17,45,43,95,39,55,93,5169,3878,9042,54,72,126,0,0,0,0,0,3,46,43,86,5,21,23,5,3,11,116,132,246,0,0,0,0,0,0,5,4,8,10,11,20,0,0,0,15,19,27,42,26,69,172,179,348,23,43,64,0,5,5,0,0,0,24,44,69,1816,2368,4181,1207,1123,2329,30,28,56,8420,7617,16034
POA2762,205,231,434,11,19,28,0,0,0,0,0,0,8,0,10,1992,1484,3470,57,148,213,40,0,45,24,0,24,3,0,3,27,20,47,11,10,25,2386,1910,4299,51,79,130,0,0,0,5,0,4,38,9,51,6,23,29,3,0,9,107,118,223,0,0,0,0,0,0,0,5,8,0,6,6,0,0,0,5,9,8,20,15,39,128,134,268,24,30,60,0,0,0,0,0,4,26,28,57,2624,2418,5045,678,721,1402,32,32,57,5870,5252,11123
POA2763,211,247,463,33,50,88,3,0,3,0,0,5,4,10,15,3518,2519,6031,149,294,450,73,0,73,46,3,44,17,0,14,48,25,71,27,49,78,4131,3204,7334,55,115,172,0,0,0,3,0,5,36,13,53,9,8,17,4,3,10,117,145,256,0,0,0,0,0,0,7,7,11,0,11,10,0,5,5,7,18,23,33,12,44,156,174,330,22,46,66,0,0,0,0,0,4,24,43,69,3026,3182,6205,1153,1203,2360,41,28,69,8529,7836,16368
POA2765,187,194,388,22,38,63,0,0,0,0,0,3,10,7,14,5059,3597,8652,197,318,514,259,3,262,39,5,43,7,4,15,42,49,92,82,67,140,5912,4269,10181,62,94,155,0,0,0,0,6,4,82,37,117,4,24,34,10,3,11,157,167,326,0,0,0,0,0,0,4,6,9,0,10,14,0,3,5,8,20,32,46,34,82,215,221,432,53,51,104,0,5,5,4,0,4,59,58,112,3919,4297,8217,1376,1626,3002,47,22,72,11517,10499,22017
POA2766,139,153,294,16,23,37,0,0,0,0,0,3,5,9,22,1942,1314,3253,132,213,346,49,0,49,11,0,11,14,0,14,10,7,20,33,30,62,2362,1742,4104,28,46,81,0,0,0,0,0,0,24,17,33,4,13,13,6,0,4,59,80,135,0,0,0,0,0,0,0,0,4,0,3,3,5,0,5,3,5,9,12,9,20,77,97,171,22,15,39,0,0,0,0,0,0,22,22,41,759,939,1702,476,469,944,13,13,23,3708,3275,6985
POA2767,185,205,388,19,50,66,0,0,0,0,0,0,9,4,20,2660,1750,4409,142,273,412,47,3,48,17,0,19,8,3,9,23,16,38,15,24,39,3121,2327,5445,60,91,149,0,0,0,4,3,3,39,17,58,6,11,15,0,3,3,113,126,238,0,0,0,0,0,0,7,0,4,0,10,10,0,4,4,10,16,17,28,13,41,151,149,300,23,31,61,4,0,4,0,0,0,26,37,64,1312,1575,2883,691,656,1346,34,27,62,5328,4769,10099
POA2768,75,62,139,97,107,209,0,0,0,4,0,6,10,0,12,2515,1956,4475,121,238,358,44,0,40,29,0,29,14,0,13,28,29,60,32,47,81,2971,2456,5422,50,55,106,0,0,0,0,0,3,25,17,48,0,8,5,0,0,3,87,79,167,0,0,0,0,0,0,15,8,18,0,13,16,0,4,4,17,19,38,25,22,51,129,129,257,36,29,62,4,5,9,0,0,0,35,32,71,3228,3215,6439,924,1023,1947,17,23,40,7300,6874,14175
POA2769,71,86,158,7,21,34,0,0,0,0,0,0,4,4,3,1253,995,2250,50,100,150,17,0,17,10,0,10,3,0,10,17,11,31,8,9,19,1440,1231,2669,22,32,54,0,0,0,0,0,0,23,14,38,3,5,7,0,0,0,57,55,107,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,3,3,7,8,10,20,64,71,138,18,24,37,0,0,0,0,0,3,17,21,40,2130,1955,4092,421,447,870,15,11,30,4088,3738,7831
POA2770,231,198,434,93,98,188,0,0,0,0,0,0,31,33,60,5863,3787,9657,503,709,1214,167,5,177,51,7,58,16,0,25,58,46,108,80,96,180,7107,4988,12093,110,164,273,0,0,0,0,0,0,34,20,46,8,19,29,7,0,9,160,203,366,0,0,0,0,0,0,4,5,11,4,17,26,3,5,9,15,33,40,80,38,115,250,272,524,35,52,89,3,3,8,0,0,9,47,53,99,1495,2134,3628,1524,1444,2972,88,78,166,10505,8974,19483
POA2773,19,14,31,6,0,6,0,0,0,0,0,0,0,3,3,615,453,1066,26,25,56,20,0,20,0,0,3,4,0,6,3,0,4,19,17,33,714,513,1224,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,13,0,0,0,0,0,0,0,0,0,0,0,0,601,695,1300,192,264,457,4,6,5,1510,1485,2998
POA2774,58,30,85,0,0,0,0,0,0,0,0,0,4,0,3,1392,993,2391,73,73,148,58,0,58,11,0,10,10,0,7,15,9,28,24,18,43,1643,1138,2777,14,4,9,0,0,0,0,0,0,14,6,23,0,0,3,3,0,4,32,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,24,44,17,59,0,3,3,0,0,0,0,0,3,0,3,3,1128,1369,2494,388,605,992,9,6,16,3212,3135,6344
POA2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,110,303,7,9,16,10,0,10,6,0,6,0,0,0,0,0,0,19,12,32,229,133,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,25,20,10,29,0,0,0,0,0,0,0,0,0,0,0,0,71,81,152,48,49,93,0,3,10,367,272,640
POA2776,9,11,27,0,0,0,0,0,0,0,0,0,0,6,6,468,339,801,15,19,33,9,0,9,0,0,5,3,0,3,8,8,13,12,3,15,526,380,904,0,0,5,0,0,0,0,0,0,3,0,9,0,6,6,4,0,4,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,15,6,22,0,0,0,0,0,0,0,0,0,0,0,0,328,401,734,137,194,339,3,4,11,1011,994,2007
POA2777,62,22,85,0,3,6,0,0,0,0,0,0,0,0,4,2115,1499,3616,77,112,191,70,3,73,24,3,24,17,3,23,13,9,30,29,51,88,2412,1702,4115,7,12,18,0,0,0,0,0,0,9,0,16,3,0,0,9,0,9,21,12,35,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,3,7,33,5,32,54,24,80,3,4,8,0,0,0,0,0,0,3,4,10,1336,1693,3031,541,794,1334,11,7,17,4368,4220,8591
POA2778,14,8,18,0,0,0,0,0,0,0,0,0,0,0,0,293,229,523,12,14,21,10,0,10,3,0,3,0,0,0,0,0,0,0,3,3,335,256,596,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,203,239,436,78,104,184,0,0,0,614,602,1220
POA2779,23,17,40,0,0,3,0,0,0,0,0,0,0,0,0,573,430,1008,20,27,42,8,0,8,13,0,10,0,0,0,3,4,10,6,12,18,653,491,1144,4,0,4,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,10,18,4,26,4,0,4,0,0,0,0,0,0,3,0,3,350,453,805,169,252,421,3,3,3,1198,1204,2403
POA2780,48,28,77,3,3,8,0,0,0,0,0,0,5,14,20,1090,942,2034,59,101,156,34,0,34,11,0,11,12,5,10,7,17,27,153,116,263,1417,1225,2647,4,6,8,0,0,0,0,0,0,0,3,3,3,3,8,4,0,7,9,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,27,27,20,48,0,5,0,0,0,3,0,0,3,7,5,10,940,1084,2022,444,558,998,21,13,38,2853,2906,5764
POA2782,12,7,22,0,3,0,0,0,0,0,0,0,0,0,0,536,450,987,24,35,55,23,0,23,9,0,6,0,4,8,6,4,9,9,13,21,628,513,1139,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,10,3,10,15,11,20,0,0,0,0,0,0,0,0,0,0,0,0,500,511,1010,148,277,421,9,10,20,1292,1325,2612
POA2783,17,10,26,0,0,0,0,0,3,0,0,0,0,0,0,276,235,511,10,7,24,12,0,12,5,0,5,3,0,7,0,7,4,14,8,20,344,265,614,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,193,238,429,76,129,203,4,0,6,622,640,1258
POA2784,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,158,100,261,3,3,6,0,0,0,4,0,4,0,0,0,0,3,3,0,0,3,169,122,291,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,98,120,222,45,62,108,0,0,0,318,311,631
POA2785,12,9,19,0,0,0,0,0,0,0,0,0,0,0,0,409,351,767,9,15,30,16,0,16,0,0,4,6,0,12,3,0,7,29,27,53,495,402,902,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,357,404,765,130,195,332,10,6,16,1002,1018,2025
POA2786,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,98,79,179,5,9,14,9,0,10,0,0,0,3,0,4,0,0,0,8,6,11,135,94,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,87,91,175,45,48,94,0,0,0,274,229,504
POA2787,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,760,557,1315,51,44,96,27,0,33,7,0,7,3,0,3,13,0,17,32,39,76,901,652,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,12,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,124,130,256,82,104,192,12,14,25,1136,900,2030
