POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA2671,1763,1666,3426,885,427,1312,165,446,611,72,63,132,29,22,53,1152,959,2112,404,562,966,2.6,2.5,2.6,65.3,57.8,61.6,63.6,56.3,60.1,15,24,35,15,32,43,100,190,292,91,140,223,520,253,777,7,37,48,8,38,48,540,330,871,1666,1595,3263,214,224,438,1174,1090,2263,615,616,1230
POA2672,597,615,1212,254,124,370,44,149,193,18,21,44,20,13,31,331,311,637,191,233,423,6.1,4.2,5.2,55.4,50.2,52.7,52,48.1,50,10,11,15,5,16,21,18,43,60,16,42,59,111,65,178,9,13,18,10,15,23,128,94,218,584,572,1160,70,84,152,426,418,846,198,204,401
POA2675,821,649,1474,475,197,670,73,151,219,21,21,48,14,7,21,584,381,968,127,195,323,2.1,2.9,2.4,70.9,58.4,65.4,69.5,56.7,63.8,8,12,22,0,7,7,73,86,158,42,66,110,156,91,247,13,17,31,18,14,31,184,117,306,657,594,1251,182,106,288,420,368,785,371,285,657
POA2678,196,449,647,12,7,20,61,164,231,11,34,45,22,41,67,109,250,359,86,197,283,22.4,16.6,18.3,54.6,56.2,55.7,42.3,46.9,45.5,3,4,8,0,0,0,12,12,27,6,18,30,13,59,73,9,18,32,0,5,5,18,85,108,79,177,259,111,265,386,51,136,187,141,315,452
POA2680,10332,10291,20617,5423,3019,8441,1136,2677,3819,287,362,652,226,169,397,7077,6229,13304,2285,3201,5486,3.2,2.7,3,68.5,60.5,64.5,66.3,58.9,62.6,246,292,535,66,175,242,862,1283,2143,550,828,1384,2413,1246,3659,62,182,246,127,254,381,2605,1684,4285,10015,10029,20041,1506,1512,3021,6535,6582,13120,4317,4282,8599
POA2681,756,715,1467,406,216,627,82,192,272,39,42,75,18,20,35,544,471,1017,150,194,348,3.1,4.3,3.6,72,66.1,69.1,69.7,63.3,66.6,3,6,10,3,15,19,49,82,127,30,63,92,222,109,331,8,18,22,10,14,27,237,138,382,773,730,1508,65,70,142,549,529,1081,250,226,473
POA2700,1896,2007,3904,761,425,1192,191,449,641,49,58,110,73,50,123,1077,984,2063,632,829,1456,6.7,5,5.9,56.6,49.1,52.7,52.8,46.7,49.6,34,29,63,16,33,43,108,195,302,95,175,265,425,262,689,28,45,68,21,42,65,477,353,827,1837,1909,3741,269,296,562,1268,1317,2581,706,776,1485
POA2701,929,1016,1952,463,286,753,87,253,340,25,40,70,25,13,40,609,592,1196,268,371,638,4.5,2.2,3.3,65,58.1,61.4,62.1,56.8,59.3,22,28,49,8,27,38,55,154,209,57,93,154,260,143,404,11,18,24,10,22,33,275,183,456,952,1036,1985,150,159,312,622,686,1310,413,456,869
POA2702,309,323,630,133,77,209,28,68,98,9,10,14,4,7,12,173,161,338,113,140,254,2.8,4.4,3.6,57.1,49.2,53.1,55.5,47.1,51.2,7,8,12,0,8,8,12,28,42,7,20,29,94,51,146,0,5,4,7,7,11,101,64,157,311,310,617,51,57,106,227,229,457,112,117,232
POA2703,273,283,555,105,57,157,30,64,94,6,9,21,9,7,9,153,133,289,112,134,247,5.3,2.9,4.2,55.9,48.4,52.1,53,47,49.9,5,3,4,0,0,0,14,23,26,7,16,20,68,43,108,0,0,5,6,8,10,71,48,117,298,293,596,52,56,106,160,165,324,174,175,347
POA2705,4150,4286,8432,2030,1127,3161,390,996,1387,119,131,252,94,93,191,2637,2355,4990,1116,1551,2667,3.6,4.1,3.8,63.6,54.9,59.2,61.3,52.7,56.9,61,67,125,34,71,101,270,457,725,173,317,492,1131,621,1752,34,82,120,56,95,145,1217,792,2012,4056,4152,8206,657,685,1345,2724,2657,5381,1724,1928,3648
POA2706,455,426,884,207,106,313,32,97,129,20,15,36,14,13,28,276,228,508,132,147,273,5.4,4.8,5.1,60.7,53.6,57.3,57.5,51.1,54.4,4,6,9,0,4,6,16,27,46,22,20,44,105,47,154,0,11,11,3,9,19,115,75,185,410,355,764,67,68,137,309,249,554,149,155,296
POA2707,476,443,922,283,134,419,35,136,171,16,13,26,7,3,14,342,286,627,86,130,218,2,1.8,1.9,71.7,64.1,68,70.2,63,66.7,3,6,18,0,13,21,24,63,96,23,43,62,113,53,168,5,10,19,8,9,19,124,72,201,463,448,912,58,55,111,342,318,665,146,161,307
POA2710,3887,4080,7968,1614,959,2569,390,994,1381,129,137,265,81,71,158,2218,2158,4374,1282,1548,2830,3.8,3.4,3.6,57.1,52.9,54.9,54.9,51.1,53,57,68,126,22,91,116,231,456,686,207,378,586,1015,580,1592,30,54,91,54,67,119,1098,704,1803,3670,3770,7441,540,571,1108,2646,2659,5308,1349,1478,2828
POA2711,1377,1340,2717,628,329,956,130,320,450,44,56,101,35,22,62,843,726,1570,363,466,830,4.4,3.3,3.9,61,54.3,57.7,58.3,52.5,55.4,5,18,26,3,31,34,75,113,186,60,114,180,304,186,491,16,28,39,12,17,31,334,223,563,1230,1214,2448,186,200,382,894,869,1763,445,459,897
POA2712,558,579,1140,216,106,319,51,125,171,20,13,40,14,8,15,300,251,550,200,253,457,4,2.8,3.5,53,43.6,48.2,50.9,42.4,46.6,8,10,12,4,14,12,33,73,103,27,44,73,132,68,203,7,16,23,6,9,18,146,92,238,531,549,1077,61,87,149,388,397,785,181,200,383
POA2713,1109,1151,2262,456,247,704,120,268,390,34,45,75,16,17,35,631,573,1204,323,404,726,3,3.3,3.2,56.8,49.9,53.3,55.1,48.3,51.6,13,19,34,11,12,23,72,139,212,50,85,138,241,195,434,14,21,34,16,20,34,269,243,513,1025,1010,2034,172,191,360,751,729,1472,382,434,817
POA2714,1179,1225,2405,384,193,579,111,269,380,24,36,62,19,6,26,540,507,1045,534,593,1125,3.3,2,2.7,45.8,41.5,43.6,44.3,40.7,42.4,7,15,22,12,33,40,58,126,190,64,100,163,365,150,519,11,21,27,15,31,42,389,204,594,1059,1084,2145,160,176,342,710,724,1430,466,491,952
POA2715,591,581,1172,257,145,405,71,120,190,23,24,40,16,8,25,363,294,660,160,211,369,4.4,2.4,3.5,61.7,50.5,56.2,59,49.3,54.2,8,10,19,5,4,10,28,54,79,25,51,76,109,71,178,6,11,11,4,4,14,117,82,205,565,531,1094,77,68,144,431,426,857,174,150,327
POA2716,417,392,814,192,84,271,34,88,116,13,23,35,10,4,15,240,198,439,127,144,272,2.9,3.6,3.2,57.8,49.7,53.9,56.1,48,52.2,3,3,13,4,6,12,26,41,65,26,47,73,107,39,152,3,10,15,0,6,11,114,58,168,375,352,723,55,57,108,289,263,553,122,120,243
POA2717,521,485,1009,158,80,235,37,81,119,19,19,32,17,17,31,229,194,425,197,204,398,8.2,8.4,8.3,44.4,39.5,42,40.8,36.2,38.6,5,4,13,0,4,6,20,34,51,20,34,53,95,50,147,4,9,15,4,11,10,104,67,171,457,421,876,46,39,85,339,304,643,138,141,277
POA2720,3396,3497,6896,1547,772,2322,359,908,1268,104,130,235,97,82,180,2109,1901,4004,1015,1312,2329,4.5,4.3,4.4,62.1,54.2,58.1,59.3,51.9,55.5,55,68,117,26,88,113,254,386,637,153,293,447,995,513,1510,35,64,94,42,75,117,1069,652,1720,3340,3372,6707,476,518,995,2313,2301,4612,1303,1376,2685
POA2721,94,84,177,39,18,57,8,13,19,0,5,0,3,6,4,46,37,89,35,34,72,6.1,7.9,6.9,51.6,46.3,49.2,48.4,42.7,45.8,0,0,0,0,0,0,9,7,11,4,0,11,17,18,30,0,0,0,4,0,9,23,19,42,107,92,192,8,6,10,85,72,155,21,20,41
POA2722,1446,1392,2834,590,291,883,186,341,524,53,61,112,35,20,54,856,714,1568,383,530,912,4,2.7,3.4,59.1,51.3,55.3,56.8,49.9,53.4,24,24,48,10,17,30,84,147,228,68,118,184,325,168,495,12,22,34,24,31,53,358,226,583,1342,1329,2668,173,161,331,983,928,1912,457,477,934
POA2725,140,151,287,53,32,79,16,29,46,5,3,7,4,8,9,77,65,144,53,72,125,7.7,7.5,7.6,55.7,45.6,50.5,51.4,42.2,46.7,4,3,9,0,0,0,4,20,21,10,8,19,35,23,57,0,4,4,6,5,9,45,28,72,144,148,294,14,8,23,103,123,229,43,35,79
POA2726,103,113,215,50,26,77,13,32,47,7,3,6,0,0,0,66,66,131,28,30,59,0,3.1,1.5,65.4,59.1,62.1,65.4,57.3,61.2,0,5,0,0,3,3,12,21,32,11,4,19,19,20,37,0,8,8,5,5,7,20,25,44,111,109,219,4,12,17,86,79,173,22,34,53
POA2727,142,126,267,71,31,102,14,31,49,5,8,12,0,5,3,92,77,167,22,30,50,1.1,2.6,1.8,64.8,61.6,63.3,64.1,60,62.2,5,0,5,0,4,8,9,28,38,9,8,17,25,10,36,0,0,7,0,3,7,27,18,48,151,128,271,7,5,12,120,87,207,27,32,64
POA2729,649,662,1308,330,147,483,49,180,224,35,32,70,19,13,30,437,370,805,185,256,443,4.4,3.2,3.9,66.9,56.2,61.5,64,54.4,59.2,10,13,28,3,18,19,45,75,118,43,59,104,189,103,294,8,11,20,9,9,19,205,125,331,666,663,1329,72,77,149,504,495,1002,208,215,422
POA2730,565,535,1098,202,121,322,63,114,174,26,16,36,20,12,29,306,259,565,212,243,450,6.2,4.2,5.3,54.2,48.3,51.3,50.8,46.3,48.6,11,3,13,0,7,14,23,56,83,32,56,86,143,73,219,5,14,19,3,17,23,151,104,253,551,519,1067,62,70,130,419,368,787,172,191,362
POA2731,2890,3089,5977,1196,625,1817,350,844,1195,104,144,249,67,50,114,1710,1660,3369,980,1224,2208,3.9,3.1,3.5,59.2,53.8,56.4,56.9,52.1,54.4,53,62,116,30,86,116,239,405,642,170,295,465,867,371,1237,15,30,48,40,48,94,925,455,1375,2687,2882,5569,541,554,1096,1669,1795,3469,1376,1495,2874
POA2732,783,816,1596,323,166,483,78,185,262,35,41,71,14,10,23,445,393,847,274,361,633,3.8,2.3,3.1,57.1,48.7,52.8,54.9,47.6,51.2,4,7,15,0,21,27,40,94,132,58,72,132,207,86,297,5,11,13,5,11,12,217,112,325,729,739,1468,105,106,212,504,496,1002,297,309,611
POA2733,232,241,473,107,48,158,15,58,71,5,8,12,4,0,4,134,116,248,56,77,140,2.3,0,1.2,56.4,48.3,52.3,55.1,48.3,51.7,0,3,3,0,0,0,13,23,36,8,20,31,53,37,87,3,5,8,9,9,12,60,46,107,210,209,417,34,38,70,154,135,290,76,93,173
POA2734,198,192,387,114,71,185,18,62,82,6,5,11,0,0,0,144,132,281,36,48,87,0,0,0,73.7,68.9,71.4,73.7,68.9,71.4,4,8,12,0,7,8,10,33,44,21,21,45,44,30,70,3,10,8,0,3,6,52,41,87,195,183,373,27,35,61,141,129,271,74,82,158
POA2735,165,150,316,73,35,114,19,56,76,4,9,12,5,8,8,104,99,204,46,42,92,3.8,5,4.4,63.6,67.3,65.4,61.2,64,62.5,0,3,3,0,4,6,7,12,15,5,15,19,45,29,77,3,0,3,3,5,7,52,34,88,176,152,329,13,12,27,130,126,250,47,42,91
POA2736,208,151,359,81,37,121,30,32,69,8,8,12,4,4,6,123,79,201,44,50,100,3.3,6.3,4.5,58.7,53,56.3,56.7,49.7,53.8,0,0,0,0,6,6,11,19,29,17,17,29,42,22,64,0,0,0,0,6,9,45,29,73,162,135,296,45,22,63,98,88,188,90,58,153
POA2737,344,326,669,176,74,249,31,70,98,12,7,20,6,5,9,219,162,379,68,91,162,1.8,3.7,2.6,63,49.7,56.6,61.8,47.8,55.1,7,0,4,0,5,5,14,19,35,17,22,37,65,43,111,0,4,4,5,6,11,70,55,122,306,290,597,41,34,73,232,215,451,104,73,176
POA2738,801,794,1589,446,245,689,74,244,319,26,41,69,20,12,25,568,543,1107,188,215,404,3,2.2,2.6,70.7,68.4,69.6,68.6,66.9,67.7,10,11,18,3,29,36,63,134,200,70,104,174,235,105,345,4,12,17,13,16,23,249,135,384,850,831,1673,145,148,289,524,496,1015,394,415,811
POA2739,575,565,1142,255,163,423,55,139,193,19,24,41,18,15,29,350,334,688,161,179,339,5.1,3.6,4.4,61.3,59.2,60.2,58.1,57,57.6,3,15,20,9,7,12,37,81,120,35,65,106,139,78,216,13,18,24,7,10,18,153,104,254,551,550,1101,88,78,164,404,393,795,200,195,392
POA2745,11779,12623,24399,6065,4181,10244,1672,3081,4752,941,1107,2048,266,239,508,8944,8608,17551,2532,3683,6208,3,2.8,2.9,75.9,68.2,71.9,73.7,66.3,69.9,502,668,1166,133,308,447,1359,2094,3449,1038,1512,2554,3419,1677,5095,96,189,281,208,345,554,3724,2208,5930,13199,13693,26894,1685,1888,3575,8814,9145,17963,5110,5549,10663
POA2747,20332,21582,41915,8909,6214,15119,2684,4278,6964,1512,1718,3232,680,630,1312,13779,12841,26625,5129,7322,12454,4.9,4.9,4.9,67.8,59.5,63.5,64.4,56.6,60.4,1033,1188,2220,198,383,583,2176,3284,5460,1585,2208,3793,4886,3017,7905,213,381,597,300,475,770,5399,3871,9270,21022,21780,42798,3730,4014,7739,11537,11839,23374,11271,12032,23300
POA2748,817,730,1547,313,167,482,144,165,310,54,47,99,19,10,30,533,388,921,267,321,591,3.9,2.6,3.4,65.2,53.4,59.6,62.6,52,57.6,34,29,57,4,15,19,92,85,180,49,66,115,212,86,296,5,12,24,8,14,28,222,125,343,840,748,1597,81,72,146,693,623,1317,199,172,370
POA2749,6262,6785,13044,2904,1951,4852,884,1544,2430,497,574,1070,171,172,344,4458,4237,8700,1534,2261,3802,3.9,4.1,4,71.2,62.5,66.7,68.5,59.9,64,164,228,393,57,142,196,486,872,1357,432,744,1178,2030,1086,3115,56,142,201,101,164,263,2191,1381,3578,6953,7276,14231,822,906,1734,4937,5182,10114,2302,2516,4821
POA2750,19376,20908,40286,8004,5711,13718,2594,3915,6502,1390,1635,3028,598,528,1126,12588,11786,24370,5626,7738,13360,4.8,4.5,4.6,64.9,56.4,60.5,61.9,53.8,57.7,793,970,1759,215,399,618,1921,2898,4815,1461,2239,3700,5156,3004,8158,176,360,536,325,458,782,5659,3822,9481,18763,19448,38206,3543,3743,7289,12225,12748,24970,8773,9333,18109
POA2752,2247,2178,4423,1095,657,1746,309,555,857,192,193,385,42,32,79,1631,1437,3067,522,661,1189,2.6,2.4,2.5,72.7,66.1,69.4,70.8,64.4,67.7,35,67,100,18,45,61,115,258,375,137,238,371,848,376,1229,15,58,74,38,57,106,908,497,1401,2485,2355,4843,283,302,585,1659,1586,3245,918,905,1826
POA2753,7136,7323,14460,2864,1787,4648,1083,1628,2709,519,531,1052,166,138,305,4630,4085,8717,2055,2801,4859,3.6,3.3,3.5,64.9,55.8,60.3,62.5,54,58.2,248,333,579,71,165,232,555,908,1470,513,816,1326,2128,999,3125,57,152,209,117,194,311,2305,1343,3651,7009,7119,14130,1091,1052,2149,4955,5018,9980,2691,2751,5446
POA2754,2647,3088,5738,1107,763,1869,324,667,989,200,253,451,70,48,117,1703,1735,3434,860,1255,2114,4.2,2.7,3.4,64.2,56.1,59.9,61.5,54.6,57.8,99,124,225,37,68,105,239,406,637,242,391,632,838,467,1307,14,58,72,58,93,153,911,623,1532,2657,2980,5638,515,598,1114,1534,1699,3235,1458,1704,3161
POA2756,13847,13995,27842,6250,3767,10018,2011,3502,5511,1081,1177,2259,310,263,571,9651,8705,18359,3523,4638,8164,3.2,3,3.1,69.7,62.2,65.9,67.5,60.3,63.9,282,494,775,99,299,400,877,1742,2624,945,1736,2679,4830,2260,7085,111,299,405,208,393,601,5148,2948,8088,14555,14475,29029,2078,2101,4178,9778,9784,19565,5772,5788,11562
POA2757,339,366,708,138,90,227,54,100,151,23,24,43,11,10,15,223,217,435,101,135,244,3.2,3.2,3.2,65.2,59.2,62.1,63.1,57.3,60.1,6,18,24,6,6,10,42,58,95,20,50,73,127,51,177,0,7,8,4,3,9,127,63,196,349,364,711,52,55,106,271,279,546,113,127,233
POA2758,3614,3639,7248,1595,949,2542,540,991,1530,279,334,610,64,66,132,2475,2337,4816,1030,1215,2246,2.7,2.7,2.7,68.6,64.2,66.4,66.7,62.5,64.6,153,201,356,62,130,190,357,632,990,345,492,843,1284,492,1777,28,64,90,66,124,186,1378,680,2055,3895,3823,7718,376,428,800,2940,2864,5804,1145,1201,2349
POA2759,10395,10499,20895,4471,3050,7526,1348,2292,3638,905,756,1663,330,268,594,7055,6363,13419,2911,3714,6625,4.6,4.2,4.4,67.9,60.6,64.2,64.7,58,61.4,278,337,615,55,160,216,972,1401,2376,769,1094,1862,2780,1538,4318,87,176,270,180,310,494,3050,2029,5078,11314,11386,22700,1135,1077,2211,8487,8473,16960,3280,3291,6569
POA2760,13965,14732,28691,5186,3628,8813,1712,2366,4079,1090,977,2062,538,508,1046,8518,7482,16005,4203,5891,10100,6.3,6.8,6.5,61,50.8,55.8,57.2,47.3,52.1,637,603,1237,110,179,288,1338,1882,3222,894,1315,2208,2795,1855,4652,136,252,394,195,334,528,3124,2444,5569,14325,14553,28878,2383,2578,4952,8704,8883,17584,6676,7065,13749
POA2761,13032,13601,26632,5404,4089,9493,1755,2546,4291,1263,981,2247,476,380,859,8898,7998,16894,3504,4987,8489,5.4,4.8,5.1,68.3,58.8,63.4,64.6,56,60.2,645,721,1365,105,231,331,2167,2825,4994,1173,1310,2478,2377,1408,3789,117,210,329,215,276,493,2710,1898,4604,14497,14655,29155,1731,1786,3518,9455,9587,19034,5662,5895,11561
POA2762,7796,7942,15748,4234,3081,7319,935,1549,2481,698,624,1328,227,294,519,6093,5548,11644,1322,2025,3349,3.7,5.3,4.5,78.2,69.8,74,75.3,66.1,70.7,1234,1170,2404,124,195,312,2106,2436,4540,660,767,1430,1034,645,1675,41,65,111,62,121,178,1130,832,1959,7577,7488,15066,2623,2778,5402,1740,1689,3429,7513,7622,15138
POA2763,12556,12998,25551,5784,4229,10003,1616,2682,4297,1133,933,2063,412,425,838,8943,8261,17200,3148,4261,7411,4.6,5.2,4.9,71.2,63.6,67.3,67.9,60.3,64,1343,1378,2715,181,281,460,2545,3118,5667,1204,1353,2554,2199,1290,3492,98,186,286,192,277,475,2491,1756,4250,13330,13576,26900,2382,2318,4694,8493,8682,17177,6189,6176,12365
POA2765,16864,16907,33763,8137,5707,13845,1997,3385,5388,1378,1409,2783,458,447,902,11977,10942,22920,4116,5218,9331,3.8,4.1,3.9,71,64.8,67.9,68.3,62.1,65.2,1642,1722,3363,250,393,642,3250,4310,7560,1438,1711,3146,3214,1643,4861,102,206,308,225,342,569,3547,2188,5736,15440,15535,30970,5356,5473,10830,4810,4572,9384,14138,14611,28750
POA2766,6581,7027,13611,2380,1747,4128,770,1100,1868,556,428,982,290,222,515,4000,3493,7498,2093,2937,5039,7.3,6.3,6.8,60.8,49.7,55.1,56.4,46.6,51.3,373,340,713,47,114,162,1108,1435,2546,529,571,1092,1077,627,1707,38,107,141,114,155,268,1230,889,2118,6855,7047,13906,821,887,1710,4467,4496,8964,2700,2920,5615
POA2767,9194,9436,18638,3386,2598,5991,1180,1573,2753,762,588,1351,387,292,678,5715,5062,10778,2971,3836,6814,6.8,5.8,6.3,62.2,53.6,57.8,58,50.5,54.2,674,642,1315,118,143,260,1770,2142,3917,792,853,1653,1371,789,2158,80,122,198,137,197,336,1583,1106,2693,9612,9781,19394,1227,1179,2410,6972,7224,14196,3265,3164,6428
POA2768,11892,10994,22889,5092,3836,8928,1325,2216,3541,884,825,1710,379,302,682,7677,7175,14855,3994,3572,7563,4.9,4.2,4.6,64.6,65.3,64.9,61.4,62.5,61.9,1465,1303,2763,214,271,489,2585,3100,5682,954,1123,2081,1381,751,2129,60,120,183,177,250,427,1612,1125,2736,11726,12024,23751,1565,1523,3091,8332,8596,16931,4275,4324,8597
POA2769,5569,5915,11483,3116,2232,5345,594,1144,1743,374,362,735,162,183,349,4255,3926,8178,1181,1837,3011,3.8,4.7,4.2,76.4,66.4,71.2,73.5,63.2,68.2,967,939,1906,118,166,283,1565,1810,3365,549,564,1110,574,335,910,27,53,83,88,94,183,690,486,1179,6622,6786,13411,1154,1184,2333,3559,3581,7137,3647,3862,7500
POA2770,22720,23901,46621,6254,4311,10568,2376,3290,5667,1872,1375,3244,1106,945,2052,11619,9916,21538,8867,11732,20597,9.5,9.5,9.5,51.1,41.5,46.2,46.3,37.6,41.8,695,695,1392,111,223,339,1887,2434,4317,1327,1731,3060,3490,2692,6184,198,373,568,320,456,771,4000,3524,7528,23649,24459,48109,3221,3402,6624,16133,16652,32783,8806,9355,18163
POA2773,2348,2453,4801,1008,665,1677,377,642,1018,132,170,306,61,45,108,1577,1528,3105,737,890,1633,3.9,2.9,3.4,67.1,62.3,64.7,64.4,60.5,62.4,238,251,489,88,142,228,529,652,1176,237,278,511,489,225,705,13,33,48,53,82,134,551,340,888,2585,2646,5230,258,276,532,1952,2015,3971,759,782,1543
POA2774,4956,5280,10228,2176,1487,3660,720,1265,1995,308,383,690,134,98,231,3340,3231,6570,1515,1932,3446,4,3.1,3.5,67.4,61.2,64.2,64.8,59.4,62,393,509,899,128,272,400,875,1216,2087,492,709,1203,1287,553,1844,42,74,115,112,166,276,1438,792,2231,5517,5776,11294,586,597,1186,4052,4237,8292,1706,1773,3477
POA2775,739,591,1329,220,111,335,91,117,209,53,50,94,29,8,41,397,282,681,270,245,515,7.8,3.2,5.9,53.7,47.9,51.1,49.5,46.4,48.1,26,32,58,5,12,19,68,76,144,55,70,130,214,88,297,14,16,25,10,15,27,236,115,351,603,516,1115,117,98,216,452,397,851,251,202,450
POA2776,1557,1684,3239,708,436,1143,216,443,663,90,114,201,29,24,54,1042,1018,2064,481,631,1116,2.8,2.3,2.5,66.9,60.6,63.6,65,59.3,62,121,173,293,48,73,120,257,386,646,151,217,367,403,198,606,12,23,35,38,40,74,456,261,717,1726,1807,3535,216,219,428,1221,1298,2522,601,627,1229
POA2777,6868,7574,14442,2918,1880,4798,1027,1826,2854,418,520,937,177,118,292,4550,4337,8885,2179,3031,5208,3.9,2.7,3.3,66.2,57.3,61.5,63.6,55.7,59.5,457,611,1068,184,337,520,1058,1522,2580,768,955,1728,1818,919,2738,67,108,174,152,266,413,2038,1287,3326,7520,8047,15566,774,816,1594,5596,5968,11560,2310,2501,4809
POA2778,1003,1012,2011,404,250,656,160,276,434,57,71,130,26,25,43,645,623,1268,332,371,705,4,3.4,3.7,64.2,61.6,62.9,61.6,59.5,60.5,73,120,190,33,47,84,160,236,401,113,118,231,261,130,388,11,21,29,13,32,45,286,178,464,1045,1051,2102,111,122,240,789,779,1568,322,350,676
POA2779,1904,2095,4000,776,522,1294,308,531,837,114,153,268,62,31,101,1262,1240,2500,591,810,1405,5.1,2.7,4,66.2,59.1,62.5,62.8,57.5,60,121,187,308,44,83,132,293,432,733,183,310,494,499,284,781,28,35,64,41,41,79,563,363,923,2049,2232,4281,256,273,528,1524,1698,3223,667,697,1357
POA2780,5617,6144,11760,1563,1073,2633,914,1407,2322,381,422,806,197,128,327,3047,3039,6088,2295,2835,5129,6.4,4.3,5.4,54.3,49.4,51.8,50.8,47.3,49,527,670,1198,153,278,426,1019,1362,2382,544,779,1324,1089,612,1701,58,82,138,91,155,252,1242,848,2089,5157,5675,10835,984,990,1971,3383,3788,7167,2538,2650,5186
POA2782,2498,2886,5383,770,508,1283,395,614,1006,124,201,329,68,51,117,1358,1371,2731,1011,1370,2381,4.9,3.8,4.4,54.4,47.6,50.8,51.8,45.8,48.6,263,308,570,70,128,202,479,656,1135,244,365,610,501,300,797,13,31,43,40,69,111,550,403,952,2491,2772,5257,367,428,797,1708,1930,3634,1015,1144,2156
POA2783,1032,1158,2193,366,254,628,180,292,475,69,88,157,33,18,52,655,651,1311,342,469,813,5.3,2.7,4,63.8,56.6,60,60.4,55.1,57.6,70,116,190,16,62,79,158,266,426,79,149,230,275,118,393,13,23,32,27,29,54,310,171,483,1078,1148,2228,146,154,299,769,834,1602,393,419,814
POA2784,517,538,1057,194,123,322,86,141,223,38,45,80,11,3,14,332,315,646,166,212,379,4.2,1,2.6,64.5,58,61.2,61.8,57.4,59.6,32,46,80,26,31,51,65,110,177,64,87,148,141,66,207,3,9,16,12,8,20,157,85,237,527,544,1074,73,79,153,393,405,801,186,204,386
POA2785,1963,2196,4160,551,376,927,310,480,790,142,161,305,42,50,89,1042,1065,2113,806,1005,1813,3.9,4.5,4.2,53.1,48.6,50.7,51,46.4,48.6,218,259,470,48,107,150,398,532,927,179,296,472,377,197,571,17,27,47,34,69,103,430,292,721,1886,2087,3970,269,275,547,1279,1400,2677,814,903,1713
POA2786,550,517,1071,150,83,232,77,110,192,40,34,74,12,14,28,289,244,533,238,255,491,5.2,5.3,5.3,52.2,47.1,49.7,49.5,44.6,47.1,53,48,98,17,19,35,117,115,233,45,81,123,122,53,170,5,10,16,10,9,23,135,73,209,483,465,950,121,100,213,334,347,682,243,205,448
POA2787,2022,1835,3854,872,426,1296,169,404,572,93,79,167,41,34,82,1175,935,2116,643,701,1348,3.7,3.7,3.7,58.2,51.1,54.8,56,49.2,52.8,51,43,95,12,35,44,129,220,351,100,166,267,564,218,784,22,37,54,34,53,84,623,303,922,1775,1713,3481,258,251,511,1219,1175,2392,735,711,1442
