POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA3020,1545,5998,4918,1699,825,14990,1135,16122
POA3021,1602,6742,5999,2257,1041,17642,1619,19258
POA3022,101,497,359,114,57,1127,121,1249
POA3023,741,5712,8357,3054,1623,19483,1048,20527
POA3024,359,4149,4195,1114,558,10370,609,10982
POA3025,477,1789,1721,449,217,4650,315,4961
POA3026,70,530,1166,392,196,2354,148,2505
POA3027,80,998,1241,314,149,2783,174,2953
POA3028,639,4143,3868,1158,589,10396,602,10996
POA3029,1213,12823,16279,4738,2372,37427,2528,39956
POA3030,1683,13803,16275,4490,2120,38370,2086,40457
POA3031,1517,4204,1702,277,85,7787,503,8285
POA3032,1264,5796,3702,908,355,12022,688,12708
POA3033,271,1761,2374,672,337,5413,191,5600
POA3034,298,1600,1749,527,274,4450,185,4634
POA3036,97,520,934,308,252,2119,86,2205
POA3037,504,4126,6361,2745,1898,15630,709,16340
POA3038,325,2195,3506,1682,1136,8842,373,9210
POA3039,1063,3174,1947,438,210,6830,250,7088
POA3040,856,4430,3491,1054,617,10447,395,10842
POA3041,268,1724,1914,551,324,4789,166,4955
POA3042,397,2549,2617,722,353,6640,229,6866
POA3043,372,2596,2667,810,371,6809,292,7108
POA3044,822,4605,3960,968,497,10856,454,11307
POA3045,0,4,0,0,0,4,3,9
POA3046,1279,5976,4447,1098,617,13418,865,14288
POA3047,804,2587,1963,677,380,6407,726,7136
POA3048,350,1785,1881,743,411,5171,465,5640
POA3049,156,1059,1464,531,284,3499,200,3696
POA3051,2140,3292,882,126,43,6488,735,7220
POA3052,396,1216,432,83,32,2154,101,2255
POA3053,3363,2754,629,106,49,6892,527,7429
POA3054,569,1770,890,175,66,3466,141,3605
POA3055,1010,3482,1590,348,156,6583,271,6854
POA3056,2363,5752,2206,510,187,11020,444,11465
POA3057,1196,3661,1140,246,88,6337,258,6598
POA3058,1663,6097,3933,1054,464,13211,539,13750
POA3059,99,1204,2868,1221,889,6281,233,6514
POA3060,480,1940,1491,471,260,4634,307,4947
POA3061,137,601,506,199,124,1572,159,1729
POA3062,0,0,0,0,0,0,0,4
POA3063,0,19,47,40,55,164,17,179
POA3064,972,9567,14279,4700,2581,32096,1941,34039
POA3065,1253,2408,727,114,46,4544,411,4958
POA3066,1305,2411,629,90,34,4471,320,4782
POA3067,939,2502,800,127,36,4404,270,4673
POA3068,1349,4224,1996,413,134,8111,342,8460
POA3070,1392,5171,2802,597,253,10219,368,10582
POA3071,1158,3790,2287,508,208,7953,268,8228
POA3072,1758,6504,3901,958,435,13555,650,14203
POA3073,2265,9044,6202,1624,853,19991,1207,21200
POA3074,682,2926,2478,805,394,7275,359,7637
POA3075,668,2896,2806,971,461,7799,473,8274
POA3076,472,3604,4357,1399,736,10573,781,11352
POA3078,524,2367,1571,339,171,4975,189,5167
POA3079,452,2686,2487,670,353,6646,228,6874
POA3081,639,2366,1927,419,171,5510,360,5874
POA3082,367,3131,3931,1592,939,9959,400,10352
POA3083,829,4137,4160,1381,763,11261,492,11757
POA3084,606,3920,4050,1046,441,10075,267,10338
POA3085,263,1933,2133,582,244,5152,124,5276
POA3087,216,1241,1446,377,183,3461,122,3583
POA3088,390,3289,4387,1251,680,10000,260,10254
POA3089,78,856,1877,769,551,4139,102,4238
POA3090,9,79,286,173,188,745,17,760
POA3091,6,41,158,123,148,484,21,499
POA3093,37,461,633,170,160,1455,46,1509
POA3094,113,1280,1531,389,214,3530,81,3618
POA3095,178,2329,4511,1541,1048,9614,218,9826
POA3096,11,99,255,128,116,603,10,617
POA3097,0,63,178,95,114,449,27,473
POA3099,37,360,651,339,310,1696,60,1755
POA3101,553,3697,3417,914,446,9038,329,9365
POA3102,106,831,1012,253,148,2351,65,2422
POA3103,414,2349,2269,597,262,5888,182,6070
POA3104,295,2173,3092,1005,501,7065,187,7248
POA3105,258,1379,1755,515,284,4192,105,4303
POA3106,170,1504,2554,911,550,5694,172,5865
POA3107,178,1683,2264,621,317,5058,118,5178
POA3108,708,4396,3574,846,384,9906,360,10265
POA3109,461,3980,4616,1207,616,10890,324,11213
POA3111,144,1228,1857,651,422,4292,129,4423
POA3113,27,486,1246,584,437,2781,65,2845
POA3114,12,152,476,262,257,1160,27,1184
POA3115,11,157,517,283,268,1234,25,1253
POA3116,92,1055,1868,631,409,4057,131,4191
POA3121,2826,7927,3097,593,147,14595,758,15348
POA3122,1395,4924,2564,573,251,9704,458,10162
POA3123,688,3059,1897,403,214,6254,228,6484
POA3124,486,3122,3042,842,410,7895,214,8115
POA3125,597,2168,1951,511,200,5435,246,5679
POA3126,144,988,1134,344,172,2778,77,2859
POA3127,358,2653,2855,720,338,6923,164,7086
POA3128,1660,4303,2288,573,248,9064,591,9655
POA3129,460,2595,2577,649,276,6559,221,6778
POA3130,857,4775,4803,1146,640,12215,344,12558
POA3131,609,3477,3295,789,363,8544,469,9014
POA3132,404,2677,2499,578,301,6450,157,6607
POA3133,250,2408,3678,1027,493,7851,175,8027
POA3134,761,4547,4991,1468,891,12659,457,13111
POA3135,328,2852,3178,840,439,7637,206,7847
POA3136,781,6318,7279,1956,1172,17509,554,18061
POA3137,211,1783,2243,743,502,5485,161,5647
POA3138,260,2317,3466,1276,700,8027,234,8262
POA3139,86,1018,1958,943,879,4883,222,5103
POA3140,295,2088,2596,909,646,6524,218,6741
POA3141,3680,7026,1964,323,138,13131,949,14073
POA3142,491,2409,1789,514,303,5502,324,5823
POA3143,588,2231,1240,205,99,4363,150,4519
POA3144,352,1900,1515,370,178,4313,152,4461
POA3145,826,3515,3269,845,410,8863,301,9161
POA3146,556,4006,3818,993,469,9841,332,10173
POA3147,423,2027,2125,531,245,5355,197,5557
POA3148,248,1438,1394,357,149,3587,188,3773
POA3149,532,4428,5263,1511,689,12431,393,12826
POA3150,1298,7145,9074,2817,1289,21623,786,22406
