POA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA3002,0,6,8,0,0,0,3,17,19,52,0,0,4,0,3,0,0,4,3,14,11,20,63,81,68,56,81,44,29,448,54,292,1202,854,614,719,706,362,157,4951
POA3003,0,0,4,7,6,13,14,10,9,63,0,3,20,9,0,0,6,3,0,45,10,64,181,83,44,25,27,4,0,443,107,1087,3194,1371,702,422,229,92,15,7225
POA3004,0,0,13,3,6,13,10,19,13,64,0,0,10,3,3,7,4,3,0,34,52,168,398,219,151,139,129,118,98,1470,167,938,3511,2240,1292,1164,1070,663,247,11297
POA3006,4,5,19,14,9,16,24,16,9,106,0,5,45,32,9,7,7,0,5,108,23,162,568,290,134,110,55,31,9,1378,321,2879,9495,4264,1794,1343,843,357,69,21369
POA3008,0,0,8,10,9,25,13,10,7,78,0,11,51,14,15,15,3,3,0,116,15,134,594,274,117,111,77,20,0,1347,152,1570,6064,2912,1391,1192,693,194,43,14210
POA3011,4,0,38,46,41,103,164,206,104,706,0,3,15,37,54,81,75,52,52,365,36,126,448,249,164,168,148,142,134,1608,318,1687,6135,4129,2507,1978,1226,709,392,19071
POA3012,7,3,28,36,80,155,232,265,162,968,0,9,17,36,49,95,73,74,49,404,62,99,405,261,176,133,119,113,119,1479,395,1546,5997,4894,3439,2408,1508,864,464,21513
POA3013,0,6,4,13,25,37,100,181,134,500,0,0,6,3,7,23,28,46,31,150,27,25,96,86,75,60,39,23,23,458,240,714,2605,2861,2356,1567,866,495,291,11998
POA3015,0,0,9,6,8,42,103,154,88,411,0,0,9,16,3,13,35,48,23,145,20,32,91,116,102,56,71,63,91,646,296,771,2444,3450,2819,2008,1160,583,316,13846
POA3016,0,0,7,3,17,26,94,118,90,361,0,0,0,8,4,6,24,18,12,75,34,22,62,60,81,65,82,63,26,501,331,851,1295,1921,2621,2455,1736,828,306,12329
POA3018,0,0,6,17,28,43,145,177,125,544,0,0,6,7,11,8,23,22,13,86,15,28,83,103,79,64,65,63,44,541,192,535,1556,2192,1978,1592,1337,871,382,10636
POA3019,12,8,35,40,73,109,132,81,41,530,0,6,31,38,59,76,85,45,26,366,23,73,160,106,63,77,74,28,13,625,207,730,2206,1425,1106,1002,778,289,118,7855
POA3020,14,41,159,239,318,492,771,915,443,3390,7,17,190,193,226,314,279,237,159,1624,149,235,628,489,391,301,303,265,130,2892,914,3067,8034,6331,5307,4733,3716,2405,1044,35553
POA3021,11,41,162,377,543,702,1271,1036,334,4485,10,29,209,260,411,478,453,310,167,2328,247,331,903,688,527,509,464,445,343,4444,1236,3945,9180,7137,6372,6213,5668,2984,1094,43835
POA3022,0,0,9,3,21,18,38,47,34,173,0,0,8,10,19,16,16,22,40,132,11,32,79,62,42,34,30,16,10,312,59,160,612,553,406,284,256,149,103,2578
POA3023,26,30,151,281,345,515,844,590,187,2968,5,19,131,145,232,313,289,156,67,1353,217,306,819,630,492,339,283,203,94,3393,1739,4381,9505,11256,9560,6321,4422,1958,573,49714
POA3024,9,25,89,82,90,127,154,121,55,752,3,21,58,91,114,93,46,26,7,462,101,141,335,352,166,102,76,35,15,1321,774,2077,6206,6685,3401,2275,1405,511,150,23489
POA3025,0,3,15,42,46,97,210,388,238,1038,0,3,8,20,29,31,76,132,107,413,30,35,161,117,88,56,62,94,62,701,223,605,2027,2077,1510,1041,946,979,563,9970
POA3026,0,0,10,33,43,66,48,35,6,242,6,0,16,25,31,39,37,16,4,175,21,24,93,91,44,48,20,10,0,358,170,473,1167,1831,1139,686,328,120,20,5931
POA3027,0,0,8,12,11,20,18,9,0,88,0,3,11,12,10,12,13,4,4,60,23,45,157,109,40,32,21,3,0,423,154,695,1969,2198,961,532,298,47,10,6864
POA3028,17,19,44,58,95,192,431,361,181,1384,0,12,36,37,70,70,84,88,44,433,69,120,297,240,195,164,165,106,85,1441,575,1656,4452,4211,3629,3644,2583,1189,489,22438
POA3029,42,72,228,309,337,507,639,522,165,2820,6,44,203,206,232,270,191,116,44,1315,434,629,1908,1554,703,460,353,199,66,6314,2656,8425,24727,25510,12270,8997,5756,2357,535,91225
POA3030,52,55,183,232,284,415,712,645,322,2893,11,32,173,223,239,195,167,126,69,1247,329,406,1130,1140,660,471,436,377,248,5193,2498,6807,18326,22755,14632,9915,6713,3064,1158,85861
POA3031,3,6,25,34,36,87,112,108,65,478,0,6,27,29,54,59,55,55,26,308,36,60,216,170,132,93,83,47,39,882,254,1257,4182,3205,2161,1580,1159,507,233,14543
POA3032,6,12,26,38,53,114,194,250,144,831,0,4,41,27,34,65,60,71,58,366,40,93,338,223,177,133,114,65,22,1203,485,2184,5979,4933,4003,3188,2152,948,353,24219
POA3033,3,0,7,12,24,44,200,450,226,964,0,0,12,0,10,12,45,70,51,201,13,31,75,65,84,52,78,108,34,543,284,730,1632,1965,2131,1618,1450,1414,505,11727
POA3034,0,3,6,18,28,78,263,476,268,1131,0,0,0,10,20,21,58,100,52,267,10,19,60,59,47,47,79,114,118,566,206,605,1381,1643,1492,1361,1406,1248,591,9931
POA3036,0,0,3,3,6,24,52,98,71,251,0,0,0,3,0,0,10,19,8,39,11,0,27,20,30,24,37,21,22,198,142,330,555,650,815,824,726,465,220,4733
POA3037,14,17,57,94,194,394,704,513,204,2189,0,3,37,67,112,198,160,121,67,777,117,113,322,337,253,215,184,115,55,1717,1483,3686,6583,7448,7884,5779,3497,1576,582,38523
POA3038,3,9,20,33,53,208,561,541,188,1612,0,8,14,23,22,67,114,119,64,426,54,69,151,121,149,107,149,98,27,927,651,1838,3149,2796,3748,4415,3134,1425,459,21622
POA3039,0,7,8,8,12,43,96,241,149,557,4,0,10,5,5,6,21,43,38,132,20,29,104,67,63,72,58,66,37,520,266,1101,3093,2398,2124,1865,1316,722,411,13289
POA3040,4,0,7,13,18,60,124,245,181,652,0,3,8,13,13,15,25,40,31,154,41,83,173,130,103,100,88,71,42,823,575,1988,3805,3570,3944,3334,2264,1151,620,21246
POA3041,0,0,8,13,16,18,73,109,84,317,0,0,8,0,4,8,15,16,14,66,15,19,58,60,64,32,46,35,24,355,326,817,1453,1797,2004,1584,1218,597,286,10083
POA3042,0,0,11,17,28,57,257,371,186,934,0,0,10,9,10,13,28,68,46,185,22,24,76,60,81,76,59,86,53,540,273,872,2285,2459,2298,1888,1583,1077,485,13206
POA3043,0,4,36,40,67,108,301,333,116,997,0,5,4,17,14,43,73,93,27,272,39,58,167,133,92,78,113,118,38,840,370,964,2581,2461,2199,1999,2037,1340,375,14329
POA3044,0,3,14,35,40,75,255,450,393,1273,0,4,9,8,21,36,46,89,54,265,51,57,186,178,133,104,103,100,101,1019,542,1636,4779,4663,3870,2939,1812,1216,967,22417
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,56,59,33,24,19,3,0,225,16,24,71,79,48,42,24,8,0,308
POA3046,4,10,40,93,133,223,394,574,419,1887,4,13,46,53,44,96,102,144,82,576,92,196,572,326,268,216,191,213,273,2340,656,2697,7579,5802,3938,3347,2213,1800,1180,29210
POA3047,16,22,119,223,261,342,322,329,121,1750,0,14,57,105,145,183,147,108,41,809,133,179,487,376,275,248,155,143,40,2041,596,1624,3950,2937,2293,2148,1330,889,322,16077
POA3048,16,33,119,205,272,345,385,265,80,1723,3,12,57,81,135,195,154,108,46,788,72,102,242,218,154,157,113,72,19,1149,524,1388,2716,2254,2186,2119,1372,743,209,13516
POA3049,0,4,10,18,36,63,128,133,46,443,0,4,10,12,10,14,27,33,22,132,33,32,57,67,58,55,47,47,38,437,242,609,1344,1273,1338,1372,999,487,164,7819
POA3051,0,5,17,18,31,47,62,52,28,263,0,7,20,21,16,21,28,15,5,126,61,188,392,241,142,140,96,45,21,1322,388,2047,4269,2377,1513,1136,790,328,129,12974
POA3052,12,0,5,6,5,5,12,28,59,130,0,3,7,9,5,8,0,10,6,31,122,91,164,135,91,100,71,69,57,911,1364,1686,1840,928,565,543,443,351,238,7949
POA3053,3,8,15,16,29,36,29,41,32,204,0,6,37,13,21,39,20,13,8,165,39,222,348,138,93,61,46,55,43,1050,848,3852,5354,1736,965,808,647,432,210,14846
POA3054,0,4,4,9,6,7,14,27,53,116,0,0,0,4,0,0,0,3,10,17,6,18,61,47,38,23,34,30,13,274,98,784,2108,1073,839,785,701,386,138,6903
POA3055,5,0,5,10,12,40,97,200,112,489,0,4,13,7,13,18,32,55,30,172,12,36,122,90,36,42,63,46,32,477,220,1214,3678,2474,1701,1309,910,568,287,12352
POA3056,0,3,11,15,25,64,164,346,221,847,0,5,12,8,15,33,63,101,71,315,19,76,242,126,83,75,87,77,33,824,268,2280,7095,4369,2771,2051,1436,935,436,21642
POA3057,0,0,6,5,5,21,59,147,99,332,0,0,0,6,4,13,25,39,20,100,8,34,167,96,58,33,35,30,13,478,118,1064,4347,2585,1387,907,580,373,167,11519
POA3058,8,6,13,26,57,146,391,708,481,1835,3,5,18,14,55,68,136,189,136,628,37,91,273,208,183,142,151,159,162,1407,559,2242,6262,5783,4838,3438,2360,1623,993,28088
POA3059,5,7,31,65,102,143,270,219,62,899,0,0,14,33,45,57,62,62,27,301,35,34,106,108,78,84,79,29,4,552,538,1457,3102,3035,2843,2559,1530,564,126,15758
POA3060,0,6,34,37,43,101,218,386,269,1096,0,3,12,26,34,57,54,97,106,394,53,63,185,166,80,82,73,69,49,823,307,981,2379,2114,1505,1261,886,787,528,10744
POA3061,0,3,19,43,50,81,131,154,51,533,0,0,13,22,37,47,75,62,27,290,10,34,56,52,43,55,53,33,9,340,108,310,693,618,582,523,476,365,107,3790
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10
POA3063,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,3,3,8,3,6,7,3,8,13,3,0,0,40,18,44,43,53,102,89,58,33,10,448
POA3064,65,126,510,815,802,839,902,483,136,4681,17,80,285,402,452,672,474,297,117,2797,371,419,1227,1036,634,438,279,136,89,4626,2867,7939,20932,19803,12207,9136,4867,1818,525,80099
POA3065,0,5,23,24,32,48,56,39,23,246,0,3,7,20,15,33,24,18,17,137,28,83,250,203,134,168,148,94,45,1158,143,728,3053,1872,1229,1179,793,379,158,9527
POA3066,0,3,17,23,38,30,32,43,18,205,0,5,17,14,25,23,15,15,9,118,23,58,170,108,80,49,29,21,6,553,90,620,3291,1710,994,654,385,188,70,8004
POA3067,0,0,9,9,10,26,23,42,28,144,0,3,5,7,8,8,9,11,18,64,11,33,170,103,62,40,36,20,14,492,79,654,3229,1748,885,662,487,244,97,8078
POA3068,0,0,10,13,28,36,82,163,122,441,0,0,5,4,3,16,27,30,40,125,14,52,146,93,82,78,78,63,35,642,208,1120,4444,3024,2325,1881,1591,900,370,15868
POA3070,0,4,11,10,22,49,169,386,213,859,0,0,3,10,11,18,59,116,107,330,26,40,148,142,116,89,77,69,34,737,332,1275,5057,3898,3746,2570,1621,1089,514,20108
POA3071,3,3,8,8,27,63,188,338,190,835,0,6,10,18,12,30,47,94,62,259,26,38,120,79,82,59,64,102,135,705,288,1016,3799,3271,2662,1840,1209,834,477,15394
POA3072,10,10,26,43,80,161,411,623,338,1691,7,17,23,26,39,81,131,147,81,545,46,81,297,277,201,148,148,95,83,1383,547,1993,6666,5921,4741,3391,2283,1467,724,27740
POA3073,6,22,75,108,146,307,821,1260,766,3513,0,19,46,57,80,111,196,330,193,1035,103,186,558,410,348,323,316,331,301,2878,815,3131,9370,7968,6386,5145,3929,3031,1699,41478
POA3074,5,11,33,113,134,253,711,755,262,2282,0,10,46,59,70,148,177,210,114,835,46,69,196,149,117,115,132,91,34,958,420,1325,3196,2650,2209,2225,2247,1561,528,16365
POA3075,11,9,56,86,158,235,630,683,311,2163,0,10,31,62,78,120,156,219,139,806,73,97,244,189,185,120,119,116,43,1194,502,1549,3469,3337,2750,2308,2107,1515,622,18148
POA3076,7,13,65,92,131,272,463,342,133,1529,3,13,46,54,75,104,122,84,29,526,79,138,381,339,232,229,220,319,316,2244,716,2194,5306,5443,4122,3592,2495,1210,585,25665
POA3078,0,0,6,12,11,24,68,128,101,352,0,0,0,3,4,6,15,25,25,82,12,34,98,75,53,69,40,31,3,420,173,754,2107,1876,1710,1482,958,466,209,9743
POA3079,3,3,3,10,7,21,83,144,139,411,0,0,4,9,4,19,12,17,16,94,20,22,76,91,70,52,81,97,86,590,323,1091,2233,2301,2369,2267,1741,974,538,13841
POA3081,3,7,26,28,49,98,122,133,92,558,6,7,22,34,34,54,47,28,21,247,31,71,169,135,124,102,90,49,25,786,238,979,2862,2108,1592,1622,1045,488,243,11185
POA3082,7,8,27,47,74,170,465,399,183,1381,0,11,24,37,35,53,109,105,54,422,57,89,164,161,127,150,133,92,65,1028,630,1989,4117,3666,3725,4441,2915,1191,415,23091
POA3083,8,12,40,44,62,136,343,537,271,1456,0,16,32,32,81,87,74,94,58,482,112,245,316,165,143,161,146,147,157,1585,927,3106,5239,3926,4024,3493,2716,1947,836,26212
POA3084,4,4,10,12,17,43,112,315,274,806,0,0,15,14,10,11,21,35,48,162,40,25,114,127,98,142,165,133,95,945,469,1395,3061,3898,3741,3177,2618,1914,995,21271
POA3085,3,0,5,5,14,19,74,145,142,411,0,0,6,4,9,10,18,11,7,61,25,50,65,54,31,37,44,49,19,372,308,884,1813,2021,1974,1464,1264,759,438,10934
POA3087,0,0,8,12,13,28,77,143,76,353,0,0,8,10,11,13,22,11,6,87,11,9,36,29,26,37,42,28,11,232,167,445,1277,1395,1194,1008,875,556,194,7112
POA3088,8,4,10,9,26,49,177,292,192,769,0,0,6,19,20,31,27,23,15,145,19,28,75,81,74,67,99,106,78,630,501,1266,2870,4016,3679,3227,2926,1647,657,20788
POA3089,5,4,3,6,5,11,39,70,37,183,0,0,0,0,0,3,0,0,0,18,17,13,24,28,46,21,39,22,10,223,347,835,1400,1599,1885,1689,1020,430,123,9330
POA3090,0,0,0,0,0,6,12,14,21,52,0,0,0,0,3,0,0,0,4,7,0,0,0,10,8,9,9,12,17,75,73,204,181,266,464,369,191,118,107,1969
POA3091,0,0,0,0,0,7,14,18,5,42,0,0,0,0,0,0,0,4,0,5,5,6,9,7,4,14,12,10,6,57,47,137,119,134,277,264,160,98,20,1252
POA3093,0,0,3,0,0,4,20,37,47,114,0,0,0,3,6,0,0,5,7,19,5,7,16,15,14,9,7,18,4,94,77,201,413,497,578,490,454,290,142,3153
POA3094,0,0,4,0,6,13,25,57,30,141,4,4,3,3,4,11,0,0,4,37,8,5,20,25,27,22,32,23,11,170,146,395,917,1395,1289,1082,1043,545,146,6953
POA3095,3,4,13,9,12,26,89,119,74,355,0,3,3,6,7,6,8,0,11,44,44,25,42,90,103,82,96,74,57,611,631,1587,2260,3482,4422,4052,3170,1298,360,21254
POA3096,0,0,0,0,0,5,5,13,13,44,0,0,0,0,0,0,0,0,0,3,0,0,8,0,10,5,0,0,3,29,40,141,213,194,270,290,167,115,62,1496
POA3097,0,0,0,0,0,0,5,6,0,9,0,0,0,0,0,0,0,0,0,0,10,8,6,4,14,7,8,4,0,65,53,95,122,156,248,233,171,80,13,1155
POA3099,0,0,0,0,8,9,20,21,5,71,0,0,0,4,0,0,0,0,0,5,3,4,6,24,14,21,19,18,4,115,116,280,441,577,728,765,573,240,42,3747
POA3101,8,7,6,12,25,29,80,107,100,375,0,7,17,14,17,35,35,21,26,180,42,44,109,91,134,124,90,107,111,862,468,1719,3162,2827,3394,3085,2409,1459,788,19323
POA3102,0,0,0,3,5,10,19,60,47,144,0,0,3,0,3,3,9,15,12,39,5,3,17,22,17,14,22,28,4,141,143,435,657,829,962,886,598,370,159,5030
POA3103,5,0,0,10,19,24,57,110,83,303,0,0,8,4,16,14,14,21,17,94,18,31,41,53,68,38,55,50,50,393,338,1037,1531,1903,2141,1919,1596,1105,609,12181
POA3104,3,5,3,9,25,44,79,177,124,470,0,3,0,19,19,20,24,24,24,145,36,35,47,52,87,58,50,56,37,451,586,1429,1830,2286,3343,2871,1875,1198,614,16031
POA3105,0,3,8,9,7,40,144,370,230,801,0,0,10,0,18,12,32,52,40,160,8,13,33,29,42,40,58,64,42,323,220,653,1219,1329,1525,1422,1087,1061,497,9016
POA3106,0,3,0,4,14,43,149,232,192,644,0,4,7,5,3,26,28,31,23,127,17,22,56,71,47,69,78,124,112,608,327,928,1581,2010,2098,2415,2053,1407,696,13509
POA3107,4,0,11,7,5,43,125,256,193,647,0,3,5,10,7,11,43,51,36,167,17,12,47,52,48,47,55,83,68,432,261,680,1365,1799,2040,1624,1372,1396,610,11132
POA3108,0,4,12,29,37,59,203,410,246,1001,0,3,33,19,20,64,52,69,65,317,33,45,145,142,116,94,105,102,68,853,411,1619,3869,3463,2919,2842,2408,2029,971,20532
POA3109,0,4,14,14,54,108,290,383,276,1139,0,5,22,36,33,56,72,99,57,379,40,42,90,128,128,97,129,143,64,864,536,1683,3344,4589,3841,3670,3070,2343,988,24060
POA3111,4,0,5,4,9,38,78,125,128,396,0,0,0,4,6,18,10,21,34,93,15,24,39,44,47,44,41,89,102,442,270,730,1056,1530,1814,1629,1298,1007,568,9915
POA3113,0,0,3,0,4,11,30,46,19,110,0,0,3,0,3,7,0,0,0,13,9,8,14,27,40,29,26,15,3,174,234,533,567,913,1527,1254,853,400,77,6361
POA3114,0,0,0,4,0,7,9,22,5,51,0,0,0,0,0,6,0,0,0,12,9,4,0,3,16,4,4,8,0,58,102,292,208,333,697,561,364,198,61,2816
POA3115,0,0,3,5,0,0,9,15,3,41,0,0,0,0,4,3,0,0,0,7,6,7,0,8,9,18,7,4,0,58,100,284,282,360,610,634,414,179,39,2893
POA3116,3,0,10,14,15,28,76,103,45,299,0,0,6,11,12,4,10,13,7,75,14,19,43,46,55,29,36,50,15,312,262,692,1514,1613,1493,1316,1110,662,162,8823
POA3121,0,0,24,24,60,113,168,217,132,740,0,3,15,27,42,78,77,84,62,384,46,133,488,278,222,228,177,139,60,1774,361,2425,9815,5166,3594,2904,1983,1068,431,27751
POA3122,5,0,8,9,9,7,42,57,49,190,0,0,4,10,10,5,8,12,15,73,42,78,209,115,87,81,78,75,50,817,540,2114,4892,3116,2548,2053,1685,1018,399,18367
POA3123,3,0,4,3,4,11,32,55,46,157,0,4,5,7,11,12,11,7,12,64,25,29,92,59,60,42,59,62,52,491,236,1163,2869,2085,1862,1477,1142,713,305,11840
POA3124,3,0,10,10,10,9,60,125,139,361,0,0,10,3,13,8,8,15,24,84,39,31,67,86,82,71,73,73,99,620,461,1533,2326,2463,3013,2685,2182,1493,1027,17180
POA3125,6,5,8,17,17,21,77,145,81,370,0,3,20,11,8,8,19,28,13,109,32,162,217,94,61,67,71,54,86,837,502,1976,2763,1790,1700,1381,1045,831,530,12524
POA3126,0,3,0,5,3,5,19,20,36,95,0,0,0,0,6,4,0,3,4,18,10,8,22,26,23,11,38,32,41,214,166,509,601,792,1072,1055,913,546,320,5981
POA3127,0,3,0,6,11,12,32,62,71,203,0,0,4,6,4,13,9,5,9,54,25,26,66,67,65,58,63,50,21,451,407,1243,1926,2199,2813,2379,1979,961,487,14397
POA3128,4,13,34,47,71,47,140,112,94,557,0,21,67,45,42,29,38,25,29,298,55,204,380,194,150,118,168,195,257,1716,454,2547,4872,3103,2800,2214,1711,1108,725,19520
POA3129,4,8,15,27,54,46,108,148,113,514,0,3,18,22,19,30,32,26,25,183,19,47,122,92,69,62,56,41,20,521,337,1206,2483,2467,2511,2098,1552,902,419,13966
POA3130,3,5,17,27,53,72,127,267,204,775,0,4,20,30,36,30,55,49,54,283,39,57,143,94,128,80,107,150,171,969,641,2063,3726,4550,4705,3837,2828,2052,1218,25621
POA3131,0,11,17,38,45,96,148,254,177,781,0,5,19,21,31,62,58,44,29,266,27,53,142,135,122,96,130,173,175,1049,429,1310,3017,3450,3114,2466,2043,1614,923,18361
POA3132,4,8,7,14,30,51,74,110,76,370,0,0,17,14,21,48,30,16,6,151,19,17,63,65,50,51,38,35,23,365,294,980,2371,2690,2294,1852,1457,879,309,13123
POA3133,5,4,4,6,32,58,129,233,124,588,0,0,10,15,31,41,41,37,19,198,19,38,60,70,63,59,76,141,192,721,468,1298,2024,3070,3156,2580,2531,1818,744,17698
POA3134,8,16,75,84,50,89,170,265,223,978,0,9,53,42,39,54,48,35,20,300,42,55,141,172,130,99,100,106,62,903,660,2036,4479,4976,4737,4017,3045,1886,829,26668
POA3135,0,10,39,38,47,48,72,126,82,470,0,7,39,24,19,29,29,13,10,174,20,30,87,111,89,83,106,128,119,772,362,1082,2526,3130,2903,2300,1845,1177,535,15863
POA3136,13,25,99,119,115,117,224,345,249,1295,5,12,56,51,57,48,41,23,18,310,59,61,216,181,155,152,161,195,176,1366,856,2512,6040,6590,5845,5397,4467,2784,1197,35688
POA3137,0,6,32,42,52,42,88,122,79,461,0,0,22,17,23,20,17,10,3,112,15,19,58,40,29,51,57,60,59,386,311,866,2057,1947,1767,1764,1297,893,345,11240
POA3138,6,15,49,82,45,63,112,160,88,621,3,15,42,53,56,22,29,15,7,250,40,40,110,88,82,68,69,90,41,635,467,1440,3363,3336,2875,2478,1996,1108,336,17397
POA3139,3,3,25,22,46,57,78,107,44,379,0,0,8,5,6,4,0,11,12,50,37,29,40,59,77,78,57,50,17,458,368,814,1865,1696,1949,1906,1371,634,153,10775
POA3140,3,7,14,27,42,52,87,167,125,518,0,3,3,16,13,13,7,11,9,67,23,31,87,77,83,70,63,61,29,528,395,1070,2293,2138,2404,2137,1639,1032,410,13518
POA3141,0,5,16,11,12,30,42,58,45,221,0,7,12,11,21,14,14,15,16,108,65,137,540,284,175,148,116,84,37,1593,358,2148,8473,4123,2394,2040,1624,961,351,22478
POA3142,3,0,0,6,4,3,13,18,29,81,0,0,0,0,0,3,0,0,0,16,39,40,80,72,82,78,104,82,75,650,217,802,1827,1347,1477,1600,1665,1155,493,10578
POA3143,0,0,5,0,3,7,17,50,25,109,0,0,3,0,0,0,0,14,5,32,13,33,45,55,47,19,34,51,33,323,110,634,1898,1358,1167,851,867,621,210,7723
POA3144,8,0,9,4,0,4,27,72,48,157,0,0,0,6,0,5,9,15,11,42,15,12,58,51,68,51,71,111,88,520,213,654,1313,1237,1470,1275,1146,960,457,8721
POA3145,0,5,9,9,15,18,88,170,113,425,0,4,18,15,14,25,7,33,24,130,20,50,178,103,57,87,89,90,76,740,489,1974,3554,2978,3218,2630,2029,1193,683,18737
POA3146,5,5,8,7,13,17,57,138,82,325,0,0,3,4,7,10,15,23,16,87,27,43,112,84,89,64,70,82,38,595,537,1818,3179,3385,3836,3115,2270,1391,545,20064
POA3147,5,0,7,10,15,43,81,105,94,357,0,4,7,13,16,18,28,21,5,120,5,36,83,67,49,51,69,59,63,469,280,883,1735,2032,2173,1785,1279,818,481,11469
POA3148,0,3,6,7,15,25,81,126,71,334,0,4,18,11,12,26,19,27,14,134,13,35,147,69,50,24,30,24,10,405,163,713,2083,1547,1099,877,654,437,175,7753
POA3149,8,4,21,18,46,70,202,368,224,950,0,3,25,14,28,37,64,61,45,275,54,104,206,150,153,131,85,130,106,1110,780,2447,4306,4822,4842,4091,2937,2336,1161,27716
POA3150,0,13,38,59,112,183,455,612,444,1922,11,11,47,62,58,93,126,105,103,613,109,157,308,307,250,236,276,447,525,2625,1303,4182,6767,8273,8264,7244,6575,5165,2552,50321
POA3151,0,0,9,9,16,42,122,231,110,538,0,0,17,17,17,19,33,37,15,164,9,27,73,53,47,38,41,45,18,346,198,809,1609,1365,1370,1186,995,983,360,8872
POA3152,3,9,22,22,53,113,210,275,215,922,3,5,11,32,24,64,63,41,48,289,62,54,125,135,124,115,168,219,261,1273,751,2032,3973,4884,4351,4409,4078,2157,1186,27832
POA3153,11,9,24,43,48,92,127,172,92,614,0,3,25,24,33,32,38,13,9,172,31,49,136,150,115,100,95,134,228,1045,370,1179,3342,3397,2593,2355,1847,1123,594,16806
POA3154,0,0,3,0,14,6,25,32,20,111,0,0,0,0,0,3,5,0,0,6,5,9,20,13,18,14,17,31,41,172,91,220,527,600,650,544,418,228,125,3397
POA3155,6,9,23,35,55,80,138,188,140,682,0,0,9,17,24,20,23,22,12,130,48,56,173,153,108,109,116,111,51,924,421,1279,3722,3600,2973,2624,2278,1366,527,18788
POA3156,6,6,30,48,69,115,228,321,164,988,5,0,13,22,19,39,39,29,14,177,61,68,163,153,150,158,149,144,95,1147,939,2287,4734,5296,5480,5085,3610,1952,675,30059
POA3158,0,0,3,5,3,7,19,25,13,76,0,0,4,0,0,0,0,0,0,7,6,8,21,26,20,29,22,12,4,137,152,351,726,950,1027,952,690,223,59,5138
POA3159,5,0,0,0,4,5,7,6,4,31,0,0,0,0,0,0,0,0,0,4,14,12,10,20,28,10,5,6,3,105,75,143,218,380,405,351,239,97,19,1929
POA3160,0,0,10,4,16,20,33,41,13,136,0,0,5,0,0,4,0,0,0,19,21,8,40,26,37,23,35,19,11,207,208,486,966,1333,1359,1199,883,331,75,6839
POA3161,0,4,11,3,3,7,33,56,83,197,0,0,10,5,4,9,5,12,8,56,16,65,151,94,59,32,83,82,89,664,242,1313,3005,2202,1863,1592,1710,858,571,13356
POA3162,3,0,4,3,8,12,74,88,106,297,0,3,0,13,6,7,10,21,22,83,26,36,128,78,84,82,98,116,157,808,302,1012,2221,2407,2435,2027,2058,1078,680,14225
POA3163,5,0,14,25,30,74,141,260,178,721,0,11,35,15,8,13,21,52,20,181,28,92,292,150,120,76,135,132,116,1130,440,2398,6826,5259,3929,3266,2539,1491,699,26847
POA3165,4,0,4,9,27,48,171,339,243,852,0,5,13,10,8,20,31,54,34,170,51,45,94,133,117,95,102,97,76,789,602,1546,3077,4672,4698,3321,2347,1409,805,22482
POA3166,0,5,6,16,27,79,256,486,310,1178,0,5,14,10,8,29,82,111,56,319,30,105,212,153,113,86,83,55,42,879,465,2033,4388,3578,3387,2634,1755,1217,688,20131
POA3167,3,4,4,7,19,51,145,235,89,559,0,0,4,5,11,22,51,52,29,177,10,25,72,49,35,40,30,35,29,330,161,548,1465,1426,1227,1182,955,609,269,7839
POA3168,0,5,31,17,33,47,118,222,161,637,0,21,44,19,24,31,43,56,26,266,94,366,637,222,123,105,116,136,177,1970,1056,4658,6639,2566,1512,1266,976,772,558,19999
POA3169,7,6,21,33,61,154,399,484,192,1359,0,9,33,33,57,126,150,145,77,635,40,116,198,128,93,82,113,133,115,1015,396,1543,3980,2890,2340,2145,2006,1321,560,17184
