SOS_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOS51,6410,6935,18561,20216,19771,14972,3677,347,20,90911,3525,1680,5390,4497,3909,8083,15325,9305,3752,55475,828,980,2673,2315,2059,1897,1501,1042,694,13990,10769,9598,26622,27038,25734,24947,20502,10695,4476,160377,3210,8784,24738,25943,26285,18824,3639,229,6,111671,7372,3881,9431,11599,10180,9513,4124,593,38,56727,450,655,2395,2011,2002,2361,764,103,7,10751,261,372,841,667,552,391,128,64,16,3294,11292,13692,37405,40221,39013,31089,8654,994,73,182442,536,689,1013,823,862,690,95,5,0,4705,982,353,566,549,462,517,152,17,5,3601,1513,1039,1578,1370,1326,1205,250,16,4,8310,12812,14734,38986,41589,40342,32290,8902,1007,79,190748,7668,2910,7536,6698,6448,13137,28594,17703,6243,96934,1846,2089,5822,5514,5120,4540,3169,1963,1114,31185,22321,19729,52349,53805,51916,49969,40660,20677,7433,318870
SOS52,614,832,2294,2426,2605,2578,691,88,5,12141,759,513,1124,931,917,1741,2981,1565,509,11036,153,184,473,439,419,540,473,261,103,3049,1532,1532,3890,3800,3940,4851,4149,1914,613,26222,402,1066,3124,3036,3559,3227,795,83,4,15296,558,490,1126,1375,1323,1605,698,134,8,7310,59,81,346,330,329,542,180,26,0,1899,55,62,155,117,114,120,38,14,6,686,1077,1699,4747,4858,5323,5483,1716,258,26,25180,83,132,210,193,185,168,32,0,0,1002,88,49,97,110,84,97,34,4,0,571,169,183,308,300,272,264,70,8,0,1570,1244,1874,5058,5157,5592,5750,1778,265,24,26749,1568,848,1694,1519,1602,2970,5993,3180,907,20289,306,395,1157,1115,1165,1244,1044,547,180,7163,3122,3119,7910,7789,8361,9967,8821,3999,1111,54193
SOS53,2258,2702,6216,7692,9669,8863,2695,411,24,40534,1570,489,1686,1701,1955,4329,6921,2989,716,22357,366,604,1500,1279,1443,1292,903,391,75,7844,4189,3795,9400,10667,13071,14487,10520,3798,820,70735,1440,4250,11445,12726,15680,12919,3484,581,58,62578,2478,1555,3028,4664,5325,5818,2943,653,67,26525,195,338,1252,1385,1593,1946,580,51,5,7351,138,163,326,350,379,334,181,97,22,1981,4258,6316,16051,19113,22971,21014,7188,1373,147,98440,155,189,305,296,336,341,65,0,0,1684,298,103,131,148,177,208,85,4,0,1160,451,286,437,445,524,542,151,8,0,2840,4715,6602,16492,19563,23490,21559,7335,1381,152,101279,3480,1222,3465,3415,3595,7558,14201,6428,1344,44712,795,1853,5864,5711,5796,4568,2249,854,164,27852,8990,9679,25814,28684,32883,33687,23786,8666,1662,173841
SOS57,7,21,54,28,32,29,5,5,0,190,0,0,0,0,6,24,36,11,0,81,3,15,28,20,23,24,12,5,0,123,8,36,89,49,60,77,61,17,0,392,12,74,263,456,430,220,25,6,0,1478,0,0,15,24,15,15,7,0,0,77,0,0,18,29,37,30,9,5,0,120,0,3,5,6,3,4,0,0,0,20,10,71,297,516,486,267,40,8,0,1697,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,5,0,0,0,7,8,76,301,517,488,269,40,8,0,1711,0,0,4,7,10,45,86,21,0,165,6,43,219,425,390,221,49,6,0,1367,20,116,518,957,896,533,176,32,0,3249
SOS60,2771,4720,13569,10468,9632,7426,1811,166,15,50578,2161,1224,2679,2090,1998,4139,8437,6011,2766,31500,179,266,702,510,393,374,446,410,292,3579,5111,6215,16957,13066,12024,11931,10693,6591,3064,85653,643,3614,14760,12058,11819,7978,1339,86,3,52304,3251,4239,9659,6958,5472,5239,2327,324,15,37500,205,316,1124,793,646,664,211,27,4,3989,68,170,519,229,173,116,50,16,7,1349,4177,8342,26065,20036,18112,13999,3930,450,32,95146,255,609,1285,583,368,286,33,0,0,3425,879,624,854,355,265,220,73,0,0,3278,1133,1234,2145,938,633,511,108,4,0,6703,5307,9573,28209,20973,18740,14509,4038,459,32,101847,4799,2421,4469,3463,3514,7250,14998,10570,4387,55863,389,528,1441,1007,830,767,836,714,433,6953,10496,12516,34119,25445,23082,22522,19880,11745,4848,164664
SOS61,3430,4785,10940,9763,10530,8649,1912,154,14,50184,2264,1177,3005,2610,2876,5556,11228,7972,3424,40111,273,337,666,538,521,562,650,703,407,4669,5970,6307,14613,12913,13932,14764,13790,8834,3848,94967,1148,4785,12957,11110,12077,9137,1505,76,5,52803,3998,3475,7175,6531,6295,6368,2361,309,22,36530,252,326,1134,720,736,917,258,27,5,4376,128,215,419,233,252,187,87,37,11,1563,5521,8792,21684,18585,19367,16608,4206,446,48,95263,329,666,922,592,596,433,60,0,0,3599,687,399,510,341,342,369,67,9,0,2738,1023,1068,1432,931,938,801,126,11,3,6334,6545,9858,23118,19521,20300,17411,4337,464,50,101602,5068,2132,4459,4015,4932,9462,20287,14397,5447,70192,593,707,1455,1146,1132,1158,1271,1197,685,9340,12205,12701,29027,24674,26362,28025,25894,16055,6182,181132
SOS62,372,440,1196,1276,1544,1516,356,34,4,6724,270,116,304,311,378,995,1839,1026,339,5572,35,33,88,90,104,135,134,117,59,792,671,588,1594,1673,2031,2640,2330,1173,399,13098,156,499,1405,1489,1773,1475,315,28,0,7141,408,326,783,895,1021,1237,473,72,8,5219,34,39,169,123,132,193,60,10,0,759,20,29,49,47,62,50,16,8,4,286,621,894,2406,2554,2988,2960,866,115,8,13402,34,54,65,53,85,71,11,0,0,380,52,28,51,43,44,70,21,0,0,308,84,80,119,99,127,147,34,6,0,687,706,972,2527,2650,3111,3107,892,121,6,14087,607,202,434,477,691,1784,3585,2077,584,10444,86,91,187,172,221,280,295,236,98,1665,1398,1262,3154,3303,4018,5168,4774,2432,697,26204
SOS63,1456,1633,3886,4993,5969,5324,1281,188,10,24739,1153,353,965,1019,1422,3230,4840,2073,490,15546,139,127,350,367,370,453,362,214,61,2449,2742,2115,5201,6379,7764,9010,6485,2470,565,42734,783,1943,4695,5774,7056,5798,1378,207,14,27653,1686,1102,2443,3377,3943,4415,1755,315,33,19069,122,136,508,440,528,658,184,33,10,2614,64,106,162,189,215,188,82,34,12,1064,2652,3287,7816,9786,11742,11060,3393,593,59,50394,122,208,274,172,245,262,35,3,0,1320,255,103,118,125,132,210,41,0,0,988,378,314,391,298,374,465,74,0,0,2307,3028,3603,8214,10080,12117,11527,3475,596,59,52703,2531,644,1450,1547,2452,5902,10008,4597,965,30098,307,251,717,733,805,971,827,440,128,5173,5861,4492,10379,12363,15378,18400,14309,5634,1154,87973
SOS67,0,6,12,12,16,12,0,0,0,50,4,0,0,0,4,4,8,0,0,24,0,0,0,0,0,0,0,0,0,0,4,6,13,12,18,11,9,0,0,73,0,9,48,67,64,40,7,0,0,237,0,0,4,0,3,5,0,0,0,19,0,0,4,3,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,9,58,76,70,53,12,0,0,277,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,58,76,69,53,12,0,0,282,4,6,0,0,6,15,19,5,0,58,0,0,4,4,15,11,0,0,0,31,5,15,62,80,90,75,33,3,0,362
SOS70,1759,3041,9966,8232,6407,4496,1159,98,7,35158,1268,607,1802,1418,1092,2017,3430,1540,372,13546,300,438,1372,1057,923,811,539,211,63,5721,3327,4084,13140,10705,8421,7334,5127,1845,442,54424,691,3772,13039,11426,9457,6150,1374,90,10,46009,2083,1945,4472,3402,2299,1914,953,125,8,17212,124,243,1152,903,718,876,288,17,0,4319,80,157,414,244,170,139,40,9,7,1254,2974,6116,19078,15969,12651,9084,2655,238,20,68792,173,267,487,325,259,248,45,6,0,1806,335,157,265,163,113,117,41,6,0,1197,510,420,754,485,370,358,93,10,0,3001,3483,6532,19839,16458,13023,9447,2746,254,20,71794,2668,1258,2944,2373,2010,3530,6697,3110,681,25259,584,973,2744,2133,1906,1747,1189,409,104,11793,6730,8761,25522,20971,16938,14722,10630,3766,808,108845
SOS71,543,870,3294,2514,2180,1735,448,38,5,11625,928,648,1350,1100,850,981,1073,421,146,7493,133,156,495,393,362,366,219,61,11,2193,1606,1671,5141,4003,3387,3088,1733,520,158,21315,285,978,4309,3467,3043,2422,575,41,0,15126,541,344,1056,1061,646,648,315,40,0,4656,32,82,355,251,234,329,102,6,0,1389,35,59,153,102,83,51,17,9,0,511,891,1467,5877,4878,4007,3456,1004,87,0,21677,101,167,313,218,145,85,11,0,0,1038,104,77,139,103,70,49,21,3,0,569,209,251,454,322,209,126,30,7,0,1609,1095,1714,6329,5206,4214,3582,1039,96,4,23286,1971,1224,2312,1903,1533,1681,2093,831,214,13754,280,320,1004,834,748,753,481,124,21,4570,3350,3259,9646,7941,6496,6016,3606,1051,242,41604
SOS72,206,379,1010,939,858,782,194,16,0,4383,701,610,1178,774,709,721,701,160,30,5584,53,75,198,133,156,205,140,20,4,981,957,1068,2381,1844,1723,1711,1030,194,31,10940,112,353,1059,1014,1011,907,227,15,0,4695,112,173,451,480,347,281,124,16,0,1973,16,41,147,145,184,243,87,7,0,857,14,23,65,52,40,45,13,4,0,253,254,589,1713,1693,1580,1470,448,40,0,7785,98,139,233,153,77,44,3,0,0,752,43,59,79,71,36,22,0,0,0,310,141,202,312,219,112,69,9,0,0,1064,390,791,2028,1912,1696,1541,454,41,0,8848,1453,1157,2137,1420,1305,1247,1389,370,57,10540,110,147,402,290,323,408,292,54,0,2035,1959,2092,4561,3621,3326,3199,2145,471,59,21428
SOS73,528,676,1720,1764,2024,1602,412,27,3,8748,463,320,734,635,544,1264,1776,425,70,6228,133,191,477,392,421,485,377,85,5,2567,1125,1185,2932,2797,2989,3350,2568,539,75,17550,420,996,2418,2390,2786,1915,463,51,0,11441,431,276,620,665,706,713,292,34,5,3744,31,70,376,406,540,711,214,13,0,2356,30,53,86,78,73,66,37,7,0,438,919,1395,3496,3539,4102,3406,1005,108,7,17978,73,85,184,120,138,89,23,0,0,714,52,17,52,41,46,38,14,0,0,267,125,108,236,155,184,135,37,0,0,979,1044,1505,3734,3700,4291,3534,1040,114,7,18962,1037,706,1457,1252,1090,2375,3813,1042,120,12899,302,491,1230,1048,1172,1152,886,224,16,6515,2380,2699,6425,6001,6547,7058,5743,1378,145,38374
SOS77,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,3,7,4,0,15,0,0,5,0,0,0,5,0,0,17,0,15,12,3,7,12,21,5,0,64,0,17,30,61,69,60,6,0,0,235,0,0,6,5,4,0,0,0,0,16,0,0,0,0,4,3,6,0,0,18,0,5,7,0,0,0,0,0,0,13,0,17,42,59,79,62,11,0,0,282,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,42,67,79,64,11,0,0,285,0,5,0,0,3,4,18,5,0,47,4,3,17,43,43,34,11,3,0,151,11,27,58,105,120,106,42,10,0,482
SOS80,7961,14277,33005,29950,23971,14272,3254,297,29,127007,4457,2085,4258,3784,3373,8250,14725,9619,3884,54433,578,873,1629,1124,806,589,636,516,429,7174,13001,17233,38891,34854,28151,23111,18615,10430,4333,188615,2176,13208,46099,42946,36352,19193,3246,196,16,163423,9897,11894,14756,13511,9237,7659,3615,598,46,71216,690,905,3007,2531,1523,1354,416,50,10,10484,124,387,950,534,358,180,63,16,4,2618,12898,26389,64807,59524,47465,28384,7343,858,76,247742,324,747,1406,920,727,536,78,3,0,4747,2099,998,780,492,354,370,147,15,0,5252,2423,1746,2186,1410,1077,908,231,19,0,9995,15318,28137,66993,60931,48544,29292,7570,880,82,257739,9914,4395,6933,5602,5599,13995,25994,17174,6427,96043,1148,1858,3504,2482,1744,1320,1192,947,688,14879,26383,34392,77435,69014,55886,44609,34756,18995,7190,368662
SOS82,17,15,20,38,44,25,10,0,0,170,5,0,6,3,4,12,19,16,3,68,0,0,0,3,0,0,0,0,0,5,23,17,23,46,52,41,25,16,3,239,4,18,36,55,63,28,0,0,0,205,21,9,8,18,28,12,5,4,0,107,5,0,3,3,3,0,0,0,0,20,0,0,0,0,0,5,0,0,0,7,26,26,46,88,93,45,15,5,0,332,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,9,35,24,46,88,93,43,12,5,0,346,15,0,5,6,4,18,35,20,6,119,4,0,0,3,0,0,9,0,0,21,47,24,54,94,99,69,55,33,6,482
SOS83,4,20,48,22,25,27,9,0,0,163,9,3,12,0,4,10,11,5,5,51,3,9,5,0,9,9,7,0,0,39,19,36,58,30,32,45,21,3,5,250,18,51,79,40,34,26,15,0,0,267,8,11,15,11,13,17,10,3,0,81,0,0,14,0,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,5,31,67,106,53,50,46,26,3,0,378,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,31,64,106,56,50,48,26,3,0,385,14,3,10,0,6,16,26,9,4,83,8,21,18,4,13,15,8,0,0,85,51,87,133,61,71,74,58,9,7,555
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,22,15,63,86,86,64,24,0,0,351,9,5,5,9,11,20,29,11,0,100,3,8,32,28,31,29,12,4,0,153,32,28,106,131,127,111,57,11,0,605,5,25,122,114,126,102,47,0,0,542,24,9,33,34,24,36,21,0,0,181,0,0,4,6,5,7,3,0,0,25,0,0,5,0,3,3,5,0,0,23,30,37,158,156,164,149,79,0,0,777,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,12,29,37,158,160,169,154,76,0,0,793,20,5,9,14,18,27,65,29,4,190,7,22,89,66,72,47,38,3,0,346,59,67,261,240,258,227,175,36,4,1327
SOS92,40,60,111,121,136,179,69,15,0,734,10,5,9,19,18,59,107,59,19,318,6,9,23,28,25,35,21,16,0,161,59,79,147,170,181,268,202,89,29,1216,42,82,162,148,177,213,55,8,0,894,40,28,58,80,68,116,59,20,0,467,9,5,9,12,21,24,17,6,0,102,0,3,0,0,0,0,0,0,0,11,89,120,236,242,268,355,130,29,0,1470,0,0,3,5,0,7,0,0,0,14,0,0,0,3,0,4,0,0,0,10,0,3,3,3,0,14,0,0,0,27,91,126,232,248,271,373,125,31,3,1499,26,12,17,31,31,89,194,113,41,557,13,16,42,45,52,77,49,39,5,334,134,149,293,321,349,540,374,187,48,2389
SOS93,10,11,31,26,48,36,17,3,0,190,6,8,4,3,11,15,25,24,3,86,7,9,11,0,13,6,10,9,0,62,15,19,44,33,70,60,49,41,4,338,4,13,39,40,57,40,20,0,0,211,4,5,12,17,21,19,24,13,0,116,0,0,4,3,0,3,0,0,0,17,0,0,0,0,3,0,0,0,0,11,15,23,55,61,90,71,46,10,0,361,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,12,0,0,0,3,0,6,0,0,0,16,15,23,55,66,94,68,46,10,0,374,12,26,113,57,51,30,52,41,6,391,4,5,20,12,25,20,22,21,0,124,37,52,186,130,162,121,120,69,10,886
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
