SOS_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
SOS73,26,30,50,63,73,57,22,0,0,324,466,621,1614,1671,1940,1549,399,27,4,8293,164,333,449,285,287,294,134,32,5,1980,12,63,265,309,367,188,30,4,0,1234,39,57,95,90,123,110,37,5,0,543,3,9,37,58,70,67,17,0,0,268,72,123,397,461,485,402,92,8,0,2037,13,31,68,58,77,68,18,0,0,333,157,87,143,133,199,159,51,0,0,935,172,74,184,138,159,157,52,12,0,940,12,24,113,118,190,197,45,3,0,707,3,3,13,19,17,15,3,0,0,83,0,7,33,27,38,30,14,0,0,145,4,9,40,38,46,41,18,7,0,201,19,33,153,156,172,131,66,9,0,737,20,30,80,114,135,129,34,3,0,542,26,174,534,570,603,417,88,5,0,2419,42,82,233,332,360,324,70,5,0,1448,36,85,295,280,363,370,97,7,0,1534,22,45,103,85,88,60,35,0,0,441
SOS77,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,3,9,15,7,6,9,3,0,0,48,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,12,0,10,14,16,17,13,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,5,3,4,5,4,0,0,0,14,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS80,94,229,631,422,284,152,50,13,6,1887,6831,13559,31985,29247,23479,13881,3178,294,29,122472,35,64,137,102,85,113,70,29,5,628,0,15,33,40,36,19,5,0,0,148,289,425,1038,817,865,501,159,29,0,4131,23,144,529,487,403,243,42,3,0,1879,770,2075,5089,3835,2682,1608,426,50,3,16547,71,235,423,441,398,309,81,9,3,1970,2890,3300,4255,2169,1625,1271,468,61,7,16045,4291,3530,4100,1876,1086,737,187,25,0,15837,91,364,1397,1147,1036,859,298,25,5,5220,97,316,975,995,800,407,89,18,4,3709,29,287,979,995,699,397,119,22,6,3527,71,354,830,658,503,385,152,39,11,2996,287,2593,7726,7257,5119,2980,962,137,9,27063,168,594,1775,1519,1195,915,285,33,3,6481,692,4645,17687,21403,18287,9224,1513,86,3,73542,1099,2239,5246,5679,4911,3128,872,97,8,23274,641,2928,8226,6735,5117,3648,1014,82,0,28391,677,779,1003,761,626,425,170,39,6,4473
SOS82,0,0,0,0,0,0,0,0,0,0,14,15,20,38,44,25,10,0,0,166,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,3,3,4,15,7,6,0,0,0,45,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,0,0,0,15,6,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,11,14,3,9,0,0,38,0,0,0,0,4,0,0,0,0,6,0,0,13,32,25,15,0,0,0,87,4,0,9,12,17,8,0,0,0,39,5,9,0,7,15,0,3,0,0,34,0,3,0,4,0,0,0,0,0,5
SOS83,0,0,0,0,0,0,0,0,0,4,7,20,48,26,21,28,9,0,0,156,4,7,4,4,7,8,10,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,9,10,3,4,4,5,0,0,36,0,0,0,0,3,0,0,0,0,3,4,0,0,0,3,5,0,0,0,13,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,3,0,4,6,10,4,0,6,0,0,26,0,0,0,3,0,0,0,0,0,9,16,32,42,13,9,3,0,0,0,111,0,0,8,8,7,3,0,0,0,26,0,4,9,0,6,0,0,0,0,22,0,4,11,5,3,0,4,0,0,27
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,3,0,0,0,11,22,13,63,89,80,57,21,0,0,346,0,0,0,0,0,0,0,0,0,7,0,0,11,21,26,18,9,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,8,5,0,0,22,0,6,18,8,19,15,4,0,0,73,0,0,4,4,0,0,0,0,0,11,0,0,5,3,4,7,0,0,0,25,5,0,4,6,6,8,4,0,0,26,0,4,16,5,9,7,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,3,5,12,0,0,0,21,4,0,3,9,14,11,3,0,0,42,3,10,60,61,54,28,21,0,0,234,0,0,17,9,15,7,10,0,0,50,0,0,0,11,0,6,4,0,0,36,12,0,5,4,4,4,0,0,0,30
SOS92,0,8,0,8,3,4,5,0,0,30,39,60,108,122,136,168,69,15,0,721,0,0,3,0,4,6,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,15,0,0,0,21,0,0,4,3,3,7,3,0,0,25,7,9,16,24,25,29,10,4,0,129,0,0,4,4,4,5,3,0,0,24,12,11,12,21,25,37,26,8,0,154,21,22,27,29,37,36,15,5,0,189,0,3,12,13,9,18,3,0,0,58,0,0,5,0,3,9,5,0,0,18,0,0,4,4,3,0,0,0,0,21,0,0,0,4,0,4,0,0,0,8,0,0,0,7,13,19,4,3,0,44,3,3,15,15,18,23,10,3,0,90,29,45,80,43,46,47,12,0,0,320,0,8,19,16,14,31,5,0,0,92,0,4,18,21,33,40,26,3,0,141,0,3,5,4,10,14,0,0,0,30
SOS93,0,0,0,3,4,0,5,0,0,11,10,11,31,26,49,35,19,3,0,178,0,0,0,0,0,3,0,0,0,11,0,0,0,0,6,3,4,0,0,15,0,0,3,3,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,4,3,5,7,0,9,3,0,0,0,31,0,0,0,0,0,0,0,3,0,5,0,0,0,7,4,9,6,4,0,33,7,3,8,4,9,9,7,0,0,38,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,3,4,0,3,0,0,9,0,0,6,7,3,4,4,0,0,19,0,6,18,18,29,21,7,0,0,91,0,5,4,8,6,3,0,0,0,22,0,0,7,3,6,3,0,0,0,23,0,0,4,4,0,0,3,0,0,10
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
