SOS_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SOS52,10913,5543,6374,6430,6845,7748,6543,3361,1043,54794,50,31,51,39,55,56,56,41,13,399,17,6,41,24,27,85,110,15,0,316,34,19,27,37,26,145,197,23,3,501,25,7,24,43,40,105,117,16,0,372,11,5,35,15,20,54,117,12,0,268,475,616,1324,1171,1324,1727,1636,535,52,8856,5,3,20,17,6,24,21,4,0,98,8,6,14,14,19,27,11,0,0,91,5,0,4,6,0,4,11,0,0,28,0,0,0,0,0,0,0,0,0,0,571,673,1479,1318,1459,2161,2219,595,54,10537,616,704,1533,1358,1515,2218,2280,634,69,10931,3,35,91,28,16,7,15,0,0,194,11536,6282,8001,7821,8375,9975,8829,3999,1114,65920
SOS53,25613,15037,15992,19385,23326,24522,17961,7439,1515,150795,40,75,74,60,88,96,108,53,9,596,176,61,239,264,210,368,380,41,0,1744,313,67,168,307,299,494,549,62,3,2259,119,79,258,347,355,537,452,54,0,2198,83,59,115,147,209,265,247,45,0,1170,1279,3245,8843,8051,8259,7219,3987,970,121,41988,32,14,39,54,74,108,65,0,0,383,25,15,74,58,54,47,29,5,0,306,19,10,9,18,14,20,14,0,0,114,0,0,0,0,0,0,0,0,0,3,2048,3554,9750,9238,9468,9067,5718,1174,129,50156,2092,3631,9820,9300,9558,9160,5825,1223,141,50751,38,117,290,126,74,75,40,12,5,774,27741,18781,26105,28811,32959,33753,23823,8679,1662,202315
SOS57,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,0,0,33,37,61,29,0,0,4,164,3,141,549,999,951,560,178,32,3,3413
SOS60,31636,21796,32643,24453,22078,21468,19043,11380,4665,189159,34,27,30,36,37,42,37,55,12,316,5,54,51,28,29,53,41,7,0,264,37,90,182,102,59,92,53,12,7,629,13,45,66,45,63,78,36,7,0,349,4,20,45,37,40,50,57,9,0,258,12,13,48,26,34,53,30,10,3,231,583,963,1030,690,714,672,569,262,170,5651,4,5,11,10,11,7,6,0,0,47,8,9,25,19,13,18,4,4,0,92,0,0,0,0,0,0,0,0,0,0,660,1198,1447,955,967,1018,791,312,176,7520,698,1220,1482,992,1003,1058,830,362,186,7837,21,71,169,51,34,56,44,14,7,476,32359,23092,34293,25494,23122,22581,19915,11761,4857,197474
SOS61,36485,23369,27643,23693,25165,26755,25006,15581,6002,209704,57,41,50,42,40,76,108,69,36,512,13,28,50,22,32,46,43,16,5,244,18,59,89,53,75,84,65,15,5,448,31,39,66,45,45,83,47,12,5,378,10,12,22,9,26,29,22,3,0,137,20,14,36,21,38,36,16,4,0,190,727,1331,1058,780,937,904,582,352,132,6797,4,5,9,4,3,13,6,0,0,42,0,3,15,12,4,9,0,0,0,49,0,0,0,0,0,0,0,0,0,4,825,1493,1337,940,1162,1203,780,401,142,8285,878,1532,1388,984,1197,1276,886,471,179,8792,11,76,124,53,28,28,27,15,9,369,37377,24979,29152,24730,26388,28057,25916,16066,6191,218867
SOS62,4698,2490,2913,3111,3767,4773,4485,2341,676,29257,3,3,8,8,6,6,26,7,8,76,0,0,6,5,5,16,11,3,0,48,9,8,17,20,22,37,17,9,0,130,5,8,12,7,21,16,19,0,0,89,3,6,6,7,11,5,14,3,0,49,0,6,12,0,9,17,14,0,0,58,115,133,175,141,168,283,198,73,19,1315,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,134,168,229,183,245,378,269,88,22,1707,138,171,237,190,254,391,288,92,26,1785,0,8,21,14,0,3,8,0,0,61,4838,2671,3179,3315,4026,5166,4781,2431,697,31104
SOS63,17478,9735,9554,11778,14734,17568,13741,5426,1089,101104,38,32,38,27,43,69,41,36,14,351,22,18,18,21,27,33,36,13,4,179,26,31,65,52,55,71,59,21,0,380,18,8,34,30,35,72,41,8,3,246,14,16,52,20,13,26,10,7,0,154,11,7,64,30,25,50,16,6,0,206,392,507,540,398,430,499,361,131,38,3287,3,6,9,3,0,3,0,0,0,20,0,0,6,0,10,7,3,0,0,32,0,0,0,0,0,0,0,0,0,0,476,585,788,554,596,765,527,174,51,4515,507,621,828,586,646,835,568,207,66,4858,0,14,47,23,20,15,3,3,4,128,17993,10362,10426,12382,15396,18414,14315,5638,1154,106089
SOS67,0,0,4,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,0,30,0,3,17,28,18,16,7,0,0,90,0,0,9,11,8,9,4,0,0,41,0,0,3,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,9,5,9,20,17,47,48,21,4,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,63,71,82,75,33,7,0,347,5,19,63,71,82,75,33,7,0,350,0,0,3,4,0,0,0,0,0,13,5,21,69,78,90,77,33,3,0,378
SOS70,24147,13836,22378,18475,14333,11164,7345,2939,701,115318,25,79,52,31,17,32,19,7,0,259,180,222,454,281,247,361,325,70,7,2150,365,203,594,491,505,931,994,187,19,4293,107,153,311,295,372,421,418,85,6,2163,161,165,285,266,313,526,588,174,19,2501,155,148,326,232,331,500,485,143,9,2325,13,13,24,43,61,81,79,19,0,328,612,637,1037,796,689,636,328,138,40,4912,33,41,66,57,68,67,56,6,0,393,0,0,0,0,0,0,0,0,0,0,1631,1576,3092,2461,2583,3522,3269,824,101,19061,1657,1657,3147,2492,2604,3557,3281,827,102,19321,64,1315,675,199,84,144,77,24,6,2586,25868,16800,26196,21165,17025,14864,10705,3789,809,137228
SOS71,10662,5959,8461,7050,5487,4485,2339,803,222,45465,31,38,43,33,24,20,7,3,0,194,33,46,93,67,62,123,84,15,3,522,86,64,186,100,154,361,449,81,5,1485,40,57,105,81,117,204,184,28,0,822,65,46,113,92,101,256,249,53,0,969,21,34,68,51,81,132,115,26,4,526,10,25,12,10,16,52,37,4,0,165,340,331,543,446,437,371,130,34,10,2644,6,0,23,13,21,18,18,7,0,96,0,0,0,0,0,0,0,0,0,0,594,607,1145,854,987,1512,1265,242,19,7230,627,647,1184,893,1008,1535,1270,247,19,7427,7,23,60,19,9,44,12,8,0,174,11294,6626,9704,7963,6509,6056,3621,1060,242,53072
SOS72,5682,3769,3963,3115,2698,2019,1070,286,46,22656,44,31,46,25,22,15,7,5,0,189,38,21,34,42,47,138,159,32,0,513,84,23,82,109,135,250,300,46,3,1047,42,26,66,56,108,190,169,14,0,678,16,25,53,34,58,197,179,34,0,602,13,18,42,20,50,159,150,16,5,473,8,3,10,12,9,30,21,6,0,98,150,129,257,197,184,186,77,20,0,1202,0,5,8,4,7,10,7,4,0,52,0,0,0,0,0,0,0,0,0,0,356,250,554,484,605,1168,1066,178,12,4666,398,277,597,505,627,1179,1069,183,11,4852,0,8,42,4,3,11,9,0,0,75,6082,4056,4611,3629,3331,3211,2149,469,59,27586
SOS73,6523,4262,4543,4466,4776,4092,2517,790,122,32091,13,31,24,8,21,26,16,9,0,148,106,106,163,100,121,324,451,96,0,1460,219,113,284,248,280,717,931,172,6,2972,119,131,353,299,356,562,583,67,9,2474,77,70,167,126,237,477,580,143,8,1880,70,50,181,192,138,301,309,52,0,1297,17,22,33,19,29,86,103,14,0,323,259,294,640,524,555,432,222,23,0,2952,18,0,29,32,32,39,35,6,0,195,0,0,0,0,0,0,0,0,0,0,878,787,1854,1526,1744,2943,3212,578,24,13547,894,817,1875,1535,1774,2966,3225,588,24,13695,5,96,141,44,15,22,14,0,0,345,7420,5173,6564,6046,6569,7082,5758,1379,145,46134
SOS77,0,15,23,22,20,17,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3,0,9,18,11,11,0,0,46,0,0,4,8,10,3,6,0,0,31,0,10,10,15,18,22,0,0,0,78,0,0,4,12,3,8,5,0,0,23,0,11,12,25,32,30,8,0,0,122,0,0,3,3,3,5,0,4,0,23,0,0,5,14,7,10,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,88,103,82,35,6,0,384,0,24,33,88,103,82,35,6,0,384,0,0,9,0,0,0,0,0,0,17,0,37,65,112,124,106,40,10,0,494
SOS80,81170,57879,74738,67262,54269,43013,33481,18383,6883,437076,37,54,58,33,46,32,64,46,19,393,272,1103,844,525,601,656,559,201,85,4844,29,187,204,114,97,136,81,24,4,870,30,123,135,119,111,135,95,9,3,765,3,38,25,13,24,41,38,12,0,188,13,47,49,32,32,41,34,5,3,248,4,30,23,11,30,29,33,9,0,159,11,12,16,13,13,7,3,0,0,70,814,1296,1358,888,669,519,380,310,189,6425,0,0,0,0,0,0,0,0,0,0,1173,2839,2647,1714,1572,1561,1214,565,287,13577,1210,2893,2700,1750,1616,1592,1273,612,307,13963,129,132,179,177,139,179,153,49,7,1151,82516,60910,77611,69193,56022,44784,34910,19045,7199,452187
SOS82,129,70,48,93,101,69,58,30,6,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,132,78,54,94,99,69,62,33,6,614
SOS83,89,122,111,55,64,65,52,8,4,576,0,0,0,0,0,0,0,0,0,0,0,7,9,4,0,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,3,10,4,0,0,33,0,0,0,0,0,0,0,0,0,0,6,15,24,6,8,9,7,0,0,74,6,15,24,6,8,9,7,0,0,73,0,0,0,0,0,0,0,0,0,0,94,140,134,61,71,74,58,9,7,649
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,266,93,190,197,192,154,139,24,4,1263,0,6,0,0,3,0,0,0,0,9,0,0,4,8,11,0,0,0,0,22,0,8,0,0,0,0,0,0,0,9,0,4,15,4,16,6,4,0,0,42,0,0,0,0,7,0,0,0,0,3,8,12,34,30,24,71,34,10,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,0,10,9,28,67,46,60,78,39,10,0,328,9,26,68,46,63,78,36,16,0,337,0,0,0,0,0,0,0,0,0,6,276,125,264,240,258,227,175,36,4,1605
SOS92,409,201,195,286,281,448,291,160,44,2315,8,4,0,7,4,3,7,0,0,30,0,18,31,13,8,7,13,0,0,89,0,16,12,0,3,0,5,0,0,26,4,14,19,0,21,40,31,11,0,133,0,0,0,0,0,0,0,0,0,9,8,15,26,8,24,33,35,13,0,155,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,3,3,0,7,6,4,0,0,0,0,20,4,6,0,3,5,10,5,0,4,34,20,78,95,29,64,91,78,24,4,476,26,80,93,34,66,92,88,24,4,508,0,5,4,0,0,0,0,0,0,16,429,283,294,322,347,547,377,187,48,2831
SOS93,117,78,166,120,150,115,107,65,10,934,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,5,0,0,9,0,0,6,3,3,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,4,21,10,12,3,12,3,0,68,0,4,21,10,12,3,12,3,0,68,0,0,0,0,0,0,0,0,0,5,117,87,188,130,165,120,120,69,10,1009
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
