SOS_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SOS71,38,289,6,340,1203,197,0,1741,120,240,40,407,993,186,14,1594,943,302,154,1404,2518,586,32,4537,1413,247,142,1802,1676,463,16,3952,652,245,79,973,1736,397,6,3116,141,232,26,400,2119,411,13,2946,43,177,4,220,1381,268,6,1873,6,31,0,38,415,75,0,530,0,5,0,6,69,11,0,81,3350,1774,460,5579,12111,2595,86,20379,69,308,24,405,1014,192,4,1610,247,263,92,602,905,161,3,1676,1438,417,280,2137,2488,518,28,5165,1655,341,240,2224,1357,426,8,4013,611,449,99,1156,1850,375,6,3391,91,464,39,589,2114,379,24,3111,26,255,12,292,1225,220,6,1747,0,34,8,42,421,58,10,531,3,3,0,5,129,23,0,158,4134,2538,785,7457,11504,2356,84,21395,111,594,32,743,2217,392,4,3349,366,512,134,1014,1900,348,16,3274,2382,720,437,3537,5002,1108,60,9704,3065,583,378,4029,3027,883,19,7963,1257,700,178,2136,3595,769,9,6509
SOS72,24,269,22,310,596,92,0,998,144,207,51,395,542,84,0,1030,534,299,149,975,993,207,22,2198,588,203,116,903,719,159,3,1782,268,251,48,569,857,174,0,1600,72,177,15,269,1010,210,6,1497,23,101,9,138,809,167,4,1116,8,17,0,28,203,41,0,271,0,4,0,3,23,4,0,31,1651,1525,412,3593,5753,1138,35,10519,54,299,32,383,469,106,0,963,225,256,77,555,428,87,0,1070,811,347,230,1392,791,200,26,2407,695,276,182,1158,548,135,6,1843,250,397,84,731,821,170,9,1734,41,373,46,456,1045,211,5,1713,16,172,10,198,684,153,0,1036,0,24,3,31,142,21,0,194,0,9,0,10,22,0,0,31,2085,2161,672,4917,4948,1079,44,10983,77,566,50,698,1070,196,0,1958,365,464,130,954,972,171,3,2093,1342,648,385,2371,1789,407,42,4611,1283,485,300,2061,1267,302,4,3629,519,648,133,1300,1683,342,3,3331
SOS73,10,170,5,185,836,233,6,1266,76,149,20,249,863,394,68,1579,584,187,50,823,1698,969,91,3583,1085,128,74,1290,1048,877,39,3241,669,171,37,879,1818,859,18,3576,124,214,17,357,2639,718,18,3721,32,198,5,234,2412,532,11,3187,4,34,0,38,651,146,0,841,0,4,0,4,58,11,0,67,2584,1256,209,4054,12027,4733,248,21060,28,178,9,219,722,186,0,1123,127,168,27,315,671,194,22,1205,840,226,103,1163,1268,500,57,2986,1262,206,120,1589,796,406,7,2800,511,321,54,889,1661,443,4,2994,47,444,16,510,2354,484,8,3365,19,316,3,340,1831,394,8,2573,3,40,0,49,403,91,0,541,0,5,0,3,59,8,0,75,2847,1894,341,5079,9767,2704,98,17650,39,349,13,403,1555,418,8,2392,205,318,46,571,1539,593,86,2781,1424,414,156,1988,2965,1469,141,6564,2347,336,191,2878,1845,1280,44,6046,1183,492,93,1764,3475,1301,15,6569
SOS77,0,0,0,0,10,0,0,10,0,0,0,0,14,5,0,17,5,0,0,5,28,16,0,54,12,0,0,14,51,41,0,106,12,0,0,9,62,43,0,117,4,0,0,4,58,33,0,96,0,0,0,0,13,7,0,22,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,26,7,0,27,245,138,12,429,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,15,0,0,0,0,6,5,7,16,0,0,0,0,6,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,11,0,0,12,0,0,0,0,12,5,0,21,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,5,43,17,7,67,0,0,0,0,10,0,0,11,0,0,0,3,24,3,0,27,5,0,0,5,34,18,9,65,12,0,0,14,53,43,0,112,12,4,0,9,69,43,0,124
SOS80,36,613,4,651,12070,660,19,13398,192,401,10,602,15448,1113,50,17207,6340,791,138,7268,29062,2212,88,38635,17351,555,538,18438,14152,1561,100,34260,10200,582,295,11070,15594,1079,72,27816,1828,1640,53,3514,17189,792,60,21554,240,3118,16,3378,12167,596,64,16208,42,913,0,964,7148,457,22,8592,3,57,0,65,2523,270,5,2859,36230,8670,1053,45946,125356,8744,494,180542,43,931,7,980,11377,639,20,13019,489,787,24,1304,14938,992,43,17276,10052,1311,415,11781,25310,1800,84,38983,20312,901,1049,22265,11385,1206,75,34928,9257,1300,401,10964,16314,869,63,28214,812,4103,54,4967,17502,642,122,23233,177,5106,30,5321,12624,671,87,18701,45,1115,12,1173,8693,566,21,10452,9,45,0,54,3803,480,3,4340,41203,15593,2003,58795,121941,7877,523,189138,77,1540,7,1633,23446,1300,45,26420,688,1186,29,1906,30390,2100,92,34485,16395,2103,551,19047,54374,4011,179,77611,37661,1455,1590,40706,25540,2767,177,69193,19456,1877,697,22030,31907,1949,139,56022
SOS82,0,0,0,0,25,3,0,28,0,0,0,0,13,0,0,13,8,0,0,6,20,0,0,30,26,0,0,26,16,0,0,47,20,3,0,23,23,0,0,47,0,0,0,4,26,3,0,25,0,7,0,7,21,8,0,28,0,3,0,3,7,4,0,15,0,0,0,0,0,0,0,0,59,10,0,71,156,12,0,239,0,0,0,0,18,0,0,23,0,0,0,0,15,0,0,17,8,7,0,16,10,0,0,23,34,0,0,34,9,3,0,46,20,5,0,26,21,0,0,52,0,7,0,12,30,0,0,41,0,8,0,4,19,0,0,25,0,3,0,3,12,0,0,16,0,0,0,0,3,0,0,3,66,23,0,88,140,10,0,239,0,4,0,4,46,3,0,47,0,0,0,0,24,0,0,24,16,0,0,21,32,0,0,54,63,0,0,63,28,3,0,94,43,7,0,53,48,0,0,99
SOS83,0,0,0,0,25,8,0,33,0,0,0,0,43,8,0,55,13,0,0,10,46,13,0,70,15,0,0,17,12,0,0,30,9,0,0,9,23,8,0,38,5,4,0,8,22,4,0,30,0,0,0,0,24,9,0,33,0,0,0,0,4,0,0,6,0,0,0,0,3,0,0,3,40,9,0,47,203,54,0,303,0,0,0,0,13,3,0,19,0,0,0,4,22,9,0,36,19,0,0,19,34,5,0,60,22,0,0,22,9,0,0,30,5,3,0,11,19,8,0,32,3,10,0,14,30,9,0,45,0,6,0,6,16,7,0,21,0,0,0,0,5,0,0,3,0,0,0,0,5,0,0,5,47,20,0,68,147,35,0,255,0,0,0,0,39,7,0,51,0,4,0,0,62,15,0,87,28,4,0,27,81,17,0,134,37,0,0,33,21,3,0,61,17,3,0,17,38,16,0,71
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,15,7,0,27,0,0,0,0,20,19,0,36,22,0,0,24,77,55,0,163,30,0,0,39,39,37,0,110,31,0,0,31,59,38,0,125,8,8,0,17,86,26,0,125,0,9,0,5,84,28,0,113,0,3,0,3,18,5,0,24,0,0,0,0,4,0,0,4,95,21,3,116,402,204,5,728,0,0,0,0,29,3,0,34,3,0,0,5,16,8,0,28,28,4,0,29,34,33,0,106,57,3,4,62,39,28,0,131,26,6,0,26,69,29,0,127,4,8,0,17,66,23,0,111,0,11,0,11,45,12,0,57,0,0,0,0,11,4,0,11,0,0,0,0,0,0,0,0,113,28,4,146,308,150,0,604,0,0,0,0,46,11,0,59,3,0,0,7,35,28,0,67,47,4,0,56,115,88,0,264,90,5,3,96,79,66,0,240,56,5,0,62,125,71,0,258
SOS92,0,6,0,6,61,9,0,71,0,0,0,0,62,11,5,77,27,0,0,23,100,20,3,147,65,0,3,71,60,18,0,154,43,5,4,49,91,23,0,167,13,18,0,35,192,45,0,275,0,15,0,15,129,26,0,173,0,4,0,4,68,21,0,91,0,0,0,0,19,0,0,21,142,58,12,208,785,181,8,1183,0,8,0,8,42,7,0,59,7,7,0,17,53,6,0,79,40,10,5,50,75,23,0,142,71,7,14,92,49,26,0,170,42,9,5,53,103,22,0,181,3,35,0,43,191,40,0,272,0,20,0,20,154,29,0,200,0,7,0,7,69,19,0,89,0,0,0,0,25,0,0,29,165,108,17,284,757,175,3,1217,0,10,0,10,100,17,0,134,7,9,0,17,112,16,5,158,59,11,0,77,175,41,4,294,135,9,18,162,109,47,0,322,82,18,4,103,198,50,0,347
SOS93,0,0,0,0,18,0,0,17,0,0,0,0,9,25,0,38,4,0,0,9,27,116,0,144,13,0,0,17,24,62,0,99,10,5,5,13,38,36,0,95,7,0,0,4,40,19,0,59,3,4,0,9,54,12,0,70,0,0,0,0,24,10,0,26,0,0,0,0,5,0,0,9,33,13,3,57,226,270,4,554,0,3,0,3,13,7,0,15,0,0,0,6,9,5,0,21,8,4,0,14,28,13,0,44,17,0,0,20,8,0,0,33,11,5,5,16,44,13,0,70,3,7,0,13,42,10,0,60,0,3,0,8,30,9,0,49,0,0,0,0,25,8,0,41,0,0,0,0,3,0,0,4,42,30,5,76,202,58,0,340,0,3,0,3,26,4,0,37,0,0,0,6,18,29,0,58,12,8,0,17,47,121,0,188,27,4,3,37,34,64,0,130,19,8,7,38,78,46,0,165
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
