SOS_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SOS71,35,22,1481,1534,149,183,977,1308,1090,816,1625,3533,1558,591,959,3113,1155,410,797,2360,1012,254,733,1996,539,110,425,1074,170,15,139,320,20,3,27,50,5730,2396,7172,15301,35,34,1310,1384,233,232,865,1329,1419,939,1770,4131,1591,573,1159,3319,1132,427,1104,2663,905,220,951,2076,389,62,549,1007,113,10,234,363,8,5,80,91,5821,2500,8029,16350,69,51,2799,2919,378,414,1844,2637,2508,1753,3402,7664,3151,1161,2118,6430,2291,834,1906,5025,1920,474,1677,4073,932,168,980,2081,280,28,371,683,33,11,104,142,11556,4892,15196,31646
SOS72,37,14,863,916,209,92,588,890,696,255,809,1758,702,212,489,1399,584,168,450,1202,436,97,326,863,220,33,192,449,54,10,73,128,7,0,10,23,2947,879,3802,7630,77,31,776,878,240,119,580,937,796,271,886,1951,741,222,567,1531,586,160,583,1332,363,72,561,996,160,22,331,508,18,3,109,131,0,0,27,27,2974,900,4414,8292,110,47,1637,1794,457,210,1166,1831,1489,525,1696,3712,1445,428,1055,2934,1170,327,1033,2533,799,175,884,1856,378,57,529,959,77,9,180,260,7,0,38,46,5924,1776,8217,15918
SOS73,22,10,931,961,78,101,632,810,484,454,734,1665,883,363,467,1714,1050,390,582,2034,933,276,648,1858,659,113,444,1219,221,26,160,405,24,0,33,52,4352,1740,4630,10723,24,20,806,849,117,140,468,730,651,548,592,1794,1075,396,469,1938,1124,392,523,2036,892,247,544,1677,522,79,386,995,115,21,162,297,12,3,44,59,4541,1844,3992,10379,40,30,1739,1816,198,243,1100,1537,1138,998,1325,3458,1960,767,930,3657,2179,781,1104,4067,1829,521,1192,3535,1186,196,831,2217,333,42,323,697,31,4,73,113,8892,3586,8625,21099
SOS77,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
SOS80,10,82,11346,11438,276,1804,11978,14058,10193,8641,16364,35198,20088,4473,7395,31958,16636,2997,6336,25975,13176,1852,5085,20113,10843,888,3344,15077,5835,248,1763,7849,1392,31,829,2254,78446,21028,64435,163911,5,150,10515,10674,668,2624,11081,14372,13805,8909,13378,36102,20963,4217,7933,33120,16127,2803,7922,26859,12619,1593,7646,21855,9871,670,6852,17394,4289,172,4944,9403,659,19,2434,3113,79009,21152,72716,172875,12,238,21859,22111,947,4425,23063,28423,23997,17556,29742,71297,41057,8693,15330,65076,32763,5800,14260,52828,25793,3442,12731,41965,20709,1560,10197,32469,10123,421,6709,17250,2047,57,3261,5359,157452,42184,137151,336785
SOS82,0,0,25,27,0,5,7,9,7,5,13,30,25,12,7,44,41,8,7,47,23,0,4,26,26,0,0,24,10,0,3,13,0,0,0,0,131,24,68,227,0,0,17,19,0,0,12,15,9,6,0,20,34,9,3,44,32,5,11,47,23,0,10,38,24,0,5,29,8,0,9,13,0,0,3,3,131,27,72,227,0,0,45,45,0,7,23,29,20,12,20,48,55,20,11,95,71,13,10,98,49,6,11,65,47,0,8,49,16,0,8,26,0,0,3,6,265,51,139,455
SOS83,0,0,5,5,0,0,8,10,10,13,13,31,9,6,7,21,19,6,8,24,20,0,8,25,17,3,8,26,4,0,0,3,0,0,0,0,75,31,56,159,0,0,12,12,0,4,10,15,13,10,18,38,12,5,3,24,15,4,8,24,22,0,9,31,8,5,5,15,7,0,0,3,0,0,0,5,70,27,71,166,0,0,25,25,0,3,17,23,22,23,29,71,24,14,14,43,30,5,14,50,39,0,16,56,25,6,13,39,7,0,3,8,3,0,0,4,145,51,123,328
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,15,15,0,0,14,19,30,15,27,72,41,4,19,59,49,13,18,72,40,9,24,77,47,3,29,78,3,0,6,10,3,0,0,4,204,46,154,407,0,0,27,27,0,3,8,11,26,14,18,56,64,6,16,85,52,12,17,76,39,4,9,57,22,0,18,40,3,0,3,10,0,0,0,0,215,43,116,368,0,0,43,45,0,7,22,29,58,26,46,129,103,10,34,145,94,22,34,155,78,16,38,134,68,8,44,115,10,0,12,22,3,0,0,4,423,89,271,773
SOS92,0,0,44,50,3,7,27,38,25,18,26,69,65,20,31,117,59,30,32,116,98,25,55,182,87,15,19,121,41,4,14,64,8,0,6,20,394,113,258,768,0,0,35,35,10,11,31,51,34,29,23,82,64,28,40,130,59,23,44,123,118,28,62,210,72,10,56,139,31,0,42,72,4,0,22,21,387,123,351,869,0,0,77,80,10,14,61,86,59,42,50,148,132,47,66,249,116,51,78,239,222,59,121,398,159,22,76,255,75,4,59,134,13,0,27,39,782,239,615,1630
SOS93,0,4,11,12,0,0,10,10,5,0,16,17,15,0,8,29,21,8,15,43,19,3,10,37,23,0,17,42,16,0,6,25,0,0,4,5,92,28,96,216,0,0,16,16,0,5,13,10,8,10,7,26,13,7,7,22,22,7,18,44,14,8,18,39,20,5,13,37,12,0,16,32,0,0,7,3,92,30,109,230,0,4,23,25,0,3,19,22,12,11,21,47,27,12,16,52,43,15,30,88,32,15,27,73,40,5,31,76,24,0,25,56,0,0,4,9,191,56,198,445
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
