SOS_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOS71,236,712,2401,1986,1231,1016,593,158,14,8336,147,224,516,437,440,432,201,41,3,2441,239,275,673,640,628,681,407,102,22,3662,101,92,177,196,180,184,145,46,3,1129,86,72,132,149,152,150,187,79,25,1029,21,15,31,44,42,45,44,18,0,259,164,186,561,477,436,422,304,78,15,2645,987,1577,4498,3936,3108,2933,1867,526,81,19515,300,916,3132,2174,1591,1248,545,128,28,10069,127,207,552,433,437,426,201,51,8,2446,156,203,610,566,552,614,388,103,23,3216,87,78,169,194,184,177,100,49,12,1050,76,82,118,150,158,159,167,87,28,1022,13,14,28,39,51,43,57,27,24,298,155,170,525,437,416,426,267,75,32,2500,906,1672,5135,3996,3389,3082,1733,521,157,20592,540,1627,5534,4158,2823,2262,1136,291,40,18407,275,430,1072,874,868,857,399,95,11,4887,392,477,1284,1213,1179,1290,796,209,47,6881,182,166,351,392,366,366,248,101,22,2179
SOS72,96,258,655,547,414,375,316,61,3,2735,97,178,316,238,203,222,112,14,0,1382,184,216,434,398,374,375,252,51,3,2296,128,140,260,196,168,116,86,20,5,1107,139,120,240,200,198,136,118,48,3,1194,12,16,33,32,53,44,52,27,9,278,64,90,233,175,185,217,174,49,4,1193,715,1016,2171,1783,1600,1486,1110,271,31,10188,123,324,863,626,540,582,251,30,3,3334,91,181,319,259,228,239,112,22,0,1449,148,233,477,395,384,337,244,33,0,2246,101,115,242,186,179,92,67,10,0,993,113,112,238,179,179,183,129,38,6,1179,12,15,27,36,41,56,77,42,12,319,69,88,218,162,172,223,158,21,4,1116,671,1060,2380,1844,1726,1706,1030,194,31,10640,220,585,1518,1175,952,959,564,96,4,6070,194,357,632,494,429,459,223,30,0,2829,331,450,916,793,754,710,500,83,9,4539,232,253,501,386,348,205,147,29,4,2101
SOS73,209,641,1302,1122,1016,893,906,220,9,6310,121,153,375,361,485,552,346,62,3,2454,179,279,668,668,852,1079,857,202,14,4813,80,59,170,178,204,260,257,63,8,1282,52,51,126,162,156,173,232,107,14,1077,5,15,32,41,37,50,34,19,6,233,166,313,810,679,802,707,544,162,15,4190,818,1511,3489,3206,3551,3707,3175,839,67,20359,269,629,1629,1464,1306,1169,739,140,17,7361,66,111,248,257,400,519,324,42,5,1971,102,156,325,387,533,834,690,131,20,3175,47,49,112,138,133,164,182,34,5,862,32,22,92,101,128,123,164,77,16,761,7,4,13,21,32,36,46,23,9,193,147,209,510,423,451,495,420,95,11,2765,672,1184,2926,2793,2990,3350,2568,540,75,17090,477,1269,2936,2582,2326,2065,1644,364,24,13680,186,265,624,613,881,1066,668,105,7,4430,282,431,994,1053,1390,1914,1549,336,34,7987,126,110,282,316,333,420,443,98,12,2139
SOS77,5,4,22,32,43,28,8,4,0,151,0,3,4,9,11,8,0,0,0,35,0,0,10,14,16,25,5,0,0,78,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,15,41,40,33,7,0,0,138,10,17,51,101,111,97,19,4,0,414,0,12,7,0,0,3,11,0,0,33,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,17,0,15,12,3,7,12,21,5,0,64,0,18,25,37,46,31,16,6,0,185,0,3,4,9,13,8,4,0,0,40,0,0,10,18,23,28,7,0,0,86,0,0,0,4,0,8,0,0,0,5
SOS80,4197,14565,32325,28735,21614,14884,10720,5015,1420,133476,330,553,1168,1149,1165,1076,660,300,103,6511,616,848,2398,2159,3157,3804,2632,1402,452,17478,131,92,320,324,402,462,675,507,182,3086,31,40,178,225,244,351,629,686,360,2748,12,27,169,145,133,106,106,90,34,822,579,1006,1960,1401,1014,799,713,562,302,8329,5900,17133,38512,34142,27721,21490,16138,8567,2856,172450,4552,15307,34118,30589,22709,15713,10468,4636,1419,139510,264,364,850,880,996,1129,821,476,187,5963,402,534,1732,1702,2875,4347,4417,2658,1049,19725,92,72,263,253,327,554,1016,755,405,3739,39,35,121,168,240,497,898,997,637,3634,10,26,106,90,133,183,159,191,117,1018,578,880,1684,1150,852,667,818,710,527,7863,5935,17213,38874,34839,28137,23094,18598,10424,4334,181453,8752,29872,66446,59326,44321,30595,21188,9653,2840,272989,598,919,2023,2030,2159,2204,1482,773,287,12476,1018,1390,4130,3863,6034,8153,7053,4056,1501,37203,221,162,578,578,728,1014,1695,1260,586,6825
SOS82,9,12,26,37,41,22,14,4,0,153,0,0,0,0,0,0,0,0,0,6,0,0,0,8,6,9,9,4,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8,13,30,47,47,25,30,15,0,222,9,13,23,38,42,29,12,4,0,170,3,0,0,0,3,0,3,0,0,10,3,0,3,9,6,9,7,0,0,41,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,11,17,23,46,52,41,25,16,3,231,14,19,42,71,80,42,29,8,0,318,3,6,0,0,5,0,3,4,0,14,5,6,5,15,13,21,11,11,0,81,0,0,0,0,0,0,0,5,0,9
SOS83,14,43,51,24,16,14,18,3,0,189,0,0,0,0,0,0,0,0,0,8,3,0,9,3,11,11,4,0,0,34,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,8,8,4,8,4,5,0,0,54,23,55,70,30,38,30,33,6,3,296,5,26,53,29,27,22,10,0,0,165,0,0,0,0,0,0,0,0,0,4,0,0,7,0,4,14,9,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,5,0,6,9,7,0,0,40,7,36,58,30,32,45,21,3,5,240,26,65,106,52,37,32,26,4,0,347,0,0,0,0,0,0,3,0,0,11,3,3,10,3,8,23,14,0,0,72,0,0,0,0,0,0,4,3,0,14
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,9,16,81,63,46,40,33,11,0,299,0,5,9,3,15,6,4,0,0,39,0,0,13,3,25,34,18,0,0,102,0,0,0,0,3,5,7,0,0,16,0,0,0,0,0,4,19,8,3,40,0,0,0,0,4,0,4,3,0,8,5,13,58,36,40,23,28,5,0,213,9,36,159,110,128,117,113,24,4,715,7,14,63,84,61,39,21,3,0,288,0,0,4,7,13,0,3,0,0,22,0,0,6,13,15,22,9,0,0,65,0,0,0,0,4,0,8,0,0,10,0,0,0,0,0,7,7,4,0,20,0,0,0,0,0,0,7,0,0,10,3,8,32,28,32,34,12,4,0,159,8,28,106,131,124,111,57,11,0,580,11,32,141,146,109,83,53,12,0,584,0,5,7,7,20,6,9,0,0,60,0,8,14,13,37,63,25,3,0,172,0,0,0,0,3,5,12,3,0,29
SOS92,29,57,104,99,63,90,62,19,3,522,0,5,10,12,17,23,8,4,0,70,9,0,15,17,51,88,49,20,9,257,4,0,0,0,10,8,8,10,0,41,0,0,6,0,5,3,3,7,0,23,0,0,0,0,0,8,9,10,6,36,5,10,20,20,28,48,26,25,0,190,45,79,142,149,164,273,169,91,21,1141,22,69,110,122,92,103,67,26,9,611,0,0,6,13,14,27,7,6,0,74,7,0,3,14,44,69,68,21,8,234,0,0,0,0,0,5,8,5,0,29,0,0,0,0,4,9,9,3,0,18,0,0,0,0,0,14,16,5,0,39,6,11,22,26,28,46,27,20,3,187,33,79,144,170,181,271,202,89,29,1189,49,123,211,218,144,194,135,47,12,1132,3,5,15,23,34,50,13,16,0,145,12,0,17,30,96,158,117,42,21,490,6,4,4,0,10,13,16,16,5,70
SOS93,4,6,19,25,25,10,15,10,0,128,0,0,0,8,4,3,0,0,0,22,0,4,4,0,15,16,16,8,4,72,0,0,0,5,4,3,4,4,0,16,0,0,0,0,0,3,15,3,0,22,0,0,0,0,0,0,0,0,0,5,0,25,116,63,36,16,12,5,0,275,5,38,139,99,95,58,70,26,9,540,0,17,28,24,34,20,18,19,6,156,0,0,5,0,3,4,5,0,0,18,0,0,0,4,10,15,11,7,0,61,0,0,0,0,4,0,3,5,0,14,0,0,0,0,3,3,4,0,0,17,0,0,0,0,0,0,0,4,0,6,5,5,11,0,11,8,9,8,0,64,5,19,44,33,70,60,49,41,4,328,3,20,48,46,60,36,34,26,6,280,3,0,5,5,10,10,5,0,0,39,0,3,9,5,31,33,31,14,0,129,0,0,3,7,8,8,5,0,0,34
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
