SA2_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
209021429,505,2230,1541,384,183,4845,178,5025
209021523,650,2799,1905,437,202,5999,398,6391
209021524,296,1226,1269,416,262,3463,186,3655
209021525,749,2391,1375,369,206,5083,345,5431
209021526,611,2701,1697,408,184,5598,289,5890
209031209,158,2056,3751,1248,812,8022,178,8207
209031210,27,301,486,225,176,1214,24,1240
209031211,10,280,561,331,229,1407,156,1561
209031212,16,239,599,415,409,1677,95,1771
209031213,46,547,1316,582,519,3011,74,3084
209031214,25,348,986,438,381,2180,63,2245
209031215,85,959,2130,892,668,4738,115,4854
209041216,160,889,944,350,213,2559,96,2656
209041217,184,945,850,275,135,2391,114,2501
209041220,214,1871,2339,996,609,6030,227,6252
209041221,157,1258,1596,597,330,3937,168,4105
209041223,672,2903,2452,795,384,7214,352,7567
209041224,106,1649,3197,1341,845,7147,421,7564
209041225,83,902,1400,593,495,3479,258,3737
209041431,162,1288,1678,621,340,4092,401,4492
209041432,205,1140,991,310,164,2809,184,2991
209041433,102,1176,1689,468,237,3667,189,3857
209041435,53,957,1767,646,410,3833,108,3940
209041436,150,1324,1694,583,384,4128,156,4286
209041437,137,2100,3686,870,354,7160,333,7498
209041527,73,1378,2482,755,430,5120,143,5271
209041528,59,965,1818,451,166,3458,106,3563
209041529,366,1474,1155,371,184,3558,215,3772
209041530,310,1439,1671,614,275,4309,263,4573
209041531,108,1402,1717,429,181,3829,119,3957
209041532,48,1062,1821,482,220,3637,150,3780
210011226,236,1416,1297,342,137,3424,116,3541
210011227,0,0,0,0,0,0,0,0
210011228,145,866,1352,432,318,3109,118,3231
210011230,149,991,1117,335,173,2763,99,2862
210011231,120,1016,1542,475,281,3433,97,3538
210011533,298,1600,1749,527,274,4450,185,4634
210011534,271,1762,2375,667,337,5411,191,5601
210021232,84,1070,2124,842,630,4746,157,4899
210021233,18,262,578,220,137,1220,66,1285
210021234,22,316,634,318,239,1524,63,1588
210021235,40,756,1529,811,583,3715,245,3964
210031236,326,1383,988,278,103,3082,150,3231
210031237,467,1889,1467,464,260,4544,300,4839
210031439,38,359,484,157,82,1120,35,1154
210031440,195,920,823,213,144,2290,147,2442
210031535,579,2373,1726,399,237,5312,413,5723
210031536,330,1476,991,247,119,3162,202,3364
210031537,210,1371,1037,269,128,3013,130,3141
210031538,525,3088,2332,542,272,6753,309,7068
210041240,92,1124,2016,810,585,4624,188,4813
210041539,34,624,869,237,152,1918,103,2018
210041540,370,2067,2161,709,406,5707,284,5995
210041541,93,1087,1731,679,383,3968,169,4144
210051242,595,1802,1260,383,227,4274,497,4774
