SA2_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
122031429,464,171,142,131,170,65,22,37,2535,0,0,0,0,0,0,0,0,0,5,6,3177,1117,1209,344,253,264,300,124,40,107,6931
122031430,290,87,90,79,89,46,9,69,2004,4,0,0,0,0,0,0,0,0,4,5,2940,933,752,164,145,135,142,94,11,132,5451
122031432,20,16,4,5,0,3,0,4,249,0,0,0,0,0,0,0,0,0,0,0,617,120,81,17,10,8,8,3,3,13,881
122031692,93,10,31,17,12,7,0,13,945,4,0,0,0,0,0,0,0,0,3,12,1663,336,259,38,43,32,33,23,5,49,2470
122031693,181,42,37,43,50,23,10,21,1256,0,0,0,0,0,0,0,0,0,0,3,2068,544,464,81,77,81,87,40,11,52,3503
122031694,177,51,73,77,118,33,3,15,1129,0,0,0,0,0,0,0,0,0,0,0,1330,457,401,92,131,134,151,55,7,35,2793
122031695,1021,382,435,527,514,127,24,69,5547,4,0,7,0,0,0,0,0,0,13,20,3037,1343,1528,467,528,618,619,170,27,111,8435
122031696,249,53,41,46,59,21,12,18,1977,0,0,0,0,0,0,0,0,0,92,92,3093,859,589,87,84,85,105,49,33,141,5124
122031697,147,53,46,34,31,14,0,18,838,5,0,0,0,0,0,0,0,0,13,18,1558,370,312,93,73,75,81,39,11,92,2699
123011433,29,0,8,4,10,8,0,15,439,0,0,0,0,0,0,0,0,0,12,18,1423,118,81,16,15,7,16,14,3,78,1770
123011698,132,19,19,23,25,8,0,12,752,0,0,0,0,0,0,0,0,0,0,10,767,170,183,27,31,27,22,15,0,25,1276
123011699,104,14,28,29,22,19,0,15,899,0,0,0,0,0,0,0,0,0,0,0,1457,262,196,22,48,40,26,20,5,36,2112
123011700,117,21,25,26,47,7,4,29,1243,0,0,0,0,0,0,0,0,0,0,8,1546,306,192,28,52,36,50,22,4,57,2287
123011701,261,47,25,42,27,11,3,30,1672,6,0,0,0,0,0,0,0,0,5,9,2257,434,378,61,38,70,39,9,10,57,3352
123011702,217,28,20,18,16,17,10,13,944,0,0,0,0,0,0,0,0,0,0,3,805,337,289,43,32,39,24,19,13,19,1611
123021436,486,107,98,81,89,30,11,58,2991,0,0,0,0,0,0,0,0,0,6,4,2727,741,602,123,128,91,116,35,9,121,4694
123021437,981,232,215,214,255,117,52,92,5710,3,0,0,0,0,0,0,0,0,157,169,4128,1208,1169,258,254,251,293,145,67,315,8077
123021438,531,90,96,71,93,26,17,84,3946,3,0,0,0,0,0,0,0,0,8,15,3574,865,630,112,110,85,106,33,20,124,5660
123021439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123021441,540,109,75,93,87,37,8,52,3060,0,0,0,0,0,0,0,0,0,5,3,2681,817,633,132,98,106,103,49,7,97,4723
123021443,1086,171,189,176,195,67,15,85,6883,3,0,0,0,0,6,0,0,0,48,64,4373,2028,1218,179,217,215,219,68,23,188,8728
123021444,417,52,40,55,66,39,5,56,3417,3,0,0,0,0,0,0,0,0,6,15,3777,697,514,76,72,75,92,48,16,115,5480
123021703,1280,238,216,184,142,94,29,85,5819,0,0,0,0,0,0,0,0,0,4,4,2597,1778,1421,283,237,210,170,127,29,111,6980
123021704,669,158,114,118,128,30,17,87,4195,6,3,0,0,0,0,0,0,0,43,60,2358,1205,760,175,144,142,152,32,24,165,5153
123021705,823,197,166,153,244,81,12,75,5365,5,6,0,0,0,0,0,0,0,6,17,3512,1399,975,230,187,188,265,98,14,117,6977
123021706,705,166,142,172,117,57,25,85,4608,0,0,0,0,0,0,0,0,0,5,13,2884,1150,785,193,157,187,133,63,27,110,5696
123031445,12,0,0,0,4,4,0,3,183,0,0,0,0,0,0,0,0,0,0,0,571,33,32,0,9,6,4,4,0,12,668
123031446,32,7,6,0,4,3,0,8,351,0,0,0,0,0,0,0,0,0,0,0,976,92,90,7,11,8,7,5,0,37,1246
123031447,67,5,10,8,19,3,0,15,540,0,0,0,0,0,0,0,0,0,0,6,1657,186,119,17,21,24,27,15,0,53,2110
123031448,29,5,11,12,17,4,0,11,325,0,0,0,0,0,0,0,0,0,0,0,841,67,63,5,12,17,31,3,5,45,1090
124011449,45,5,3,15,8,0,0,3,264,0,0,0,0,0,0,0,0,0,0,0,957,93,90,16,10,19,14,7,0,36,1235
124011450,92,14,23,14,20,5,3,11,611,4,0,0,0,0,0,0,0,0,0,3,2114,273,221,34,32,24,30,4,6,38,2791
124011451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
124011452,108,52,41,72,67,19,0,18,980,4,0,0,0,0,0,0,0,0,6,12,2252,262,213,66,55,89,87,25,4,92,3139
124011453,49,13,9,16,6,0,0,7,442,3,0,0,0,0,0,0,0,0,0,5,1561,138,114,23,18,19,11,3,0,22,1905
124011454,66,11,16,15,10,7,0,15,676,7,0,0,0,0,0,0,0,0,0,4,2674,278,172,20,26,25,30,9,3,56,3289
124011455,39,6,3,5,5,3,0,12,314,5,0,0,0,0,0,0,0,0,0,4,1051,87,83,15,3,8,13,3,0,42,1315
124021456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124031457,225,46,37,11,35,17,5,20,1204,0,0,0,0,0,0,0,0,0,0,0,1713,336,292,51,53,24,46,21,3,47,2591
124031459,62,20,10,8,9,3,0,16,588,0,0,0,0,0,0,0,0,0,19,22,1703,142,126,24,15,13,17,10,4,53,2102
124031460,291,57,38,29,33,11,3,21,2212,4,0,0,0,0,0,0,0,0,0,3,2868,598,423,74,65,37,37,24,6,47,4175
124031461,238,44,31,41,64,23,7,11,1399,3,0,0,0,0,0,0,0,0,0,3,2099,384,320,57,70,51,82,29,9,39,3136
124031462,1142,178,173,235,238,103,23,74,5469,0,3,0,0,0,0,0,0,0,30,40,3170,1837,1342,222,208,266,275,113,34,166,7629
124031463,168,25,22,26,19,14,5,13,1417,0,0,0,0,0,0,0,0,0,7,7,1600,370,228,33,29,30,20,21,9,38,2373
124031464,504,145,138,142,177,61,3,51,2544,3,0,0,0,0,0,0,0,0,6,8,2084,671,652,180,179,182,220,78,8,110,4378
124031465,20,0,0,0,0,4,0,0,216,0,0,0,0,0,0,0,0,0,0,0,522,26,30,5,0,0,3,4,5,18,610
124031707,165,16,21,13,22,0,0,20,1118,0,0,3,0,0,0,0,0,0,0,6,1836,289,255,34,36,36,30,7,0,45,2562
