SA2_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
115021298,34,0,0,0,0,41,0,0,0,0,0,0,7,0,0,0,0,11,14,0,0,0,0,15,13,0,0,0,0,13,35,0,0,0,0,33,43,0,0,0,0,43,83,4,4,0,0,91,61,0,0,0,0,62,110,0,0,0,0,106,157,0,7,0,0,163,48,0,4,0,0,53,614,10,11,3,4,640
115031299,25,0,0,0,0,25,3,0,0,0,0,3,9,0,0,0,0,9,18,0,0,0,0,18,8,0,0,0,0,8,43,0,0,0,0,43,50,0,0,0,0,46,100,0,0,0,0,94,57,0,0,0,0,57,65,0,0,0,0,65,44,0,0,0,0,48,33,0,0,0,0,33,455,0,0,0,3,457
115031300,148,0,0,0,0,149,46,0,0,0,0,46,44,0,0,0,0,44,67,0,0,0,0,67,80,0,0,0,0,86,257,0,0,0,0,258,365,0,3,0,0,369,685,0,0,0,0,691,560,0,0,0,0,559,596,0,0,0,0,603,436,0,3,0,0,445,244,0,0,0,0,244,3535,4,6,0,11,3548
115041301,67,0,0,0,0,67,13,0,0,0,0,13,11,0,0,0,0,17,25,0,0,0,0,26,34,0,0,3,0,36,100,0,0,4,0,109,111,0,0,0,0,112,200,0,0,0,0,205,221,5,5,0,0,229,313,0,7,0,0,316,283,0,3,0,0,284,109,0,0,0,0,112,1480,11,25,5,0,1526
115041623,29,0,0,0,0,33,4,0,0,0,0,4,5,0,0,0,0,5,11,0,0,0,0,9,8,0,0,0,0,8,40,0,0,0,0,39,78,0,0,0,0,78,208,0,0,0,0,206,470,4,0,0,6,476,704,0,0,0,0,704,359,0,5,0,0,362,120,0,0,0,0,122,2036,9,5,0,3,2047
115041624,61,0,3,0,0,65,13,0,0,0,0,14,11,0,0,0,0,8,12,0,0,0,0,15,8,0,8,0,0,20,70,0,11,0,0,79,106,3,24,0,0,136,215,19,94,0,0,329,303,16,52,0,0,370,796,16,25,0,0,836,859,8,8,0,0,880,173,0,8,0,6,185,2626,68,234,0,7,2936
115041625,90,10,3,0,0,102,20,3,0,0,0,23,16,0,0,0,0,12,28,0,0,0,0,33,46,4,0,0,0,46,144,16,3,0,0,160,167,23,7,0,0,196,344,44,14,0,0,403,340,46,10,0,0,398,641,65,18,0,0,718,531,55,9,0,0,593,158,14,4,0,0,177,2520,290,56,0,0,2867
116011303,59,6,8,0,0,72,12,0,9,0,0,22,15,3,0,0,0,25,24,4,7,0,0,33,31,9,10,0,0,46,99,16,82,0,0,192,120,34,117,0,0,266,264,41,142,0,0,447,218,18,23,0,0,264,168,7,9,0,0,186,57,10,8,0,0,73,72,17,24,0,0,117,1143,157,442,0,0,1745
116011304,70,14,0,0,0,82,24,0,0,0,0,20,10,0,0,0,0,17,46,4,0,0,0,48,41,11,0,0,0,52,149,42,0,0,0,184,189,47,6,0,0,240,365,160,0,0,0,527,328,142,3,0,0,479,207,119,6,0,0,332,97,43,0,0,0,137,115,52,0,0,0,167,1624,636,10,0,0,2282
116011306,122,3,0,0,0,128,30,0,0,0,0,30,32,5,0,0,0,33,35,7,0,0,0,36,66,5,0,0,0,74,206,19,0,0,0,226,246,40,0,0,0,281,570,96,0,0,0,663,459,63,0,0,3,515,392,20,0,0,0,413,176,16,0,0,0,189,199,21,0,0,0,220,2526,284,5,0,3,2810
