SA2_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
601031021,30,467,498,468,81,547,239,35,279,202,17,228,95,12,108,69,7,78,1106,624,1727
601041022,101,1357,1466,1543,192,1736,813,79,889,728,27,761,294,18,309,132,14,149,3619,1692,5309
601041023,87,990,1077,1447,146,1590,609,46,653,625,17,644,241,3,246,107,3,113,3119,1197,4320
601041024,59,574,629,930,102,1031,482,24,504,523,21,545,236,8,244,105,0,111,2338,721,3051
601041025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601041026,21,337,356,437,44,486,194,10,204,236,8,243,87,3,90,22,0,21,1002,400,1400
601051027,44,1475,1517,1049,328,1382,354,191,538,246,74,318,69,20,91,32,14,38,1784,2098,3882
601051028,63,1000,1066,1012,131,1145,585,63,651,507,27,535,189,11,195,64,6,69,2421,1234,3655
601051029,26,452,475,544,91,632,271,46,320,261,30,289,90,10,104,53,8,54,1243,630,1873
601051030,46,897,937,727,141,866,360,56,421,294,26,324,107,18,127,37,6,45,1578,1147,2726
601051031,61,1369,1431,1491,286,1772,586,125,706,548,87,636,209,45,254,108,24,128,2993,1939,4927
601051032,60,762,821,784,169,951,326,75,409,330,30,355,113,9,122,55,4,64,1668,1050,2714
601051033,42,767,811,785,172,957,334,82,415,311,40,351,118,5,120,31,0,37,1622,1069,2691
601061034,75,990,1062,1126,181,1305,469,49,520,403,28,436,154,17,167,74,4,80,2296,1273,3568
601061035,59,1004,1061,1387,151,1537,592,43,640,505,25,527,178,5,186,89,8,102,2822,1236,4053
602011036,24,531,555,348,111,459,181,34,212,122,20,138,44,5,50,31,4,29,743,703,1449
602011037,28,650,682,616,95,714,264,17,283,263,9,270,98,3,98,36,4,38,1309,774,2083
602011038,36,922,957,699,152,855,264,55,314,193,20,214,83,6,87,31,5,37,1307,1155,2465
602011039,21,373,398,616,49,665,279,11,289,281,12,289,95,0,95,42,0,47,1343,445,1787
602011040,16,497,514,366,108,477,215,51,265,147,31,181,90,15,103,71,3,73,908,708,1614
602011041,50,1084,1139,1008,184,1188,528,66,585,404,34,438,184,20,207,150,10,163,2324,1393,3718
602011042,41,759,802,655,83,734,292,33,328,274,18,292,92,10,100,26,7,29,1381,908,2287
602011043,22,464,486,525,48,569,218,18,235,184,7,200,82,3,82,37,3,33,1058,540,1602
602011044,53,841,887,957,105,1066,418,20,438,347,7,355,113,0,115,41,0,44,1919,978,2902
602011045,19,525,543,415,89,502,246,18,262,167,7,175,79,12,89,43,4,47,965,655,1624
602011046,39,796,829,928,90,1019,401,16,415,360,18,377,178,5,179,71,0,74,1969,925,2894
602011047,38,752,788,544,138,685,259,32,289,210,18,227,64,4,71,37,3,41,1154,956,2106
602011048,32,669,702,653,70,723,259,16,278,282,12,295,77,12,90,36,0,43,1342,779,2121
602011049,42,521,562,608,92,699,263,25,286,268,7,270,97,10,107,35,0,36,1317,648,1963
602011050,29,412,439,484,60,542,228,13,241,207,8,217,79,0,82,34,3,39,1064,496,1561
602011051,40,564,601,556,100,651,235,23,263,196,10,206,71,0,76,29,0,31,1124,704,1828
602011052,31,532,563,680,68,750,271,18,287,246,7,257,112,0,109,39,0,41,1379,633,2015
602021053,36,580,610,709,112,820,180,15,194,145,11,150,48,5,52,36,3,40,1152,719,1866
602021054,43,761,800,848,132,974,298,34,330,243,14,261,116,4,126,64,3,64,1608,949,2557
602021055,47,551,600,941,96,1041,302,25,329,281,13,293,125,3,132,64,7,67,1760,703,2460
602021056,30,337,360,450,55,504,214,7,222,219,3,222,72,0,71,42,3,50,1023,404,1428
602021057,32,431,464,668,84,753,202,22,224,178,10,190,108,0,108,52,0,53,1235,548,1791
602031058,26,322,349,596,87,687,239,22,260,219,14,233,95,9,100,46,6,53,1223,452,1674
602031059,37,981,1016,1087,136,1224,345,28,378,280,18,293,117,9,131,81,0,82,1947,1172,3120
602031060,28,541,566,630,86,715,257,21,277,170,11,178,86,7,91,39,6,44,1209,673,1878
602031061,27,500,532,527,92,616,163,16,183,157,10,165,63,8,76,40,0,40,974,627,1602
602031062,44,539,588,799,65,867,307,14,318,281,0,283,113,0,113,52,0,52,1600,619,2219
602031064,63,1180,1247,1165,222,1387,318,29,348,188,18,204,81,3,88,42,0,40,1858,1451,3311
602031099,12,178,183,155,28,187,42,4,54,20,5,27,11,4,10,4,0,4,246,220,463
602031100,48,918,962,1015,185,1196,304,33,334,267,19,289,126,12,140,60,7,69,1814,1173,2987
603011065,20,432,455,302,94,400,102,14,118,74,14,82,42,0,46,29,5,28,569,560,1130
603011066,16,295,315,405,60,464,186,28,212,165,11,172,63,4,61,56,7,54,888,402,1294
603011067,41,631,678,881,111,989,352,43,391,324,22,345,133,11,145,89,9,96,1824,822,2646
603011068,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
603021069,43,388,431,588,99,689,141,11,154,142,14,157,53,8,62,22,0,24,985,522,1509
603021070,41,580,614,712,106,818,249,20,273,177,9,188,90,12,99,61,0,65,1325,726,2052
603021071,39,538,579,597,108,712,200,26,226,139,11,160,64,4,67,48,3,51,1095,698,1791
603021072,72,799,869,1216,145,1362,499,21,518,462,36,496,193,8,208,126,9,138,2568,1018,3582
603031073,28,488,515,455,92,551,105,14,119,61,16,75,22,6,24,19,0,21,684,615,1302
603031074,58,728,793,899,209,1112,199,23,220,149,11,160,44,4,48,26,4,28,1375,979,2350
604011075,27,587,617,397,65,458,201,4,207,129,6,143,61,5,68,20,0,23,834,680,1512
604011076,38,431,473,764,63,831,286,30,307,283,15,296,94,3,100,56,0,56,1522,550,2070
604011077,36,641,678,527,102,623,216,14,233,137,9,149,55,4,54,31,0,28,997,774,1769
604011078,52,840,891,814,118,928,336,33,366,350,12,356,124,7,137,74,4,80,1741,1008,2753
604011079,55,634,688,795,72,869,274,20,290,238,16,256,100,3,108,54,0,53,1511,743,2258
604011080,27,395,421,480,44,525,216,9,228,173,8,181,67,7,73,35,0,37,997,460,1457
604011081,34,575,612,593,73,662,221,13,233,156,8,165,74,3,80,30,0,34,1113,673,1788
604011082,62,1114,1171,1039,119,1154,381,23,406,302,3,307,108,7,122,57,3,59,1943,1278,3218
604011083,40,528,569,659,97,756,215,19,235,179,8,185,84,8,88,44,0,44,1213,661,1878
604011084,52,937,993,966,92,1059,288,22,304,291,7,304,105,7,111,44,5,50,1744,1074,2822
604021085,100,2239,2343,1909,281,2184,798,54,853,635,35,668,231,9,243,111,9,126,3784,2625,6410
604021086,28,730,759,690,142,833,295,21,313,162,9,170,84,4,91,56,0,60,1318,913,2231
604021087,31,625,655,768,94,865,286,17,301,252,12,259,100,8,107,48,0,46,1483,760,2242
604021088,28,291,323,498,47,547,199,8,207,208,5,215,80,0,80,35,0,36,1053,355,1408
604021089,54,685,736,1078,117,1195,306,23,334,249,14,256,102,5,110,58,0,57,1838,846,2686
