SA2_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
313051378,9,16,36,40,49,42,14,5,0,204,14,16,44,49,57,35,14,3,0,232,262,335,732,1044,1280,1059,284,25,0,5023
313051379,17,15,25,28,41,30,18,0,0,169,6,8,38,44,50,51,17,4,0,214,233,283,561,774,1032,889,257,27,0,4064
313051380,24,32,56,68,62,47,18,0,0,303,15,50,74,74,56,62,19,0,0,358,519,669,1285,1450,1566,1180,312,23,6,7011
313051574,0,6,0,3,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,11,14,47,65,35,74,48,10,0,0,297
313051575,20,15,41,46,70,44,28,0,0,268,13,24,36,60,77,55,22,0,0,286,482,456,826,1432,1832,1446,415,60,4,6953
314011382,17,32,64,95,95,57,27,0,0,387,19,22,60,69,66,53,11,3,0,307,719,748,1362,1897,2097,1538,305,36,0,8697
314011383,36,43,88,99,112,72,13,0,0,463,14,37,67,103,95,51,13,0,0,379,768,935,2135,2519,2489,1547,277,22,0,10694
314011384,16,32,34,42,53,44,10,0,0,225,11,15,38,43,49,28,9,0,0,204,332,295,607,942,1287,851,212,33,0,4559
314011385,16,22,33,31,56,40,6,0,0,196,5,17,17,25,37,30,4,0,0,131,359,353,611,930,1300,697,117,12,0,4382
314011386,27,35,113,101,99,69,16,0,0,461,26,29,81,117,95,56,15,0,0,422,847,1061,2564,3218,3181,1764,420,49,0,13100
