SA3_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
50705,45323,121389,2258,3438,626,1014,2882,4453,1127,1612,208,301,318,481,34,54,39,100,1720,2542,177,272,113,167,42,44,54,82,392,566,64,130,50382,129085,4486,..,54871,129085
50901,22812,54627,1462,2347,132,205,1595,2549,79,106,0,6,0,0,0,0,27,47,100,160,245,398,201,295,167,188,21,29,634,909,107,203,25248,58445,5113,..,30362,58445
50902,21589,49894,648,1060,37,73,689,1134,104,159,0,0,0,0,5,4,10,7,109,175,328,542,116,192,82,131,45,79,572,944,205,360,23168,52506,7260,..,30428,52506
50903,7630,17416,324,457,8,17,337,465,14,24,0,5,0,0,0,0,0,0,20,24,77,125,19,31,21,32,18,40,133,228,40,63,8162,18200,1710,..,9872,18200
51001,9332,28316,1155,2402,337,627,1493,3031,305,668,0,0,0,0,0,0,7,7,315,682,4431,9034,53,103,298,610,115,309,4898,10060,740,1386,16774,43461,2050,..,18824,43461
51002,5761,16441,860,1820,340,769,1199,2589,502,712,137,204,148,225,0,0,0,0,783,1147,507,990,191,292,147,196,43,107,885,1579,251,411,8873,22169,2594,..,11471,22169
51003,7434,21981,1084,2184,193,345,1276,2532,217,348,88,124,57,102,192,280,0,5,557,861,1280,2519,147,263,56,102,10,28,1488,2909,386,627,11148,28914,2543,..,13692,28914
51101,5684,13569,446,718,46,84,489,808,121,159,5,10,0,0,0,0,4,3,129,167,155,257,47,67,40,69,9,29,250,422,88,213,6634,15177,1575,..,8214,15177
51102,3070,8003,334,589,60,108,388,698,144,208,0,0,0,0,0,0,4,3,150,209,2835,5961,141,306,154,309,28,77,3150,6655,224,442,6981,16000,851,..,7831,16000
51103,11253,29693,1774,3196,297,604,2074,3797,223,357,0,0,0,0,0,0,4,13,231,370,286,467,489,736,102,116,43,69,916,1386,254,398,14732,35646,2877,..,17600,35646
