SA3_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
30905,9,10,13,27,35,64,136,170,74,539,0,6,12,13,14,6,14,6,6,82,93,71,173,239,209,162,134,123,88,1292,973,1745,3278,5142,5546,4157,3114,1575,496,26035
30906,16,14,36,62,93,173,366,448,203,1406,0,5,13,30,19,30,36,25,14,174,166,161,392,423,402,270,326,318,245,2709,1861,3846,8472,9669,9689,8140,6412,3701,1204,52996
30907,47,41,115,189,221,355,689,622,276,2552,16,13,52,74,70,71,75,44,32,444,510,543,1451,1202,974,633,523,388,168,6384,4585,9915,22578,23046,20617,15228,11396,5610,1527,114505
30908,5,8,20,44,79,117,217,288,196,978,6,10,19,34,30,25,31,23,16,184,126,175,395,305,310,220,328,453,463,2770,1538,3804,7214,7450,7003,5727,5143,3345,1462,42687
30909,15,11,57,56,105,196,312,459,246,1467,3,5,45,29,39,40,44,27,25,258,238,464,876,610,584,562,575,649,586,5139,1942,5872,10415,8039,8100,7298,6163,4239,1914,53991
30910,9,18,39,47,43,90,192,255,109,805,0,9,26,20,21,31,25,30,19,179,208,436,1190,784,725,840,830,537,203,5756,979,3176,7725,6024,6255,6589,6431,3692,943,41802
31001,69,60,218,374,425,562,569,603,296,3167,11,38,181,230,357,396,259,122,81,1668,253,308,868,734,527,467,329,257,148,3881,2400,5597,12792,11428,9819,7964,5232,2991,1193,59410
31002,18,21,67,123,176,371,1065,1169,429,3434,3,7,21,23,29,43,51,38,16,228,319,340,611,539,617,594,579,497,220,4315,1978,3594,7173,7786,9048,9513,8097,4057,1092,52335
31003,67,48,120,194,296,484,1046,1503,697,4459,6,14,50,43,87,96,79,46,28,453,384,395,933,872,709,588,554,559,403,5400,3470,7280,16613,15137,14509,12983,9364,5358,1988,86715
31004,40,30,120,240,269,360,530,454,147,2183,8,23,88,99,141,163,126,54,24,743,342,431,1017,818,549,395,276,142,50,4024,3153,7218,17076,16602,11982,8557,5212,2180,485,72450
31101,8,3,21,26,60,112,220,268,121,836,0,0,4,3,5,0,12,11,3,40,55,49,125,133,152,127,154,125,98,1012,418,658,1392,1673,1977,2042,1933,1032,379,11511
31102,25,16,66,102,166,186,405,412,179,1559,4,13,42,52,45,39,35,30,11,266,239,292,650,527,442,311,266,228,80,3031,1382,3195,7145,5860,5499,4817,4086,2424,724,35133
31103,40,33,218,262,333,426,669,626,217,2828,9,36,206,248,254,222,152,101,30,1260,438,513,1147,930,631,496,415,341,147,5057,3047,6821,14418,12296,10692,9660,6488,2945,836,67202
31104,17,13,56,82,122,167,360,281,93,1199,0,3,32,35,57,52,42,37,19,276,217,177,414,446,395,274,198,117,25,2267,1932,3590,8213,8602,8283,6254,4272,1706,347,43193
31105,18,19,121,134,166,227,478,499,271,1932,3,7,80,103,113,104,76,40,12,544,256,287,630,550,459,349,413,398,318,3656,1856,4018,8814,8770,7929,6898,5814,3140,1134,48367
31106,30,56,301,350,333,402,722,701,263,3156,7,40,262,278,290,217,144,101,40,1375,386,386,941,807,689,482,481,352,190,4705,2423,4982,10866,11156,9663,7792,6958,3487,1026,58353
31201,8,14,35,46,120,213,347,368,142,1299,0,0,33,14,27,20,14,25,10,148,278,982,2945,2695,2753,2176,733,280,56,12900,935,2788,8250,7843,7808,7044,4028,1653,391,40746
31202,30,29,88,122,194,502,1231,1637,669,4506,3,16,25,28,43,46,49,43,28,287,516,600,1328,1308,1254,1213,1035,795,420,8468,3292,6797,15105,15535,15617,15700,11605,5870,2007,91524
31203,7,4,12,18,36,84,163,193,84,598,0,0,7,9,11,9,8,11,0,57,97,199,631,416,418,596,509,162,41,3072,604,1509,4002,3410,3475,4025,3441,1213,253,21926
31301,9,3,23,35,74,180,561,813,287,1974,0,0,4,4,15,12,14,18,15,92,64,51,119,138,193,223,438,391,217,1832,680,1066,2118,2901,4053,5870,8257,5133,1354,31437
31302,41,30,133,175,266,334,749,880,394,2988,3,9,80,65,54,45,42,39,24,366,308,392,810,638,550,458,498,456,333,4448,2423,5247,11638,9824,9336,8274,7170,4035,1429,59369
31303,5,10,33,31,50,64,171,197,84,653,0,0,4,6,9,11,5,3,3,42,62,65,176,259,191,164,163,97,50,1224,360,694,2087,2048,1980,1972,1863,783,229,12019
31304,14,26,62,77,148,228,645,719,253,2167,0,15,33,31,27,50,22,23,8,219,206,209,437,433,372,291,333,330,201,2815,2180,4404,8329,8779,9170,7801,6257,3307,974,51205
31305,27,13,53,81,148,239,588,864,446,2464,4,8,21,19,35,51,40,35,25,233,154,188,376,442,472,470,487,502,449,3544,1653,2920,5693,7343,9000,9028,8832,5283,2070,51819
31401,9,12,20,37,52,78,313,642,239,1410,3,0,16,22,22,23,21,10,10,124,113,102,197,244,269,182,209,175,68,1556,2441,4701,9245,12286,14119,10765,7723,3787,911,65977
31402,13,20,79,88,120,196,431,498,251,1701,4,3,37,30,48,58,52,23,11,271,154,227,618,532,358,213,232,260,249,2831,2356,5608,13840,13862,10840,7224,5314,2848,1065,62945
31403,10,12,45,58,91,119,301,399,183,1211,12,3,30,36,30,31,27,18,7,204,109,116,272,220,210,149,133,110,53,1367,1163,2572,5702,5664,4977,4258,3578,1737,537,30177
31501,62,28,67,78,121,275,447,317,71,1473,9,3,21,15,21,25,38,26,7,164,215,294,826,658,721,755,545,183,24,4209,1279,2400,5633,4586,4836,5078,3630,1078,152,28674
31502,62,32,94,90,132,236,422,286,66,1429,11,11,25,6,33,40,39,24,10,203,231,447,1005,905,955,974,789,268,49,5630,1297,2648,5990,5074,4827,5171,3984,1333,219,30547
31503,10,10,21,36,73,200,400,372,146,1264,0,3,3,5,8,11,20,22,8,75,101,123,276,237,300,478,451,211,92,2264,470,1001,2301,2042,2519,3690,3560,1391,414,17396
31601,8,5,20,18,60,65,211,399,247,1032,4,5,16,6,17,10,11,5,13,77,181,209,325,256,226,184,221,291,323,2228,1936,3458,6105,7199,7908,6490,5950,4011,1761,44811
31602,30,12,49,63,112,214,589,1075,658,2799,4,5,17,27,31,34,31,33,14,195,220,229,587,572,516,545,647,726,523,4556,2384,4788,10567,11566,12340,12200,11848,7927,3055,76676
31603,16,13,21,36,53,142,337,536,335,1481,0,4,25,16,21,18,11,22,12,129,162,277,638,556,557,670,788,733,418,4801,1415,3554,8207,7786,8372,9735,9705,5453,1934,56157
31605,10,7,13,22,31,69,162,254,204,775,0,5,9,16,9,9,11,15,6,78,102,76,291,343,301,311,401,422,316,2564,948,1694,3860,5693,6638,6799,7519,4548,1472,39178
31606,19,9,29,44,73,128,353,550,249,1450,5,7,9,9,23,9,21,13,13,107,163,153,375,416,441,390,383,273,136,2736,1499,2780,6062,6894,7973,8328,7505,3829,1120,45982
31607,16,11,21,54,77,144,284,487,286,1380,5,10,10,17,27,29,33,19,8,152,112,122,265,334,298,289,254,266,205,2148,1235,2312,5595,6441,6599,6509,5372,3178,1119,38359
31608,6,8,5,12,37,54,139,187,93,551,4,0,8,6,12,9,0,7,5,41,61,47,128,182,192,213,177,138,96,1237,580,849,1690,2642,3676,4002,3534,1696,428,19102
31701,86,120,237,352,435,563,1475,2351,1288,6909,29,81,288,282,203,193,148,73,39,1330,501,610,1203,998,951,924,887,882,515,7478,4692,10323,21574,19480,19148,18259,15806,9867,3882,123038
31801,33,24,42,65,137,261,725,986,493,2765,6,0,10,16,21,29,31,22,27,166,277,285,559,551,659,625,606,448,199,4194,1198,2107,4356,4355,5448,6472,6327,3409,1210,34882
31802,65,67,177,282,368,715,1349,1775,798,5589,15,20,100,110,125,141,108,86,39,745,898,1445,2224,1772,1608,1466,1337,947,515,12208,6459,14731,27621,24789,24422,22891,17899,8817,2778,150402
31901,41,31,111,169,285,513,1485,2029,985,5657,3,27,68,50,70,76,58,88,35,476,281,289,730,588,729,824,995,864,398,5697,2461,4600,9776,9556,11337,13438,14201,8561,2662,76601
31902,16,15,64,100,175,392,1039,1177,500,3484,0,6,24,8,16,35,33,28,22,170,256,261,521,477,639,754,793,559,181,4437,1335,2341,4793,4765,6160,7648,7799,4090,1194,40129
