SED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SED23101,455,714,16,1188,5678,158,31,7049,139,1356,10,1504,4594,218,51,6366,24,316,0,340,4317,282,13,4945,3,12,0,21,1926,306,3,2260,10737,2975,158,13865,35231,1961,161,51217
SED23205,375,956,10,1341,5758,450,6,7556,77,1046,4,1127,4784,388,7,6309,14,203,0,222,3305,369,4,3897,0,7,0,10,1426,385,0,1819,10114,3288,375,13778,34186,3965,58,51983
SED23308,340,1008,11,1359,6339,379,8,8085,47,1161,3,1209,5023,352,15,6597,7,228,0,236,3274,343,0,3852,0,14,0,19,1409,258,0,1682,10671,3568,316,14549,38273,3208,78,56112
SED23402,486,1258,4,1755,6843,355,33,8979,89,1226,11,1326,4847,292,36,6495,7,188,3,200,3159,293,14,3653,0,11,0,11,1150,159,4,1320,16507,4194,492,21191,41395,3312,116,66013
SED23502,295,1145,15,1457,7688,633,11,9786,70,978,0,1060,8696,699,7,10453,19,174,0,189,4978,499,6,5667,3,10,0,9,1488,294,0,1794,8061,3419,369,11852,36939,4364,51,53211
SED23602,300,1149,16,1464,7018,551,3,9037,68,1059,4,1134,6926,560,3,8620,10,171,0,176,3839,368,9,4391,4,13,0,15,1348,199,3,1563,8323,3386,380,12087,33487,4239,86,49907
SED23702,326,1441,8,1781,7101,391,5,9281,75,1246,9,1329,5601,312,10,7249,11,220,0,232,3436,310,5,3988,4,16,0,14,1130,152,0,1300,12302,4303,511,17119,38254,2821,40,58234
SED23806,584,493,15,1097,5682,174,41,6992,99,1340,8,1447,4034,170,24,5676,15,385,7,406,2937,143,11,3499,0,11,0,14,1434,95,4,1544,10082,2868,189,13133,38940,1838,181,54085
SED23901,530,685,16,1229,6506,291,21,8044,86,1223,3,1316,4673,307,20,6317,17,286,4,301,3391,250,9,3956,7,13,0,17,1898,215,12,2138,11863,3009,237,15111,38631,2546,134,56422
SED24006,737,656,16,1410,6761,211,57,8439,111,1406,5,1524,4358,172,37,6083,25,408,3,435,3216,160,17,3829,4,19,0,24,1837,157,3,2016,11229,3139,164,14529,36648,1685,242,53108
SED24105,521,768,26,1318,6787,298,44,8442,136,985,4,1124,5303,259,46,6726,22,183,0,207,3363,227,14,3810,0,19,0,21,1331,95,3,1459,12053,2982,199,15234,43969,2762,182,62143
SED24207,563,985,29,1574,7051,538,64,9228,106,984,14,1104,5293,354,63,6817,25,150,0,176,2409,217,9,2807,0,12,0,14,631,94,3,739,18991,3681,331,23003,48931,6901,201,79040
SED24308,340,1115,9,1467,6180,436,11,8092,50,997,5,1053,5306,367,12,6727,19,165,0,187,3325,298,10,3816,0,4,0,7,1470,147,0,1624,10564,3640,363,14562,38395,4617,66,57648
SED24408,261,1007,18,1284,6973,452,0,8718,63,893,4,957,6116,529,3,7612,7,201,0,208,3957,470,4,4634,0,14,0,19,1769,266,0,2057,8230,3103,348,11677,33327,3371,37,48412
SED24504,472,1060,12,1549,7284,475,6,9313,86,1229,9,1315,6158,439,11,7924,16,222,3,239,3381,301,4,3925,0,13,0,13,992,181,0,1187,11296,3450,355,15102,34112,3082,48,52338
SED24606,580,480,11,1071,5404,220,28,6717,79,1288,7,1375,4185,244,13,5813,30,379,0,412,3329,261,3,4007,6,25,0,28,1632,251,3,1915,9297,2793,165,12251,36222,2200,139,50814
SED24703,449,461,11,918,6258,791,124,8092,92,778,5,883,4131,519,49,5575,6,205,3,212,2147,244,10,2614,0,6,0,12,839,112,7,966,9995,2649,181,12824,94433,11053,1128,119442
SED24808,381,1248,16,1653,6813,492,39,8989,93,1081,6,1183,5928,359,39,7513,11,127,5,143,2870,252,7,3274,0,3,0,8,926,81,0,1015,18339,4434,524,23299,45273,4930,144,73644
SED24904,296,1103,22,1417,6882,714,11,9026,62,789,0,852,5896,641,7,7405,19,134,0,151,3533,435,0,4116,3,5,0,13,1553,251,0,1817,9431,3242,366,13033,36656,5008,169,54868
SED25003,394,1083,9,1485,6853,284,26,8642,98,855,9,958,4267,269,26,5520,15,98,0,114,2090,330,6,2544,0,6,0,3,792,324,0,1124,12427,2967,218,15616,38839,2958,91,57496
SED25102,370,1098,19,1483,6038,232,6,7755,80,1262,11,1349,4500,157,7,6008,19,205,5,226,2425,129,11,2780,0,10,0,10,831,62,0,899,10952,3528,400,14879,30133,1494,62,46575
SED25205,495,806,14,1311,6535,221,15,8081,64,1151,9,1225,4353,168,13,5753,15,204,4,220,3157,166,4,3549,3,13,0,17,1587,86,3,1690,12584,3021,310,15918,35234,1736,68,52956
SED25302,522,1149,11,1684,6159,236,12,8098,72,1622,7,1705,5979,305,15,8008,10,375,6,392,5154,376,0,5918,4,19,0,22,2065,429,9,2521,11274,4010,319,15602,34532,2369,58,52560
SED25402,302,1382,9,1692,6862,616,14,9181,45,972,6,1015,6153,609,3,7782,23,145,0,164,3668,485,0,4320,0,9,0,7,1416,361,0,1782,10108,3965,419,14487,36682,4761,54,55982
SED25501,569,627,9,1214,6148,229,51,7645,172,1218,3,1397,4168,160,68,5788,34,278,0,319,3924,175,12,4430,0,15,0,16,2013,195,0,2223,11830,2675,120,14617,37759,2271,260,54907
SED25605,393,693,10,1099,5591,301,39,7024,118,1165,9,1296,5022,281,25,6631,39,295,3,336,4164,353,20,4875,3,12,0,21,1919,323,4,2268,9963,2879,164,13007,37255,2933,155,53350
SED25704,266,1308,19,1596,7039,636,9,9277,70,914,4,997,6560,608,12,8171,12,160,0,170,4352,524,0,5050,0,8,0,11,1814,367,3,2200,9013,3540,351,12904,35838,4401,61,53206
SED25802,352,1505,14,1874,7673,552,7,10108,78,1235,4,1314,7228,479,0,9028,19,198,0,215,4426,388,0,5033,0,10,0,11,1534,211,5,1759,11915,4439,506,16865,40800,3980,100,61743
SED25905,422,1012,21,1459,6960,369,27,8813,85,796,11,895,4645,260,29,5828,14,127,5,154,2493,189,11,2845,3,9,0,11,1101,135,3,1248,10888,3028,272,14190,37583,3148,104,55023
SED26005,552,1025,26,1605,7083,334,53,9073,105,742,6,854,3939,209,39,5042,22,115,5,134,1920,113,6,2174,0,6,0,6,548,28,6,588,16392,3373,395,20158,43324,3110,158,66751
SED26102,420,1282,17,1725,7697,631,11,10064,93,1863,9,1970,8353,697,8,11022,29,309,5,347,6023,611,0,6982,3,15,0,20,2249,387,0,2654,8991,4417,325,13726,39289,4429,55,57504
SED26207,379,800,14,1183,5856,202,8,7254,76,1231,17,1325,4706,187,19,6227,27,285,5,313,4210,215,5,4743,6,5,0,14,1947,112,3,2074,10525,3004,176,13709,35340,1862,65,50982
SED26303,562,405,7,975,5717,240,12,6948,50,697,8,757,3511,168,16,4449,19,178,0,201,2428,166,0,2797,0,15,0,20,1235,152,0,1406,11036,2247,245,13521,40439,2157,73,56186
SED26406,501,577,6,1083,5664,203,42,6993,91,754,4,851,3955,195,42,5041,24,207,0,229,3041,157,9,3431,7,15,0,15,1621,157,0,1797,11423,2285,154,13863,45545,2997,299,62709
SED26504,306,1108,9,1422,6664,485,6,8581,72,974,4,1049,6532,498,7,8086,15,174,0,190,4355,470,5,5015,4,8,0,8,1675,291,0,1974,8649,3289,320,12256,34365,3647,71,50347
SED26603,438,595,13,1042,6208,309,29,7586,78,642,5,728,3937,257,21,4938,20,140,6,160,3173,243,10,3591,5,4,0,11,2243,282,4,2538,13525,2353,239,16121,45890,3496,125,65631
SED26708,343,1257,20,1618,7446,549,4,9618,76,1207,9,1292,6513,519,9,8341,10,183,0,198,3802,344,0,4345,0,11,0,13,1438,230,0,1677,10080,3708,362,14151,35779,3652,53,53636
SED26806,397,349,8,749,5278,477,38,6538,81,725,3,808,3917,405,25,5147,15,192,0,207,2674,377,10,3269,0,17,0,19,1072,370,0,1454,6832,2186,115,9131,53159,5261,242,67789
SED26903,385,553,4,942,5677,354,19,6994,61,592,5,659,3968,329,16,4976,10,136,0,154,3119,290,13,3572,4,10,0,10,1688,339,0,2043,10790,2181,183,13151,41608,3552,95,58400
SED27003,421,366,11,792,5620,504,25,6940,71,645,7,720,3835,390,13,4955,9,176,0,189,2139,255,0,2584,0,7,0,7,920,125,0,1050,8071,2227,178,10475,52467,4354,164,67464
SED27101,456,737,14,1209,5524,193,40,6963,108,1073,10,1194,4032,183,35,5449,16,228,4,250,3078,192,9,3532,6,8,0,16,1356,152,0,1525,12524,2848,285,15653,35736,2001,134,53520
SED27208,319,1143,21,1481,7715,826,8,10028,62,1006,10,1078,7761,843,3,9690,22,148,0,175,4541,621,5,5338,7,12,0,17,1624,345,0,1985,9100,3505,414,13023,37693,5531,46,56291
SED27305,388,994,13,1395,6525,173,19,8111,86,945,6,1038,3771,131,20,4963,16,149,0,168,2377,109,8,2665,0,0,0,0,712,56,9,774,9655,2837,213,12701,31699,1250,80,45740
SED27406,623,768,19,1408,6769,199,10,8393,73,1483,8,1557,4912,211,14,6698,20,349,3,367,3519,189,10,4088,5,13,0,17,1720,163,0,1904,11293,3274,237,14800,35803,1714,97,52415
SED27504,370,1159,13,1539,7066,697,7,9314,77,913,4,995,6179,565,12,7741,9,154,0,171,4012,464,3,4651,0,7,0,7,1669,245,3,1925,11179,3651,356,15192,39605,5149,86,60028
SED27608,469,1381,11,1864,6972,269,24,9121,92,1824,4,1919,5618,307,12,7856,14,287,0,303,4017,237,5,4555,0,9,0,14,1874,175,0,2059,17849,4994,500,23344,46310,2853,80,72584
SED27708,329,1302,16,1642,7100,455,9,9212,67,1153,0,1229,6403,462,4,8091,9,206,0,216,3611,381,0,4210,4,10,0,13,1543,290,4,1842,9995,3897,382,14275,36006,3646,79,54006
SED27807,488,835,23,1350,6643,608,35,8645,119,866,10,993,5829,514,28,7362,18,154,4,179,3527,430,7,4142,4,9,0,14,1473,307,6,1798,9660,2854,171,12685,44639,5802,165,63292
SED27907,345,1098,23,1465,6176,301,31,7959,66,1123,8,1195,4909,257,15,6376,11,197,0,211,2899,212,7,3332,3,12,0,17,994,92,3,1104,11561,3523,297,15382,35908,2771,198,54253
SED28007,494,1114,24,1637,7386,315,22,9359,108,888,9,1005,4393,187,29,5616,6,133,0,146,2198,99,13,2459,0,6,0,6,767,44,3,820,14694,3277,257,18226,42984,2628,104,63940
SED28107,602,1126,32,1763,6964,480,173,9377,176,913,7,1095,4220,288,136,5734,11,114,5,127,1878,126,22,2162,0,4,0,4,472,47,0,518,29323,4109,440,33874,57142,7691,460,99158
SED28203,355,828,17,1196,5827,421,51,7494,97,888,16,994,5261,346,45,6647,18,203,0,228,3811,218,15,4275,0,5,0,15,1458,101,0,1571,14367,2953,219,17547,44050,3983,191,65764
SED28301,544,978,14,1539,6608,179,40,8363,141,1480,14,1633,4536,152,16,6340,24,318,8,342,3742,158,4,4249,0,19,0,19,1637,93,0,1752,11491,3461,228,15176,34839,1459,121,51589
SED28408,339,1021,17,1376,5751,352,6,7485,69,1029,5,1101,5171,340,12,6623,13,198,0,207,3424,306,3,3940,0,7,0,10,1543,267,0,1821,10035,3400,344,13792,34669,2964,53,51474
SED28507,404,963,21,1386,6577,389,49,8395,87,833,4,924,4637,330,47,5943,7,114,0,119,2505,254,6,2884,5,6,0,8,920,188,0,1115,17394,3511,398,21313,44254,4685,164,70417
SED28607,639,617,8,1261,6599,272,14,8148,62,834,7,904,4158,207,10,5286,15,158,4,174,2846,213,6,3233,4,16,0,17,1497,136,0,1655,14488,2493,273,17248,39324,2530,77,59185
SED28704,455,1482,24,1962,7294,339,29,9627,113,1424,14,1544,4823,234,30,6627,22,184,0,201,2557,147,12,2920,3,8,0,5,774,58,0,841,22503,4738,591,27835,45973,3014,111,76936
SED28803,634,1276,24,1941,9092,503,53,11585,147,896,17,1057,5148,278,49,6534,9,135,0,152,2164,149,16,2484,0,12,0,12,583,86,0,673,25983,4309,443,30728,62211,5331,206,98478
SED29797,0,3,0,4,45,111,0,158,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,55,121,385,0,565
SED30001,330,839,15,1186,4894,222,61,6362,99,716,15,823,3378,158,33,4391,16,93,0,108,1658,114,9,1886,0,3,0,3,577,96,0,679,12030,2960,339,15329,30685,2456,160,48636
SED30002,317,777,10,1101,4861,132,25,6114,52,1073,9,1132,3726,118,20,4994,19,250,0,263,2946,157,4,3373,3,15,0,18,1551,189,0,1754,9887,2973,260,13114,29446,1355,83,43996
SED30003,237,780,9,1022,4581,190,18,5808,57,642,4,703,3993,172,11,4880,3,114,6,123,2724,189,4,3040,5,4,0,5,912,162,0,1083,10847,2830,408,14090,29540,2144,65,45847
SED30004,422,733,16,1169,6413,468,31,8087,72,706,7,789,5225,430,36,6474,20,138,0,158,2457,301,11,2924,3,6,0,9,590,134,5,739,9566,2596,409,12572,30789,3110,176,46650
SED30005,319,652,10,979,5747,421,20,7169,68,640,6,711,5142,438,25,6314,11,112,0,127,3386,430,8,3948,3,0,0,4,1234,213,6,1460,7672,2317,201,10198,35203,3825,146,49362
SED30006,315,727,5,1051,5914,348,20,7339,60,894,5,961,6264,425,29,7675,17,185,0,202,4380,318,25,4926,4,9,0,13,1325,195,0,1530,6594,2438,187,9225,30502,2585,135,42450
SED30007,317,672,8,997,4669,154,17,5832,45,727,0,778,4204,156,13,5154,8,158,0,164,3264,201,6,3633,0,6,0,6,1390,252,0,1648,9857,2410,272,12541,29778,2090,72,44480
SED30008,358,531,8,898,4696,147,12,5755,51,706,3,750,2770,128,9,3655,10,133,0,138,1541,87,3,1773,0,6,0,6,822,62,0,891,10936,2305,250,13483,31128,1656,81,46347
SED30009,164,749,16,934,4869,346,12,6156,49,533,6,591,5188,339,6,6129,7,125,0,138,4058,398,5,4600,0,6,0,6,1614,216,0,1829,6736,2458,372,9568,29475,2873,158,42083
SED30010,263,842,18,1125,4666,333,17,6143,60,572,7,644,3273,217,25,4162,12,81,0,91,1686,123,8,1906,4,0,0,6,492,49,3,543,12550,3452,572,16569,32103,3746,104,52522
SED30011,252,908,7,1167,6344,2365,13,9889,65,553,0,613,5209,862,14,6704,4,89,0,96,2626,367,4,3094,0,3,0,5,793,122,0,916,9368,2619,354,12345,31446,14379,511,58674
SED30012,286,670,8,962,4557,313,6,5845,59,841,3,903,4244,313,14,5468,19,145,0,163,2690,226,15,3090,0,8,0,8,1053,167,6,1239,8384,2499,211,11094,28203,2682,103,42088
SED30013,236,773,8,1013,7383,639,8,9039,61,569,0,634,8400,686,13,9725,13,105,0,123,4092,314,13,4533,0,3,0,3,817,75,4,903,6372,2236,271,8873,32345,3305,150,44672
SED30014,379,655,13,1044,5934,1171,47,8204,70,629,8,703,4619,1039,27,6398,5,159,0,167,2560,544,20,3292,0,9,0,9,1052,182,9,1245,7812,2546,313,10667,34238,8588,658,54152
SED30015,213,756,11,976,5648,992,7,7624,42,459,0,495,5059,704,11,6271,7,90,0,96,2770,442,0,3312,0,3,0,3,780,171,0,959,7859,2306,329,10495,27311,6307,491,44604
SED30016,272,895,8,1178,5974,325,12,7485,50,955,0,1003,6023,330,21,7379,12,145,0,155,3918,310,9,4393,0,5,0,5,1298,146,4,1458,9010,2906,296,12210,32122,2446,90,46868
SED30017,259,998,10,1259,5055,152,5,6476,62,941,4,1004,4305,165,6,5487,5,137,0,146,2228,194,4,2573,0,5,0,5,666,300,0,968,8941,3157,324,12417,27038,1721,43,41219
SED30018,332,757,4,1097,4694,138,15,5951,50,1023,5,1075,3230,110,23,4444,13,170,0,182,2036,74,12,2304,0,9,0,9,727,44,0,776,10219,2761,239,13218,26648,1121,80,41070
SED30019,371,479,10,861,5130,332,36,6357,40,722,0,772,3187,190,12,4166,13,155,0,165,1974,109,4,2255,0,5,0,7,885,83,3,975,8644,2161,193,11001,36157,2749,202,50109
SED30020,244,1027,9,1288,5414,386,10,7107,41,789,4,838,4457,332,3,5625,15,109,0,122,2551,247,0,2924,4,7,0,13,733,139,0,882,9039,3090,500,12629,27369,2724,50,42770
SED30021,259,677,32,964,6502,1152,25,8653,77,490,3,570,5591,953,18,7135,15,96,0,113,2466,381,12,2973,0,3,0,3,581,91,0,674,7383,3059,486,10928,30974,6809,566,49271
SED30022,341,1019,14,1371,5328,291,24,7007,58,717,6,786,3769,176,41,4765,8,99,4,105,1773,87,13,1981,0,0,0,0,365,25,0,403,18110,3893,635,22635,36911,3793,129,63472
SED30023,392,521,9,925,4310,117,19,5370,39,901,4,949,2747,85,21,3804,15,229,0,243,1728,53,4,2028,4,8,0,13,610,22,0,646,9807,2379,263,12452,28417,1042,110,42021
SED30024,272,793,13,1070,5155,337,12,6576,59,850,10,913,4650,321,21,5917,13,155,0,164,2728,360,12,3267,0,7,0,7,1088,355,0,1451,7941,2550,242,10734,27035,2783,115,40667
SED30025,295,795,3,1097,4682,91,6,5876,32,827,4,866,3180,65,23,4135,3,164,0,168,2007,68,0,2244,0,0,0,0,683,38,0,727,10436,2656,254,13349,27705,862,69,41981
SED30026,234,559,9,802,3837,103,12,4755,34,832,3,866,2981,74,8,3932,3,173,0,175,1993,74,0,2241,0,6,0,9,940,69,0,1024,10457,2351,318,13127,26569,1142,43,40879
SED30027,257,720,14,988,4734,202,9,5944,61,678,0,744,3727,193,13,4677,7,107,0,120,2522,181,5,2829,0,9,0,8,797,107,3,916,8678,2539,296,11518,26632,1937,79,40165
SED30028,210,886,6,1109,5050,450,10,6619,29,513,10,541,3404,351,5,4308,0,68,0,71,1588,158,3,1825,0,0,0,0,481,93,0,579,8812,2669,438,11914,25007,3044,61,40027
SED30029,277,871,7,1153,5708,392,13,7264,70,722,4,791,5443,322,9,6563,19,146,0,166,2776,182,0,3125,0,13,0,13,785,63,0,859,7477,2657,237,10371,26825,3740,133,41065
SED30030,304,454,4,767,4129,201,10,5102,30,631,3,670,2626,178,14,3479,3,149,0,154,1664,183,5,2006,0,8,0,8,904,162,0,1081,9404,2020,205,11628,30846,1881,61,44417
SED30031,168,620,3,791,4712,1046,16,6561,31,328,5,365,3899,690,11,4963,3,57,0,58,1546,261,5,1875,0,4,0,4,362,83,0,455,6891,1907,342,9141,22160,5991,467,37750
SED30032,233,809,8,1054,7167,558,13,8791,64,588,6,656,7330,507,17,8514,14,88,0,100,3789,348,4,4235,4,12,0,13,1058,117,0,1185,7113,2497,357,9966,32070,3350,61,45445
SED30033,232,702,11,954,6931,493,20,8396,51,578,5,637,9200,641,26,10502,12,113,0,124,5792,656,11,6579,0,4,0,8,1685,316,4,2013,6600,2247,317,9168,36023,3513,102,48800
SED30034,299,908,6,1214,7549,808,29,9603,80,766,4,844,7647,819,16,9333,14,158,3,174,3859,476,5,4516,0,8,0,8,1205,251,0,1464,7339,2761,306,10401,33825,6376,824,51437
SED30035,213,939,9,1161,5121,361,13,6653,35,595,0,634,4898,401,4,5945,8,101,0,113,2298,224,5,2637,0,8,0,9,677,87,0,776,8910,2750,415,12078,26218,2690,51,41043
SED30036,386,681,22,1093,5148,507,35,6784,95,577,11,679,3419,264,32,4391,17,121,0,134,2151,176,10,2473,0,6,0,6,835,88,0,933,10027,2646,269,12947,32659,6325,124,52062
SED30037,209,807,9,1023,4419,284,17,5738,30,603,5,635,3240,265,12,4153,8,86,0,92,2104,273,4,2472,0,7,0,7,828,278,0,1119,8544,2639,403,11592,25806,2784,53,40238
SED30038,239,868,14,1121,4826,256,6,6216,32,683,3,717,3622,211,4,4561,7,118,0,121,2186,197,0,2504,3,8,0,10,640,96,0,748,8775,2926,417,12114,26820,3362,55,42354
SED30039,312,825,13,1152,4449,186,43,5827,36,624,0,664,2553,120,31,3369,11,107,0,117,1107,50,3,1275,0,9,0,3,230,11,0,247,15338,3228,535,19098,29565,2027,125,50807
SED30040,270,767,9,1044,4965,249,11,6275,30,733,9,772,4692,265,14,5739,8,141,0,150,3742,323,12,4220,4,3,0,9,1534,285,3,1830,8380,2473,278,11129,29368,2395,70,42962
SED30041,234,1080,8,1326,5618,413,5,7364,47,900,4,950,5155,430,8,6538,7,163,0,178,2948,281,5,3418,0,4,0,7,857,118,0,984,8214,3378,412,12004,28204,2905,59,43175
SED30042,237,924,11,1172,4600,182,6,5950,38,712,9,755,3484,129,0,4373,7,114,3,121,1890,103,3,2123,0,11,0,11,560,20,0,592,11123,3082,445,14649,27671,1731,34,44086
SED30043,233,870,10,1112,5450,368,0,6931,53,542,3,600,4566,310,3,5479,7,105,0,111,2448,240,0,2800,0,7,0,10,628,136,0,772,8211,2624,355,11184,27615,3079,88,41973
SED30044,258,953,17,1227,5428,309,16,6982,43,655,4,701,4297,250,21,5272,10,106,3,117,2291,182,13,2604,0,4,0,4,629,53,3,690,11699,3351,516,15560,31345,3141,88,50145
SED30045,326,828,6,1155,5244,185,8,6593,50,864,9,923,3880,145,15,4963,5,203,0,212,2530,222,0,2963,3,8,0,16,1066,214,6,1296,9959,2825,330,13121,28536,1711,52,43415
SED30046,256,831,3,1093,4906,349,11,6358,52,686,10,756,4312,253,10,5328,11,109,0,119,2549,203,0,2868,0,7,0,7,802,71,0,879,10044,3032,475,13552,30500,3389,55,47497
SED30047,229,1024,12,1266,5305,564,18,7154,32,731,4,768,4251,426,16,5451,11,150,0,160,2685,334,4,3183,0,10,0,14,1153,210,3,1371,8148,3175,396,11722,29592,4042,80,45440
SED30048,374,385,7,768,4144,146,39,5096,61,838,6,908,3137,184,41,4260,22,228,0,251,2062,164,8,2478,4,12,0,9,741,118,5,866,9550,2226,135,11912,39056,2013,261,53241
SED30049,364,666,9,1040,4252,182,33,5509,73,777,10,860,2952,119,37,3967,14,178,3,201,2304,131,6,2639,0,6,0,8,1023,99,0,1128,11111,2473,242,13832,30352,1753,162,46094
SED30050,274,824,3,1094,6221,571,25,7916,63,913,5,974,6191,641,41,7847,17,138,0,151,3811,500,29,4492,0,9,0,9,1239,282,0,1523,6637,2621,216,9472,33072,4007,338,46895
SED30051,226,777,11,1020,6988,423,12,8439,45,622,3,671,7935,447,7,9057,11,93,0,100,3958,328,7,4392,0,0,0,0,1077,122,0,1193,6483,2458,355,9292,31724,3319,47,44387
SED30052,249,406,7,661,4982,835,96,6578,53,545,6,603,3018,456,41,4120,3,131,0,135,1632,299,14,2076,0,3,0,4,618,134,5,760,6113,2088,136,8331,51931,7611,763,68635
SED30053,299,623,5,928,4595,253,29,5808,46,725,11,784,4145,230,18,5178,9,170,3,182,2537,251,8,2976,0,4,0,7,907,231,0,1146,8531,2343,225,11098,31354,2565,161,45174
SED30054,368,482,3,851,4249,172,11,5292,51,757,4,805,2661,117,12,3592,13,181,0,188,1724,96,4,2016,0,15,0,16,860,70,0,941,9165,2149,204,11525,27655,1227,91,40503
SED30055,170,1052,10,1231,5323,678,4,7241,39,602,0,642,4432,564,14,5656,11,68,0,87,2077,265,0,2433,0,5,0,5,504,67,0,579,7551,2797,330,10676,24511,4693,47,39930
SED30056,401,615,12,1021,4829,92,18,5968,74,1066,6,1149,3487,84,24,4743,10,275,0,284,2517,99,3,2906,5,14,0,18,1033,118,0,1169,10482,2588,234,13310,25376,818,104,39610
SED30057,208,835,13,1055,5071,288,9,6427,59,573,7,633,4586,294,14,5522,7,90,3,106,2806,247,9,3168,3,3,0,10,988,182,6,1184,9230,2934,447,12615,30676,3190,160,46646
SED30058,330,674,4,1011,4742,117,15,5884,64,971,7,1044,3693,128,14,4877,15,213,0,230,2288,92,13,2618,0,8,0,8,1044,69,0,1128,9693,2628,292,12609,27619,1115,77,41424
SED30059,372,827,18,1216,5438,272,26,6950,64,829,4,897,4336,295,28,5552,15,164,0,175,2729,301,4,3216,4,12,0,16,818,333,0,1167,11042,2798,306,14146,30115,2803,104,47168
SED30060,320,793,31,1137,4690,450,20,6298,54,659,0,717,3780,376,8,4889,12,132,3,142,1864,226,5,2239,0,5,0,12,462,137,0,618,9101,3109,530,12746,26630,3801,84,43258
SED30061,259,774,18,1046,4199,400,8,5660,38,635,0,674,3201,352,13,4235,9,156,0,166,2157,292,4,2624,0,11,0,10,803,230,0,1040,6916,2725,343,9983,27748,5095,148,42973
SED30062,258,902,24,1184,4546,187,35,5945,58,643,8,707,3820,167,17,4708,3,111,0,116,2328,199,5,2651,0,12,0,15,835,243,6,1099,13761,3350,511,17616,32172,2495,98,52379
SED30063,212,731,14,956,6380,692,13,8046,60,535,0,601,6947,694,7,8245,4,97,0,111,3711,444,3,4270,0,4,0,5,1000,137,0,1139,6341,2385,312,9040,30424,4150,59,43668
SED30064,283,679,11,973,5436,314,10,6733,46,721,0,762,4834,266,5,5875,8,137,0,144,3034,225,8,3415,0,10,0,6,1098,206,0,1315,7859,2382,325,10564,27490,2422,63,40538
SED30065,358,853,6,1219,5772,268,12,7268,51,863,9,925,5657,238,16,6848,10,161,0,170,3177,219,11,3575,3,7,0,13,972,104,0,1093,10456,2743,327,13527,29507,1968,83,45085
SED30066,401,638,6,1046,6782,387,40,8256,64,872,4,942,7100,415,48,8511,24,175,0,204,4278,370,27,4874,4,4,0,4,1220,222,6,1457,7175,2299,206,9671,31370,2756,245,44050
SED30067,242,564,8,820,4632,154,15,5626,44,667,4,708,3238,116,15,4083,15,115,0,127,1947,92,6,2172,0,11,0,12,949,103,0,1068,9608,2269,243,12120,31912,1883,98,46006
SED30068,290,946,9,1244,5142,205,8,6602,54,1033,0,1091,4454,228,8,5774,14,188,0,204,3118,308,3,3634,0,14,0,14,1056,391,3,1467,6934,2887,260,10083,25753,1776,52,37664
SED30069,304,907,14,1225,5172,153,4,6562,50,923,9,979,3857,152,11,4993,4,188,0,196,2031,90,0,2318,0,6,0,10,529,31,0,560,10433,3102,378,13915,27991,1513,38,43462
SED30070,185,885,10,1079,6035,263,9,7390,60,785,4,843,8313,400,17,9575,13,116,3,135,5283,352,10,5775,3,7,0,9,1254,199,4,1468,6536,2678,265,9479,32070,2312,273,44130
SED30071,275,926,15,1215,6305,383,14,7919,49,1043,0,1100,6230,332,15,7672,17,176,0,190,3827,306,11,4342,0,4,0,6,1452,168,0,1625,7132,3106,293,10536,31842,2739,64,45183
SED30072,256,958,15,1231,5862,249,10,7349,51,797,3,851,5641,269,20,6773,12,169,0,177,3519,192,4,3891,0,5,0,5,1226,104,0,1333,8496,2860,318,11679,30342,1818,67,43904
SED30073,191,876,12,1080,4695,397,8,6172,37,592,0,628,3916,370,15,4926,10,102,0,109,2595,310,0,3012,4,7,0,12,1142,255,5,1411,8181,2974,480,11628,27935,3516,71,43156
SED30074,298,799,8,1101,4962,146,25,6233,63,882,10,946,3884,193,23,5047,7,164,0,169,2721,206,4,3100,0,3,0,3,1081,216,0,1300,10119,2757,291,13161,28655,1647,79,43541
