SED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SED10077,6522,16356,9064,2474,1261,35679,2135,37809
SED10078,6272,16737,7159,1584,717,32475,1447,33923
SED10079,1500,10799,11026,3636,2147,29110,1330,30440
SED10080,19198,18959,4464,605,263,43474,3272,46752
SED10081,1764,10568,11252,4028,2508,30124,2524,32644
SED10082,1289,9687,11432,3879,2354,28644,1252,29891
SED10083,1816,10596,10632,3393,2075,28505,1427,29941
SED10084,1947,12961,11673,3510,1884,31968,2117,34084
SED10085,1216,9092,11205,4576,2979,29068,2165,31231
SED10086,4979,14801,9250,2008,1005,32038,1771,33812
SED10087,1817,10571,11475,4121,2304,30290,1915,32208
SED10088,2168,10439,10896,3509,2004,29014,981,29998
SED10089,2175,11596,12354,3815,2057,31989,1313,33297
SED10090,4382,16382,9355,2000,738,32857,1053,33909
SED10091,861,7911,11042,4693,4164,28674,1243,29919
SED10092,4014,14048,10587,3398,1825,33868,2041,35918
SED10093,1796,10641,10846,3812,2388,29482,1788,31273
SED19797,0,0,0,0,0,0,0,0
SED20106,9766,20879,7270,1074,404,39384,2652,42037
SED20207,1598,13271,15241,4020,1814,35939,1785,37722
SED20302,1355,13634,17621,5387,2761,40763,2340,43104
SED20401,1111,8728,9951,2977,1492,24256,979,25240
SED20508,716,9609,12043,3625,1929,27929,1285,29212
SED20604,1095,8522,10703,3844,2357,26524,1763,28292
SED20704,1168,8844,10738,3811,2345,26907,1400,28308
SED20804,1467,9550,9121,3295,1980,25417,1538,26952
SED20906,1580,9482,9957,2441,1045,24497,883,25378
SED21001,2913,12005,9606,2332,1066,27919,1236,29153
SED21106,1653,10423,9133,2284,1076,24569,1048,25616
SED21203,2162,8676,7529,2682,1567,22618,2055,24672
SED21303,5699,16680,7335,1740,722,32180,1296,33477
SED21401,1312,8942,10123,2873,1523,24776,756,25528
SED21503,1482,8015,8726,2637,1370,22219,865,23090
SED21608,1086,7948,9483,3871,2695,25086,1405,26491
SED21706,1783,9324,9750,2546,1175,24579,925,25499
SED21805,1427,9921,11155,3228,1547,27279,1310,28586
SED21906,3120,12740,8919,1764,813,27354,1228,28582
SED22005,2260,10419,9636,2756,1341,26415,1264,27679
SED22105,1087,11181,17844,5715,2741,38562,1991,40552
SED22201,1088,8451,9787,2639,1512,23487,759,24246
SED22305,2285,9727,8610,2859,1563,25045,2089,27132
SED22404,652,6833,8947,3981,2999,23411,1788,25198
SED22501,480,5924,9645,3069,1967,21090,488,21579
SED22607,3587,13028,8502,2131,1074,28329,1465,29791
SED22704,1099,8290,9741,4335,3009,26467,2333,28802
SED22802,629,5772,9074,3498,2473,21449,663,22113
SED22901,948,6895,9365,2917,1534,21658,687,22347
SED23007,3929,14733,9319,2540,1116,31638,2113,33753
SED23101,1288,7566,9296,2509,1225,21885,623,22508
SED23205,1950,9648,9079,2584,1203,24466,1668,26136
SED23308,2253,11762,10035,2573,1238,27859,1407,29263
SED23402,731,8089,12358,4364,2928,28473,1323,29793
