SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SED21303,11,16,14,16,5,3,6,196,0,0,0,9,10,16,21,3,4,4,0,0,0,0,4,80,0,3,18,20,32,29,80,65,17,17,7,21,7,8,7,331,58,836,921,152,40,31,66,116,27,21,28,18,4,0,52,2372,0,0,0,10,17,44,70,39,14,12,12,25,4,0,5,238,0,0,0,0,23,20,35,33,14,10,15,6,4,0,5,166,0,11,133,325,101,49,33,20,6,3,3,11,0,0,28,734,0,3,11,65,101,72,168,108,48,24,31,41,20,0,3,701,0,0,0,3,0,6,64,68,27,83,132,92,21,6,9,510,0,11,7,5,22,12,18,29,5,0,8,9,0,0,0,138,0,9,21,78,157,246,482,378,69,81,91,93,39,31,41,1821,0,7,15,16,10,3,7,4,0,0,0,0,0,0,0,60,0,0,0,3,6,19,38,60,7,12,15,26,10,3,0,198
SED21401,113,65,70,87,48,54,16,1761,0,0,0,0,3,23,30,18,3,4,0,0,0,0,0,75,0,8,9,9,19,5,13,12,0,0,0,0,0,0,7,80,128,1060,529,82,28,25,22,47,9,0,0,5,0,0,74,2010,0,0,0,17,13,18,39,13,4,9,0,5,3,0,0,122,0,0,0,9,43,73,234,92,6,19,6,10,18,0,9,528,0,11,71,101,71,24,12,8,0,0,3,0,0,0,9,319,0,14,66,201,513,276,681,366,83,106,96,75,34,5,34,2547,0,0,0,0,0,3,12,8,4,0,12,6,0,0,0,38,5,46,12,4,3,5,20,7,0,9,0,0,0,0,0,115,3,5,36,46,87,121,140,72,6,12,10,21,16,12,14,601,3,38,66,40,25,14,4,4,0,0,0,0,0,0,0,184,0,0,0,6,19,32,41,90,19,22,18,34,6,3,0,289
SED21503,25,23,22,21,6,5,3,486,0,0,0,6,3,39,36,29,0,0,3,0,0,0,0,124,0,4,16,16,35,14,45,30,6,9,7,4,0,0,0,176,27,465,438,58,29,18,19,34,5,11,9,6,0,0,41,1153,0,0,0,0,4,19,26,5,4,3,3,7,0,0,0,73,0,0,0,0,4,3,69,34,0,4,4,9,0,0,0,132,0,7,29,60,44,35,29,13,0,3,14,4,5,0,4,251,0,0,17,46,150,72,174,96,44,60,49,43,15,0,8,769,0,0,0,0,0,15,18,11,12,15,19,16,0,0,0,111,4,45,11,3,3,3,7,3,0,0,0,0,0,0,0,83,5,6,22,61,78,99,137,100,11,12,16,16,5,10,20,575,3,22,213,180,133,66,31,8,4,0,0,6,5,0,16,690,0,0,0,3,9,8,21,50,11,17,16,33,9,0,4,185
SED21608,0,0,0,0,0,0,0,35,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,11,0,5,21,23,14,13,28,21,0,0,0,0,0,0,0,123,3,52,27,15,3,4,5,10,0,0,0,0,0,0,10,133,0,0,0,0,5,6,15,3,0,5,0,0,0,0,0,36,0,0,0,0,3,0,12,4,0,0,0,0,0,0,0,27,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,8,0,0,10,9,23,3,18,10,5,0,3,3,0,0,4,98,0,0,0,0,0,0,10,13,10,22,17,21,5,0,0,98,8,219,26,19,15,9,15,7,0,0,0,0,0,0,18,326,0,6,34,97,141,130,111,83,6,3,12,12,6,0,25,662,0,0,5,0,6,5,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,25,26,5,0,14,6,3,0,9,87
SED21706,23,10,3,15,8,3,4,312,0,0,0,0,0,3,14,7,0,0,3,0,0,0,0,39,3,16,15,11,22,17,36,24,0,3,8,0,0,0,4,163,24,155,141,24,13,13,17,14,3,3,8,5,0,0,22,429,0,0,8,9,23,25,46,27,5,4,4,11,3,0,0,166,0,0,0,12,25,73,189,80,7,6,11,17,4,0,3,431,0,0,8,18,9,9,8,0,0,5,0,0,0,0,0,53,3,5,66,113,390,198,352,183,68,77,49,51,23,0,26,1605,0,0,0,0,0,7,15,12,6,18,20,13,4,0,0,94,5,35,16,7,5,10,21,11,0,5,0,0,0,0,5,119,9,14,36,101,127,128,230,101,13,13,17,28,14,7,13,845,0,4,9,0,0,7,4,0,0,0,0,0,0,0,0,30,0,0,0,0,13,3,22,24,9,14,23,13,20,6,4,145
SED21805,5,0,3,4,0,0,0,73,0,0,0,5,0,7,8,3,9,0,4,0,0,0,0,28,0,9,35,21,52,15,50,70,4,0,9,4,0,0,8,281,19,87,119,32,16,9,14,23,3,3,0,0,0,0,14,338,0,0,0,0,8,10,18,3,0,0,0,0,0,0,0,43,0,0,0,0,8,8,29,3,3,0,0,0,0,0,0,63,0,3,10,20,10,12,13,11,3,0,0,0,0,0,3,89,0,5,9,21,54,27,68,13,5,4,4,0,3,0,3,214,0,0,0,0,0,3,10,6,0,7,4,3,0,0,0,37,4,156,38,18,17,10,17,3,6,0,0,0,0,0,21,294,0,11,54,172,320,279,402,264,29,20,26,14,4,8,42,1645,0,3,6,14,6,4,9,0,0,0,0,0,0,0,0,41,0,0,6,4,9,14,18,8,9,0,8,0,0,0,0,62
SED21906,0,0,6,6,4,0,0,90,0,0,9,4,3,5,3,0,0,0,0,0,0,0,0,24,0,5,15,16,32,17,108,112,50,44,74,75,32,0,4,585,18,92,68,23,8,16,23,71,19,11,3,3,6,0,15,379,0,0,0,13,24,32,82,59,25,3,17,38,13,16,14,335,0,0,0,3,17,19,36,31,15,10,5,5,4,0,0,136,3,0,11,16,8,3,0,0,0,0,4,0,0,0,0,42,0,0,20,55,89,55,88,58,21,22,27,16,14,0,7,464,0,0,0,0,0,4,16,45,31,43,67,71,8,0,7,297,6,17,10,8,9,10,13,17,9,4,3,0,0,0,0,103,8,6,32,111,180,150,241,175,51,39,47,46,13,15,15,1138,0,0,4,0,5,6,7,6,3,0,0,0,0,0,0,23,0,0,0,0,0,6,10,16,3,14,12,8,0,0,3,79
SED22005,5,10,12,11,0,0,5,136,0,0,0,4,3,25,20,17,0,0,0,0,0,0,7,77,0,9,11,10,27,7,32,36,4,6,0,5,0,0,7,164,8,347,410,62,21,6,19,33,14,9,12,7,4,0,59,1010,0,0,4,0,18,45,90,40,15,8,4,11,0,6,3,244,0,0,0,0,19,45,221,129,28,28,42,18,11,0,15,563,0,5,33,51,41,15,19,6,0,0,0,0,0,9,8,184,0,5,13,65,158,82,209,242,165,200,222,149,31,0,45,1587,0,0,0,0,0,5,49,49,33,77,107,88,13,0,5,430,0,35,16,4,10,5,14,0,0,0,0,0,0,0,11,94,0,6,16,57,113,148,200,111,16,17,21,27,7,4,17,752,0,4,14,22,3,6,0,6,0,0,0,0,0,0,0,46,0,0,0,9,15,27,49,72,35,35,39,34,16,0,5,336
SED22105,31,26,10,27,8,7,4,427,0,0,0,0,3,39,56,48,16,3,3,4,0,0,0,174,0,0,32,40,30,6,30,53,10,9,6,3,0,0,9,218,12,90,147,29,12,10,22,17,0,0,3,7,0,0,21,371,0,0,0,0,0,15,35,6,4,3,4,4,0,0,0,71,0,0,0,0,6,6,83,29,4,7,7,0,0,0,4,150,0,0,7,29,33,35,29,15,4,4,4,0,0,0,0,163,0,0,8,17,70,51,221,107,41,17,22,9,0,0,4,577,0,0,0,0,0,23,183,114,19,11,33,38,12,0,9,447,12,184,42,17,27,3,14,5,0,0,0,0,0,0,7,311,6,3,27,148,346,525,1002,749,95,106,112,127,28,34,80,3381,0,0,11,23,34,26,30,8,4,3,0,0,4,0,10,145,0,0,0,0,13,56,346,563,75,111,116,79,44,25,19,1449
SED22201,16,17,18,15,4,3,5,360,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,5,9,29,38,29,10,14,17,0,0,0,0,0,0,6,144,8,107,79,14,5,3,9,13,3,6,0,0,0,0,19,270,0,0,3,6,8,4,10,11,0,0,0,0,0,0,4,52,0,0,0,0,6,12,70,21,3,0,3,0,0,0,0,127,0,0,5,9,9,7,10,8,0,0,0,3,0,0,0,53,0,4,10,31,62,37,179,128,36,28,20,19,5,6,7,564,0,0,0,0,0,0,26,19,5,4,6,5,0,0,0,63,8,206,49,30,12,17,3,7,0,0,0,0,4,0,9,345,6,3,40,101,151,118,111,87,15,10,3,4,5,0,13,671,0,3,8,0,3,0,8,0,0,0,0,0,0,0,0,23,0,0,0,0,9,7,10,17,0,3,9,3,0,0,0,59
SED22305,46,69,27,26,19,4,4,752,0,0,0,0,0,65,50,85,7,13,6,3,7,0,8,243,0,0,17,16,20,3,11,14,6,0,0,0,0,0,4,95,24,249,345,63,17,9,9,17,0,4,0,3,0,0,42,782,0,0,3,0,4,5,24,6,0,3,3,0,0,0,0,43,0,0,0,0,8,23,108,40,3,8,0,0,0,0,0,199,0,0,56,138,82,56,47,38,10,7,4,12,6,0,17,476,0,3,6,22,93,58,175,129,85,98,100,64,13,0,12,852,0,0,0,0,0,0,19,15,6,20,18,20,10,0,0,110,11,161,22,6,12,0,9,5,0,3,0,0,0,0,13,238,0,7,14,77,149,171,286,206,24,38,32,17,11,16,48,1086,0,6,63,195,234,205,128,41,4,4,0,5,0,0,26,915,0,0,0,3,20,45,291,861,131,149,170,196,89,73,35,2070
SED22404,0,0,0,0,0,0,3,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,8,26,19,25,6,20,8,0,0,0,0,0,0,0,123,20,69,47,10,7,0,3,10,0,0,0,7,0,0,14,185,0,0,4,4,7,10,12,7,0,0,0,0,0,0,0,55,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,12,0,6,10,17,21,5,12,14,4,0,0,0,0,0,0,92,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,13,182,60,34,44,20,28,4,0,0,0,0,0,0,12,402,8,11,61,148,188,151,128,53,4,11,4,6,8,4,36,815,0,0,9,7,5,0,3,0,0,0,0,0,0,0,0,33,0,5,0,0,0,0,4,0,9,0,0,0,4,0,0,20
SED22501,12,18,8,6,3,0,5,341,0,0,0,0,0,8,6,0,0,12,0,3,0,0,0,33,0,0,30,32,40,25,37,31,0,0,6,0,0,0,0,204,23,312,230,39,15,10,15,10,0,0,0,0,0,0,23,688,0,0,0,0,4,12,31,12,0,0,0,3,0,0,3,72,0,0,0,4,4,12,42,3,5,5,0,0,0,0,0,78,0,4,10,17,16,0,0,4,0,0,0,0,0,0,0,51,0,0,24,51,93,29,62,22,8,6,3,0,0,0,0,304,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,15,3,58,14,11,14,15,24,8,0,3,0,0,0,0,3,167,3,9,35,82,111,128,177,75,18,15,4,4,3,0,11,683,4,16,54,39,7,12,12,11,0,0,0,0,0,0,0,148,0,0,0,0,0,3,5,4,0,4,5,0,0,0,0,29
SED22607,15,11,21,14,6,4,3,218,0,0,0,0,8,46,28,16,0,4,0,0,0,0,0,102,3,12,19,17,34,23,78,39,7,3,10,4,0,6,0,261,38,649,609,92,21,21,33,66,15,8,4,11,0,0,38,1617,0,0,0,4,18,34,58,34,5,13,7,5,9,0,6,185,0,0,0,0,20,16,47,49,15,8,8,4,6,0,4,170,0,7,34,47,18,11,19,3,0,0,0,0,0,0,8,155,0,0,21,50,78,55,145,81,29,23,12,19,12,5,7,543,0,0,0,0,0,3,57,75,51,92,145,137,28,0,12,594,3,43,6,6,8,8,11,7,9,0,0,0,4,0,0,106,0,12,34,81,122,142,286,185,38,31,53,35,11,17,15,1064,0,0,19,12,15,11,11,10,0,0,0,0,0,0,0,77,0,0,0,0,6,9,20,36,15,12,8,11,6,0,0,118
SED22704,0,0,0,5,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,10,25,17,23,9,33,37,3,0,0,3,8,0,10,174,8,106,94,12,3,6,0,5,0,0,5,0,0,0,25,273,0,0,0,0,3,11,3,3,0,0,0,0,0,0,0,23,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,17,0,0,13,3,5,5,0,0,0,0,0,0,0,0,5,23,0,0,11,5,14,6,18,17,6,3,6,7,0,11,0,100,0,0,0,0,0,0,6,9,4,7,8,4,4,0,0,47,15,123,41,14,15,11,15,0,0,0,0,0,0,0,13,237,5,12,61,125,162,119,123,50,3,11,4,8,0,0,36,713,0,0,9,10,5,0,3,0,0,0,0,4,0,0,0,34,0,0,0,0,0,0,5,7,0,0,8,6,0,0,0,29
SED22802,22,9,3,6,0,0,0,192,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,12,23,21,25,5,16,11,0,3,0,4,0,0,4,122,31,225,164,22,12,3,14,12,0,0,0,0,0,0,11,495,0,0,0,0,3,3,4,9,4,0,0,0,0,0,0,25,0,0,0,0,0,9,25,17,0,0,0,0,0,0,0,60,0,0,8,11,6,3,4,0,0,0,5,4,0,0,0,38,0,3,3,11,35,10,52,35,10,9,9,4,0,0,7,176,0,0,0,0,0,0,33,4,3,0,0,0,0,0,0,44,14,271,64,34,38,11,16,7,0,0,3,0,0,0,7,470,6,0,29,95,129,106,135,72,3,8,3,10,3,3,18,629,0,0,6,10,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,4,11,6,3,5,4,9,0,0,0,39
SED22901,23,16,17,17,3,0,0,362,0,0,5,0,4,13,16,17,9,0,0,0,0,0,0,61,3,14,24,33,34,8,17,10,0,0,0,3,0,0,6,148,6,142,122,25,11,3,8,7,0,0,0,3,0,3,20,351,0,4,0,0,11,9,26,12,0,0,0,0,0,0,0,57,0,0,0,0,12,39,206,59,0,5,8,0,0,3,0,339,0,0,6,20,18,5,7,0,0,0,0,0,0,0,0,58,0,0,43,116,426,236,643,342,29,49,25,26,15,7,25,1997,0,0,0,0,0,7,42,10,4,5,0,4,0,0,0,75,6,158,35,17,8,0,12,7,4,0,0,0,0,0,5,245,7,8,40,67,138,122,173,102,10,17,11,6,9,4,13,723,0,0,8,5,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,3,11,8,34,43,0,4,14,14,6,0,0,137
SED23007,11,13,16,17,0,5,0,235,0,0,0,3,0,14,25,33,0,0,0,0,9,0,0,92,0,4,17,19,20,13,56,31,3,3,3,0,0,0,0,179,19,321,308,59,14,12,24,51,10,10,4,4,3,0,41,888,0,0,0,0,6,28,51,30,3,5,14,13,3,3,7,163,0,0,0,0,8,17,81,47,8,11,10,9,3,0,4,203,0,0,14,29,23,14,15,0,4,0,0,0,6,0,6,112,0,0,8,37,126,109,267,149,77,72,85,39,15,0,15,1018,0,0,0,0,0,10,93,108,49,76,152,153,35,0,19,698,0,21,6,7,4,10,15,13,5,3,6,0,0,0,0,84,0,4,22,72,131,207,402,295,42,33,46,44,13,10,34,1355,0,0,176,226,86,49,21,19,0,0,4,4,3,0,19,612,0,0,0,0,3,11,78,220,20,34,53,40,30,8,18,519
SED23101,17,14,17,14,8,0,8,393,0,0,0,0,0,11,3,10,0,0,0,0,0,0,0,26,5,4,13,15,13,6,19,14,0,0,0,0,0,0,4,96,18,237,182,28,9,8,8,26,4,6,4,0,0,0,31,550,0,0,4,9,22,30,32,22,5,8,0,0,4,0,5,140,0,0,0,8,23,45,199,106,14,11,13,4,5,0,4,428,0,4,10,14,22,3,8,4,0,3,4,0,0,0,0,73,0,6,56,159,522,234,588,334,71,81,60,75,13,12,39,2243,0,0,0,0,0,9,18,11,3,4,8,12,0,0,0,75,4,85,8,5,8,4,8,0,0,4,0,0,0,0,7,139,3,10,29,61,113,93,139,96,17,3,19,14,9,3,13,625,0,8,9,8,4,3,0,0,0,0,0,0,0,0,0,27,0,0,0,5,12,17,68,66,28,16,21,25,7,0,0,260
SED23205,3,0,4,5,3,0,0,63,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,11,0,15,19,34,49,12,32,32,14,0,3,0,0,0,13,222,17,91,80,30,9,3,13,13,3,0,0,3,0,0,13,278,0,0,0,0,5,13,24,8,0,0,3,0,3,0,0,57,0,0,0,0,7,6,23,12,15,0,3,0,0,0,0,62,0,0,11,17,9,13,9,0,0,0,0,0,0,0,4,65,0,4,4,17,38,17,31,25,11,16,14,0,4,0,3,176,0,0,0,0,0,0,11,15,3,11,10,3,3,0,3,57,16,123,31,7,13,5,11,5,0,4,0,0,0,0,13,235,3,13,58,136,277,220,318,167,21,16,18,26,5,6,44,1335,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,23,0,0,3,3,0,4,3,11,0,0,0,0,0,0,0,33
SED23308,10,15,11,10,3,0,0,138,0,0,0,0,0,4,6,23,4,0,6,0,0,0,0,41,0,8,14,9,31,18,42,48,0,3,4,3,0,0,4,189,26,191,165,36,8,0,18,14,5,3,5,4,0,0,25,489,0,0,0,0,0,7,20,9,6,5,4,0,3,0,4,59,0,0,0,0,4,6,18,27,8,15,0,5,0,0,0,79,0,0,4,11,4,0,5,0,0,0,0,0,0,0,0,22,3,3,3,17,20,13,37,42,17,9,18,21,8,0,3,222,0,0,0,0,0,0,21,38,20,26,29,20,4,0,0,162,7,215,16,6,10,9,15,0,4,0,4,0,0,0,8,296,4,3,32,96,124,124,147,72,17,14,9,18,12,4,19,692,0,12,31,16,9,0,0,4,0,0,0,0,0,0,6,77,0,0,0,0,0,3,11,47,10,18,18,40,12,0,8,185
SED23402,5,5,6,0,0,0,3,67,0,0,0,0,0,13,13,8,7,0,3,5,0,0,0,43,0,10,26,26,49,16,36,36,3,0,0,0,0,0,0,203,19,124,110,31,13,10,17,15,4,0,0,3,0,0,25,364,0,0,0,3,4,10,18,3,0,0,5,4,0,3,0,54,0,0,0,3,3,6,62,30,0,5,0,0,0,0,3,107,0,0,8,7,16,17,8,7,0,4,0,0,0,0,0,65,0,0,16,16,26,17,92,72,6,15,12,3,5,0,4,285,0,0,0,0,0,0,18,19,7,3,0,0,0,0,0,60,22,247,41,28,37,6,27,5,5,0,0,0,0,0,4,438,3,9,51,129,214,217,277,221,35,32,28,39,7,8,39,1314,0,0,7,8,11,6,0,5,0,0,0,0,0,0,0,29,0,0,0,7,7,24,119,166,27,32,8,20,7,3,3,420
SED23502,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,9,27,17,11,6,11,8,0,0,0,0,0,0,3,85,8,82,48,8,0,5,6,3,0,0,0,0,0,0,10,176,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,4,7,7,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,8,8,8,3,16,16,3,15,13,9,0,0,0,103,0,0,0,0,0,0,0,6,9,5,0,0,0,0,0,29,10,229,47,19,20,13,11,4,0,0,0,0,0,0,21,374,9,16,49,128,138,117,93,63,6,10,4,4,7,0,41,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,12,0,0,3,0,0,0,0,26
SED23602,0,0,0,0,0,0,3,16,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,13,5,9,17,20,20,8,15,21,0,0,3,0,3,0,0,124,15,121,66,6,4,0,0,0,0,0,0,5,0,0,25,259,0,0,0,4,0,6,7,0,0,0,0,0,0,0,0,24,0,0,0,0,4,0,6,7,0,0,8,5,0,0,0,21,0,0,3,7,0,0,0,0,0,0,0,0,0,0,5,10,0,0,12,12,18,4,18,11,0,5,3,4,0,0,33,123,0,0,0,0,0,0,0,4,3,3,9,0,0,0,0,24,18,249,46,17,33,12,10,14,0,0,0,0,0,0,18,419,0,8,51,129,142,112,166,50,9,5,12,9,7,4,57,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,0,0,3,3,0,0,0,32
SED23702,0,0,0,4,0,0,0,12,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,15,5,15,37,30,45,10,40,23,0,0,0,0,0,0,4,214,12,88,88,16,7,6,7,11,7,0,0,0,0,0,14,257,0,0,0,4,0,4,13,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,7,16,11,13,3,0,0,0,0,0,0,0,0,50,0,3,9,15,8,11,12,13,0,0,0,0,0,0,4,86,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,19,190,43,23,31,5,12,11,0,0,0,0,0,0,10,347,4,13,67,174,245,143,206,72,15,9,13,0,5,11,28,998,0,0,5,4,4,0,0,0,0,0,0,0,0,0,3,17,0,0,4,7,0,0,6,6,0,3,0,0,0,0,0,18
SED23806,10,20,20,21,4,4,0,234,0,0,0,0,0,3,8,22,0,0,4,0,0,0,0,35,0,11,17,9,36,17,37,29,10,9,0,0,0,0,3,186,25,186,94,23,16,11,16,26,8,3,17,3,0,0,14,440,0,4,0,10,21,27,40,22,3,6,4,13,8,3,0,175,0,0,0,3,18,27,81,39,13,16,11,17,14,0,6,228,0,4,8,9,3,3,5,0,0,0,0,0,0,0,0,30,3,15,65,166,291,122,206,106,28,29,36,30,14,3,16,1144,0,0,0,0,0,0,6,15,11,26,28,27,6,0,0,122,5,34,14,4,4,12,16,13,4,0,6,10,0,0,0,122,5,13,61,95,135,176,254,169,32,28,28,32,13,6,16,1072,0,0,5,6,4,4,0,4,0,0,0,0,0,0,0,31,0,0,0,7,7,6,8,25,8,9,25,16,9,0,5,114
SED23901,16,19,28,19,7,3,5,395,0,0,0,0,0,25,13,9,0,0,0,0,0,0,6,51,0,9,17,25,48,28,56,27,3,9,3,0,0,0,4,232,70,558,374,59,31,16,21,36,6,0,7,0,0,0,54,1233,0,0,0,6,25,32,58,28,5,3,6,9,0,5,0,185,0,0,0,8,20,17,59,30,0,0,5,3,0,0,0,133,3,12,31,88,82,13,14,3,3,0,4,0,0,0,3,258,0,5,33,85,177,84,170,94,34,26,15,7,6,3,0,748,0,0,0,0,0,4,25,15,12,13,18,26,4,0,7,122,0,42,6,9,9,8,14,5,11,0,3,0,0,0,0,114,0,11,27,74,132,179,215,136,17,23,19,21,3,9,9,880,0,10,64,42,37,18,10,5,0,0,0,0,0,0,10,195,0,0,0,6,6,17,28,28,4,10,9,11,0,0,0,123
SED24006,16,15,27,24,3,8,8,426,0,0,0,0,3,12,9,5,0,0,0,0,0,0,0,31,0,7,19,20,30,10,43,32,6,5,4,5,3,0,0,178,35,343,177,29,8,19,31,21,3,4,7,0,0,0,25,707,3,0,3,8,18,39,37,21,0,6,0,4,0,0,6,155,0,0,0,9,28,46,104,41,10,0,5,13,12,0,6,263,0,6,21,24,10,0,0,0,0,0,0,0,0,0,3,66,0,17,91,273,500,228,325,172,46,41,31,28,35,3,13,1802,0,0,0,0,0,6,9,11,0,3,5,14,0,0,0,47,7,31,9,3,12,10,15,7,0,0,7,0,0,0,4,111,9,14,52,84,98,140,179,98,13,18,16,10,12,11,15,763,0,11,15,9,3,12,8,0,0,0,0,0,0,0,0,62,0,0,0,7,17,14,25,43,10,4,7,12,3,0,0,139
SED24105,4,4,4,3,0,0,0,104,0,0,0,0,0,21,16,18,16,4,0,4,0,0,0,87,0,12,18,27,23,0,24,15,0,0,0,0,0,0,0,123,15,146,222,47,14,16,9,20,0,3,3,0,3,0,14,513,0,0,0,9,15,9,31,5,0,0,0,10,4,0,5,78,0,0,0,3,8,23,65,34,3,5,4,8,0,3,0,166,0,0,12,44,35,25,23,8,0,0,4,4,3,0,3,161,0,0,7,43,118,65,156,212,207,255,294,159,48,0,50,1608,0,0,0,0,0,10,18,21,8,9,13,12,4,0,0,101,4,49,13,9,6,4,6,0,0,0,0,0,0,0,0,101,0,6,26,48,121,191,250,176,35,21,25,29,11,3,32,967,0,0,14,33,22,20,13,0,0,0,0,0,0,0,0,99,0,0,3,5,26,22,94,84,14,35,46,39,19,0,5,388
