SED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SED28007,2818,621,564,594,635,244,67,412,22931,12,5,5,0,0,4,0,0,0,35,67,17633,4736,3392,738,671,681,711,271,79,577,29485
SED28107,13110,2936,3242,3952,4447,1500,415,837,59272,15,16,21,4,10,7,8,0,0,305,380,16716,19177,15027,3315,3652,4346,4894,1641,506,1411,70684
SED28203,5501,1245,1337,1547,1707,513,120,695,35482,17,5,19,0,0,0,3,0,0,53,100,19008,7012,6031,1351,1465,1649,1809,535,137,891,39890
SED28301,2878,628,736,724,720,348,120,252,17554,7,0,9,0,0,0,0,0,0,12,37,12898,3517,3339,727,821,848,802,388,140,386,23867
SED28408,697,216,171,220,249,117,27,65,3367,3,0,0,0,0,0,0,0,0,7,13,3451,1185,1029,274,228,304,304,159,34,199,7171
SED28507,6142,1790,1583,1603,1786,515,145,405,25747,11,4,6,0,4,0,3,0,0,42,73,10125,8025,7378,2070,1781,1793,2000,555,181,670,34569
SED28607,1193,296,319,352,412,137,35,298,10587,7,0,4,0,0,0,0,0,0,20,30,11604,2475,2423,516,507,550,586,204,74,497,19429
SED28704,3507,698,703,681,661,223,85,205,14657,12,6,5,0,7,0,3,0,0,31,58,8702,5373,4466,829,857,841,743,268,104,398,22578
SED28803,10258,3547,2947,2299,3153,948,206,756,51600,26,7,10,3,3,6,3,0,0,70,132,19480,13480,11284,3734,3136,2452,3305,1016,238,995,59116
SED29797,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,12,4,0,0,0,0,0,0,0,41
SED30001,4031,744,574,689,895,364,87,289,18587,10,6,9,0,0,0,0,0,0,20,44,10241,6472,4847,875,680,824,1008,428,130,461,25967
SED30002,1462,308,304,309,335,163,58,127,8026,0,0,3,0,0,0,0,0,0,15,29,7218,3248,2235,448,423,428,441,211,79,301,15024
SED30003,1149,210,241,162,252,104,19,70,5416,19,0,4,0,0,0,0,0,0,15,37,6482,3829,2668,461,438,354,421,196,68,306,15215
SED30004,859,184,177,153,231,108,34,77,4473,7,0,0,0,0,0,0,0,0,66,74,7877,2563,1798,358,342,281,410,169,65,353,14215
SED30005,1781,516,443,545,632,249,68,219,9015,21,9,5,0,0,0,0,0,0,70,102,9463,3371,2862,754,624,781,886,371,111,606,19836
SED30006,690,204,195,180,165,118,34,130,4381,11,5,0,0,0,0,0,0,0,31,43,9126,2403,1724,371,325,333,330,244,89,444,15377
SED30007,800,243,257,223,291,99,19,62,3492,7,0,0,0,0,0,3,0,0,10,19,6186,2555,2093,512,478,448,546,255,59,280,13411
SED30008,1048,273,278,262,315,154,46,83,5189,3,0,3,0,0,0,0,0,0,3,15,6263,2689,2237,461,484,485,549,291,111,248,13819
SED30009,502,118,170,225,391,186,56,77,2671,5,0,0,0,0,0,7,6,0,22,44,3212,683,745,156,218,264,471,222,68,236,6272
SED30010,2468,478,377,441,385,147,68,231,10916,11,4,5,0,0,0,4,0,0,24,54,8142,4625,3883,719,583,649,580,207,130,501,20020
SED30011,415,93,106,165,370,136,176,130,2736,6,0,0,0,0,4,5,0,3,6,26,3344,979,808,158,180,255,530,231,197,282,6960
SED30012,675,193,168,177,220,101,25,72,3593,10,0,0,3,0,0,0,0,0,42,63,6160,1822,1459,369,324,334,379,217,66,309,11433
SED30013,243,49,55,63,182,65,41,90,1605,5,0,0,0,0,0,3,0,0,6,16,5066,698,561,102,101,110,259,115,76,296,7377
SED30014,1728,350,390,507,793,317,55,214,7964,18,0,3,0,0,0,0,5,0,15,52,7242,2418,2492,500,568,677,1003,432,112,423,15867
SED30015,321,88,147,209,319,97,52,60,1899,3,3,0,0,0,0,0,0,11,15,33,2426,680,578,111,191,268,407,131,69,205,5067
SED30016,576,139,201,177,222,101,26,61,2746,4,0,0,0,0,3,0,0,0,31,51,6068,1905,1518,334,352,350,410,196,86,299,11513
SED30017,508,111,90,124,129,41,11,104,3192,8,3,0,0,0,0,0,0,0,70,80,6351,2048,1264,211,166,206,196,76,40,324,10885
SED30018,1075,225,212,225,253,114,33,95,6998,4,0,4,0,0,0,0,0,0,3,12,7197,2934,1928,361,369,328,353,162,46,223,13908
SED30019,1230,440,552,668,721,252,72,121,6919,10,0,3,0,0,5,3,0,0,110,133,6235,2444,2160,614,725,877,939,375,135,393,14894
SED30020,447,54,89,83,88,46,17,34,1718,6,0,0,0,0,0,0,0,0,4,11,2384,965,725,81,115,109,110,64,24,149,4724
SED30021,387,100,120,208,448,202,33,140,2997,4,0,0,0,0,0,5,0,0,15,27,4433,917,793,187,195,271,544,250,42,370,8003
SED30022,1647,338,317,377,351,141,57,124,7295,4,10,9,0,0,0,0,0,0,19,42,8964,5724,4220,701,729,770,712,299,151,484,22752
SED30023,733,224,258,267,372,193,34,50,4139,0,0,0,0,0,0,5,0,0,3,9,5802,2012,1744,384,408,437,568,325,93,156,11923
SED30024,341,122,102,120,148,52,26,39,2031,6,0,0,0,0,0,0,0,0,42,51,5360,1301,941,255,206,248,292,111,71,281,9071
SED30025,764,123,135,147,178,81,16,49,3555,5,0,0,0,0,0,0,0,0,3,6,5461,2032,1496,233,237,254,311,135,39,161,10351
SED30026,708,139,172,176,152,38,26,45,3341,3,0,3,0,0,0,0,0,0,4,15,4938,1754,1455,264,297,277,241,103,47,170,9547
SED30027,660,144,175,157,177,66,17,72,4228,3,0,0,0,0,0,0,0,0,8,14,7555,2405,1567,283,277,283,270,134,59,267,13092
SED30028,733,136,133,128,166,59,36,33,2614,3,0,0,0,0,0,0,0,0,12,17,3270,1394,1354,215,206,218,251,94,52,175,7218
SED30029,184,40,56,60,88,25,14,35,1384,10,0,3,0,0,0,0,0,0,183,193,5396,1136,558,116,122,121,154,48,21,422,8104
SED30030,1302,356,385,504,596,181,51,100,6815,3,0,0,0,6,0,0,0,0,11,24,5825,2067,2032,495,522,629,732,255,86,224,12869
SED30031,332,73,81,105,185,81,58,44,1610,10,0,0,0,0,0,0,0,0,5,17,2093,847,688,127,121,147,251,119,87,159,4626
SED30032,173,57,47,57,56,21,5,38,1135,7,0,0,0,0,0,0,0,0,11,18,4732,647,436,99,84,111,104,52,10,282,6568
SED30033,343,93,84,86,115,61,26,56,2135,18,0,0,0,0,3,0,0,0,30,52,7255,1059,733,156,142,155,224,144,65,410,10339
SED30034,415,124,108,179,350,137,97,182,3035,14,0,0,0,0,0,0,0,0,79,99,5176,824,710,196,158,245,432,185,102,521,8549
SED30035,246,53,39,28,70,20,7,41,1345,5,0,0,0,0,0,0,0,0,10,13,3386,845,560,117,76,70,137,43,24,205,5453
SED30036,3709,769,667,781,956,318,107,559,19912,12,6,10,0,0,0,0,4,0,531,571,11625,5583,4511,905,784,942,1082,365,151,1291,27243
SED30037,547,120,106,143,162,51,15,44,2481,0,0,0,0,0,0,0,0,0,71,80,3460,1220,944,182,136,216,240,89,34,245,6757
SED30038,308,58,58,64,79,28,3,32,1564,0,0,0,0,0,0,0,0,0,125,134,3804,997,670,106,121,99,110,46,25,290,6269
SED30039,2242,412,355,447,426,142,71,122,10103,5,9,4,0,0,0,3,0,0,23,40,8041,5054,3689,629,549,637,638,218,115,328,19893
SED30040,439,133,95,130,121,64,10,42,2244,0,0,0,0,0,0,0,0,0,20,22,5659,1832,1248,272,242,248,288,155,46,286,10284
SED30041,520,113,130,143,171,74,12,48,2427,9,4,0,0,0,0,0,0,0,12,29,3200,1271,903,183,190,197,264,120,23,174,6518
SED30042,565,124,94,113,118,48,18,64,2800,10,0,0,0,0,0,0,0,0,9,17,5430,2153,1419,242,205,205,216,93,40,268,10268
SED30043,410,137,167,242,438,163,84,81,2593,6,6,0,0,0,0,5,0,0,50,65,3734,887,700,182,213,284,516,190,114,287,7094
SED30044,1232,286,272,255,316,114,35,152,6316,6,4,0,0,0,0,0,0,0,17,27,7945,2752,1988,416,390,396,412,149,70,425,14953
SED30045,662,118,129,127,148,59,29,77,3625,12,0,0,0,0,0,0,0,0,15,31,6303,2574,1803,285,290,277,287,132,72,285,12317
SED30046,975,270,240,243,270,97,29,82,5315,6,6,0,0,0,0,0,0,0,31,34,8130,2809,1930,414,366,372,400,179,63,322,14977
SED30047,833,215,176,186,328,137,42,63,3624,0,0,0,0,0,0,0,0,0,11,18,3209,1776,1315,281,270,264,440,195,63,199,8008
SED30048,2274,758,957,1358,1758,859,238,165,12757,5,6,8,3,0,0,0,0,0,7,23,7213,3298,3350,994,1202,1675,2125,1101,350,311,21621
SED30049,3312,719,757,759,877,397,136,210,15798,6,6,3,0,4,4,3,6,0,22,48,8668,4825,3901,838,871,909,1011,442,151,359,21982
SED30050,663,242,316,331,309,118,33,72,3254,6,0,4,0,0,0,0,0,0,50,66,5980,1590,1469,425,484,488,514,222,95,313,11584
SED30051,187,49,57,51,45,22,6,32,1132,3,0,0,0,0,0,0,0,0,47,57,4463,563,434,107,97,101,94,45,8,257,6173
SED30052,2816,1086,1465,1955,2885,1257,269,248,16352,13,0,3,0,0,0,12,0,0,67,96,7652,3491,4203,1459,1851,2414,3566,1718,463,509,27327
SED30053,1053,337,397,413,459,186,50,140,6364,3,3,0,0,4,0,0,5,0,17,38,7913,2512,2149,578,630,678,741,321,134,380,16034
SED30054,1010,258,295,381,433,157,55,90,5514,6,3,0,0,0,0,0,0,0,25,32,5797,1995,1687,381,422,494,571,252,81,231,11909
SED30055,184,34,48,50,64,21,8,15,1029,6,0,0,0,0,0,0,0,0,41,48,2041,660,405,54,80,89,88,37,9,158,3618
SED30056,1122,242,245,240,252,122,39,69,6204,5,0,0,0,0,0,0,0,0,6,15,8331,3340,2272,444,391,368,436,191,71,205,16052
SED30057,631,183,155,296,390,122,31,93,3608,13,0,3,0,0,0,0,0,0,34,44,5582,1735,1295,262,210,411,511,172,60,367,10608
SED30058,1529,256,300,264,310,111,43,165,9164,3,0,3,0,0,0,0,0,0,14,20,9412,2798,2287,365,420,339,429,167,67,336,16620
SED30059,738,183,198,163,212,91,18,102,4820,8,4,0,0,0,0,0,0,0,32,44,8965,2973,1979,388,354,340,394,181,55,351,15969
SED30060,667,122,83,105,122,40,10,105,3763,10,0,0,0,0,4,0,0,0,9,14,5030,1520,1098,194,143,169,168,60,37,253,8672
SED30061,897,210,241,324,437,235,50,103,4626,10,4,0,0,0,0,0,0,0,72,81,3513,1812,1314,260,305,420,515,293,75,285,8802
SED30062,1989,419,418,367,428,122,44,110,7779,6,9,0,0,0,0,0,0,0,15,36,6571,4400,3461,636,645,564,603,210,80,383,17561
SED30063,288,100,108,131,222,115,59,53,1693,12,0,0,0,0,0,0,0,0,3,19,3623,535,447,129,148,163,261,134,71,276,5790
SED30064,324,72,95,45,64,36,7,43,1591,3,0,0,0,0,0,0,0,0,36,48,5228,1268,942,162,167,114,141,79,20,322,8434
SED30065,458,95,76,111,101,36,19,39,2208,5,0,0,0,0,0,0,0,0,10,14,6573,2105,1531,267,264,254,321,116,60,232,11717
SED30066,411,105,124,129,176,112,23,50,2337,15,0,3,0,0,0,0,0,0,29,54,7441,1636,1213,270,260,273,313,234,92,356,12088
SED30067,1562,360,488,563,690,196,38,93,7582,5,0,4,3,0,0,0,3,0,21,38,5807,2813,2420,475,615,692,814,255,64,238,14193
SED30068,432,95,85,104,76,49,9,74,2708,13,0,0,0,0,0,0,0,0,10,21,6755,2409,1419,238,216,244,228,111,42,330,11986
SED30069,733,251,177,166,205,63,11,47,3977,4,0,0,0,0,0,0,0,0,13,18,5902,2582,1566,344,283,261,285,115,30,224,11589
SED30070,336,77,56,100,145,29,19,51,1896,8,3,0,0,0,0,0,0,0,7,20,6717,1210,865,164,153,152,227,66,42,329,9919
SED30071,417,85,87,79,108,69,9,66,2589,23,5,3,0,0,0,0,0,0,27,57,7584,1901,1248,199,213,208,242,133,51,376,12149
SED30072,465,82,86,60,107,51,24,62,2541,9,0,0,0,0,0,0,0,0,20,26,7218,2111,1322,197,174,159,237,98,45,327,11879
SED30073,568,123,179,195,230,100,54,50,2462,5,0,0,0,0,0,0,0,0,10,21,2059,1024,834,183,223,238,309,151,74,155,5260
SED30074,1374,330,302,347,409,139,39,97,7058,11,3,0,0,0,0,0,0,0,32,50,6191,3404,2136,450,413,441,498,174,67,290,14085
SED30075,163,34,45,61,87,27,9,33,1318,14,0,0,0,0,0,0,0,0,69,87,5561,996,587,104,104,104,152,54,23,373,8052
SED30076,2724,1001,1203,1543,2303,948,239,262,15723,6,4,0,0,0,3,4,5,0,88,116,8075,3546,3943,1296,1551,1997,2883,1353,364,559,25571
SED30077,252,76,69,132,161,88,23,36,1638,4,0,0,0,0,0,0,0,0,6,7,2991,519,447,106,91,155,200,112,23,172,4808
SED30078,1876,549,662,738,999,368,45,238,10546,7,0,0,0,0,0,0,0,0,22,28,9373,3097,2929,755,867,949,1274,496,103,552,20393
SED30079,947,193,187,163,211,91,23,97,5944,4,4,6,0,0,0,0,0,0,11,27,8229,2898,1786,274,270,232,306,122,56,234,14417
SED30080,1316,372,480,482,562,191,50,74,6511,7,0,0,0,0,0,0,0,0,29,45,5422,2385,2023,492,623,631,703,257,109,257,12897
SED30081,4425,969,970,1100,1296,491,94,503,25656,9,9,8,0,0,0,0,0,0,40,70,13821,6679,5052,1066,1049,1225,1392,525,105,719,31641
SED30082,1442,533,689,898,1312,509,121,183,9869,8,5,0,0,0,0,0,0,0,191,205,9597,2524,2433,786,934,1166,1651,738,219,609,20655
SED30083,1032,203,180,194,196,59,15,80,5179,21,4,6,0,0,0,0,0,0,68,101,8218,4245,2889,462,371,398,396,154,70,362,17568
SED30084,513,106,101,106,142,39,10,44,2278,0,0,0,0,0,0,0,0,0,3,11,3132,1125,857,149,133,175,197,63,20,150,5993
SED30085,3630,934,1012,1280,1736,571,114,487,20961,5,3,4,0,4,4,4,0,0,37,60,10471,4879,4211,1049,1139,1431,1881,641,147,660,26519
SED30086,543,135,294,525,765,163,44,100,3684,7,0,0,0,0,3,0,0,0,11,23,3440,959,887,181,349,575,821,193,64,204,7665
SED30087,1514,398,597,727,1114,323,52,107,7113,5,3,3,0,0,0,0,0,0,15,31,3446,1854,1926,467,681,830,1196,370,80,218,11068
SED30088,574,132,132,239,305,126,25,50,3100,0,4,3,0,0,0,0,0,0,4,16,4364,1368,1094,215,225,337,461,214,71,198,8551
SED30089,424,67,99,119,192,109,65,54,2051,8,0,0,4,0,0,0,0,0,6,18,2519,930,923,125,170,182,294,159,93,199,5598
SED30090,347,103,62,91,165,60,27,44,1461,4,0,0,0,0,0,0,0,0,5,5,1614,610,550,135,103,128,203,73,35,136,3581
SED30091,2292,550,462,439,651,205,59,253,10724,16,3,7,4,0,0,0,3,0,45,76,9073,3623,3212,695,579,616,781,246,84,644,19551
SED30092,522,121,124,152,329,140,24,43,2462,6,3,0,0,0,0,0,3,0,12,24,4253,1465,1285,245,237,256,492,249,55,216,8750
SED30093,3814,862,612,805,979,294,108,302,15773,13,15,12,0,0,3,6,0,0,34,79,9427,4953,4954,1033,715,977,1135,340,145,669,24341
SED39797,0,6,8,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,8,4,12,3,0,4,48
SED40001,2018,864,1169,1345,1849,903,186,191,11790,10,0,4,0,0,0,0,0,0,45,61,5698,1612,2504,1000,1325,1529,2100,1087,284,356,17500
SED40002,1746,671,845,914,1149,351,36,147,9783,0,0,0,0,3,0,0,5,0,7,16,4644,2042,2065,757,917,999,1242,405,48,228,13339
SED40003,459,134,108,95,99,66,14,26,3049,3,0,0,0,0,0,0,0,0,3,7,5069,2013,1210,228,180,188,226,121,24,114,9371
SED40004,1509,399,422,515,515,213,59,117,7726,4,0,0,0,0,0,0,0,0,5,10,5559,2185,1865,463,501,603,613,293,77,225,12373
SED40005,237,78,95,90,238,106,56,138,2110,3,0,0,0,0,0,0,0,4,28,41,2562,377,333,105,113,114,264,121,62,285,4342
SED40006,1481,429,430,476,579,246,38,200,9295,3,5,0,0,0,0,0,0,0,19,33,5882,2001,1756,481,477,530,633,279,40,281,12370
SED40007,520,175,193,227,215,96,17,101,4362,6,0,0,0,0,0,0,0,0,3,9,5026,1045,1016,245,274,327,328,160,37,219,8678
SED40008,2386,700,722,909,1076,480,83,329,14694,11,4,0,0,0,0,3,0,0,41,65,7704,2637,2665,769,787,990,1176,524,92,467,17812
SED40009,592,169,140,148,215,146,15,41,3442,4,0,6,0,0,0,0,0,0,4,12,4763,1778,1064,251,204,235,288,190,28,139,8949
SED40010,1153,411,462,631,748,380,50,118,7282,4,0,0,0,0,0,0,0,0,5,11,5374,1381,1467,481,541,741,873,440,84,209,11598
SED40011,1228,385,458,451,633,221,24,118,6825,7,0,4,0,0,0,0,0,0,12,31,4479,1725,1475,438,518,538,696,261,43,219,10390
SED40012,1190,310,189,232,288,69,37,116,4467,4,0,3,0,0,0,0,0,0,9,17,4821,1453,1349,333,205,251,313,80,42,277,9129
SED40013,2928,644,683,936,1211,470,88,203,13481,8,0,0,4,0,0,8,0,0,112,130,5551,3558,3224,710,752,1006,1294,502,97,424,17125
SED40014,102,18,31,35,38,19,5,21,770,16,0,0,0,0,0,0,0,0,5,17,5109,443,294,49,63,53,68,30,13,233,6351
SED40015,152,32,36,42,59,31,8,25,754,4,0,0,0,0,0,0,0,0,16,22,1719,287,305,61,60,69,90,47,7,118,2762
SED40016,2052,474,446,611,687,286,60,185,9858,6,3,4,0,3,0,0,0,0,43,70,5942,2518,2294,511,488,655,735,326,78,348,13883
SED40017,174,34,37,41,52,71,9,22,842,6,0,0,0,0,0,0,0,0,4,14,3019,321,256,47,50,59,63,79,6,149,4059
SED40018,1057,350,317,356,446,166,29,95,5163,9,0,0,0,0,0,0,0,0,4,11,4444,1704,1509,426,397,458,591,224,56,212,10028
SED40019,422,88,135,176,131,65,22,67,2144,12,0,0,0,0,0,0,0,0,10,26,3833,741,615,129,170,224,175,81,39,218,6235
SED40020,375,88,123,73,143,50,10,38,1546,3,0,0,0,0,0,0,0,0,82,87,2528,618,552,112,132,87,165,68,12,230,4502
SED40021,1985,550,684,743,888,328,59,189,10941,7,0,0,0,0,0,0,0,0,8,19,6232,2318,2242,625,766,839,961,363,64,286,14701
SED40022,96,39,19,24,43,16,0,20,982,4,0,0,0,0,0,0,0,0,6,8,4098,707,367,83,71,70,90,33,11,174,5713
SED40023,275,42,62,43,49,31,6,15,1715,4,0,0,0,0,0,0,0,0,25,23,4511,991,509,71,94,71,80,45,16,164,6550
SED40024,361,56,83,61,97,44,0,53,1861,14,3,0,0,0,0,0,0,0,11,25,5504,1526,1158,142,166,119,200,80,23,231,9143
SED40025,290,74,52,64,71,31,14,25,1368,7,0,0,0,0,0,0,0,0,9,11,3351,876,647,137,93,111,110,74,33,138,5566
SED40026,530,100,51,100,95,29,18,49,2590,6,0,0,0,0,0,0,0,0,25,36,5877,939,736,117,95,128,121,49,22,165,8241
SED40027,562,165,161,201,233,105,23,103,4987,9,4,0,0,0,0,0,0,0,0,19,5150,1099,842,212,211,251,296,135,35,186,8426
SED40028,306,63,55,61,87,34,10,42,1514,11,0,0,0,0,0,0,0,0,9,19,4161,713,512,79,91,76,104,52,17,183,5987
SED40029,448,170,203,189,266,94,24,65,1931,4,0,0,0,0,0,3,0,0,7,20,1980,458,613,203,239,223,320,112,32,187,4360
SED40030,118,34,22,33,52,27,0,24,861,8,4,0,3,0,0,0,0,0,3,21,4861,1087,596,81,54,60,107,59,13,210,7129
SED40031,1213,271,311,346,420,138,18,92,7586,4,0,0,0,0,0,0,0,0,6,9,6262,1864,1516,341,357,432,463,160,29,166,11587
SED40032,823,292,296,394,418,186,36,82,4363,11,0,0,0,0,0,0,0,0,9,18,3932,1206,1194,339,361,497,537,251,71,217,8612
SED40033,371,72,95,103,106,35,19,33,1523,6,0,0,0,0,0,0,0,0,81,89,1947,514,502,98,117,127,127,43,21,211,3710
SED40034,121,30,21,19,33,6,5,10,517,8,0,0,0,0,0,0,0,0,10,15,2393,177,169,45,35,29,43,7,9,151,3061
SED40035,820,214,203,291,288,120,10,81,4386,14,0,0,0,0,0,0,0,0,20,36,5267,1457,1038,246,215,353,327,147,20,231,9302
SED40036,2477,570,472,605,728,310,64,189,12424,5,0,0,3,0,0,0,0,0,5,17,6398,3354,2691,615,509,638,760,341,75,278,15653
SED40037,441,91,114,112,149,84,25,93,2990,0,0,0,0,0,0,0,0,0,16,20,4595,974,785,153,165,148,196,101,29,210,7366
SED40038,2613,635,528,614,786,239,57,222,10456,14,3,0,0,0,0,0,4,0,27,55,5772,2243,2749,655,559,641,822,254,59,428,14184
SED40039,412,93,67,58,63,54,13,47,2229,11,0,0,0,0,0,0,0,0,16,26,4791,984,640,128,101,97,91,67,18,203,7111
SED40040,70,16,19,25,22,9,17,14,618,8,0,0,0,0,0,0,0,0,5,13,3528,443,256,42,48,51,51,31,22,143,4607
SED40041,190,52,76,67,101,52,28,24,1027,5,0,0,0,0,0,0,0,0,57,57,1857,261,288,66,92,98,130,70,37,178,3075
SED40042,851,180,157,160,210,75,32,104,4388,18,0,0,0,0,0,0,0,0,9,30,4465,1466,1037,201,184,177,237,87,52,258,8161
SED40043,2537,625,648,815,985,392,39,167,12355,10,0,5,0,0,0,0,0,0,19,40,5565,3617,2808,696,701,882,1079,447,56,273,16132
SED40044,877,271,320,424,513,215,17,83,5217,8,0,0,0,0,0,0,0,0,3,10,4830,1170,1190,356,394,540,612,287,50,180,9605
SED40045,439,79,123,117,162,63,19,34,2517,0,0,0,0,0,0,0,0,0,0,0,4657,1363,838,132,176,197,239,115,32,135,7879
SED40046,1416,401,544,572,768,317,32,125,8491,5,0,0,3,0,0,5,0,0,11,25,5155,1430,1680,474,625,644,855,378,35,195,11465
SED40047,800,200,189,174,192,65,14,49,3964,4,0,4,0,0,0,0,0,0,0,6,5495,1364,1007,219,215,210,212,76,23,138,8962
SED49797,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,4,0,0,0,0,0,17
SED50106,406,103,62,92,88,25,41,31,1852,17,0,0,0,0,0,0,0,0,90,108,4613,1102,710,156,103,131,159,53,63,303,7393
SED50202,2008,293,207,194,224,93,44,91,6942,12,8,7,0,0,0,0,0,0,20,45,7537,3415,2883,387,280,290,308,121,66,334,15617
SED50304,2404,640,590,639,901,378,36,275,12481,5,0,0,0,4,0,3,0,0,9,23,8490,2826,3299,770,682,764,1036,434,61,411,18771
SED50405,2070,332,236,272,251,137,51,84,6999,3,7,5,0,0,0,0,4,0,13,37,6581,5491,4666,552,435,468,422,214,93,306,19220
SED50502,1365,237,192,252,258,120,35,180,8013,10,0,0,0,0,0,0,0,0,7,16,8330,2662,1990,308,251,314,304,147,52,319,14678
SED50605,1402,287,273,259,366,262,42,121,8960,5,0,6,0,0,0,0,0,0,9,18,10402,2468,2193,383,383,375,490,359,87,257,17396
SED50702,2726,655,558,636,810,306,64,222,11343,3,5,5,0,0,0,0,0,0,40,59,7506,3656,3835,792,693,793,998,389,108,419,19185
SED50805,452,63,88,66,92,65,9,60,2554,3,0,0,0,0,0,0,0,0,3,10,6013,1410,1122,160,165,157,158,123,37,206,9555
SED50906,857,150,174,153,217,102,26,55,3292,4,0,0,0,3,0,0,0,0,80,88,4558,1807,1503,228,248,229,325,157,42,284,9390
SED51004,1057,150,155,160,198,101,15,57,4866,5,0,6,0,0,0,0,0,0,15,29,9037,5334,3750,425,371,382,423,223,65,231,20239
SED51104,1344,207,155,197,225,107,55,92,5416,24,5,0,0,0,0,0,0,0,29,60,8498,6499,4937,547,404,413,436,235,105,426,22500
SED51205,4419,1211,991,1357,1594,522,75,307,19438,9,0,5,0,0,0,0,0,0,26,46,8983,5730,5169,1348,1079,1455,1712,575,95,485,26628
SED51304,474,78,65,88,91,67,16,33,3081,6,4,0,0,0,0,0,0,0,10,22,7642,2135,1552,256,166,214,183,138,35,186,12503
SED51401,295,76,46,44,78,40,12,44,1240,18,0,0,0,0,0,0,0,0,316,326,3523,687,627,124,76,75,127,62,21,549,5871
SED51504,1365,371,413,522,716,301,47,102,7160,4,0,0,0,0,0,0,0,0,11,19,7216,2298,2261,496,527,661,897,453,81,273,15166
SED51605,1867,254,249,219,273,128,24,90,7944,5,0,0,0,0,0,0,0,0,11,16,7460,3421,3147,389,378,336,389,197,63,242,16021
SED51706,430,61,64,89,77,29,23,32,1651,4,0,0,0,0,0,0,0,0,9,18,4148,1234,926,99,87,127,111,69,34,211,7045
SED51804,600,108,157,184,314,128,26,96,3594,10,0,0,0,0,0,0,0,0,5,20,7020,1711,1538,251,331,362,568,332,127,288,12529
SED51902,792,86,57,55,92,71,17,54,3222,6,0,0,0,0,0,0,0,0,83,92,7133,2540,1581,140,103,127,140,92,36,336,12236
SED52006,510,49,58,82,83,28,24,27,1824,3,0,0,0,0,0,0,0,0,17,20,6314,2157,1730,163,152,164,194,74,53,255,11256
SED52102,1411,223,162,206,222,101,25,87,6010,4,0,3,6,0,0,0,0,0,8,24,6050,2978,2130,296,218,260,273,141,43,239,12625
SED52205,790,174,128,194,247,113,28,157,5290,12,0,0,0,0,0,5,0,0,30,57,8070,1895,1719,294,233,350,452,222,71,336,13648
SED52301,532,96,89,87,78,72,38,30,1999,16,0,0,0,0,0,0,0,0,16,30,2957,984,934,132,147,118,106,93,52,156,5679
SED52404,537,56,57,78,95,40,23,53,3017,8,0,0,0,0,0,0,0,0,8,23,8208,2387,2181,231,176,218,229,129,52,215,14027
SED52505,4495,688,607,537,613,289,75,175,16157,3,7,4,0,4,4,0,0,0,182,196,8816,7192,5972,834,757,692,719,362,111,481,25938
SED52604,726,145,148,175,275,134,23,88,4111,7,0,0,0,0,0,0,0,0,16,26,9829,3598,2472,344,312,309,450,227,71,300,17916
SED52702,228,30,23,24,22,13,9,30,1472,4,0,0,0,0,0,0,0,0,41,44,7765,1284,804,77,77,84,60,39,26,245,10458
SED52803,991,156,191,228,320,136,76,79,3767,12,11,4,0,0,0,0,0,0,28,56,3360,2307,1971,265,304,402,508,208,116,257,9712
SED52903,430,89,95,139,324,137,49,49,2141,11,0,0,0,0,0,3,6,0,16,39,3687,979,928,145,166,218,457,194,66,219,7065
SED53004,697,96,90,87,115,41,8,62,3357,3,0,0,0,0,0,0,0,0,10,11,7585,2357,1980,186,178,164,202,78,23,201,12958
SED53105,2093,267,267,218,306,119,33,112,7568,4,4,0,0,0,0,0,0,0,205,213,6407,4015,3452,428,357,325,427,170,58,500,16144
SED53204,2177,327,239,209,329,138,55,146,11044,7,5,6,0,0,0,0,0,0,10,26,9160,4439,3272,449,314,273,398,181,76,259,18819
SED53306,849,153,104,154,169,55,20,61,2996,14,0,3,0,0,0,0,0,0,25,44,6261,2443,2143,292,197,252,268,102,44,304,12303
SED53402,1447,355,313,371,433,168,25,123,7185,17,0,0,0,0,0,0,0,0,13,32,7671,2262,2282,470,404,481,545,217,36,279,14656
