SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED10075,115,2629,168,0,2924,153,2409,138,0,2699,354,4470,272,9,5101,541,4486,247,3,5277,795,4332,226,3,5360,868,4180,206,4,5255,602,3559,171,8,4346,330,2097,185,3,2616,89,577,178,0,843,3848,28737,1798,31,34420,135,2456,146,0,2737,204,2253,120,0,2585,648,4529,301,5,5483,1013,4456,257,5,5730,1257,4306,217,3,5781,1497,4017,197,12,5716,784,3852,176,4,4824,297,2519,222,3,3044,60,947,152,0,1158,5894,29331,1790,25,37042,258,5085,313,0,5656,356,4667,255,0,5280,1000,8995,568,5,10576,1554,8944,506,8,11012,2051,8640,445,7,11138,2360,8186,406,16,10972,1389,7418,354,11,9170,625,4612,407,6,5658,141,1525,335,4,2001,9744,58072,3588,59,71466
SED10076,96,1711,200,0,2008,90,1444,128,4,1668,259,3157,259,12,3684,408,3049,302,4,3765,641,3252,319,6,4215,835,4247,342,3,5427,762,4921,286,0,5977,435,2843,241,8,3533,105,806,104,0,1019,3648,25425,2181,37,31289,104,1542,175,5,1825,116,1335,118,6,1575,432,3156,290,5,3885,716,3036,303,6,4063,960,3281,273,0,4520,1395,4309,311,0,6012,1015,4930,319,3,6270,432,2857,305,5,3596,83,1249,178,0,1511,5263,25695,2276,33,33265,205,3252,371,3,3834,210,2783,250,6,3240,692,6308,554,16,7567,1122,6093,605,9,7832,1608,6526,593,8,8730,2230,8556,651,4,11439,1783,9857,609,3,12249,870,5705,550,9,7129,196,2054,282,0,2528,8907,51122,4458,66,64553
SED10077,113,2039,106,5,2259,221,5270,491,10,5983,459,10746,959,55,12214,636,6108,469,27,7237,694,4217,260,21,5187,713,4019,211,28,4968,363,2829,144,29,3371,196,1612,128,9,1946,65,734,105,5,915,3461,37564,2870,184,44076,108,2060,118,4,2292,259,4487,332,13,5091,538,9624,719,32,10916,807,5654,407,18,6886,1138,4480,284,23,5921,1034,4058,230,43,5361,574,3051,171,25,3819,244,1922,192,10,2372,63,1091,199,0,1349,4763,36425,2650,167,44006,220,4100,220,9,4551,480,9753,813,23,11076,1000,20370,1680,82,23134,1443,11758,879,46,14123,1825,8691,544,40,11108,1750,8071,443,66,10329,939,5881,317,55,7194,440,3534,322,21,4318,129,1826,309,4,2263,8221,73991,5520,356,88087
SED10078,78,1592,61,0,1735,133,2370,171,4,2684,343,7015,460,18,7829,528,5382,307,5,6217,728,4198,223,11,5158,658,3460,225,11,4361,291,2467,140,9,2916,173,1511,120,0,1812,78,638,60,0,771,3011,28643,1766,69,33479,85,1409,58,0,1558,154,2331,165,6,2658,499,7382,498,4,8382,736,5452,265,8,6468,1089,4253,202,16,5555,978,3327,144,25,4480,528,2701,145,19,3392,239,1794,133,0,2169,45,1140,105,0,1291,4356,29790,1714,77,35943,166,3006,117,5,3290,288,4707,331,12,5337,842,14399,949,24,16218,1261,10836,572,10,12681,1817,8447,418,29,10711,1633,6793,374,36,8835,820,5169,287,23,6305,413,3305,256,0,3981,126,1774,169,0,2065,7365,58434,3478,144,69414
SED10079,102,1957,123,0,2182,98,1777,94,4,1972,245,3178,191,0,3613,402,3190,183,5,3775,618,3657,197,11,4473,831,3878,162,5,4879,607,3843,185,0,4628,330,2471,213,0,3011,100,670,99,3,873,3330,24605,1445,28,29409,104,1758,95,0,1956,139,1548,92,0,1775,454,3063,177,3,3701,738,3211,174,0,4120,1094,3526,171,0,4792,1281,3857,171,6,5314,888,4081,242,4,5211,399,2654,267,0,3316,72,990,176,0,1247,5177,24687,1555,17,31433,208,3713,213,3,4135,238,3317,185,4,3747,702,6242,367,4,7318,1136,6395,354,3,7894,1707,7187,366,12,9265,2113,7735,330,3,10195,1498,7916,426,9,9841,727,5122,473,0,6328,168,1662,276,3,2112,8512,49293,2998,43,60841
SED10080,37,874,119,17,1049,84,3396,917,45,4439,405,13195,2123,220,15937,512,8747,1290,133,10684,530,5286,836,94,6743,558,4053,559,85,5249,336,2816,327,50,3531,117,1416,226,11,1770,53,401,106,0,558,2622,40177,6497,661,49965,35,871,130,9,1042,89,3378,497,42,4010,471,12333,1410,158,14370,545,6949,753,105,8361,611,3869,400,69,4950,688,3053,288,80,4119,442,2505,218,40,3202,155,1402,199,9,1758,19,555,207,3,784,3066,34907,4098,516,42586,69,1749,250,29,2093,174,6770,1415,87,8445,875,25529,3530,379,30311,1063,15694,2045,238,19045,1145,9151,1236,158,11685,1246,7106,844,162,9370,780,5321,541,94,6740,275,2814,421,21,3533,70,951,314,4,1340,5693,75083,10600,1181,92551
SED10081,123,2293,261,0,2683,104,1841,213,3,2166,343,4164,490,29,5019,463,3642,397,17,4519,608,3664,414,7,4691,689,3726,380,6,4801,480,3521,340,5,4345,292,1955,271,0,2521,69,570,141,4,791,3171,25382,2908,69,31533,151,2009,231,5,2392,159,1825,183,4,2172,557,4320,419,5,5299,808,3664,396,8,4873,1036,3464,343,0,4843,1213,3604,331,6,5153,743,3307,302,6,4363,329,2325,357,0,3014,61,1004,221,0,1280,5051,25522,2786,26,33385,270,4304,496,5,5064,268,3660,395,8,4335,897,8485,907,33,10320,1267,7310,790,21,9393,1648,7133,756,7,9543,1900,7331,709,7,9957,1226,6828,646,6,8705,617,4283,629,0,5532,132,1571,366,4,2072,8223,50905,5691,95,64916
SED10082,87,2312,92,0,2494,97,1724,79,3,1902,185,2881,165,3,3233,396,3635,183,9,4227,616,4141,184,7,4956,760,3878,170,4,4818,520,3809,186,4,4515,320,2395,202,4,2920,81,677,204,0,966,3063,25465,1470,42,30031,108,2153,70,3,2334,129,1626,63,0,1822,310,2942,142,4,3405,704,3845,216,9,4769,1074,4145,156,10,5382,1303,4012,174,4,5492,871,4127,225,6,5235,374,2622,317,6,3312,90,1077,412,3,1577,4960,26541,1781,47,33322,191,4471,163,3,4828,227,3346,145,4,3718,495,5825,303,12,6636,1101,7479,397,13,8995,1691,8291,343,16,10342,2057,7887,348,15,10309,1384,7938,410,14,9748,696,5014,520,8,6232,172,1754,619,3,2541,8021,52010,3241,85,63356
SED10083,113,2053,147,0,2309,121,1876,123,0,2122,288,3680,230,0,4196,461,3842,247,6,4563,585,3685,222,0,4495,613,3693,186,5,4502,457,3351,197,4,4016,252,1831,162,4,2249,68,642,126,0,841,2964,24658,1646,31,29298,106,1889,116,3,2116,122,1739,100,0,1956,455,3824,254,5,4542,829,3735,268,0,4840,1033,3687,209,4,4941,1077,3847,184,9,5111,731,3633,202,4,4570,281,2263,268,6,2814,57,1169,318,0,1547,4693,25788,1928,28,32439,220,3945,260,0,4425,244,3615,220,0,4079,742,7500,483,8,8736,1297,7584,521,5,9399,1623,7371,438,3,9432,1686,7542,376,17,9620,1192,6988,402,10,8590,540,4094,431,6,5066,126,1814,444,0,2388,7660,50443,3576,53,61734
SED10084,64,1854,159,0,2084,108,1507,131,0,1748,219,3093,343,11,3665,422,3624,364,0,4415,613,3822,335,10,4775,835,4152,308,9,5295,657,4533,301,12,5506,411,2863,272,7,3550,132,1002,161,0,1300,3466,26456,2375,40,32331,105,1861,128,0,2093,108,1433,129,4,1679,422,3308,322,10,4060,788,3827,354,6,4972,1088,3808,322,0,5217,1510,4338,311,4,6157,1041,4750,293,16,6102,483,3185,334,6,4013,102,1601,285,0,1987,5648,28109,2470,55,36280,174,3714,292,0,4176,223,2942,264,0,3425,640,6407,665,18,7730,1211,7458,717,12,9390,1697,7628,656,6,9986,2340,8488,613,9,11451,1699,9289,597,29,11608,897,6049,600,13,7558,239,2601,448,0,3286,9110,54562,4847,97,68614
SED10085,113,2312,307,0,2736,114,1852,239,0,2209,330,3980,506,16,4841,464,3804,463,13,4741,601,4147,435,4,5195,825,4328,407,0,5563,508,3625,337,4,4474,213,1825,226,4,2266,46,477,71,0,592,3222,26351,2987,40,32605,133,1943,242,0,2325,137,1611,122,3,1870,536,3777,332,4,4657,757,3620,323,5,4704,1024,3866,361,0,5254,1168,3869,321,10,5369,655,3264,305,6,4223,223,1909,210,0,2345,43,841,129,0,1021,4680,24700,2350,34,31762,252,4257,549,0,5057,253,3461,361,6,4074,872,7758,840,20,9494,1222,7427,785,16,9443,1625,8015,792,9,10448,1992,8204,729,10,10933,1161,6884,641,6,8690,431,3736,431,3,4612,92,1318,205,0,1613,7899,51059,5332,72,64362
SED10086,71,1745,130,7,1951,106,1557,106,13,1780,283,6205,482,38,7006,409,4930,359,36,5738,590,4053,237,31,4903,678,3004,171,17,3878,346,2692,129,19,3179,195,1604,124,9,1929,67,557,112,3,739,2741,26343,1845,173,31106,83,1622,81,3,1795,140,1872,114,14,2143,370,7515,504,39,8432,628,5153,330,21,6133,929,4079,235,20,5264,1000,2932,183,25,4140,569,2861,170,9,3611,271,1969,236,8,2486,63,849,278,6,1191,4050,28857,2138,146,35184,159,3370,211,6,3744,248,3431,217,27,3920,653,13714,986,77,15436,1039,10090,690,56,11871,1516,8132,471,53,10171,1682,5936,355,45,8014,913,5550,300,24,6791,464,3574,361,15,4414,126,1405,390,9,1929,6794,55199,3978,319,66291
SED10087,134,2608,268,0,3010,135,2670,279,12,3095,344,4810,374,39,5564,490,3968,359,30,4852,612,3682,339,3,4634,690,3675,288,0,4656,463,3089,217,0,3769,244,1686,195,0,2125,69,577,79,0,731,3183,26774,2393,99,32440,163,2457,232,0,2848,211,2739,203,0,3155,606,4783,351,5,5743,879,3931,310,3,5119,1051,3500,281,3,4837,1174,3500,284,5,4966,695,3053,252,6,3997,267,1971,214,5,2456,58,1012,187,0,1249,5104,26937,2304,29,34380,295,5069,496,0,5863,349,5411,481,17,6253,950,9593,722,43,11308,1370,7903,666,33,9968,1661,7183,617,5,9469,1861,7176,571,9,9621,1155,6135,470,5,7767,509,3657,408,5,4579,128,1586,269,3,1985,8283,53706,4703,125,66819
SED10088,94,2634,83,5,2813,114,2328,85,3,2531,202,4152,197,14,4563,425,4972,220,6,5626,710,5210,180,8,6107,699,3919,169,9,4789,352,2678,124,8,3160,205,1762,114,3,2090,76,649,102,4,834,2875,28305,1268,58,32512,98,2282,59,0,2441,132,2081,74,5,2286,302,4225,228,20,4775,631,5189,211,12,6040,1210,5119,200,12,6542,1118,3634,152,9,4915,536,2915,158,6,3617,302,2265,178,7,2750,82,1076,225,0,1386,4401,28782,1485,73,34751,192,4910,140,7,5258,243,4408,164,8,4816,501,8375,428,31,9334,1053,10163,433,16,11665,1911,10326,382,23,12648,1818,7553,315,24,9708,890,5594,278,15,6778,507,4025,297,10,4836,157,1733,325,4,2217,7282,57094,2755,136,67262
SED10089,90,2550,222,0,2859,127,3350,312,11,3798,373,5790,412,19,6592,579,4597,304,5,5483,685,3992,218,3,4897,713,3443,248,10,4423,517,2865,245,4,3638,244,1771,267,3,2286,80,625,167,0,875,3407,28997,2397,52,34856,120,2435,225,0,2782,195,3138,264,3,3597,604,5489,354,9,6456,874,4460,280,4,5620,1143,3811,209,5,5168,1200,3290,209,6,4717,749,3144,259,19,4167,303,2139,339,0,2778,62,1221,406,0,1684,5246,29124,2551,44,36968,209,4982,449,0,5642,320,6486,577,11,7395,975,11275,768,24,13045,1455,9059,581,12,11101,1830,7805,429,4,10071,1924,6738,458,25,9137,1265,6009,506,23,7807,551,3909,606,6,5063,137,1853,568,0,2559,8661,58119,4944,98,71824
SED10090,84,2213,57,5,2361,110,1973,104,8,2191,219,4833,245,19,5326,509,5974,275,23,6785,667,4972,179,37,5852,623,3689,121,36,4466,413,2912,97,27,3453,177,1629,72,15,1898,74,640,43,3,760,2882,28838,1193,177,33095,82,2034,77,10,2201,109,1989,71,5,2171,301,5491,245,30,6067,724,6564,261,27,7581,1062,5254,192,24,6528,1042,3724,132,36,4929,647,3362,130,36,4181,293,1884,98,9,2282,64,1150,124,3,1338,4313,31455,1329,187,37277,167,4252,136,13,4565,220,3956,171,13,4363,519,10331,491,49,11392,1236,12536,533,60,14368,1724,10225,367,68,12381,1666,7405,249,68,9401,1063,6279,225,63,7633,465,3522,172,22,4183,138,1788,168,7,2096,7189,60293,2524,362,70371
SED10091,88,2483,159,0,2723,118,1998,123,4,2250,269,4063,218,17,4561,500,4023,255,6,4783,669,4407,244,7,5320,669,3949,181,0,4801,542,3580,199,6,4328,294,2186,174,4,2652,76,626,136,0,837,3218,27310,1680,44,32255,139,2243,127,0,2513,149,1849,97,5,2102,452,4044,216,10,4728,855,3949,217,9,5022,1150,4212,239,4,5605,1170,3865,176,9,5227,752,3902,188,10,4848,353,2388,243,4,2986,50,860,257,0,1161,5072,27313,1760,39,34185,225,4722,288,0,5237,265,3849,218,5,4347,723,8111,434,24,9286,1356,7973,472,11,9805,1817,8620,487,6,10921,1839,7820,356,17,10031,1292,7480,382,14,9174,646,4569,412,4,5631,127,1478,389,0,1999,8287,54623,3442,88,66437
SED10092,126,2019,155,0,2296,169,3231,208,5,3613,432,6032,460,9,6937,576,4161,339,0,5083,832,3814,316,10,4969,937,4019,261,8,5225,547,3279,235,10,4074,276,2005,236,0,2513,94,716,152,0,965,3978,29286,2369,38,35673,140,1907,147,4,2198,236,3270,216,6,3726,594,5590,428,5,6619,826,3793,317,13,4947,1134,3616,255,3,5013,1306,3717,253,9,5281,720,3323,264,12,4321,313,2472,262,0,3043,62,1161,309,0,1537,5335,28846,2463,56,36694,267,3923,301,4,4496,401,6498,424,18,7338,1020,11621,895,15,13553,1399,7957,662,9,10032,1968,7427,577,15,9984,2235,7734,514,18,10502,1271,6602,504,13,8394,585,4474,502,0,5560,155,1880,467,0,2501,9310,58131,4832,97,72367
SED10093,134,2421,172,3,2724,151,2136,133,0,2428,343,4171,321,0,4832,509,3912,334,0,4759,659,4050,302,5,5015,647,3781,224,4,4651,443,3294,246,7,3987,283,1924,275,3,2485,62,583,192,0,842,3229,26272,2195,26,31719,149,2245,185,0,2581,196,2137,149,0,2483,589,4304,352,4,5248,966,3840,269,0,5083,1163,3931,276,7,5378,1101,3731,236,15,5080,666,3470,281,8,4428,282,2294,373,0,2951,42,987,392,0,1420,5151,26946,2524,38,34658,283,4664,355,4,5308,356,4275,280,0,4908,927,8477,671,6,10080,1471,7759,607,4,9844,1824,7985,580,13,10396,1744,7513,459,18,9731,1105,6762,527,17,8410,561,4220,649,0,5439,106,1569,585,0,2265,8382,53214,4716,65,66378
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,16,0,10,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,15,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,28,0,3,38
SED20106,58,1094,64,7,1223,121,2385,185,13,2701,372,8990,729,57,10149,497,6181,511,31,7222,649,4210,384,28,5271,736,3244,344,31,4354,353,2322,200,17,2891,147,1252,121,6,1527,40,316,54,0,406,2954,30001,2592,195,35744,56,1134,64,9,1256,131,2560,215,14,2923,464,9157,713,38,10369,661,5884,476,25,7039,992,4018,302,31,5342,1037,2966,239,31,4279,546,2326,161,15,3050,208,1263,138,6,1611,46,430,77,0,554,4142,29734,2380,174,36432,112,2226,129,12,2476,253,4944,403,26,5628,833,18150,1442,96,20519,1153,12063,989,56,14266,1638,8229,685,59,10612,1771,6213,581,66,8635,897,4648,360,36,5938,355,2519,253,16,3141,84,748,125,0,959,7099,59736,4979,370,72172
SED20207,98,2750,177,0,3024,144,2519,238,5,2913,443,6334,559,10,7345,938,9048,604,23,10614,919,5791,339,7,7064,685,3757,231,25,4684,385,2632,113,44,3168,171,1123,71,16,1388,49,324,18,0,398,3840,34271,2358,136,40604,130,2545,142,0,2817,196,2370,161,3,2736,700,6838,495,11,8051,1376,8835,512,3,10722,1366,5397,284,16,7068,1027,3650,191,50,4921,580,2809,151,78,3609,162,1421,85,5,1678,31,618,53,0,700,5567,34487,2078,170,42300,228,5294,316,6,5841,341,4890,402,7,5642,1145,13169,1056,27,15398,2314,17878,1117,24,21335,2286,11186,629,23,14130,1708,7404,416,74,9608,960,5440,265,117,6784,329,2552,155,21,3061,83,939,72,0,1095,9407,68757,4433,297,82899
SED20302,131,2705,238,7,3078,165,2551,185,3,2901,516,7322,552,14,8403,853,7297,500,4,8655,776,5076,387,10,6252,839,4426,273,8,5551,715,4037,324,8,5079,322,2183,248,15,2770,64,573,131,0,769,4387,36158,2833,73,43460,172,2556,208,0,2934,239,2562,149,4,2954,922,7705,573,13,9221,1302,6945,475,8,8736,1289,4766,330,6,6395,1501,4418,318,33,6275,973,4335,343,26,5675,342,2377,282,9,3006,46,931,202,3,1180,6791,36587,2871,114,46370,299,5265,441,10,6016,399,5109,332,9,5856,1437,15035,1118,29,17618,2159,14239,979,11,17393,2073,9838,717,16,12641,2338,8845,591,50,11821,1690,8371,663,38,10759,674,4551,528,26,5776,112,1504,335,3,1947,11179,72748,5711,186,89829
SED20401,71,1629,62,0,1765,115,1616,87,0,1817,292,3866,228,0,4388,523,4066,209,0,4803,623,3373,164,6,4167,585,2870,114,9,3584,355,2211,109,6,2679,217,1313,109,5,1639,76,456,100,0,631,2853,21408,1190,33,25481,84,1414,71,0,1574,124,1535,72,4,1734,480,3996,213,12,4702,755,3965,206,4,4928,995,3202,136,0,4336,948,2730,119,20,3812,569,2556,130,8,3269,230,1547,173,5,1949,34,777,237,0,1044,4226,21721,1352,52,27349,157,3041,142,0,3341,242,3149,158,4,3552,772,7868,438,13,9087,1284,8035,417,3,9733,1616,6577,300,8,8503,1533,5599,234,29,7394,921,4766,241,17,5947,441,2861,278,12,3591,113,1230,334,0,1682,7078,43126,2535,85,52827
SED20508,73,1662,110,0,1848,88,1383,53,0,1521,230,2737,133,0,3098,353,3260,160,10,3782,602,3277,190,4,4068,786,3479,194,0,4464,707,4134,244,0,5090,328,2183,218,4,2730,74,627,126,0,833,3234,22753,1425,21,27430,77,1561,100,0,1738,115,1216,63,0,1394,353,2846,137,4,3343,646,3444,174,8,4278,1112,3397,154,4,4669,1458,3793,206,0,5460,1031,4264,251,0,5541,415,2367,294,5,3075,42,916,267,0,1222,5256,23789,1647,27,30721,155,3222,210,6,3582,201,2591,118,0,2913,589,5585,269,6,6438,1000,6706,343,18,8061,1715,6667,346,8,8733,2241,7273,406,4,9922,1740,8402,491,4,10629,743,4553,510,0,5806,123,1543,392,0,2059,8493,46545,3073,48,58155
SED20604,123,1995,184,0,2299,119,1688,151,5,1963,287,3574,316,22,4198,467,3231,301,10,4007,608,3416,290,0,4313,690,3590,258,0,4538,545,3279,239,0,4068,258,1611,154,0,2022,49,463,65,0,580,3134,22845,1965,44,27990,131,1782,148,0,2067,140,1525,128,0,1800,505,3421,266,23,4209,863,3355,266,5,4483,1119,3223,237,4,4584,1161,3488,219,7,4879,800,3156,208,5,4172,299,1696,182,0,2180,42,773,124,0,943,5061,22430,1789,43,29315,254,3779,337,0,4365,261,3212,281,5,3765,786,6998,589,45,8409,1324,6588,569,12,8493,1730,6638,526,4,8893,1852,7074,477,10,9414,1343,6434,449,10,8234,553,3304,340,0,4197,92,1240,192,0,1525,8200,45272,3751,85,57310
SED20704,89,2007,156,0,2253,134,1990,110,5,2241,330,3821,259,5,4417,469,3425,235,5,4125,580,3257,239,4,4075,763,3082,225,0,4071,504,2852,178,9,3543,234,1447,143,3,1824,77,496,66,0,639,3176,22378,1601,31,27187,125,1928,133,0,2183,180,1999,100,4,2272,579,3985,243,8,4814,882,3484,244,3,4612,1075,3227,203,3,4522,1264,3165,204,4,4637,770,2878,170,8,3824,303,1629,178,0,2111,51,832,129,5,1012,5217,23126,1617,26,29990,209,3938,286,0,4432,312,3983,209,11,4511,911,7805,506,14,9228,1347,6904,481,6,8734,1658,6483,444,9,8596,2027,6249,430,4,8714,1274,5727,350,13,7369,534,3077,324,0,3939,123,1326,203,5,1655,8399,45505,3222,60,57183
SED20804,89,1476,121,0,1682,104,1428,162,0,1693,267,3121,506,9,3899,436,2901,408,0,3750,601,2936,348,5,3893,661,3048,280,5,3995,516,2998,264,0,3780,261,1664,230,0,2150,63,524,158,0,746,2997,20097,2470,25,25587,111,1440,123,0,1671,139,1394,91,0,1625,490,3185,281,5,3962,722,2947,265,0,3934,981,2870,245,0,4096,1168,3074,253,3,4501,761,3117,250,4,4139,301,1902,262,0,2472,58,812,301,0,1170,4735,20746,2067,20,27566,198,2916,249,0,3360,236,2819,255,0,3318,759,6305,784,12,7854,1155,5849,668,3,7681,1581,5811,590,3,7991,1832,6125,527,10,8491,1282,6115,513,9,7916,560,3565,491,0,4623,119,1337,460,3,1912,7731,40836,4536,42,53148
SED20906,66,2123,67,0,2261,126,1736,62,6,1927,258,3217,182,7,3674,458,4001,176,4,4641,791,4006,146,9,4956,706,2859,120,9,3698,355,1991,70,17,2437,154,1146,89,5,1395,72,537,41,0,652,2993,21624,951,70,25640,98,1878,64,3,2031,133,1534,63,0,1728,293,3267,149,4,3709,663,4494,186,10,5346,1301,3933,166,5,5402,1107,2692,115,20,3929,525,2193,122,23,2863,243,1502,127,6,1885,64,1003,101,0,1169,4421,22480,1095,67,28064,162,3995,129,3,4292,257,3265,128,5,3656,549,6487,335,11,7381,1115,8494,360,18,9983,2092,7930,315,17,10361,1812,5549,233,33,7621,880,4186,193,38,5300,397,2647,218,7,3278,136,1545,136,0,1816,7412,44103,2046,138,53703
SED21001,102,2115,78,6,2303,143,2682,174,14,3005,273,4745,374,16,5414,418,4003,210,14,4647,748,3724,186,37,4693,771,3038,137,30,3970,441,2400,142,25,3006,251,1438,112,3,1802,112,695,104,3,913,3263,24842,1512,134,29756,113,2002,81,6,2208,176,2433,169,8,2789,352,4696,329,20,5396,667,4214,207,23,5116,1187,3893,184,25,5282,1112,3091,117,31,4354,659,2654,137,23,3471,328,1914,188,3,2432,88,1346,240,0,1668,4673,26252,1652,134,32712,217,4116,158,12,4505,317,5119,340,21,5798,629,9438,701,32,10811,1085,8221,419,43,9764,1936,7619,370,58,9978,1878,6128,259,61,8320,1101,5057,282,41,6476,575,3359,301,8,4233,195,2039,343,3,2586,7937,51095,3169,274,62472
