SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED60411,4935,3128,4455,3938,3686,3818,3773,2616,1298,31644
SED60414,5338,3084,4001,3701,3412,3467,2693,1253,300,27246
SED60501,4546,2767,2731,2696,2774,2910,2367,1038,265,22099
SED60505,1769,1102,1144,1174,1444,1479,1188,762,252,10306
SED60506,4866,2791,3128,3115,3821,4911,4645,2363,669,30310
SED60508,792,495,585,580,775,965,716,326,93,5322
SED60512,5622,3317,4216,3869,4350,5472,4685,2174,620,34317
SED60514,1786,979,1279,1306,1226,1340,1160,586,174,9838
SED69797,5,21,62,80,90,75,33,3,0,366
SED70001,2146,1570,1945,1498,1348,1194,635,119,9,10465
SED70002,2198,1174,2129,1763,1414,1252,715,221,48,10908
SED70003,2326,1788,2279,1763,1388,1226,826,135,13,11741
SED70004,2098,1470,1826,1400,1425,1579,1349,305,26,11481
SED70005,2168,1118,1570,1273,1072,707,437,153,37,8529
SED70006,1786,905,1854,1389,1097,1217,762,220,41,9273
SED70007,2231,1125,1536,1403,1115,729,405,153,63,8760
SED70008,2067,1192,1834,1603,1254,1111,1057,456,157,10725
SED70009,2266,1364,1649,1493,1614,1978,1829,419,37,12656
SED70010,2014,1108,1390,1271,1168,990,589,172,46,8744
SED70011,1368,807,1665,1258,1087,1046,843,374,113,8562
SED70012,1327,1017,1957,1433,1263,1227,807,220,31,9280
SED70013,1885,1020,1132,1327,1601,1746,1428,376,45,10566
SED70014,2014,1598,1919,1381,1223,1160,672,134,23,10128
SED70015,1742,961,1467,1408,1112,930,740,349,54,8758
SED70016,2009,1207,1222,1244,1157,1122,682,225,43,8910
SED70017,2038,1111,1729,1381,1357,1573,1162,323,51,10725
SED70018,2410,1646,1663,1584,1238,880,373,94,13,9895
SED70019,2377,1401,1901,1761,1610,1717,1379,380,100,12622
SED70020,2172,1845,2399,2129,2079,1765,1239,382,71,14083
SED70021,1502,805,2020,1443,1040,920,762,279,57,8825
SED70022,1346,1557,4091,2425,2011,2160,1524,425,46,15589
SED70023,1816,933,1074,1252,1218,998,817,343,53,8507
SED70024,3038,1424,2315,2048,1178,770,432,132,21,11358
SED70025,2260,1091,1581,1581,1229,989,658,280,52,9728
SED79797,0,37,58,105,120,106,42,10,0,482
SED80001,15899,9748,11309,11244,10784,10753,7721,3394,1177,82031
SED80002,17149,12738,16847,14284,11210,8671,7706,4462,1519,94574
SED80003,10815,16988,18846,12399,10473,8746,6186,3313,1669,89438
SED80004,16522,9620,12945,13245,11300,8998,7880,5578,2301,88389
SED80005,22224,11898,17679,17989,12287,7579,5381,2297,533,97872
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,819,488,741,697,767,893,669,295,60,5425
SED99797,0,0,0,0,0,0,0,0,0,0
