SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SED10084,39295,42679,81980,2028,1932,3960,4935,4469,9404,2084,2093,4176,1748,1679,3425,3665,4060,7730,4415,4972,9390,4775,5217,9986,5295,6157,11451,5506,6102,11608,3550,4013,7558,1300,1987,3286,49,53,105,38379,41624,80002,917,1056,1972,1585,1646,3229,125,101,232,163,161,328,1877,1914,3792,30680,33076,63764,6045,6978,13023,34876,37766,72637,1845,2313,4157,34814,37819,72632,593,613,1205,4537,4126,8668,1463,1581,3046,464,623,1088,840,1809,2651,14235,16610,30842,2660,2669,5331,9008,10065,19080,2457,2583,5035,1377,1502,2882,94,94,198
SED10085,40536,39174,79706,2293,2147,4437,5639,5268,10905,2736,2325,5057,2209,1870,4074,4841,4657,9494,4741,4704,9443,5195,5254,10448,5563,5369,10933,4474,4223,8690,2266,2345,4612,592,1021,1613,44,30,74,38687,38489,77172,1847,682,2533,3385,3374,6762,68,42,108,74,78,154,3526,3499,7021,34280,33284,67558,3145,3178,6325,36143,35438,71584,1266,1295,2557,36197,35475,71663,651,675,1319,5191,4865,10060,1682,1636,3318,410,503,919,637,1472,2103,10354,12577,22925,2785,2439,5231,11522,10179,21699,3080,2792,5873,1744,1324,3077,130,76,207
SED10086,37190,41184,78373,1980,1975,3954,4104,4025,8128,1951,1795,3744,1780,2143,3920,7006,8432,15436,5738,6133,11871,4903,5264,10171,3878,4140,8014,3179,3611,6791,1929,2486,4414,739,1191,1929,182,157,341,36434,40505,76942,753,685,1437,137,111,253,11,13,26,8,5,11,154,127,284,20833,22539,43373,14464,16609,31070,28326,30608,58933,6819,8326,15142,29888,32740,62633,664,664,1330,3867,3818,7682,1704,1645,3348,938,1135,2074,1529,2419,3947,25077,28426,53504,1128,1173,2304,1968,2251,4224,638,636,1278,291,373,665,84,79,161
SED10087,40892,42553,83443,2712,2719,5428,5740,5459,11195,3010,2848,5863,3095,3155,6253,5564,5743,11308,4852,5119,9968,4634,4837,9469,4656,4966,9621,3769,3997,7767,2125,2456,4579,731,1249,1985,102,40,141,38498,40679,79181,2391,1875,4267,2573,2720,5298,48,49,92,39,44,82,2656,2814,5472,33640,35546,69188,4565,4484,9049,34742,36703,71444,3522,3421,6940,35953,37821,73769,808,808,1617,5314,5055,10373,1917,2026,3942,820,1368,2186,1183,2042,3223,13903,16785,30678,2646,2522,5166,9101,8783,17891,2474,2362,4835,1636,1275,2904,204,258,465
SED10088,40565,42306,82879,2454,2301,4752,5604,5261,10861,2813,2441,5258,2531,2286,4816,4563,4775,9334,5626,6040,11665,6107,6542,12648,4789,4915,9708,3160,3617,6778,2090,2750,4836,834,1386,2217,67,79,140,40197,41735,81936,369,574,942,316,264,582,11,8,17,6,7,13,334,278,611,26715,27062,53782,12736,14013,26753,30793,31336,62131,8400,9443,17845,34883,36219,71106,865,857,1720,5430,5087,10514,2398,2170,4566,1242,1210,2451,1273,1881,3152,21642,23346,44989,1974,1657,3628,5253,5622,10870,1299,1379,2680,791,858,1654,245,293,533
SED10089,42749,44404,87152,2584,2442,5024,5308,4999,10311,2859,2782,5642,3798,3597,7395,6592,6456,13045,5483,5620,11101,4897,5168,10071,4423,4717,9137,3638,4167,7807,2286,2778,5063,875,1684,2559,56,53,106,40844,42071,82915,1902,2334,4238,2210,2320,4529,35,34,70,28,39,63,2272,2391,4664,33985,35436,69418,6854,6969,13822,34852,36353,71201,5467,5465,10930,37072,38814,75888,775,776,1554,5033,4750,9784,2108,2123,4232,1744,1836,3592,1793,2434,4225,17140,18524,35660,2392,2165,4559,8777,9016,17792,2584,2900,5484,1325,1370,2695,177,258,432
SED10090,41154,44986,86140,2476,2244,4721,5579,5467,11046,2361,2201,4565,2191,2171,4363,5326,6067,11392,6785,7581,14368,5852,6528,12381,4466,4929,9401,3453,4181,7633,1898,2282,4183,760,1338,2096,202,203,399,40445,44176,84622,707,809,1518,117,102,224,3,3,12,7,0,9,128,112,242,22725,23008,45734,17061,20525,37588,25840,26245,52087,13861,17173,31032,33021,35079,68103,884,799,1683,5388,5268,10659,2178,2059,4235,1300,1314,2617,1626,2540,4167,26704,29575,56274,1263,1311,2578,2257,2923,5181,828,916,1743,525,683,1210,191,303,498
SED10091,40776,42170,82946,2704,2558,5260,5818,5433,11249,2723,2513,5237,2250,2102,4347,4561,4728,9286,4783,5022,9805,5320,5605,10921,4801,5227,10031,4328,4848,9174,2652,2986,5631,837,1161,1999,59,46,108,40305,41428,81729,470,739,1215,1459,1458,2921,23,15,41,22,18,45,1509,1497,3009,33261,34110,67365,5599,6059,11658,36368,37401,73775,2549,2862,5410,37187,38368,75556,891,830,1722,5523,5134,10657,1964,1983,3946,566,788,1358,772,1470,2238,13701,17042,30744,2477,2403,4875,10623,9457,20082,2498,2334,4831,1106,969,2075,108,97,213
SED10092,42290,42956,85243,2306,2118,4418,4314,4145,8460,2296,2198,4496,3613,3726,7338,6937,6619,13553,5083,4947,10032,4969,5013,9984,5225,5281,10502,4074,4321,8394,2513,3043,5560,965,1537,2501,46,63,107,41328,41818,83145,956,1134,2097,1350,1390,2741,38,38,77,27,26,54,1420,1458,2874,29253,29274,58533,10707,11473,22182,30341,30275,60618,9513,10173,19690,36004,36769,72771,686,628,1316,4009,3861,7870,1692,1745,3431,1532,1796,3330,1753,2408,4160,18137,18978,37118,2359,1980,4340,8376,8131,16509,2204,2301,4505,1840,2268,4107,391,580,971
SED10093,39979,42496,82471,2638,2567,5211,5617,5266,10884,2724,2581,5308,2428,2483,4908,4832,5248,10080,4759,5083,9844,5015,5378,10396,4651,5080,9731,3987,4428,8410,2485,2951,5439,842,1420,2265,28,39,74,39239,41501,80738,740,991,1730,2703,2709,5408,68,53,124,40,57,96,2807,2823,5628,32416,34043,66466,5434,6111,11549,35068,36871,71941,2692,3146,5837,35987,38075,74062,813,822,1641,5252,4907,10162,1827,1873,3695,610,796,1406,825,1772,2599,12051,14280,26334,2610,2518,5134,10255,10633,20894,2890,2996,5888,1541,1520,3061,176,143,317
SED19797,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
SED20106,39928,40462,80392,1591,1490,3079,2592,2540,5137,1223,1256,2476,2701,2923,5628,10149,10369,20519,7222,7039,14266,5271,5342,10612,4354,4279,8635,2891,3050,5938,1527,1611,3141,406,554,959,206,189,391,38875,39792,78674,1051,670,1719,218,202,423,4,11,12,9,10,18,232,219,452,21546,21051,42595,15675,16911,32586,26422,25625,52048,10729,12280,23011,28368,28406,56774,462,449,910,2435,2368,4803,1032,1092,2124,1381,1537,2917,2644,3463,6106,27031,28121,55154,2404,2300,4697,2077,1838,3919,728,662,1392,591,714,1304,159,230,386
SED20207,53712,54636,108350,4198,3994,8191,8916,8347,17261,3024,2817,5841,2913,2736,5642,7345,8051,15398,10614,10722,21335,7064,7068,14130,4684,4921,9608,3168,3609,6784,1388,1678,3061,398,700,1095,137,168,305,53512,54367,107873,202,270,472,307,330,642,13,10,15,12,15,26,334,350,684,27283,27309,54593,23972,25004,48971,28108,28057,56167,22936,24000,46933,40061,40368,80429,1347,1212,2560,8351,7820,16174,2496,2399,4894,1257,1318,2575,1948,3015,4965,26434,28481,54921,3899,3531,7431,4460,4005,8462,1798,1808,3612,1295,1722,3016,411,507,916
SED20302,56367,58918,115282,4585,4333,8915,8319,8214,16537,3078,2934,6016,2901,2954,5856,8403,9221,17618,8655,8736,17393,6252,6395,12641,5551,6275,11821,5079,5675,10759,2770,3006,5776,769,1180,1947,84,118,198,55906,58360,114263,458,564,1021,512,525,1042,22,14,35,11,11,20,546,552,1099,36872,38805,75686,16416,16910,33328,39329,41416,80747,14000,14280,28286,47123,48949,96070,1241,1119,2363,7762,7635,15399,2327,2349,4680,845,1097,1944,1603,2877,4481,21826,25700,47523,5903,5674,11576,7641,6795,14435,3217,2926,6142,1751,1942,3695,354,399,748
SED20401,31354,32873,64228,1921,1893,3817,3950,3631,7585,1765,1574,3341,1817,1734,3552,4388,4702,9087,4803,4928,9733,4167,4336,8503,3584,3812,7394,2679,3269,5947,1639,1949,3591,631,1044,1682,33,59,93,30878,32118,63001,471,755,1225,241,257,501,6,9,15,7,4,12,255,269,527,22127,22498,44628,8092,9241,17330,23565,24146,47713,6538,7325,13860,27173,28101,55274,616,564,1178,3766,3457,7224,1446,1326,2773,702,754,1455,952,1533,2485,14283,16368,30650,3500,3250,6746,3849,3489,7336,1508,1480,2991,922,1106,2032,167,220,392
SED20508,33624,36570,70195,1796,1690,3482,4402,4158,8561,1848,1738,3582,1521,1394,2913,3098,3343,6438,3782,4278,8061,4068,4669,8733,4464,5460,9922,5090,5541,10629,2730,3075,5806,833,1222,2059,22,29,56,33329,36001,69328,294,567,862,314,297,615,9,4,7,7,12,20,330,313,641,27566,30010,57574,4502,4907,9409,30653,33052,63707,1509,1875,3383,30943,33698,64638,573,507,1080,4166,3921,8084,1471,1443,2912,533,565,1102,728,1382,2106,13618,16837,30457,4591,4646,9234,4754,4596,9345,1894,1848,3742,1059,1090,2149,86,70,153
SED20604,34704,35897,70599,1986,2007,3997,4722,4569,9294,2299,2067,4365,1963,1800,3765,4198,4209,8409,4007,4483,8493,4313,4584,8893,4538,4879,9414,4068,4172,8234,2022,2180,4197,580,943,1525,48,42,90,32936,34491,67424,1765,1410,3171,854,952,1800,31,29,55,19,30,49,899,1008,1909,28933,29957,58892,3655,3889,7548,30755,31955,62710,1834,2009,3842,31341,32608,63944,607,639,1243,4389,4265,8653,1583,1534,3111,515,601,1119,867,1636,2500,11526,14449,25977,4492,4200,8693,6476,5547,12026,2105,1854,3960,1306,1220,2525,133,140,269
SED20704,34535,36840,71374,2254,2128,4385,5092,4716,9811,2253,2183,4432,2241,2272,4511,4417,4814,9228,4125,4612,8734,4075,4522,8596,4071,4637,8714,3543,3824,7369,1824,2111,3939,639,1012,1655,41,31,72,33976,36066,70039,559,775,1331,695,771,1464,25,30,60,16,15,29,740,817,1552,29530,31509,61039,3217,3540,6758,30568,32635,63209,2262,2481,4742,31416,33553,64974,656,628,1283,4762,4453,9218,1663,1677,3346,704,973,1676,815,1567,2376,12405,15625,28026,4177,4300,8479,5183,4793,9976,2179,1946,4132,1399,1364,2766,180,174,350
SED20804,31095,32770,63859,1688,1678,3372,3821,3525,7340,1682,1671,3360,1693,1625,3318,3899,3962,7854,3750,3934,7681,3893,4096,7991,3995,4501,8491,3780,4139,7916,2150,2472,4623,746,1170,1912,24,17,45,29613,31643,61255,1477,1130,2607,664,628,1293,21,20,41,16,12,24,702,660,1359,25751,27318,53068,3383,3446,6829,26731,28676,55406,1753,1895,3651,27308,29348,56658,436,425,860,3519,3250,6771,1207,1270,2471,433,564,991,749,1400,2149,10827,13541,24369,3600,3730,7327,5406,4437,9845,2114,1947,4058,1345,1480,2821,196,178,379
SED20906,32322,34172,66489,1825,1685,3510,4860,4423,9281,2261,2031,4292,1927,1728,3656,3674,3709,7381,4641,5346,9983,4956,5402,10361,3698,3929,7621,2437,2863,5300,1395,1885,3278,652,1169,1816,71,70,143,32111,33845,65957,208,320,537,108,80,195,6,3,13,3,3,6,116,89,207,20126,20470,40595,11216,12636,23859,21265,21916,43176,10022,11109,21134,27384,28730,56118,656,600,1260,4687,4267,8959,2044,1891,3932,1065,1000,2063,991,1463,2453,18175,20180,38352,2302,2243,4544,2247,2171,4414,932,931,1862,810,1132,1943,196,230,426
SED21001,35433,38158,73595,1556,1467,3025,4125,3974,8104,2303,2208,4505,3005,2789,5798,5414,5396,10811,4647,5116,9764,4693,5282,9978,3970,4354,8320,3006,3471,6476,1802,2432,4233,913,1668,2586,147,153,297,34603,37052,71653,831,1111,1941,95,88,190,3,8,17,5,4,7,106,105,212,19612,20286,39900,14312,16246,30557,20230,20990,41219,13624,15477,29097,26491,28243,54732,518,527,1052,3941,3835,7774,2101,2038,4134,1808,1717,3527,1841,2432,4276,21762,23691,45454,2276,2337,4615,1971,2133,4107,1042,1120,2162,774,1133,1906,260,353,621
SED21106,29044,31995,61040,1268,1336,2602,3865,3472,7340,2009,1835,3843,1591,1524,3116,3075,3539,6614,3615,4257,7873,4517,5238,9754,3923,4261,8183,2828,3192,6020,1661,2118,3783,688,1219,1912,70,73,142,28673,31281,59952,373,711,1089,71,76,151,3,0,4,0,3,6,72,80,159,20002,21707,41716,7965,9053,17017,23295,25091,48390,4572,5550,10123,25128,27507,52631,422,489,908,3678,3322,7002,1841,1704,3551,976,915,1886,832,1478,2313,18130,20455,38585,1914,2227,4142,1561,1822,3383,684,666,1344,455,577,1028,95,96,192
SED21203,37799,36565,74361,2682,2526,5205,5328,4959,10283,2387,2237,4627,3003,2561,5571,6572,5764,12333,5226,4869,10089,4208,4276,8483,3933,3825,7756,2343,2730,5072,1523,1930,3455,594,892,1489,56,66,116,37272,36175,73441,531,393,920,247,248,494,15,16,33,9,7,11,268,267,532,17373,17068,34440,17384,16686,34072,11293,10694,21990,23037,22783,45819,27983,28279,56263,634,556,1193,4711,4396,9102,1778,1854,3632,1239,1125,2365,1695,1951,3657,15484,14612,30096,2430,2201,4635,3291,2836,6132,1854,1760,3619,2730,3507,6238,1096,1645,2746
SED21303,35330,38158,73493,1629,1551,3181,2882,2818,5702,1333,1321,2653,2811,3297,6104,9216,9990,19202,6273,6366,12640,4306,4438,8745,3061,3373,6430,2017,2424,4436,1231,1638,2870,570,944,1514,67,71,138,34706,37577,72289,625,574,1205,238,267,507,5,8,16,13,18,27,257,290,547,23707,25175,48883,10376,11756,22133,25017,26539,51555,9001,10322,19322,29516,31803,61319,525,459,985,2796,2711,5507,1128,1163,2288,1475,1808,3281,2515,3556,6071,23378,26454,49833,1983,1635,3620,1882,1480,3362,716,722,1438,1174,1623,2797,328,558,888
SED21401,32251,34618,66867,1537,1526,3064,3649,3390,7035,1916,1757,3669,2076,1808,3885,3994,4030,8031,4121,4480,8606,4068,4545,8613,3949,4383,8332,3092,3877,6967,2677,3227,5899,1177,1596,2772,111,122,231,31930,34009,65939,322,607,933,87,71,153,0,0,0,4,4,4,90,69,159,16868,17035,33896,14369,16485,30849,15372,15444,30812,15846,18002,33848,26245,27778,54026,538,495,1034,3491,3268,6753,1721,1605,3331,1160,1078,2235,1203,1600,2794,18888,19999,38886,2181,2356,4534,2145,2397,4545,1033,1248,2280,1382,1936,3315,318,457,778
SED21503,30408,30618,61025,1694,1572,3260,3423,3066,6489,1859,1702,3560,2526,2178,4699,4776,4370,9140,4105,4137,8243,3978,4118,8095,3261,3583,6847,2600,3018,5624,1624,1959,3579,570,922,1493,54,61,114,29650,29688,59343,753,935,1690,244,257,500,9,10,17,9,15,21,264,277,539,19480,19682,39161,9684,9801,19480,19184,19286,38469,9923,10151,20080,25072,25737,50811,551,482,1035,3281,2945,6226,1554,1493,3042,1288,1237,2525,1338,1606,2945,15605,16411,32018,2745,2476,5218,2829,2659,5492,1325,1308,2630,1156,1562,2714,345,376,722
SED21608,32866,33955,66820,1982,1924,3909,4673,4369,9050,2075,1993,4068,2077,1947,4024,4192,4336,8529,4117,4379,8497,4212,4535,8750,4011,4291,8300,3400,3587,6984,1640,1820,3456,484,771,1261,23,27,47,32241,33273,65515,627,677,1304,571,638,1216,24,29,55,15,16,37,623,685,1305,27154,28247,55403,3789,3849,7634,29075,30177,59254,1934,1996,3926,29460,30662,60119,580,615,1195,4359,4140,8499,1445,1497,2944,609,735,1339,817,1606,2425,11470,14204,25676,3940,4011,7954,5345,4355,9701,2291,1972,4260,1262,1208,2471,99,86,189
SED21706,33047,35292,68334,1620,1540,3163,4069,4056,8125,2209,2348,4556,2984,2694,5677,4900,4445,9344,4279,4554,8835,4360,5063,9430,3711,4085,7789,2701,3114,5817,1503,2049,3553,729,1331,2063,86,112,195,32115,34042,66159,926,1245,2175,120,107,223,0,0,0,0,8,6,126,111,235,19911,20867,40782,11890,13214,25109,21076,21696,42771,10689,12322,23012,26382,28308,54690,589,571,1155,3917,3918,7839,2021,2197,4215,1823,1732,3552,1603,1860,3461,20435,21991,42424,2037,2110,4149,1764,1970,3730,913,1018,1932,739,998,1735,218,275,492
SED21805,34183,35978,70159,2331,2282,4612,4366,4109,8477,1962,1756,3718,1826,1829,3660,4582,4917,9492,5059,5344,10405,4891,5080,9971,4183,4473,8654,2940,3459,6403,1563,1874,3437,474,855,1332,24,40,64,34028,35679,69709,147,298,450,390,388,778,22,19,47,8,4,11,417,419,839,24974,25763,50745,7794,8796,16593,28074,29187,57262,4659,5364,10022,30090,31542,61628,725,710,1434,4129,3890,8023,1518,1465,2982,604,720,1325,894,1563,2457,13998,16891,30892,4182,3713,7895,4856,4385,9239,1913,1703,3615,1018,1189,2208,140,179,317
SED21906,32490,34617,67110,1795,1784,3578,3728,3691,7422,1622,1666,3291,2207,2288,4495,6010,6184,12189,4835,4985,9817,3972,4272,8248,3262,3504,6768,3008,3332,6344,1432,1748,3187,616,1161,1776,62,91,152,31894,33831,65721,600,793,1390,88,90,181,4,0,5,8,0,4,98,94,192,19619,20622,40239,11568,12594,24161,22796,23858,46658,8256,9235,17493,26463,28313,54777,645,637,1284,3548,3522,7068,1482,1500,2986,1261,1384,2642,1598,2038,3636,20935,22813,43749,1695,1833,3531,1528,1462,2993,736,661,1399,530,668,1196,123,155,276
SED22005,38531,37894,76429,2114,1982,4096,3903,3646,7553,1838,1738,3574,3336,2717,6057,7751,6416,14170,5452,5292,10739,4402,4564,8970,3754,4076,7832,3037,3550,6584,2013,2479,4487,928,1439,2365,92,100,187,37627,36818,74443,908,1078,1985,100,86,190,12,8,13,3,0,10,114,97,214,16596,15804,32400,20254,20446,40700,15175,14407,29576,21360,21489,42842,27267,27524,54791,632,582,1212,3695,3444,7136,1585,1492,3077,1868,1540,3407,2164,2295,4461,21106,20566,41671,2362,2051,4416,2787,2473,5263,1301,1280,2581,1887,2544,4428,952,1239,2188
SED22105,63301,64283,127584,5926,5559,11492,10902,10205,21106,3798,3779,7572,4129,4005,8135,9954,11210,21165,11478,11230,22706,7270,7183,14456,4990,5100,10088,3017,3538,6555,1429,1760,3187,413,721,1135,99,155,249,63064,63927,126996,228,356,586,505,470,970,14,11,29,13,9,23,532,487,1026,34169,34353,68526,26321,27095,53414,33274,33712,66982,26758,27143,53905,50345,50476,100815,1610,1451,3062,10136,9538,19680,2973,3135,6107,1479,1694,3171,2175,3531,5705,26369,29001,55364,5057,4730,9787,6983,6191,13174,2892,2640,5536,1824,2191,4012,920,1149,2067
SED22201,29296,31821,61123,1982,1814,3793,3794,3572,7365,1702,1578,3285,1744,1693,3433,4007,4348,8364,4246,4473,8724,3618,4074,7693,3379,3804,7182,2650,3312,5960,1616,2156,3771,560,990,1548,32,41,71,28951,31374,60333,349,447,793,197,190,391,16,6,24,10,3,10,221,204,425,21663,23160,44828,6821,7758,14572,23365,25120,48489,5056,5707,10764,25753,27852,53601,627,596,1225,3669,3433,7093,1386,1346,2735,712,712,1429,916,1426,2340,13186,15824,29006,3351,3365,6714,3573,3372,6948,1415,1420,2838,904,1154,2056,233,257,493
SED22305,39833,37102,76936,2617,2473,5092,4615,4385,8997,2112,2016,4131,2732,2462,5190,7579,6268,13842,6190,5292,11481,4670,4037,8698,3955,3993,7943,3006,3262,6266,1770,1953,3721,600,976,1569,78,85,165,38453,36210,74665,1376,890,2273,214,237,452,15,14,26,3,7,11,237,253,489,14853,14107,28964,21828,20470,42298,12682,11848,24534,23543,22112,45658,26984,26550,53533,546,525,1078,4136,3966,8107,1630,1637,3269,1130,1187,2321,1749,2319,4065,17094,16571,33664,2693,2210,4906,3717,3091,6810,1645,1503,3148,2419,2616,5034,1841,1599,3439
SED22404,31531,31803,63334,1550,1430,2979,3931,3742,7678,1938,1820,3762,1567,1492,3060,3158,3268,6427,3377,3638,7011,4348,4478,8822,4846,4984,9831,4168,4161,8328,2113,2036,4149,549,750,1301,42,38,77,30417,30422,60840,1108,1383,2492,463,495,962,20,23,41,7,5,12,488,522,1009,25125,25166,50291,3755,4065,7817,27954,28212,56162,1135,1290,2430,27901,28184,56080,464,426,888,3573,3431,7008,1354,1360,2710,371,491,866,528,1204,1730,10320,13621,23942,4186,3879,8063,5497,4055,9549,2413,1663,4075,1168,1015,2183,91,80,167
SED22501,28735,30400,59134,1680,1585,3262,4083,3967,8051,1965,1781,3744,1571,1495,3069,2618,2720,5343,3760,4200,7964,4210,4543,8754,3784,4234,8019,3153,3547,6703,1519,1696,3220,395,619,1018,19,29,49,28502,30010,58510,240,381,623,174,154,333,9,4,10,3,0,6,187,163,351,22902,24008,46908,5237,5722,10961,24816,25793,50609,3260,3875,7140,26647,27994,54642,630,585,1219,3971,3870,7839,1699,1593,3297,781,793,1571,716,1162,1883,14557,16639,31198,3059,2990,6048,2890,2513,5402,1133,1114,2250,621,777,1393,100,90,194
SED22607,33704,35549,69256,1708,1662,3368,3802,3531,7336,1841,1716,3560,2352,2513,4865,5960,6333,12292,5042,5359,10403,4674,4955,9631,3836,4071,7910,2717,2936,5656,1255,1573,2828,510,900,1414,58,58,117,33183,35117,68298,522,435,954,158,154,315,10,4,19,3,10,14,174,169,346,23333,24113,47441,8950,10008,18954,23995,24603,48596,8233,9439,17671,28692,30122,58815,546,575,1122,3630,3373,7001,1618,1525,3138,1215,1301,2517,1556,2140,3697,19957,21703,41664,2564,2355,4924,2233,2140,4369,905,902,1814,916,1330,2242,230,466,691
SED22704,34364,33875,68242,1687,1594,3280,3893,3649,7546,2058,1682,3734,1879,1465,3349,3575,3509,7087,3481,3656,7133,4335,4582,8914,5189,5274,10463,4904,4677,9580,2613,2632,5246,752,1158,1912,24,25,51,33098,33121,66224,1263,757,2023,677,688,1359,16,21,37,16,22,40,712,725,1442,27783,27385,55169,3446,3604,7045,29775,29601,59373,1574,1657,3233,30205,30046,60247,447,429,882,3476,3267,6745,1316,1234,2547,392,408,796,537,1175,1713,10192,12574,22766,4663,4433,9099,6263,5055,11321,2856,2219,5080,1823,1596,3420,129,93,224
SED22802,29590,30569,60155,1979,1892,3868,3900,3677,7582,1963,1841,3803,1884,1782,3668,4026,4073,8097,3958,4066,8018,3838,4176,8012,3492,3762,7249,2626,3050,5677,1538,1697,3240,374,563,940,24,26,50,29451,30387,59839,136,176,318,318,266,583,20,12,31,9,8,21,345,289,634,23641,24276,47913,5071,5469,10537,25874,26691,52563,2847,3069,5910,26985,27817,54801,597,600,1197,3743,3536,7278,1575,1520,3094,640,711,1350,670,1242,1915,11315,14030,25347,4007,3757,7770,4507,3731,8234,1921,1550,3476,930,950,1877,177,144,324
SED22901,29288,30890,60175,1626,1592,3212,3707,3368,7074,1809,1649,3457,1777,1639,3414,3720,3679,7397,4179,4448,8629,3712,3931,7649,3456,4014,7469,3110,3534,6642,1605,1992,3598,599,1039,1643,60,59,119,28770,30193,58967,514,698,1215,171,181,351,6,3,10,7,6,14,178,187,367,18140,18368,36505,10240,11512,21755,18986,19479,38463,9312,10269,19583,24748,25711,50460,524,504,1028,3550,3231,6780,1537,1438,2973,814,814,1629,931,1340,2277,14569,16157,30724,2883,2875,5761,3259,3126,6386,1312,1301,2615,799,1042,1839,163,263,421
SED23007,42386,41224,83611,2347,2229,4571,4161,3669,7830,1808,1812,3619,3092,2902,5990,9881,9039,18915,7113,6686,13802,5011,5017,10026,4101,4082,8189,2823,3107,5930,1513,1784,3300,544,907,1450,94,100,195,41504,40511,82015,883,716,1601,264,254,525,9,10,21,13,6,14,285,273,559,21075,20099,41174,18664,18818,37488,19340,18086,37425,20235,20678,40908,31872,31914,63783,626,619,1247,3844,3396,7239,1464,1552,3017,1504,1450,2953,2730,3097,5825,23600,23080,46684,2541,2157,4696,2919,2665,5583,1273,1356,2628,1856,2394,4248,836,1121,1959
