SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10037,38,242,1242,7020,8776,2881,725,421,21346,0,98,170,175,21,0,4,18,494,4,81,280,892,175,16,0,28,1480,4,179,454,1067,197,18,5,44,1970,7,148,263,161,14,0,0,36,638,79,252,2162,275,0,0,3,114,2888,22,425,1369,271,0,0,0,73,2154,0,32,216,63,0,0,0,19,330,7,28,74,16,4,12,7,10,153,107,885,4088,784,22,13,12,251,6164,10,21,51,24,7,0,6,13,125,0,15,10,7,4,3,0,3,46,157,1337,5850,8896,9002,2918,741,731,29643
SED10038,22,189,1631,9417,7622,2101,445,567,21996,15,238,933,669,61,10,5,123,2060,10,236,997,1732,163,16,3,163,3317,26,477,1933,2403,229,26,7,287,5374,13,342,1296,465,47,13,10,146,2340,0,42,403,102,3,0,0,34,593,7,21,209,27,0,0,0,14,276,0,0,0,0,0,0,0,0,0,3,26,52,20,15,4,0,5,135,24,438,1959,614,73,23,12,196,3339,24,37,56,32,12,6,0,8,171,3,12,16,21,3,0,0,5,67,94,1149,5593,12491,7939,2156,458,1070,30946
SED10039,47,252,1494,9842,9868,2195,538,899,25135,0,117,1067,611,58,3,0,118,1988,0,83,421,819,144,5,3,66,1541,0,203,1491,1431,206,11,8,181,3528,4,83,216,111,14,6,0,45,482,0,11,113,54,0,0,0,9,191,0,69,162,59,6,0,5,21,325,0,0,0,0,0,0,0,0,0,0,18,26,16,18,4,0,0,92,10,178,516,249,37,10,3,82,1083,16,78,165,35,19,8,0,56,380,7,34,45,21,5,0,0,13,133,83,749,3703,11580,10135,2218,549,1237,30260
SED10040,23,142,1472,5673,3753,1763,556,513,13902,14,86,766,830,50,6,5,80,1839,4,93,323,863,392,93,15,70,1848,17,183,1085,1696,440,104,13,150,3686,7,215,795,213,15,9,4,99,1357,10,197,2597,557,23,0,3,190,3573,42,622,4585,1297,55,3,0,354,6962,10,697,1798,585,27,3,0,167,3292,0,46,108,47,24,17,6,14,265,71,1785,9890,2698,140,27,12,822,15443,5,74,106,33,10,3,0,37,273,0,13,19,12,8,0,0,11,65,122,2193,12572,10116,4349,1908,588,1533,33372
SED10041,14,89,573,4290,7689,4010,829,293,17785,0,26,40,90,15,9,3,10,180,4,28,131,826,153,15,3,34,1192,8,54,167,916,165,21,3,38,1370,11,165,600,463,19,0,0,53,1318,16,191,706,477,14,0,3,48,1459,3,1025,2884,1406,42,0,0,219,5593,18,662,1981,297,5,0,0,91,3054,0,11,22,4,0,12,0,5,69,39,2062,6199,2650,96,21,5,419,11489,0,58,43,11,5,0,0,11,135,0,5,10,3,0,0,0,0,23,64,2270,6983,7875,7948,4048,841,774,30801
SED10042,65,433,3153,11303,9185,1820,389,970,27310,5,187,983,523,18,8,5,90,1815,0,62,322,370,64,0,0,59,872,0,253,1301,890,83,8,7,153,2690,9,169,213,63,16,0,0,45,514,0,3,56,25,0,0,0,5,89,0,46,93,55,4,0,0,14,204,0,0,0,0,0,0,0,0,0,0,14,34,10,13,3,0,6,82,9,232,393,159,24,7,0,68,889,14,100,103,14,3,0,0,66,302,7,16,19,6,11,4,0,4,68,97,1027,4968,12377,9304,1839,398,1259,31267
SED10043,40,176,1592,6211,3866,1367,433,983,14656,49,123,215,348,109,12,4,123,979,10,284,684,1604,939,80,12,244,3848,60,409,897,1951,1045,92,16,359,4834,101,576,3711,294,25,7,7,545,5264,17,203,2286,501,30,0,5,340,3371,3,279,937,124,11,0,0,170,1524,0,148,278,26,0,0,0,48,507,3,26,108,48,26,21,5,15,254,123,1230,7323,993,84,25,17,1119,10921,0,22,80,27,7,4,0,25,169,6,10,25,12,5,4,0,16,75,227,1853,9920,9190,5005,1489,462,2509,30655
SED10044,13,87,967,4607,5786,2746,549,325,15083,5,51,226,540,76,11,0,28,949,4,162,472,1064,282,23,4,66,2071,15,212,697,1604,361,35,4,95,3018,46,450,977,245,18,10,0,95,1833,114,713,3529,706,27,0,0,227,5308,89,1365,3285,697,15,0,4,241,5697,123,1602,1867,361,11,0,0,148,4108,4,11,20,18,13,7,0,11,78,379,4142,9672,2024,76,14,8,714,17031,3,6,14,11,5,0,0,16,45,8,12,14,12,0,0,0,3,55,404,4460,11362,8259,6227,2800,561,1156,35231
SED10045,291,1039,3621,11917,7024,1413,353,2059,27717,17,167,832,324,39,8,0,122,1495,7,58,264,210,14,12,3,63,642,19,228,1091,536,54,16,5,190,2139,33,241,730,187,37,8,3,163,1404,0,20,101,12,0,0,0,14,146,0,0,13,4,0,0,0,4,21,0,0,0,0,0,0,0,0,0,4,17,28,25,8,6,0,13,101,35,278,872,220,47,8,3,194,1670,115,233,77,35,15,7,8,175,666,18,30,30,24,14,0,3,20,140,483,1811,5703,12734,7157,1444,370,2643,32337
SED10046,31,149,670,6700,8067,1713,351,1119,18803,10,58,160,382,25,4,0,88,733,3,139,319,861,346,16,3,142,1824,15,198,473,1247,372,18,10,226,2555,114,285,675,191,3,0,3,228,1509,46,248,3135,278,10,0,5,476,4196,10,133,828,435,9,0,0,143,1563,74,441,1716,356,6,0,4,313,2915,0,17,101,63,34,7,0,23,251,238,1135,6459,1327,63,9,8,1188,10432,0,0,5,6,0,0,0,10,28,4,8,34,13,4,4,0,17,91,290,1489,7645,9291,8513,1748,369,2560,31902
SED10047,47,340,1865,13192,12036,2826,621,2229,33144,10,114,501,600,145,16,5,136,1530,8,109,299,1873,626,46,7,285,3260,22,227,803,2471,775,55,19,424,4794,26,202,345,68,9,0,0,106,744,10,49,450,39,0,0,0,92,643,9,53,460,118,0,0,0,78,721,0,0,0,0,0,0,0,0,0,0,24,107,49,29,12,5,22,251,43,326,1363,280,39,8,9,297,2362,0,9,20,13,9,0,3,4,48,3,4,10,20,18,4,0,8,67,116,902,4061,15969,12866,2892,646,2955,40419
SED10048,38,213,1126,11268,11460,2798,600,1293,28802,3,60,1187,1190,128,8,13,182,2775,6,100,1021,1477,432,47,5,270,3353,11,165,2216,2668,549,54,17,455,6125,3,27,141,110,3,3,0,21,305,0,0,35,23,0,0,0,8,66,0,9,269,103,20,0,0,38,438,0,86,126,11,3,0,0,10,236,3,35,114,44,26,19,10,20,263,7,154,685,282,51,18,9,103,1313,0,4,4,0,0,0,0,0,11,0,6,18,10,15,7,3,13,74,56,540,4051,14232,12081,2882,628,1852,36328
SED10049,22,164,1737,10909,13228,1964,341,907,29276,4,188,1298,852,128,3,3,145,2621,0,142,285,137,47,8,4,51,679,4,333,1582,991,173,8,10,198,3300,12,253,315,49,4,0,0,70,698,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,7,32,11,9,3,0,6,75,15,270,362,62,17,3,0,76,811,14,60,102,26,3,3,0,16,227,5,13,3,17,11,3,0,4,58,58,834,3788,12006,13435,1986,357,1201,33667
SED10050,16,158,909,3976,4999,2236,455,300,13061,59,73,212,357,149,13,0,35,896,5,122,443,1139,277,47,9,64,2106,61,199,654,1493,423,58,12,97,3000,53,588,1572,650,85,17,7,119,3093,21,1252,4757,872,63,5,5,274,7252,93,1028,2045,674,27,5,3,156,4028,17,290,663,435,5,0,0,43,1456,8,36,46,23,20,8,0,11,150,194,3188,9084,2649,193,33,20,609,15980,0,32,67,21,7,3,0,12,141,8,13,16,7,0,0,0,3,52,282,3584,10733,8154,5627,2331,486,1023,32226
SED10051,26,90,785,4278,3961,1556,438,338,11470,49,134,848,919,179,35,5,100,2274,10,260,639,2219,966,130,21,227,4467,56,394,1488,3146,1138,165,27,325,6737,149,588,797,470,42,11,3,230,2291,25,725,3124,790,21,0,0,413,5095,59,1435,3245,941,30,0,7,413,6136,20,442,1070,296,20,0,0,105,1953,7,19,30,12,12,5,0,3,81,259,3217,8268,2509,120,18,14,1159,15565,0,46,63,35,12,0,5,18,180,7,10,25,4,3,4,0,9,59,355,3766,10617,9974,5244,1740,478,1842,34014
SED10052,17,116,726,5750,7255,2423,440,408,17127,26,99,294,602,172,22,4,81,1308,5,263,837,2135,412,66,6,175,3907,28,363,1134,2738,584,93,16,258,5210,3,258,419,222,12,0,0,58,982,6,224,1816,362,0,0,0,124,2535,23,632,1994,412,5,0,0,167,3235,20,84,316,73,3,0,0,37,531,0,10,25,15,9,11,0,6,77,54,1216,4563,1092,33,11,5,395,7362,7,47,56,13,8,0,3,20,158,0,4,13,6,0,0,0,10,50,111,1740,6492,9606,7888,2520,461,1083,29907
SED10053,120,545,2098,9017,9554,2341,666,1306,25647,0,154,978,695,71,3,3,118,2026,18,147,795,755,79,7,4,100,1899,13,302,1774,1454,143,5,9,222,3926,39,600,720,255,47,9,8,161,1841,17,165,414,57,8,4,0,60,725,0,220,671,38,0,0,0,54,995,0,17,57,3,0,0,0,3,79,0,16,15,18,4,0,0,7,59,52,1019,1887,377,64,11,19,272,3695,35,67,38,25,6,7,7,54,223,25,56,59,19,14,4,11,39,227,252,1984,5849,10881,9782,2369,716,1894,33728
SED10054,30,167,890,11112,7178,1828,430,1559,23197,8,36,210,849,76,12,3,113,1303,5,66,233,1396,637,26,4,262,2623,9,101,445,2241,715,34,8,374,3929,0,63,40,36,3,0,0,27,166,0,31,212,17,0,0,0,32,301,9,82,960,94,5,0,0,90,1238,0,0,0,0,0,0,0,0,0,3,11,108,45,20,10,5,22,225,12,183,1316,190,33,10,7,172,1923,0,0,7,18,4,0,0,4,31,0,4,16,12,9,3,0,9,39,50,455,2670,13569,7931,1884,450,2111,29114
SED10055,36,130,467,7176,12685,3340,757,968,25554,0,11,27,163,37,7,0,13,255,0,27,23,554,182,14,6,42,847,0,36,48,716,215,23,6,55,1097,4,14,69,9,0,0,0,3,93,0,3,51,27,0,0,0,0,87,0,6,21,11,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,10,33,19,21,3,3,0,103,4,40,180,69,28,3,3,13,334,4,16,4,0,6,0,0,0,34,0,9,7,9,16,6,0,9,59,41,238,711,7976,12947,3372,770,1039,27079
SED10056,76,394,2816,12866,9189,1441,308,2671,29756,3,204,992,322,28,8,0,228,1790,0,30,36,35,4,3,0,19,126,9,237,1030,355,34,9,0,246,1915,10,205,876,278,16,4,0,206,1593,0,6,23,3,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,0,0,0,11,10,213,904,285,18,4,0,209,1642,58,150,122,72,36,4,11,212,664,19,30,51,50,41,17,10,79,305,169,1034,4923,13622,9324,1474,326,3416,34283
SED10057,117,463,2832,11924,7568,1383,334,1546,26178,10,216,1293,1055,50,4,0,184,2799,0,49,181,173,24,6,0,29,464,10,267,1471,1225,76,9,0,216,3262,30,389,994,216,14,4,0,182,1833,9,55,321,65,0,0,3,32,483,0,29,283,73,5,0,0,25,414,0,4,36,48,0,0,0,12,107,0,7,10,0,0,0,0,0,25,42,477,1649,403,22,9,4,258,2862,62,187,199,52,14,4,4,155,673,9,31,27,21,3,0,0,33,132,240,1428,6178,13628,7681,1403,350,2202,33107
SED10058,45,306,4019,9395,4517,921,188,613,19999,13,310,1017,553,63,9,5,113,2082,17,385,1443,1895,306,64,17,216,4342,27,698,2459,2449,367,70,26,326,6416,99,898,1019,216,33,4,0,232,2514,22,375,1253,231,6,4,3,262,2157,54,417,951,453,24,0,8,127,2027,24,444,655,280,24,0,0,52,1480,0,34,45,16,6,0,0,9,117,205,2168,3920,1191,93,13,13,688,8287,24,61,71,30,10,3,0,46,249,7,41,13,22,4,0,5,22,111,313,3271,10489,13083,4990,1004,231,1691,35058
SED10059,22,112,447,1200,709,163,48,88,2798,23,357,2248,1924,393,52,11,137,5138,102,413,2233,3178,1471,275,90,325,8095,125,771,4477,5099,1867,327,106,461,13234,255,1043,986,223,56,6,10,174,2757,364,1596,2134,270,36,0,11,382,4788,524,2843,2618,655,33,4,0,461,7140,655,2151,1765,176,8,0,3,681,5442,7,44,44,13,13,5,0,12,141,1802,7676,7551,1334,144,16,27,1714,20267,43,170,205,131,28,6,6,84,673,28,59,38,11,0,8,5,26,181,2024,8794,12718,7773,2743,519,191,2372,37148
SED10060,4,56,396,1641,2347,1222,212,126,6009,3,31,313,732,199,31,0,35,1336,9,92,546,1505,397,60,10,79,2710,12,121,865,2232,598,92,10,111,4049,56,584,1708,1032,97,20,4,118,3626,182,2127,4678,1328,65,4,11,292,8685,151,1725,2842,977,35,0,3,301,6032,493,2885,3384,1264,58,6,4,463,8552,6,17,44,29,3,0,0,0,91,886,7339,12650,4617,263,35,21,1177,26988,4,19,58,33,3,0,0,17,146,9,31,38,3,6,0,6,20,109,915,7573,14015,8527,3216,1350,246,1454,37295
SED10061,110,583,3112,12042,7663,1687,459,2758,28407,23,332,1094,357,73,21,10,346,2261,0,70,156,64,8,0,0,49,360,23,402,1252,423,84,22,10,396,2617,6,227,327,67,10,4,3,124,770,0,7,34,5,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,6,5,0,3,0,3,17,6,246,362,79,13,7,3,136,844,84,150,59,44,23,5,6,164,529,22,63,28,41,17,8,12,38,231,261,1442,4809,12633,7789,1725,488,3490,32638
SED10062,19,112,1222,6146,5976,2558,520,459,17007,37,78,424,861,66,7,0,91,1573,3,113,376,1158,742,169,12,108,2691,38,191,799,2025,815,183,15,203,4261,26,234,452,77,20,4,4,109,920,14,167,2008,562,31,0,3,130,2910,24,264,1894,356,31,0,0,191,2762,0,0,0,0,0,0,0,0,0,3,10,60,22,12,11,3,8,127,62,677,4407,1021,92,20,10,435,6718,0,21,57,29,7,0,0,19,137,0,12,9,4,0,0,0,8,33,113,1012,6494,9221,6890,2761,548,1125,28163
SED10063,64,350,2512,11779,9572,1902,383,1709,28281,9,233,1029,402,60,7,4,178,1927,0,95,79,49,4,0,0,43,277,12,335,1106,450,63,11,6,215,2200,15,227,615,102,22,5,6,165,1160,0,8,31,3,0,0,0,31,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,5,0,0,0,25,15,244,654,110,25,3,4,199,1259,35,101,44,75,75,26,8,61,429,15,15,19,32,15,7,3,23,131,143,1046,4341,12452,9756,1956,399,2211,32302
SED10064,176,820,4181,12740,6930,1273,366,1918,28399,14,107,487,314,42,12,4,110,1083,4,63,160,107,12,8,0,38,390,16,167,646,419,52,14,4,153,1477,13,203,658,147,16,3,0,159,1203,0,14,118,51,0,4,0,21,203,0,0,8,16,0,0,0,7,36,0,0,0,0,0,0,0,4,6,3,9,5,8,11,0,0,5,49,20,224,797,221,30,3,3,190,1492,163,313,154,63,29,3,0,255,983,24,52,54,25,7,0,0,15,177,397,1577,5835,13460,7062,1295,376,2524,32528
SED10065,39,184,1272,5177,4336,1640,393,588,13632,44,224,216,446,73,16,3,90,1103,40,315,1198,2940,1043,175,23,260,6000,84,532,1418,3386,1118,191,23,352,7101,52,400,2023,400,33,0,4,221,3123,55,345,4248,723,21,4,4,452,5851,56,741,3419,797,13,5,7,392,5423,199,1409,4276,633,18,4,0,470,7010,0,17,41,18,24,9,3,10,117,361,2906,14007,2569,108,20,19,1538,21523,16,14,113,35,5,0,4,24,211,3,25,43,6,4,4,0,15,104,502,3669,16857,11175,5574,1857,439,2512,42579
SED10066,39,218,1195,10247,7558,1899,460,908,22525,15,160,415,785,44,16,3,123,1561,5,200,782,1882,248,20,6,297,3437,20,356,1194,2663,296,31,9,418,4997,48,247,779,92,14,0,0,126,1317,4,73,840,101,5,0,0,110,1132,17,255,1334,135,0,0,3,248,1991,0,238,552,43,0,0,0,47,884,0,13,27,20,5,4,0,4,79,74,831,3536,389,20,4,0,543,5404,3,31,60,18,0,0,0,14,123,3,13,10,4,0,5,0,13,42,143,1441,6010,13322,7878,1936,469,1892,33092
SED10067,51,359,1234,5593,7087,2698,668,515,18217,14,172,340,163,58,21,5,56,833,5,125,603,1154,189,38,11,91,2224,22,298,946,1320,248,64,13,148,3055,53,326,786,529,80,18,7,93,1882,17,387,1534,375,14,3,0,142,2475,11,361,1196,322,6,0,0,67,1976,0,0,0,10,0,0,0,0,13,3,39,44,20,19,3,4,7,143,88,1117,3567,1252,109,23,6,314,6488,13,55,91,39,6,0,0,29,231,8,12,34,16,4,3,0,5,82,179,1840,5867,8222,7458,2789,691,1011,28071
SED10068,65,352,2675,10685,8663,1722,327,1050,25542,5,175,1679,1151,94,4,8,334,3452,3,60,352,648,111,14,0,65,1253,10,239,2032,1799,198,18,8,400,4704,6,420,874,311,16,4,3,134,1775,0,35,481,95,6,0,0,30,651,14,144,560,259,7,0,0,50,1032,0,13,78,58,0,0,0,3,155,3,11,6,3,19,0,0,3,51,22,623,2005,730,49,6,5,230,3665,82,210,171,39,19,6,5,151,677,9,38,30,23,6,3,0,39,156,197,1460,6923,13278,8937,1755,345,1870,34756
SED10069,60,319,2347,9665,9320,1816,423,1022,24960,0,101,1185,765,64,7,0,153,2281,0,69,309,1175,299,26,6,110,1987,0,167,1491,1937,366,26,6,261,4267,4,103,165,67,13,3,3,46,405,0,26,137,82,3,0,0,11,266,0,14,274,157,13,0,0,13,475,0,0,0,0,0,0,0,0,0,0,6,21,19,7,0,0,0,61,6,146,602,323,43,8,6,74,1205,60,190,185,59,10,6,0,139,645,11,30,31,27,9,0,0,17,121,137,849,4648,12016,9741,1853,437,1512,31202
SED10070,35,173,1054,8919,7280,2041,446,861,20806,7,81,737,730,94,15,0,154,1821,8,134,542,1671,392,47,3,173,2967,12,218,1282,2397,487,56,8,325,4783,8,170,464,87,19,4,0,68,819,0,30,552,112,21,0,0,104,819,20,149,595,193,33,0,0,94,1087,0,0,0,0,0,0,0,0,0,0,28,142,80,27,14,3,26,329,29,384,1754,469,100,21,3,294,3059,6,44,14,3,4,0,0,36,106,0,8,14,8,10,0,0,5,52,86,824,4118,11797,7875,2122,455,1522,28806
SED10071,23,159,824,5962,17880,4258,629,1052,30790,0,49,216,595,293,41,6,66,1265,6,38,314,1528,803,74,17,120,2902,6,89,533,2121,1099,117,25,180,4169,0,4,38,101,5,0,0,12,156,0,0,32,17,0,0,0,0,50,11,270,1344,271,4,0,0,196,2100,0,0,0,0,0,0,0,0,0,3,10,27,9,15,9,0,12,85,17,286,1447,401,21,7,0,215,2391,0,4,0,3,16,6,0,0,32,0,9,16,25,49,10,0,9,111,43,539,2819,8506,19060,4400,658,1460,37486
SED10072,27,118,1331,5882,3913,1454,363,577,13656,13,79,1041,1157,90,7,3,103,2493,4,23,232,930,346,41,4,91,1680,17,98,1277,2087,434,50,11,191,4170,41,291,594,115,12,0,0,103,1157,15,262,2192,330,9,0,4,229,3037,27,903,5237,814,21,3,5,575,7584,32,1455,4017,785,38,0,0,438,6784,4,25,44,31,16,6,5,7,138,125,2933,12083,2081,96,16,14,1354,18700,5,71,106,50,7,0,4,56,307,7,21,37,10,10,0,0,22,114,183,3248,14830,10113,4464,1520,387,2200,36947
SED10073,24,123,1079,5368,4941,2275,623,403,14834,20,106,576,1203,112,32,13,108,2161,4,226,1679,1259,416,72,15,143,3820,23,332,2256,2465,527,96,32,254,5982,22,243,537,173,16,11,0,74,1074,27,954,3799,361,12,22,4,238,5418,37,1757,3911,766,27,0,3,314,6820,24,2232,2093,268,11,0,0,270,4894,0,25,53,19,11,11,6,13,141,107,5208,10386,1585,83,48,15,910,18353,3,31,32,37,0,0,0,4,115,7,24,12,4,0,25,0,15,97,168,5723,13772,9463,5554,2441,667,1591,39384
SED10074,32,197,1239,9079,6872,2039,437,746,20637,3,143,515,433,44,5,0,76,1219,3,164,463,1563,520,73,11,196,2996,7,310,976,1995,565,79,11,271,4213,64,184,537,200,4,0,0,91,1077,8,115,869,214,17,0,0,67,1285,8,305,1775,357,7,0,0,172,2626,0,75,606,120,0,0,0,40,842,5,20,95,33,15,6,0,14,185,86,696,3876,922,48,8,3,381,6028,0,8,9,9,6,0,0,6,25,0,12,16,14,0,0,0,4,50,132,1221,6128,12017,7483,2128,444,1409,30957
SED10075,32,143,1136,12281,10083,1968,357,975,26970,18,152,983,901,70,6,3,133,2261,0,158,627,1183,177,14,5,139,2310,23,311,1611,2082,244,25,9,275,4573,3,248,690,167,22,0,4,99,1231,0,4,68,45,0,0,0,4,121,0,25,68,9,0,0,0,7,103,0,0,0,0,0,0,0,0,0,0,6,34,23,18,6,0,10,99,6,287,861,241,38,9,4,110,1564,7,94,185,19,7,0,0,67,375,0,5,13,16,0,0,0,7,38,65,836,3809,14640,10372,2004,367,1428,33519
SED10076,82,447,3279,12183,9324,1689,328,1509,28843,4,146,869,556,62,3,8,160,1820,0,65,275,256,21,4,0,62,679,6,209,1141,810,88,13,8,223,2499,15,121,235,134,21,3,3,76,606,0,0,19,13,0,0,0,0,33,0,0,3,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,16,30,21,9,0,3,4,88,15,139,289,177,29,4,6,82,741,31,159,344,99,15,4,0,159,808,5,31,52,13,12,4,3,85,206,144,986,5110,13284,9467,1712,347,2048,33089
SED10077,35,157,994,4698,3777,1959,706,428,12744,11,78,595,436,102,17,7,49,1299,12,110,536,1084,599,198,93,100,2732,20,191,1131,1517,705,216,106,144,4028,96,535,1617,310,31,22,5,196,2816,51,538,3667,760,46,4,3,258,5323,93,1243,4710,1091,64,37,0,601,7836,40,876,2834,507,28,3,0,259,4545,0,12,37,10,10,8,3,5,75,280,3194,12862,2676,175,69,16,1326,20601,23,49,61,72,8,4,0,20,245,20,43,50,22,5,0,0,45,189,381,3631,15095,8983,4673,2249,829,1960,37809
SED10078,43,150,1240,4883,3176,793,225,275,10773,24,101,1136,1162,252,37,5,88,2798,6,58,395,537,210,30,4,42,1280,28,152,1526,1702,464,65,12,131,4083,149,1343,2979,529,68,25,16,333,5438,126,1202,4908,469,34,3,7,290,7044,123,1182,2920,480,15,0,0,232,4953,24,279,457,82,0,0,0,42,880,0,40,51,13,11,0,0,24,144,420,4047,11311,1574,126,26,23,922,18457,43,143,191,90,16,4,4,55,541,6,21,15,8,3,0,9,13,66,531,4508,14279,8256,3784,888,271,1399,33923
SED10079,45,417,3792,10974,7918,1760,281,1027,26219,4,158,719,494,56,7,4,96,1542,5,44,198,225,39,6,5,35,555,7,202,922,718,94,11,5,135,2097,7,259,626,202,14,4,3,105,1217,3,29,56,25,0,0,0,12,124,0,66,111,70,3,0,0,17,261,0,19,4,0,0,0,0,0,23,0,16,42,21,7,5,0,10,98,12,387,832,319,26,10,0,143,1724,37,94,116,54,9,5,0,44,351,6,15,14,6,4,0,0,11,54,96,1113,5675,12065,8047,1781,298,1361,30440
SED10080,16,50,112,268,163,43,17,31,698,4,116,308,231,60,13,5,35,774,103,676,1873,2695,1057,179,54,254,6886,108,793,2179,2928,1117,193,56,288,7662,133,525,464,102,16,0,8,92,1352,486,1302,905,236,21,5,4,223,3178,1469,4368,3586,1138,54,12,10,708,11340,1099,7543,9413,2258,128,19,11,1527,21995,0,6,0,0,0,0,0,3,13,3184,13744,14371,3734,223,31,38,2544,37875,14,70,71,29,4,0,0,67,254,34,105,44,15,3,6,4,58,267,3353,14755,16776,6974,1511,270,119,2991,46752
