SED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SED10068,12152,1491,820,349,47,14858,7478,575,304,23,6,8391,2974,1220,1484,45,17,5735,120,124,152,0,4,403,151,205,187,0,0,545,1019,244,234,22,8,1530,151,57,50,74,30,363,18,20,16,0,0,59,4432,1876,2129,147,57,8634,372,348,182,12,6,926,1107,417,233,146,41,1937,25542,4704,3665,677,156,34756
SED10069,10477,1386,374,274,57,12560,8129,624,116,19,8,8896,2843,1197,425,38,11,4509,398,116,55,4,0,574,147,127,38,3,0,313,913,225,79,19,9,1248,405,50,11,149,12,630,20,17,3,4,0,50,4725,1734,611,212,34,7325,584,261,36,9,8,896,1046,260,72,129,16,1523,24960,4267,1205,645,121,31202
SED10070,7623,600,173,17,6,8413,7264,1692,816,3,5,9782,3332,1248,1195,5,21,5805,417,541,203,0,3,1164,56,82,113,0,0,250,758,163,134,9,0,1064,218,22,43,36,6,323,35,14,11,0,0,64,4814,2075,1697,49,31,8667,250,97,77,0,0,431,859,322,289,35,7,1512,20806,4783,3059,106,52,28806
SED10071,5430,453,72,7,6,5971,16789,1856,690,14,70,19421,6149,1358,1291,6,18,8828,184,44,13,0,0,246,74,15,0,0,0,84,720,114,68,0,7,913,180,27,14,0,0,218,21,6,3,0,0,36,7326,1564,1399,13,24,10323,188,122,12,0,0,321,1050,181,211,0,9,1451,30790,4169,2391,32,111,37486
SED10072,6196,1443,2272,61,3,9976,4489,1272,4553,21,12,10341,1569,868,8661,94,54,11248,37,37,364,0,0,439,22,28,145,4,0,201,471,202,940,36,14,1665,71,40,131,16,7,269,3,11,40,4,0,56,2170,1184,10284,160,80,13877,193,76,252,8,0,535,604,193,1344,54,22,2221,13656,4170,18700,307,114,36947
SED10073,6365,1332,1925,6,4,9635,5174,1685,3874,13,4,10751,1741,1718,9692,70,28,13240,161,361,216,0,0,731,83,188,215,0,10,497,626,269,966,7,16,1891,74,57,129,6,16,290,21,18,48,0,0,84,2700,2609,11265,89,71,16736,189,108,388,0,0,687,404,256,900,10,15,1577,14834,5982,18353,115,97,39384
SED10074,7219,517,502,0,0,8243,8202,1245,1153,0,8,10616,3058,1057,3021,14,25,7171,366,737,192,0,0,1299,36,103,104,0,0,245,714,118,229,0,5,1066,76,65,28,0,0,169,25,17,10,0,0,49,4269,2100,3581,14,33,10006,185,83,405,0,0,670,763,272,384,6,4,1432,20637,4213,6028,25,50,30957
SED10075,9868,1035,209,236,13,11371,10400,973,200,12,7,11589,3165,1309,601,17,8,5105,1264,493,182,0,0,1934,73,82,54,0,0,205,898,215,108,7,4,1238,69,22,11,31,0,136,25,13,5,0,0,52,5500,2129,965,60,14,8661,219,157,69,10,0,457,977,272,112,62,7,1431,26970,4573,1564,375,38,33519
SED10076,12942,658,159,478,50,14283,7873,193,65,24,17,8169,3551,664,256,8,3,4488,422,118,33,0,0,575,321,171,53,0,3,546,1387,108,55,23,4,1580,377,34,16,87,19,536,32,13,7,0,4,52,6089,1111,411,125,33,7776,396,301,32,23,20,776,1540,231,77,156,83,2086,28843,2499,741,808,206,33089
SED10077,5835,1168,1722,17,9,8746,4029,1169,4281,25,7,9515,1533,938,10624,154,78,13330,72,230,471,0,0,780,37,36,153,0,4,234,469,179,1175,22,15,1858,92,67,406,4,16,585,7,8,74,0,0,92,2229,1464,12895,177,116,16879,194,82,394,9,6,684,460,150,1306,21,48,1984,12744,4028,20601,245,189,37809
SED10078,5049,1185,2141,52,7,8439,3469,1488,3735,55,6,8753,1268,916,9165,289,31,11665,62,65,589,0,0,713,61,31,350,6,0,447,397,210,1070,69,11,1750,40,14,101,18,3,173,6,0,37,3,0,50,1836,1236,11305,375,47,14797,145,46,348,4,0,546,269,125,927,50,13,1386,10773,4083,18457,541,66,33923
SED10079,11046,784,428,181,16,12439,9326,259,156,20,6,9761,3089,525,499,40,5,4163,263,153,266,0,0,679,38,22,59,0,0,113,1004,94,82,12,6,1191,144,25,16,55,3,242,24,8,8,0,0,40,4564,815,925,105,15,6426,255,107,82,8,5,459,1025,134,137,41,12,1355,26219,2097,1724,351,54,30440
SED10080,247,1990,5711,22,17,7987,220,1895,5259,23,16,7415,120,2379,19669,103,108,22386,0,367,556,0,4,931,0,27,382,0,3,417,32,554,2731,29,31,3380,13,42,295,8,20,377,0,12,84,0,0,101,168,3387,23720,135,171,27587,22,85,681,6,6,796,34,302,2507,69,58,2966,698,7662,37875,254,267,46752
SED10081,10061,333,36,88,39,10555,9224,146,23,16,12,9426,4133,1385,322,19,14,5874,532,173,81,0,0,786,160,121,42,0,0,329,1583,163,23,14,3,1794,271,29,13,63,11,388,53,24,7,0,0,91,6733,1901,493,100,35,9263,655,137,9,10,27,845,1948,355,84,137,33,2559,28621,2873,645,354,150,32644
SED10082,9838,868,652,124,5,11494,9815,386,374,10,5,10590,2361,369,643,23,8,3401,257,106,42,0,0,409,35,31,24,0,0,88,787,84,126,5,9,1016,156,31,14,11,0,224,27,5,6,0,0,37,3625,630,867,37,20,5171,402,651,268,3,5,1326,861,241,202,7,0,1312,24532,2785,2357,178,38,29891
SED10083,7291,1467,531,73,12,9374,9306,782,275,15,7,10378,3003,1175,865,33,12,5091,365,512,98,0,6,981,113,77,70,0,6,253,914,218,116,9,5,1264,77,39,5,43,0,170,24,17,10,22,0,70,4504,2038,1159,105,27,7829,216,567,138,7,4,929,852,380,139,53,8,1436,22164,5228,2241,252,51,29941
SED10084,8776,2640,1461,728,55,13669,7386,1504,669,21,9,9599,1730,1305,1351,7,12,4399,165,336,189,0,0,692,42,111,49,0,0,211,1018,549,359,25,25,1976,205,176,102,127,24,624,24,18,5,7,0,54,3183,2493,2062,158,55,7957,289,201,209,25,12,737,1073,416,398,236,10,2133,20711,7256,4809,1169,145,34084
SED10085,10243,240,73,140,40,10734,9764,180,40,19,10,10015,3029,962,205,21,8,4223,556,140,44,0,0,743,155,93,9,0,0,270,1348,88,19,23,11,1487,419,48,12,82,20,589,26,9,0,0,0,40,5534,1339,291,128,45,7342,845,66,14,15,15,944,1837,231,40,80,9,2197,28229,2054,458,377,116,31231
SED10086,3543,1363,4697,50,14,9668,2413,1370,3915,45,10,7757,485,621,9910,96,19,11130,0,0,217,0,3,222,3,12,76,0,0,85,196,198,1860,38,5,2299,22,15,115,3,15,178,3,9,48,0,0,54,707,841,12225,141,45,13973,104,64,493,5,10,671,256,160,1257,32,24,1740,7031,3808,22595,275,99,33812
SED10087,9201,313,263,51,28,9863,9858,123,125,17,15,10133,3820,671,1478,41,10,6020,870,49,147,0,0,1072,87,69,73,0,0,228,1388,107,128,7,12,1647,454,39,30,32,7,564,32,13,12,0,0,62,6653,942,1876,84,37,9593,480,157,71,6,14,721,1421,174,208,58,40,1903,27612,1703,2547,213,130,32208
SED10088,6893,563,1816,5,3,9283,7813,455,2543,14,7,10825,1699,293,3700,38,14,5751,108,172,174,0,0,454,86,118,142,0,0,355,639,71,630,7,6,1359,57,46,58,0,7,167,20,3,32,0,0,60,2618,711,4740,48,23,8141,155,255,357,0,3,774,423,100,425,16,3,970,17896,2090,9881,82,44,29998
SED10089,8713,783,119,9,8,9630,10196,702,150,6,4,11059,4335,1542,851,33,13,6766,519,514,240,0,0,1277,135,141,70,0,0,348,1478,259,192,7,11,1939,177,41,20,0,0,238,41,6,4,0,0,52,6676,2506,1374,39,22,10621,353,291,25,0,4,666,829,295,191,7,3,1326,26768,4578,1849,65,43,33297
SED10090,6303,1159,3092,6,5,10565,4871,1204,2815,3,6,8900,1410,863,8186,66,20,10551,18,12,176,0,4,202,13,16,172,0,0,200,441,193,988,28,12,1659,31,11,104,10,0,157,3,3,29,0,0,45,1915,1100,9657,100,37,12807,171,50,387,4,0,619,286,87,622,9,7,1012,13549,3605,16571,127,56,33909
SED10091,9814,564,92,62,19,10551,11865,166,59,13,13,12114,2903,389,219,36,16,3561,142,37,25,0,0,200,169,50,24,0,0,241,838,48,33,10,11,942,139,16,8,44,3,211,17,10,3,0,0,30,4204,554,307,81,34,5179,471,287,31,4,3,799,1121,90,30,33,3,1272,27478,1657,513,194,74,29919
SED10092,8045,582,2108,192,12,10932,6179,627,1628,47,10,8489,2589,1076,5078,75,19,8836,1065,573,1051,3,0,2685,56,47,123,3,0,240,741,206,693,31,9,1679,142,21,89,32,9,294,33,7,31,0,0,73,4622,1933,7059,148,43,13807,239,72,341,7,8,662,871,245,830,53,24,2021,19951,3459,11968,447,82,35918
SED10093,8285,545,438,40,3,9309,9866,322,179,5,7,10381,5160,630,595,8,14,6413,338,253,249,0,0,839,105,161,109,0,0,374,1136,100,103,0,9,1350,230,32,9,37,3,320,29,15,3,0,0,48,6994,1200,1071,54,32,9342,249,133,26,3,11,425,1292,280,193,38,5,1807,26685,2485,1912,137,57,31273
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,848,3089,4105,60,9,8102,638,2627,5606,92,15,8983,337,2296,14493,235,37,17397,3,457,877,0,3,1341,0,43,375,4,0,421,87,528,1694,53,15,2374,3,25,113,6,9,147,4,4,46,0,0,57,439,3354,17599,295,56,21741,29,147,465,0,8,649,70,423,1955,86,27,2560,2020,9636,29726,532,120,42037
SED20207,7490,1003,270,0,3,8769,13550,1648,277,0,0,15484,7456,1523,498,14,4,9498,194,40,65,0,0,302,27,13,34,0,0,74,854,165,66,5,0,1084,176,33,4,0,0,222,41,7,4,0,0,52,8747,1779,670,17,15,11234,269,77,140,4,0,492,1423,230,88,0,0,1749,31481,4744,1457,23,17,37722
SED20302,10892,903,107,173,13,12082,17672,539,70,5,18,18312,5991,783,183,0,8,6971,194,159,53,0,0,399,40,56,23,0,0,120,1508,92,28,4,3,1635,168,24,7,48,3,250,41,5,3,4,0,49,7938,1118,299,61,14,9429,502,322,14,10,4,854,2091,236,49,45,0,2423,39092,3123,548,286,51,43104
SED20401,6592,1040,130,3,7,7764,8126,1654,271,0,7,10051,2703,1424,250,4,6,4390,292,186,133,0,0,613,35,43,47,0,0,134,669,208,40,0,3,925,50,23,0,0,0,77,15,13,3,0,0,31,3770,1902,480,7,14,6172,164,76,19,0,0,251,681,231,77,0,4,997,19325,4902,978,17,26,25240
SED20508,11692,631,74,103,11,12509,9253,259,19,10,7,9547,3235,424,43,14,5,3720,58,46,0,0,0,99,36,14,0,0,0,52,899,106,15,6,0,1033,88,11,0,54,4,158,26,5,0,4,0,34,4339,608,61,79,10,5098,557,110,7,11,0,681,1191,124,12,58,0,1383,27029,1724,173,257,24,29212
SED20604,9196,282,63,85,17,9637,9097,178,37,24,20,9347,3269,754,173,14,6,4208,673,242,57,0,0,970,57,33,6,0,0,96,1162,122,46,9,11,1347,327,24,10,21,6,386,33,15,0,0,0,42,5514,1191,288,48,21,7055,433,23,10,3,17,491,1369,228,46,96,21,1754,25608,1894,437,254,92,28292
SED20704,8900,405,23,47,24,9406,9873,225,17,11,21,10153,3686,836,37,10,3,4574,418,209,28,0,0,652,133,69,8,0,0,210,1174,150,4,5,6,1338,96,17,0,14,6,131,24,11,0,0,0,37,5532,1293,69,23,20,6939,358,34,4,4,0,396,1150,195,22,43,4,1411,25813,2154,146,127,69,28308
SED20804,9394,262,33,60,16,9764,8340,174,26,10,11,8562,3179,613,129,14,8,3950,516,285,63,0,0,862,116,66,14,0,3,193,1390,102,35,12,9,1552,124,9,6,13,5,158,28,0,3,0,0,33,5355,1081,250,41,23,6750,300,24,4,0,0,330,1308,153,55,35,0,1547,24695,1688,371,147,52,26952
SED20906,6423,1037,767,12,14,8247,6034,1634,1312,17,9,9002,2393,1209,1506,36,7,5158,95,79,245,0,0,414,24,12,121,0,0,166,522,208,221,10,0,963,33,14,29,3,0,74,10,5,4,0,0,24,3079,1529,2125,49,11,6795,198,84,147,0,4,432,458,164,265,10,0,899,16191,4449,4621,87,36,25378
SED21001,6829,2230,784,3,3,9857,5369,1786,947,8,3,8114,2010,2383,2858,14,9,7272,35,95,89,0,0,221,41,74,48,0,4,155,542,421,419,9,5,1391,70,71,85,0,0,234,9,13,16,0,0,40,2704,3056,3510,16,14,9310,235,261,163,0,4,664,361,365,478,3,4,1214,15497,7704,5887,33,41,29153
SED21106,5699,1909,1454,24,4,9092,4357,1365,1617,20,0,7362,1283,1192,3635,53,11,6175,47,119,97,0,0,265,3,13,78,0,0,100,341,222,453,15,0,1032,21,10,23,5,0,62,3,4,13,0,0,24,1703,1567,4309,69,11,7658,142,98,189,4,6,437,376,207,468,13,0,1066,12278,5147,8041,127,24,25616
SED21203,6262,403,122,12,4,6797,6245,1125,209,4,6,7587,2727,1153,325,9,11,4224,931,282,195,0,0,1409,50,35,48,0,0,131,1113,205,72,6,6,1407,375,77,30,97,3,581,57,11,3,5,0,73,5252,1768,667,120,26,7821,288,68,18,0,3,379,1478,386,174,47,4,2092,19517,3746,1192,183,41,24672
SED21303,5375,1507,956,35,12,7872,3963,2107,2664,34,4,8778,2129,3215,6528,113,7,11995,57,302,417,0,0,775,11,34,132,0,0,178,691,597,734,33,0,2057,29,20,32,0,3,83,5,10,24,0,0,44,2920,4179,7866,153,10,15130,165,113,129,4,0,417,318,285,610,63,4,1278,12738,8197,12223,282,36,33477
SED21401,8636,1523,733,0,3,10894,5261,1475,833,0,4,7570,2224,1007,1223,5,4,4469,31,24,29,0,0,79,12,14,47,0,3,68,537,172,167,0,0,880,55,18,15,0,3,87,11,0,6,0,0,18,2872,1240,1487,5,12,5614,248,164,237,0,3,651,498,136,174,0,0,814,17505,4531,3461,5,23,25528
SED21503,7237,704,145,0,4,8083,6530,971,267,0,3,7769,2407,1149,775,3,4,4347,272,159,20,0,0,451,50,21,25,0,0,98,652,172,84,0,5,908,115,20,23,0,0,154,11,5,0,0,0,23,3511,1525,931,3,9,5981,260,83,25,0,0,371,623,150,102,13,8,891,18161,3421,1469,22,25,23090
SED21608,8011,456,64,27,0,8562,9637,393,26,15,9,10081,2987,834,118,8,4,3953,330,190,35,0,0,552,69,58,20,3,0,149,925,167,20,6,3,1132,101,11,0,21,4,136,28,10,0,0,0,37,4443,1266,192,39,14,5960,382,72,10,5,0,459,1176,191,28,29,11,1425,23651,2376,308,118,41,26491
SED21706,6594,1376,491,13,7,8488,5796,1582,753,6,8,8139,2326,1503,1175,33,4,5038,369,280,310,0,0,966,35,50,159,0,0,243,563,252,145,11,0,972,66,36,31,0,0,138,10,14,12,0,0,37,3370,2140,1832,47,11,7397,264,217,75,0,0,558,494,218,197,5,6,917,16516,5530,3351,69,31,25499
SED21805,5748,1611,294,96,10,7753,9414,2177,316,9,4,11916,3014,1802,306,5,3,5129,206,136,60,0,0,407,51,67,5,0,0,126,690,273,58,7,0,1020,125,46,13,135,0,318,13,21,5,4,0,47,4103,2339,447,149,6,7047,170,252,97,5,5,529,818,340,91,87,5,1339,20248,6718,1241,350,25,28586
SED21906,4525,2256,1338,29,9,8152,3510,2130,2291,28,0,7964,1013,1989,5573,88,12,8685,3,82,127,0,0,222,4,41,94,0,0,140,352,491,729,29,0,1604,32,23,59,0,0,110,7,16,29,0,0,56,1420,2649,6611,118,16,10813,124,132,157,6,0,426,315,285,602,17,7,1228,9895,7449,11001,198,32,28582
SED22005,7412,1144,326,3,6,8888,5503,1723,554,3,0,7791,3089,2651,1039,6,15,6793,235,228,54,0,0,518,64,35,9,0,0,113,803,459,115,0,4,1386,163,101,24,0,0,289,25,18,6,0,0,50,4369,3489,1253,11,20,9138,260,117,199,0,0,577,739,361,174,7,4,1287,18287,6841,2504,23,30,27679
SED22105,5392,765,143,0,0,6294,20219,1391,72,0,13,21694,6488,1107,144,5,18,7758,268,61,31,0,0,361,51,26,24,0,0,97,1130,137,21,0,0,1292,194,36,0,0,0,235,35,10,0,0,0,48,8166,1381,217,7,17,9794,371,245,104,0,0,724,1698,295,53,0,3,2044,35840,4078,586,3,38,40552
SED22201,7215,557,96,0,9,7879,8700,743,214,0,9,9673,3186,644,193,4,10,4037,254,95,63,0,0,414,64,41,14,0,0,114,656,99,26,5,0,791,55,14,8,0,0,76,9,3,0,0,0,20,4229,889,303,10,12,5439,350,125,3,0,0,480,633,99,40,7,3,781,21127,2416,656,13,32,24246
SED22305,5662,884,248,12,9,6814,5776,1461,464,8,3,7713,3026,2169,1366,13,16,6589,555,548,167,4,0,1276,48,83,76,0,4,205,965,342,146,4,9,1465,298,113,42,42,9,501,53,19,18,0,0,83,4938,3272,1813,63,37,10130,233,105,33,0,0,372,1224,518,301,17,44,2109,17834,6246,2858,104,95,27132
SED22404,9611,228,95,229,32,10186,9331,117,36,19,13,9517,1391,208,26,9,4,1641,133,74,0,0,0,213,26,14,6,0,0,54,900,46,19,14,4,984,171,4,14,53,5,241,19,11,0,5,0,34,2643,361,73,77,16,3158,450,29,16,9,4,519,1657,59,29,72,6,1815,23692,798,241,395,69,25198
SED22501,8200,433,244,3,4,8892,8471,580,219,0,3,9270,1286,435,182,0,0,1899,88,32,9,0,0,136,8,42,23,0,0,73,377,80,33,0,0,487,32,10,7,0,5,45,6,12,0,0,0,17,1787,608,250,7,9,2651,163,52,29,0,3,250,395,73,45,6,0,516,19015,1750,788,11,15,21579
SED22607,5747,1327,1099,13,9,8193,4793,1704,2073,15,0,8584,1505,1808,4742,44,10,8100,46,170,1361,0,0,1582,31,21,137,0,0,191,379,284,537,17,4,1221,37,10,45,5,4,98,14,7,23,0,0,38,2010,2306,6847,66,11,11236,154,63,123,0,0,343,316,238,866,11,5,1435,13026,5637,11002,106,28,29791
SED22704,10888,420,11,139,12,11469,8905,126,12,23,13,9084,2147,521,23,15,8,2708,398,199,0,0,0,602,71,37,0,0,0,108,1078,108,4,11,7,1207,402,33,5,76,5,531,35,12,0,4,0,51,4136,907,34,106,26,5206,510,111,0,10,0,641,2034,178,14,166,9,2405,26477,1747,72,449,60,28802
SED22802,6821,435,9,28,4,7301,9989,364,7,8,7,10373,1878,366,7,0,7,2264,116,59,6,0,0,178,44,26,0,0,0,69,659,64,0,0,8,732,49,4,0,36,3,92,18,0,0,0,0,20,2769,525,18,36,17,3359,253,104,0,0,0,361,617,82,3,7,0,711,20448,1507,41,86,30,22113
SED22901,6976,725,116,11,4,7832,7415,861,136,8,0,8421,2784,583,151,9,4,3531,174,104,29,0,0,305,31,50,45,0,0,124,527,77,34,0,0,634,35,24,0,0,6,66,15,12,0,0,0,22,3569,849,255,7,8,4687,216,423,20,0,0,665,512,175,53,3,0,744,18690,3022,588,29,14,22347
SED23007,5829,1165,619,21,5,7635,5333,2681,1874,22,7,9917,3085,2383,4057,24,14,9565,483,799,266,0,4,1544,53,66,122,0,0,243,939,453,401,14,8,1817,139,76,58,37,3,321,43,18,25,0,0,82,4735,3798,4929,79,30,13575,269,123,62,0,4,460,876,525,739,19,10,2162,17041,8287,8230,138,58,33753
SED23101,7897,1186,141,3,0,9221,6149,915,241,0,0,7302,2353,705,204,10,0,3274,167,181,15,0,0,363,34,49,54,0,0,143,555,155,51,5,0,765,81,20,53,0,0,154,11,14,14,0,6,34,3197,1129,386,14,6,4731,201,303,77,0,0,576,419,178,73,4,3,676,17865,3702,911,22,11,22508
SED23205,6132,836,90,24,7,7081,7512,913,143,0,5,8571,3926,1516,574,9,15,6037,483,271,53,0,3,811,64,48,36,0,0,146,814,260,67,5,0,1156,55,26,10,12,0,106,25,13,9,0,0,48,5364,2135,754,28,19,8301,178,253,49,0,0,481,1162,326,169,33,4,1695,20344,4465,1206,90,35,26136
SED23308,7501,915,312,85,10,8825,7590,678,234,13,8,8523,4086,1860,1049,26,23,7040,454,336,80,0,0,878,82,180,58,4,9,332,1065,355,117,18,16,1569,92,52,22,107,6,283,33,28,6,0,0,60,5811,2817,1333,158,44,10166,235,59,18,12,6,331,869,322,145,66,7,1412,22021,4790,2048,334,72,29263
SED23402,6933,715,27,61,8,7743,13512,594,5,7,8,14124,4126,701,14,0,7,4855,82,23,11,0,0,109,13,44,0,0,0,61,687,94,6,5,5,792,56,15,0,28,0,105,20,7,0,0,0,24,4982,884,33,37,18,5942,272,305,15,0,0,598,1198,156,10,14,0,1378,26895,2660,86,115,34,29793
SED23502,11641,423,67,265,26,12430,7445,114,25,12,14,7609,1981,387,141,16,3,2530,314,150,77,0,0,543,109,61,17,0,4,189,1198,84,16,13,12,1328,168,24,10,75,14,292,30,16,4,4,0,55,3807,713,270,109,31,4927,469,78,16,11,4,579,1713,150,57,112,22,2049,25078,1479,428,518,103,27599
SED23602,10290,278,113,139,18,10842,7468,120,28,14,12,7640,1978,315,247,10,0,2557,278,95,48,0,0,425,68,23,49,0,0,140,969,54,32,5,8,1063,307,17,9,56,0,384,29,8,3,4,0,46,3636,503,395,72,7,4618,475,37,22,7,0,540,1518,89,34,57,5,1707,23388,1027,597,295,46,25351
SED23702,7526,991,46,51,5,8624,10971,998,37,5,5,12022,1830,1060,30,4,0,2930,260,119,0,0,0,385,23,45,0,3,0,68,728,207,10,3,6,948,250,29,3,125,9,414,19,5,0,3,0,28,3108,1463,41,141,15,4766,293,168,5,3,3,476,945,212,3,68,4,1238,22851,3839,134,269,32,27126
SED23806,5353,1790,1670,12,14,8836,3633,1326,2211,5,6,7185,1050,1316,5414,48,15,7843,6,5,128,0,0,141,0,33,63,0,3,96,280,285,676,16,4,1262,19,14,55,5,0,92,4,5,13,0,0,31,1358,1652,6357,64,21,9459,140,86,239,0,7,468,257,137,541,15,4,959,10744,4998,11017,106,45,26899
SED23901,7277,1060,579,7,8,8923,6112,1492,612,9,5,8232,2300,1626,1586,12,13,5532,513,475,109,0,4,1097,35,83,96,0,0,212,578,265,194,11,0,1045,173,36,11,0,0,222,18,5,5,0,0,33,3617,2487,1996,28,18,8142,235,107,115,0,6,465,527,226,193,7,0,955,17765,5376,3497,39,38,26720
SED24006,7294,1717,765,11,8,9795,5048,1122,694,7,5,6873,1708,1216,1603,30,4,4564,23,7,31,0,0,63,11,11,8,0,0,35,392,223,191,4,0,817,38,9,5,0,0,54,13,4,9,0,0,24,2186,1475,1846,32,6,5550,252,90,105,0,0,445,384,116,183,18,8,700,15162,4519,3587,69,25,23360
SED24105,7336,732,179,29,0,8275,7954,1086,275,3,3,9318,2573,905,467,5,13,3959,231,92,61,0,0,381,32,22,9,0,0,61,851,130,71,5,0,1063,227,39,16,36,0,322,32,9,8,0,0,46,3946,1202,632,41,15,5835,230,87,9,5,0,329,756,154,86,23,0,1029,20216,3268,1180,102,21,24788
SED24207,7218,377,67,33,6,7708,13907,715,120,6,14,14757,3946,590,197,0,4,4739,285,54,12,0,0,349,67,40,3,0,0,115,1018,109,20,0,0,1155,204,16,5,64,9,294,43,4,0,3,0,54,5570,803,234,69,14,6699,337,105,10,3,0,457,1577,146,96,29,0,1849,28604,2155,533,142,32,31464
SED24308,7828,496,82,52,0,8463,8019,409,81,4,4,8524,4296,964,206,9,11,5483,916,424,25,0,0,1361,159,78,19,0,0,258,963,139,51,5,8,1156,135,29,7,37,4,213,42,8,0,0,0,54,6505,1642,313,50,24,8525,286,38,3,36,0,367,1359,263,34,12,0,1677,23994,2845,521,160,35,27551
SED24408,11005,171,80,116,24,11389,6666,45,19,9,3,6753,1825,287,261,11,3,2387,341,121,73,0,0,538,45,39,32,0,0,118,1280,58,46,4,3,1390,294,32,19,48,0,388,30,14,6,0,0,51,3815,543,443,68,3,4883,790,56,19,8,8,877,1372,81,77,35,8,1562,23648,895,632,236,49,25462
SED24504,9332,376,10,47,7,9769,10018,167,19,39,4,10250,1418,323,21,12,4,1782,113,79,5,0,0,201,41,72,4,0,0,119,849,104,5,19,8,978,84,4,0,20,7,118,12,5,0,0,0,19,2516,593,31,55,14,3208,356,24,5,9,4,399,1273,77,0,19,3,1375,23496,1233,71,171,39,25010
SED24606,5115,1858,1814,63,11,8861,3607,1308,1932,35,3,6886,869,1165,4432,129,8,6600,7,64,101,0,0,179,5,20,159,0,0,187,242,223,570,19,4,1061,29,8,47,3,4,92,3,3,17,0,0,22,1154,1490,5324,147,16,8136,105,91,167,41,0,402,298,165,484,34,0,976,10266,4910,9721,322,36,25259
SED24703,588,2600,4880,28,22,8110,509,2232,6314,22,11,9082,385,3337,27811,81,97,31703,18,317,1726,0,0,2069,3,78,399,8,5,485,113,916,3217,35,27,4301,6,50,469,8,13,551,0,10,81,0,5,98,519,4706,33702,125,149,39203,39,177,976,6,4,1204,39,330,4243,127,72,4811,1697,10050,50106,307,260,62419
SED24808,7073,632,26,20,3,7755,14434,557,28,5,9,15041,5537,942,32,0,10,6526,331,155,37,0,0,514,77,106,4,0,0,188,1125,146,19,4,0,1297,137,56,10,17,0,224,38,21,0,0,0,60,7243,1423,106,26,9,8811,315,51,3,3,0,370,1912,305,16,20,7,2256,30984,2971,180,69,31,34238
SED24904,8217,373,155,304,29,9074,7301,173,60,10,5,7544,2527,637,490,14,11,3675,460,219,132,0,0,816,101,42,84,0,0,231,1531,164,101,26,14,1843,430,36,48,159,36,710,59,15,17,17,3,115,5115,1119,874,217,62,7387,583,48,73,28,14,744,1781,220,214,146,30,2392,22997,1931,1372,707,137,27147
