SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED30055,1148,790,983,982,920,835,657,304,62,6671,9891,5469,5747,6258,6528,7237,5641,2430,578,49777
SED30056,462,263,138,273,341,239,164,148,127,2149,10475,6253,3635,6890,7985,5950,4724,2904,1170,49984
SED30057,1358,851,835,700,580,429,354,250,185,5545,12247,7786,8373,7079,6975,6420,5509,3170,1179,58735
SED30058,525,291,277,359,358,295,233,121,88,2548,9963,5978,6255,7649,7004,5872,4865,2604,1126,51307
SED30059,956,600,476,661,641,491,402,317,285,4834,11701,7110,6296,8293,8536,6927,5525,3207,1166,58759
SED30060,1528,809,829,795,758,602,460,239,141,6154,12633,7084,7388,7403,7297,6276,4875,2235,615,55801
SED30061,794,1540,1278,906,706,518,410,293,182,6622,8691,9564,7235,6203,6293,5649,4228,2616,1040,51516
SED30062,1123,620,754,664,509,309,255,160,193,4585,15815,8487,11086,10417,7949,5910,4693,2646,1096,68097
SED30063,1127,614,527,594,769,803,734,465,101,5735,8923,5183,4911,5226,6613,8028,8243,4267,1139,52537
SED30064,836,442,447,561,537,498,350,214,179,4058,8896,5257,5271,5961,6670,6728,5864,3408,1315,49380
SED30065,853,484,383,582,562,483,378,239,83,4063,11210,5472,5361,7633,7801,7260,6826,3565,1091,56212
SED30066,652,379,408,500,624,638,585,399,192,4374,7385,4425,3818,5372,7213,8219,8466,4851,1452,51184
SED30067,606,449,635,533,440,305,192,110,97,3371,9646,6611,10209,9053,7125,5606,4067,2169,1064,55561
SED30068,407,360,234,232,365,348,272,203,126,2544,7193,5376,3320,4931,6538,6592,5768,3630,1465,44810
SED30069,812,422,395,452,499,300,235,132,40,3302,11520,6750,6406,7743,8111,6552,4982,2311,560,54942
SED30070,735,447,355,371,466,414,484,325,105,3700,7723,4562,4466,4890,5780,7377,9555,5770,1462,51585
SED30071,667,479,426,527,624,549,426,260,110,4075,7778,5162,4547,6141,7746,7903,7661,4331,1625,52896
SED30072,754,431,335,407,473,433,344,182,88,3457,9340,6022,5323,6105,7065,7346,6758,3886,1332,53178
SED30073,1161,732,732,665,651,549,406,224,125,5243,11133,7197,7530,6623,6227,6166,4909,3012,1408,54216
SED30074,628,318,373,409,425,289,261,223,216,3140,10412,5753,6660,7995,7425,6213,5026,3091,1292,53876
SED30075,1009,618,559,687,788,663,526,282,154,5279,10069,5778,5173,6539,7927,7977,6849,3436,1066,54821
SED30076,587,1216,1686,1029,821,631,528,353,193,7047,6600,12557,17738,10066,7742,5783,3985,2110,875,67469
SED30077,1019,546,550,568,677,718,637,375,133,5221,8944,5014,5078,5103,6252,7312,6987,3948,1310,49940
SED30078,687,750,793,697,660,589,460,436,347,5414,8261,7854,8404,7185,7292,6422,5746,4037,1762,56958
SED30079,616,388,322,430,390,308,243,97,37,2838,10900,6161,6434,8176,7117,5832,4958,2296,615,52483
SED30080,671,518,676,550,491,379,311,256,283,4129,9830,7520,9951,8613,7494,5542,3876,2604,1436,56868
SED30081,744,442,485,563,381,312,254,160,89,3419,12117,7479,8938,9437,6898,6338,4991,2426,892,59506
SED30082,743,872,1486,1020,1067,1230,1063,617,180,8278,6271,6421,9557,7276,7726,8406,8005,4696,1365,59722
SED30083,1014,583,522,631,607,356,227,90,35,4064,13192,7721,7389,8952,8404,5990,4301,2207,714,58867
SED30084,1238,706,685,624,588,400,256,136,39,4677,10981,7242,6759,6384,6522,5627,4544,2449,692,51203
SED30085,499,547,716,491,373,250,220,136,77,3308,9304,7831,10920,8736,6538,5522,4545,2697,1083,57171
SED30086,816,606,575,598,608,554,430,287,124,4594,10476,7302,6771,6368,6719,6585,5852,3759,1361,55188
SED30087,779,565,531,444,404,389,322,285,175,3895,10889,7635,8158,6957,6227,5704,5554,4025,2004,57154
SED30088,895,758,868,777,718,732,537,249,89,5616,8484,6636,7888,6664,6905,7189,5562,2454,774,52564
SED30089,1203,1060,1366,1329,1419,1424,1129,394,74,9397,9698,6288,7427,6668,6740,7499,6365,2348,485,53512
SED30090,1059,720,757,700,826,808,533,251,136,5774,8911,5064,5560,5369,6019,6439,5214,2387,805,45770
SED30091,1594,954,1016,871,687,480,407,294,219,6518,13302,8039,9512,8218,6885,5772,5005,3018,1120,60874
SED30092,1171,741,1070,872,917,1057,766,310,70,6975,10883,6323,7715,7442,7461,7986,6116,2388,484,56806
SED30093,2303,1251,1240,1176,882,555,362,203,108,8078,17872,10678,10338,9558,8206,6718,4641,2098,555,70669
SED39797,0,13,60,75,43,16,12,0,0,220,6,24,87,111,79,34,14,0,0,354
SED40001,418,817,1103,822,715,645,482,253,203,5450,4885,8819,9522,6289,5360,5345,4577,2459,1192,48451
SED40002,282,293,305,280,213,216,151,124,84,1947,5949,5198,7792,5765,4523,4222,3391,2089,1358,40282
SED40003,360,195,175,243,228,214,149,78,28,1669,6245,3857,3758,4794,4696,4926,4073,1759,625,34745
SED40004,251,169,122,167,210,153,144,132,66,1415,6553,4728,3186,4643,5163,4555,4468,3016,1305,37616
SED40005,531,364,372,406,467,514,507,247,105,3511,5848,3642,3968,3801,4764,5603,5469,2768,1124,36981
SED40006,389,318,370,314,324,313,180,138,67,2414,6261,4729,6600,5421,4961,4818,3335,1870,1001,38995
SED40007,284,226,192,208,319,264,191,127,79,1897,5802,4117,3764,4428,5181,5027,4109,2827,1335,36598
SED40008,477,387,473,431,386,293,208,125,38,2826,6743,5554,8091,6128,5199,4621,3349,1844,1017,42552
SED40009,352,245,224,244,261,278,198,129,59,1994,6206,4617,4316,4784,4666,4816,4185,2147,801,36542
SED40010,250,264,290,244,283,251,162,124,57,1930,5477,4779,5756,4932,4718,4757,4001,2497,1115,38023
SED40011,335,255,298,244,315,233,153,134,79,2043,6542,4746,5835,5463,4864,4405,3549,2253,1230,38866
SED40012,915,491,550,463,385,315,181,123,107,3521,8902,5266,5871,5161,4733,4659,2941,1733,802,40067
SED40013,440,373,711,571,421,238,141,103,51,3055,8088,5357,8327,7116,5050,4077,3080,1757,927,43780
SED40014,302,164,142,173,213,303,354,229,111,2001,4218,2392,2217,2784,3504,5081,7103,4492,1579,33372
SED40015,680,353,408,440,528,531,443,241,118,3743,6757,3379,4072,4114,4685,5405,4824,2347,923,36508
SED40016,478,323,316,331,280,196,160,86,46,2223,6905,4937,5947,5465,4602,4131,3548,2115,728,38380
SED40017,552,332,301,311,383,406,284,213,73,2855,6875,3972,3996,4136,4946,5821,4631,2405,846,37633
SED40018,286,238,214,202,241,259,233,142,96,1910,5528,4464,4804,4672,4506,4522,4637,2909,1729,37765
SED40019,783,587,1038,777,813,796,429,245,82,5547,6823,4523,6592,5385,5812,5883,3955,2194,642,41802
SED40020,573,373,460,434,446,404,325,219,87,3333,6171,3961,3992,3817,4684,5186,4785,2921,1007,36521
SED40021,315,253,234,250,266,218,151,210,212,2109,6201,4607,5701,5385,4745,4212,3651,3066,1786,39346
SED40022,401,249,191,264,295,307,269,96,42,2110,6272,3877,2760,4179,5296,5123,4417,1965,673,34553
SED40023,503,241,257,267,240,235,194,135,77,2141,6047,4090,4195,4244,4442,4305,4008,2215,847,34397
SED40024,568,395,340,356,344,285,205,137,68,2702,7459,4570,5503,5255,4970,4586,3926,2206,920,39392
SED40025,513,288,273,281,288,227,183,120,51,2225,7444,4496,4802,4797,4958,4378,3792,2052,703,37420
SED40026,361,286,174,192,260,256,131,75,42,1775,6560,4710,4022,4438,5082,5105,3492,1937,670,36022
SED40027,382,248,264,262,269,252,195,117,52,2046,4834,3337,4450,3990,4051,4352,4165,2618,1344,33127
SED40028,510,307,290,272,248,257,162,107,56,2216,6980,4508,4906,4276,4326,4398,3303,2125,895,35716
SED40029,574,377,378,389,500,513,418,285,109,3549,6499,3754,4127,4352,4907,5745,5033,2816,1005,38238
SED40030,476,279,255,298,340,388,312,172,71,2583,6435,3660,3362,4233,4875,5479,5199,2663,843,36759
SED40031,299,220,190,191,249,199,149,106,44,1647,6332,4461,4282,4805,4969,4580,3873,2591,841,36740
SED40032,228,202,211,221,219,231,177,141,60,1699,4756,3794,4867,4506,4040,4472,4219,2530,1387,34567
SED40033,567,383,473,537,523,454,342,242,166,3686,6317,4052,4204,4170,4612,4647,3945,2221,928,35098
SED40034,476,238,235,274,309,468,458,319,136,2915,4723,2448,2654,2874,3635,5517,6054,3411,1078,32389
SED40035,355,226,224,238,251,189,172,194,217,2076,5917,3830,4626,4694,4353,3876,4064,3115,1450,35916
SED40036,604,351,348,368,297,238,161,87,44,2503,8549,5537,6346,6003,4870,4534,3079,1452,431,40803
SED40037,376,304,272,310,325,352,203,109,42,2291,5361,3823,4557,4610,4886,5587,4114,1892,856,35686
SED40038,800,440,520,497,438,352,234,180,106,3562,9022,5490,6188,5962,5008,4861,3590,2006,926,43050
SED40039,471,304,321,328,285,263,185,123,58,2341,5910,3980,4882,4595,4295,4113,4115,2259,804,34953
SED40040,421,292,187,251,373,316,275,143,79,2342,6450,4004,3285,4251,5329,5580,4704,2362,852,36831
SED40041,719,501,725,680,701,644,474,260,99,4798,6037,3846,4299,3944,4766,5696,4811,2690,934,37030
SED40042,931,531,597,444,404,331,287,152,85,3766,9935,5580,7017,5329,4488,4176,2912,1570,579,41592
SED40043,460,327,353,379,304,223,170,122,53,2396,7599,4812,7065,6745,5033,4336,3645,2297,938,42474
SED40044,239,191,162,202,229,193,181,153,137,1686,5975,4342,4129,4742,4965,4493,4337,2715,1713,37412
SED40045,280,179,107,164,211,194,153,120,81,1491,6628,4335,3188,4661,5235,4561,4087,2564,928,36187
SED40046,323,257,309,304,263,224,131,93,47,1947,5345,4483,6605,5246,4633,4215,2929,1970,1036,36461
SED40047,383,228,209,252,258,228,167,99,27,1861,6537,4216,4296,4872,4556,4627,4061,1862,541,35568
SED49797,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34
SED50106,559,410,509,465,460,450,337,192,106,3493,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
SED50202,1170,660,752,633,545,407,259,176,103,4712,11095,6201,7641,7013,5728,5271,4152,2166,760,50027
SED50304,449,336,601,445,385,336,220,158,65,2993,6913,4410,8697,7312,5239,4593,3762,2451,1126,44493
SED50405,1088,493,586,566,418,278,170,130,57,3788,14727,6847,9165,8776,6426,4486,3015,1562,333,55335
SED50502,696,404,451,421,385,356,231,105,37,3100,8102,4970,5862,6048,5435,5258,3942,1931,724,42268
SED50605,326,258,209,268,288,250,219,121,56,1983,7569,5513,4415,5681,5700,5500,4964,2717,1166,43233
SED50702,645,536,834,723,638,491,291,193,129,4478,7835,5567,9421,7581,5995,5328,3858,2079,937,48593
SED50805,405,257,230,255,329,263,191,179,150,2261,6903,4502,4000,4860,5506,4766,3753,2363,1381,38031
SED50906,688,508,671,587,556,441,297,178,107,4031,8130,5091,5419,5611,5852,5408,4365,2390,1015,43276
SED51004,622,441,332,388,423,312,153,73,26,2759,8965,6325,5425,5791,6983,5664,3120,1427,434,44131
SED51104,1056,562,549,560,510,294,173,132,59,3891,13380,7014,8105,7821,7054,4785,3414,2046,750,54374
SED51205,715,520,715,545,388,303,205,147,87,3622,9683,6587,10074,8141,5600,4901,4054,2124,768,51929
SED51304,419,218,161,242,301,188,203,124,47,1904,8532,4495,3066,5538,5803,4876,5257,2782,848,41192
SED51401,863,548,720,718,822,788,579,361,133,5544,6358,3376,4110,4381,5227,6029,5152,2633,895,38163
SED51504,359,243,236,225,243,207,174,110,58,1854,8621,5294,4873,6190,6223,4729,3613,2393,1304,43222
SED51605,620,418,385,409,392,268,184,109,48,2831,10059,6081,6764,7526,6738,4816,3113,1444,450,46997
SED51706,758,402,376,403,470,424,379,237,142,3587,8706,4471,4710,5330,5559,5781,4841,2527,815,42744
SED51804,390,379,277,293,344,311,273,215,200,2689,7248,5785,4270,4687,5994,5431,4638,3202,1488,42737
SED51902,758,357,412,490,458,342,215,112,43,3185,10782,5425,6058,6414,6096,5324,3821,1757,461,46134
SED52006,526,289,216,252,331,276,290,232,132,2543,6954,4115,3478,4105,4903,5515,6128,3725,1088,40011
SED52102,655,405,388,437,343,308,198,90,38,2874,8580,4887,5577,6190,5189,4793,3676,1869,650,41406
SED52205,509,439,595,554,581,475,360,245,220,3986,6385,4533,6404,6129,5955,5700,4628,2502,1206,43451
SED52301,1045,614,626,669,599,505,394,238,114,4796,7752,4517,4548,4730,5092,4986,4048,2152,836,38656
SED52404,456,253,275,324,314,236,167,77,44,2139,8032,4665,4723,5712,5491,5165,4422,1873,554,40633
SED52505,568,515,780,731,417,290,164,64,19,3538,13279,6485,8744,10279,6455,5312,3847,1363,355,56111
SED52604,378,350,331,322,375,410,219,176,136,2700,6890,5500,4565,5031,5811,5973,4115,1827,735,40454
SED52702,379,240,167,246,319,273,213,164,81,2088,7005,4371,2799,4294,5585,5328,4798,2925,980,38092
SED52803,1092,1105,2222,1986,1844,1438,584,135,35,10440,7605,5062,8225,7407,6930,5888,2878,899,229,45130
SED52903,1849,927,1428,1244,1265,1261,895,299,60,9236,9446,4973,7651,6861,6349,7293,6318,1687,216,50796
SED53004,387,253,172,269,292,215,194,110,77,1971,7781,4531,3936,5616,5290,5095,5105,2345,1002,40692
SED53105,842,628,945,851,567,309,194,92,30,4452,11498,5815,7729,8422,5967,4322,2939,1423,502,48614
SED53204,557,334,315,324,295,214,139,82,30,2290,10935,6330,6264,7709,6593,4842,3059,1423,476,47626
SED53306,823,491,444,448,462,398,340,316,254,3990,8574,4974,5125,5123,5191,5293,5155,3566,1565,44569
SED53402,407,310,432,404,360,259,190,110,85,2556,6882,4416,7507,7083,5559,4635,3562,1851,909,42395
SED53502,676,507,555,503,536,440,315,229,184,3937,8462,5569,6628,6283,5951,5587,4280,2522,1061,46350
SED53602,962,564,588,625,505,378,287,128,38,4078,9423,6308,7286,6520,5697,5228,4143,2153,726,47486
SED53701,814,494,571,663,759,928,796,391,91,5494,6337,3237,3640,4381,5266,6648,6051,2766,678,39009
SED53802,527,354,448,424,336,294,220,154,60,2816,7565,5097,7216,6499,5327,4952,4335,2686,962,44639
SED53902,373,284,372,359,323,266,217,221,145,2559,6159,4639,6650,6018,5256,4711,3819,2733,1618,41604
SED54006,714,454,322,382,468,453,370,246,124,3539,8156,4591,4133,4933,5433,5709,5146,2740,816,41660
SED54104,518,464,510,459,373,367,376,288,142,3503,7559,7107,6839,6256,5766,5260,4872,3108,1264,48038
SED54203,864,822,1970,1738,1835,1541,849,296,37,9949,5217,3311,7188,6589,6638,7092,5903,1879,226,44044
SED54304,426,741,1581,1082,916,693,453,213,97,6209,6199,6266,14225,9769,6880,5717,3776,1692,783,55310
SED54403,1718,1447,3955,3925,3376,2414,719,137,17,17718,11038,5872,13625,13524,11009,7991,3043,693,77,66879
SED54505,324,267,137,224,247,217,193,157,97,1871,9193,5990,3462,6417,6352,4987,4865,2694,1066,45028
SED54605,573,561,592,442,425,394,297,281,244,3811,6298,4444,4721,4498,4999,5657,4876,3100,1287,39875
SED54701,1003,527,571,611,656,632,469,276,75,4832,7188,3803,4437,4650,5018,5452,4157,2291,779,37766
SED54804,443,328,554,466,354,248,251,197,176,3014,7507,4507,7890,7219,5572,4512,3586,2324,1251,44359
SED54905,366,364,418,307,309,310,271,218,227,2791,6214,5908,6384,5600,5119,4993,4585,2457,1234,42493
SED55005,697,393,384,394,349,266,182,106,70,2842,11621,6774,6350,8263,6710,4846,3539,1562,607,50268
SED55102,818,649,1000,1066,780,488,271,104,17,5188,11108,6072,6444,7291,6666,5264,3553,1497,325,48219
SED55202,850,470,496,539,460,341,265,210,180,3805,9675,5863,6485,6935,5777,5065,4404,2567,1028,47783
SED55306,792,352,413,496,487,497,425,242,85,3785,8584,3901,4138,5658,5851,5748,5661,2981,1072,43594
SED55405,482,568,790,544,404,303,206,233,288,3822,6859,7024,10545,7391,5090,4299,3253,1973,1219,47660
SED55504,707,381,345,412,376,281,198,101,38,2846,11093,6098,6487,7271,6241,4806,3596,1922,636,48157
SED55605,941,460,384,436,438,285,151,88,47,3231,11372,6661,5819,6359,6760,5256,2938,1529,465,47150
SED55706,870,402,444,584,711,698,559,265,94,4630,7583,3582,3963,5211,5875,6815,6106,2869,913,42917
SED55802,778,455,590,464,371,290,172,67,28,3206,11838,6670,8826,7841,6122,5231,3096,1607,560,51795
SED55905,564,432,486,441,408,387,347,321,257,3642,6474,5032,5613,5128,5012,5046,4120,2741,1310,40478
SED59797,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
SED60105,269,219,253,213,215,227,174,137,73,1781,4026,2928,3775,2963,3048,2775,2542,1823,928,24816
SED60106,135,79,67,71,66,106,97,49,31,695,1217,664,776,756,924,1295,1162,624,238,7654
SED60113,465,302,265,257,308,308,291,193,112,2499,6237,4109,4438,4289,4866,5236,4586,2486,792,37043
SED60115,718,620,541,410,389,358,256,162,70,3536,6986,5205,6099,4654,4795,4946,4170,2304,788,39961
SED60207,561,334,336,299,353,339,342,262,125,2939,6338,4027,4625,4013,4755,5073,4994,2965,1061,37845
SED60208,476,294,251,275,334,290,290,180,63,2442,5296,3520,3578,3370,4123,4757,4037,2360,787,31825
SED60209,669,362,417,417,463,474,396,222,99,3519,6783,4004,4513,4339,4970,5687,4811,2639,913,38656
SED60301,250,154,164,131,144,127,81,82,39,1181,2922,1887,2630,2063,1908,1970,1436,1061,399,16276
SED60302,488,325,471,299,299,261,202,145,65,2545,5805,4084,7645,4905,3986,4148,3431,2064,911,36985
SED60303,346,364,532,395,403,364,280,184,125,2997,4934,4789,7482,5020,4868,4463,3708,1865,805,37934
SED60304,8,0,0,0,3,4,0,0,0,23,61,36,37,44,68,46,33,19,0,339
SED60310,161,157,205,129,151,136,126,55,19,1142,3036,2799,3400,2403,2518,2412,2394,1321,587,20868
SED60404,518,266,272,290,330,378,291,178,85,2610,6607,3480,3556,4482,4791,5341,4660,2168,602,35688
SED60410,141,87,94,104,95,66,69,54,25,730,2631,1754,2579,2095,1746,1601,1647,1072,390,15525
SED60411,296,213,213,195,220,200,182,142,91,1758,4935,3128,4455,3938,3686,3818,3773,2616,1298,31644
SED60414,467,343,434,423,289,230,145,97,18,2442,5338,3084,4001,3701,3412,3467,2693,1253,300,27246
SED60501,554,333,289,290,282,235,182,83,32,2276,4546,2767,2731,2696,2774,2910,2367,1038,265,22099
SED60505,118,71,55,86,101,81,70,46,15,638,1769,1102,1144,1174,1444,1479,1188,762,252,10306
SED60506,389,254,234,255,312,418,347,188,53,2444,4866,2791,3128,3115,3821,4911,4645,2363,669,30310
SED60508,82,53,72,66,72,80,63,32,10,538,792,495,585,580,775,965,716,326,93,5322
SED60512,550,354,378,371,364,445,360,165,51,3031,5622,3317,4216,3869,4350,5472,4685,2174,620,34317
SED60514,119,62,62,66,77,70,66,40,15,582,1786,979,1279,1306,1226,1340,1160,586,174,9838
SED69797,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
SED70001,226,109,231,171,181,217,157,30,0,1327,2146,1570,1945,1498,1348,1194,635,119,9,10465
SED70002,197,149,219,193,179,179,122,24,3,1262,2198,1174,2129,1763,1414,1252,715,221,48,10908
SED70003,209,247,415,318,293,267,154,32,0,1934,2326,1788,2279,1763,1388,1226,826,135,13,11741
SED70004,284,222,371,282,293,276,215,49,3,1991,2098,1470,1826,1400,1425,1579,1349,305,26,11481
SED70005,290,134,196,156,103,79,54,22,7,1041,2168,1118,1570,1273,1072,707,437,153,37,8529
SED70006,134,104,202,139,111,156,86,18,0,961,1786,905,1854,1389,1097,1217,762,220,41,9273
SED70007,186,86,146,96,94,41,21,11,8,690,2231,1125,1536,1403,1115,729,405,153,63,8760
SED70008,220,108,205,189,130,127,139,47,22,1192,2067,1192,1834,1603,1254,1111,1057,456,157,10725
SED70009,402,239,284,253,324,355,321,86,4,2259,2266,1364,1649,1493,1614,1978,1829,419,37,12656
SED70010,362,201,229,227,183,155,64,26,6,1446,2014,1108,1390,1271,1168,990,589,172,46,8744
SED70011,89,59,149,118,122,137,95,49,40,856,1368,807,1665,1258,1087,1046,843,374,113,8562
SED70012,121,93,210,146,149,188,122,24,3,1063,1327,1017,1957,1433,1263,1227,807,220,31,9280
SED70013,253,147,164,207,220,293,279,46,4,1613,1885,1020,1132,1327,1601,1746,1428,376,45,10566
SED70014,179,167,310,180,224,195,107,21,0,1400,2014,1598,1919,1381,1223,1160,672,134,23,10128
SED70015,157,113,128,131,112,80,51,30,6,805,1742,961,1467,1408,1112,930,740,349,54,8758
SED70016,251,146,143,150,138,132,50,14,4,1031,2009,1207,1222,1244,1157,1122,682,225,43,8910
SED70017,367,209,284,242,246,284,184,52,5,1880,2038,1111,1729,1381,1357,1573,1162,323,51,10725
SED70018,283,168,278,232,187,150,61,18,0,1379,2410,1646,1663,1584,1238,880,373,94,13,9895
SED70019,272,225,396,383,315,291,205,52,15,2158,2377,1401,1901,1761,1610,1717,1379,380,100,12622
SED70020,345,434,860,702,564,322,197,53,19,3496,2172,1845,2399,2129,2079,1765,1239,382,71,14083
SED70021,92,55,136,103,77,80,40,19,3,621,1502,805,2020,1443,1040,920,762,279,57,8825
SED70022,166,349,705,385,439,494,335,101,3,2981,1346,1557,4091,2425,2011,2160,1524,425,46,15589
SED70023,221,108,98,126,123,85,67,37,5,863,1816,933,1074,1252,1218,998,817,343,53,8507
SED70024,221,113,158,142,76,56,34,9,0,817,3038,1424,2315,2048,1178,770,432,132,21,11358
SED70025,204,97,130,157,104,90,52,21,4,848,2260,1091,1581,1581,1229,989,658,280,52,9728
SED79797,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
SED80001,932,569,576,542,505,426,309,206,98,4170,15899,9748,11309,11244,10784,10753,7721,3394,1177,82031
SED80002,1070,773,945,729,610,436,327,179,75,5147,17149,12738,16847,14284,11210,8671,7706,4462,1519,94574
SED80003,634,2004,1650,1053,856,713,457,199,120,7678,10815,16988,18846,12399,10473,8746,6186,3313,1669,89438
SED80004,844,599,718,609,584,493,457,328,226,4856,16522,9620,12945,13245,11300,8998,7880,5578,2301,88389
SED80005,1203,705,896,820,561,299,220,100,21,4823,22224,11898,17679,17989,12287,7579,5381,2297,533,97872
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,128,101,261,186,180,164,118,65,6,1212,819,488,741,697,767,893,669,295,60,5425
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
