SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED70019,2283,7214,512,1161,74,156,586,1315,145,217,0,0,0,0,0,0,4,4,150,219,885,1779,70,110,97,146,0,0,1050,2039,229,439,4297,11226,511,..,4813,11226
SED70020,2510,7513,73,163,7,11,75,174,9,11,109,197,8,13,0,0,0,0,123,221,453,1064,164,375,20,31,0,0,638,1472,87,212,3436,9591,331,..,3768,9591
SED70021,1332,3935,155,251,233,498,392,745,743,1498,504,971,692,1503,13,20,9,20,1961,4008,0,0,0,0,14,28,3,15,16,36,12,18,3713,8746,398,..,4115,8746
SED70022,353,1041,69,97,117,306,187,404,152,358,507,1035,1160,2386,2627,5247,0,0,4441,9030,0,3,0,3,34,44,4,13,41,60,86,126,5106,10663,867,..,5970,10663
SED70023,2396,7117,35,65,116,273,149,338,272,518,13,42,0,0,0,0,3,11,297,575,177,338,0,3,3,0,0,0,183,338,7,21,3034,8381,150,..,3185,8381
SED70024,3366,10002,221,490,47,120,266,612,53,130,0,0,176,392,0,0,3,3,237,530,61,126,0,0,18,33,0,0,79,155,20,39,3963,11331,293,..,4258,11331
SED70025,2673,8403,45,111,21,62,70,173,559,1124,0,0,0,0,0,0,3,4,570,1126,17,23,0,0,6,9,0,0,21,35,5,11,3327,9745,198,..,3522,9745
SED79797,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,7,12,0,..,7,12
SED80001,24537,68593,3248,6314,1347,2970,4601,9288,755,1499,216,363,591,965,475,778,50,120,2082,3722,0,0,0,0,0,0,0,0,0,0,34,63,31260,81663,1444,..,32701,81663
SED80002,24461,67981,3969,7623,2935,6933,6906,14552,1065,2105,966,1695,2342,4131,992,1840,27,61,5398,9833,0,0,0,0,3,0,0,0,3,0,37,94,36800,92459,2226,..,39027,92459
SED80003,13754,37585,1713,3351,3859,8303,5574,11649,3096,5296,3852,6651,6819,11368,3735,6329,249,444,17758,30085,45,76,239,381,50,52,3,16,336,516,102,188,37521,80025,4326,..,41848,80025
SED80004,22628,62997,2695,4901,3800,8189,6493,13083,864,1506,1784,3467,2002,3629,881,1586,156,318,5679,10507,0,0,0,0,10,6,5,5,9,13,41,92,34855,86687,2401,..,37253,86687
SED80005,23715,73497,2692,5940,3882,10018,6573,15956,240,475,1381,2827,1910,3749,615,1269,29,89,4179,8406,14,29,0,0,0,0,0,12,19,37,59,119,34537,98023,1595,..,36133,98023
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED99191,1456,3499,102,249,17,36,125,291,102,161,54,155,9,20,0,0,13,23,176,362,0,0,4,6,6,3,3,7,9,19,41,51,1805,4225,331,..,2130,4225
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
