SED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SED70004,500,695,423,527,336,152,246,566,87,3534
SED70005,440,630,712,701,690,369,277,324,83,4231
SED70006,628,1285,588,835,604,273,180,321,125,4826
SED70007,513,713,777,752,856,404,298,378,93,4795
SED70008,589,1524,581,816,637,336,225,355,83,5136
SED70009,636,745,573,472,434,172,300,460,127,3912
SED70010,378,525,652,566,569,318,302,411,95,3823
SED70011,834,1421,508,559,610,314,156,238,84,4722
SED70012,857,1314,679,790,783,311,204,351,85,5378
SED70013,786,731,897,516,713,282,385,516,117,4948
SED70014,414,666,397,658,239,131,226,480,45,3250
SED70015,467,1095,611,637,558,348,252,430,87,4483
SED70016,355,653,569,514,590,339,207,425,93,3754
SED70017,631,934,680,700,584,238,218,379,115,4488
SED70018,305,733,393,407,288,153,197,188,93,2748
SED70019,611,995,573,757,575,216,198,418,127,4467
SED70020,869,998,1138,1031,852,342,398,388,137,6150
SED70021,604,1776,468,726,535,322,182,347,95,5058
SED70022,1614,2438,1050,1318,1119,496,319,571,154,9092
SED70023,534,835,579,570,660,293,201,399,76,4151
SED70024,773,1139,969,1122,977,476,340,420,119,6335
SED70025,632,1401,623,702,708,371,234,348,71,5104
SED79797,12,85,63,17,0,0,8,86,4,282
SED80001,6871,10679,5563,4831,7945,2915,1658,2445,989,43904
SED80002,7835,14900,5670,6168,7316,3522,1378,3029,1032,50850
SED80003,11857,20446,2929,5165,6153,2637,601,1838,1114,52729
SED80004,8755,16286,3850,4616,6285,2484,890,2150,929,46251
SED80005,8998,15719,5908,6383,8396,3679,1490,2953,1201,54717
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,501,399,421,398,290,150,142,269,42,2614
SED99797,0,0,0,0,0,0,0,0,0,0
