SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED10044,263,290,558,494,538,1032,33,26,58,5,0,5,21,30,49,7220,5036,12259,283,600,883,130,3,134,164,21,186,136,30,166,99,70,171,572,652,1224,9412,7294,16707,126,169,293,4,3,8,3,0,9,20,12,33,11,9,16,8,3,16,179,202,374,0,6,4,11,8,17,27,14,47,13,23,37,19,14,29,69,61,135,68,47,110,305,311,622,29,28,59,7,6,17,3,0,3,42,40,78,11978,12312,24289,2062,3121,5182,72,64,139,23877,23141,47022
SED10045,0,0,0,58,51,113,0,0,3,0,0,0,17,18,39,10277,9458,19738,623,790,1407,364,15,380,139,20,156,93,24,121,98,49,144,571,541,1105,12254,10965,23221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,3,0,10,0,0,8,10,7,20,108,63,167,119,64,182,0,0,0,5,7,6,12,4,14,13,8,19,2234,2698,4926,1530,2429,3953,128,132,259,16268,16296,32568
SED10046,285,294,577,159,174,338,4,0,5,0,0,0,24,20,46,9287,6042,15323,530,852,1380,224,0,228,52,3,62,34,4,38,109,84,195,284,393,671,10982,7873,18855,138,142,281,0,0,0,0,0,3,66,41,112,14,25,38,8,5,19,229,224,445,0,0,0,0,0,0,3,6,10,19,24,41,3,5,13,28,42,62,112,60,172,365,322,685,50,50,97,4,3,14,5,0,4,60,57,115,3304,4570,7878,2949,2537,5485,122,84,200,17782,15440,33219
SED10047,445,397,836,101,149,249,8,0,8,0,0,0,49,47,102,14348,9681,24028,861,1109,1974,662,15,673,129,14,148,69,7,76,140,100,243,188,192,378,16996,11710,28707,177,261,441,0,0,0,7,4,6,135,65,201,21,38,63,21,8,22,361,374,731,0,0,0,0,0,0,7,8,12,9,20,28,3,5,9,24,32,55,156,82,241,537,491,1027,85,98,184,5,9,14,11,4,15,94,113,203,5496,7575,13070,3390,3884,7271,154,111,264,26670,23876,50545
SED10048,880,969,1848,83,138,220,0,4,6,0,0,0,30,34,64,11848,8357,20205,601,1047,1644,290,9,302,113,8,119,48,6,58,141,84,226,188,183,373,14235,10829,25058,168,262,426,0,0,0,10,11,15,168,121,289,22,64,79,21,11,35,385,468,852,0,0,0,0,0,0,8,6,18,10,14,22,0,0,4,19,21,40,95,67,160,499,556,1051,104,124,228,4,4,5,4,0,4,114,128,245,6470,7309,13781,3788,3637,7426,126,87,210,25230,22548,47775
SED10049,84,53,142,45,64,111,0,0,7,0,0,0,19,11,32,14354,11118,25467,745,798,1546,278,4,278,132,8,137,51,9,61,79,68,145,188,254,441,15966,12404,28367,8,20,24,0,0,0,6,7,11,23,10,31,5,5,9,15,5,23,57,46,103,0,0,0,0,0,0,0,0,3,4,13,15,0,0,8,8,18,25,135,67,202,200,121,320,15,21,36,0,0,4,6,0,3,27,23,51,2847,4558,7403,2691,4161,6852,67,57,121,21793,21318,43109
SED10050,9,9,15,542,578,1123,162,63,225,0,0,0,18,23,43,6766,4899,11661,270,492,762,168,0,170,317,49,367,280,106,389,93,64,151,575,635,1212,9201,6914,16116,43,26,71,17,11,24,0,0,0,6,0,9,0,0,0,5,0,3,67,40,113,29,19,53,6,3,4,17,13,30,14,12,30,17,6,23,81,58,136,110,58,161,258,150,411,34,24,51,14,10,27,9,3,7,57,37,89,11433,11807,23235,1840,3114,4954,79,53,132,22862,22072,44937
SED10051,30,27,61,635,759,1397,0,0,3,22,15,43,31,39,71,8825,6061,14888,483,831,1316,269,0,271,354,45,401,202,79,277,111,73,186,469,568,1037,11435,8507,19939,126,131,262,0,0,0,4,5,7,10,3,18,6,6,8,0,0,0,150,143,293,0,0,0,22,24,43,35,20,54,19,43,64,18,23,44,95,107,203,140,69,209,383,320,700,22,39,68,7,17,24,5,3,6,38,57,97,7070,8699,15763,2039,3054,5094,105,73,173,21067,20705,41771
SED10052,471,398,868,27,47,75,4,0,4,0,0,0,19,12,25,8969,5920,14889,401,566,961,267,4,269,108,8,117,65,6,74,78,63,138,272,416,684,10670,7435,18105,70,64,133,0,0,0,8,3,16,87,43,128,14,19,36,11,3,14,189,137,324,0,0,0,0,0,0,0,0,3,3,0,8,0,0,3,3,6,11,78,45,124,280,179,460,22,23,43,0,3,3,6,0,6,26,25,49,6611,8229,14838,2164,3257,5419,68,46,123,19820,19169,38991
SED10053,15,22,35,170,180,354,4,4,7,3,0,3,34,29,60,17173,14036,31215,989,1416,2400,422,4,428,256,25,276,118,32,150,195,96,295,868,912,1785,20240,16762,37000,12,0,15,0,0,0,0,0,0,34,30,59,9,8,15,4,0,6,52,40,94,0,0,0,0,6,5,25,31,53,18,33,53,4,12,13,46,76,121,225,136,359,324,248,574,10,6,12,3,10,14,14,4,16,25,23,45,2518,3114,5631,2287,3242,5531,134,92,224,25523,23482,49011
SED10054,437,422,859,116,163,279,0,0,0,3,0,7,41,35,76,10738,7144,17877,748,1180,1931,261,8,272,72,6,77,40,0,41,100,83,187,134,158,293,12702,9206,21909,160,237,397,0,0,0,0,4,9,97,63,158,14,49,60,16,7,25,285,360,646,0,0,0,0,0,0,12,5,18,11,31,44,6,6,12,28,44,77,115,57,170,425,460,885,71,96,165,3,7,6,0,0,6,76,100,181,3822,4957,8783,2800,2682,5482,105,87,193,19933,17497,37430
SED10055,155,101,256,49,71,118,5,0,5,0,0,0,20,5,25,12015,7896,19912,616,746,1368,567,7,568,70,5,74,15,4,24,110,86,190,139,139,279,13755,9056,22815,50,52,105,0,0,0,0,0,0,73,50,118,11,17,28,7,0,7,140,124,259,0,0,0,0,0,0,5,3,9,4,4,14,5,0,3,14,13,30,95,51,141,250,186,435,34,24,56,4,0,6,0,0,4,38,31,70,4761,7644,12408,3226,3507,6729,81,66,147,22104,20489,42599
SED10056,0,0,8,83,41,127,5,8,12,0,0,3,33,31,60,14875,12328,27209,1188,1365,2552,383,10,395,131,19,149,130,51,186,195,72,264,905,801,1709,17938,14723,32661,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,3,0,4,6,7,10,0,0,0,0,0,0,10,0,11,3,4,4,6,0,3,13,9,15,168,95,270,188,113,298,0,0,0,0,0,0,20,5,23,19,5,22,1768,1886,3652,989,1917,2899,204,165,369,21109,18800,39908
SED10057,4,0,7,52,41,90,3,0,0,0,0,0,12,22,37,8888,8787,17678,580,749,1331,336,13,346,91,11,103,62,19,81,67,38,102,475,453,928,10571,10139,20708,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,3,0,0,8,9,4,3,10,5,8,19,109,56,164,117,71,189,0,0,0,0,0,0,0,0,5,10,0,8,1408,1728,3134,1198,1877,3071,154,144,293,13452,13958,27409
SED10058,59,35,95,157,230,382,14,24,36,38,26,61,25,38,61,10575,8738,19313,428,597,1023,120,3,124,173,45,220,394,210,603,84,47,128,719,802,1526,12774,10792,23564,13,6,20,0,0,0,4,3,6,8,5,11,4,0,7,6,3,12,28,17,49,9,4,9,4,0,4,3,12,19,4,13,14,6,12,19,20,44,67,163,111,269,214,176,389,3,13,14,3,9,14,11,5,20,22,21,44,4995,6160,11152,2309,3666,5973,73,56,129,20394,20867,41256
SED10059,1092,844,1937,421,489,911,5,4,9,82,66,143,76,71,150,3984,2537,6519,212,337,554,48,6,51,245,47,296,638,247,888,121,78,199,1717,1586,3301,8651,6304,14951,278,257,533,4,6,7,32,30,57,19,13,31,6,16,26,51,28,74,380,349,727,3,0,3,27,12,40,4,7,16,4,15,19,26,20,39,61,54,117,80,47,133,525,453,977,86,53,138,13,4,22,5,6,8,107,58,168,12675,12676,25355,2398,2942,5342,85,58,144,24442,22492,46933
SED10060,454,447,900,470,527,992,85,35,122,0,0,5,36,34,69,4300,3100,7391,182,425,608,38,0,38,168,33,202,151,51,199,87,82,175,927,1025,1955,6896,5764,12656,135,135,267,13,16,36,5,9,11,15,9,33,10,10,18,14,12,26,193,192,382,20,10,30,3,11,9,14,14,30,4,12,17,10,18,28,47,61,108,56,41,100,302,300,600,37,40,81,11,7,17,6,0,7,52,49,104,12974,13702,26674,1537,2434,3971,47,50,94,21807,22293,44102
SED10061,0,3,3,61,28,90,3,3,8,0,0,0,17,28,46,10086,9032,19120,747,894,1640,403,21,430,162,28,198,89,27,119,137,73,208,717,661,1376,12426,10804,23228,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,8,9,15,15,4,19,4,0,3,29,10,36,116,60,175,151,78,224,0,0,0,0,6,5,15,0,13,20,3,17,2675,3085,5762,1479,2123,3603,157,140,293,16905,16236,33135
SED10062,699,786,1485,59,85,142,0,0,0,0,0,0,14,11,31,6770,4701,11474,279,622,905,134,0,138,65,0,67,53,8,65,82,67,148,178,270,441,8335,6554,14882,161,194,351,0,0,0,8,11,19,68,35,99,12,20,28,16,11,29,263,267,531,0,0,0,0,0,0,3,0,10,3,8,10,0,0,0,4,8,15,74,46,119,339,327,667,28,54,79,0,4,8,4,0,4,34,56,87,6899,7894,14790,2855,3032,5892,71,51,125,18530,17917,36448
SED10063,0,0,6,131,48,180,6,0,10,0,0,0,48,61,104,13177,11879,25059,997,972,1970,377,11,384,113,19,136,77,27,107,119,49,171,653,581,1236,15708,13652,29357,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,16,3,21,5,8,6,0,4,4,18,12,35,142,67,211,160,86,248,0,0,3,0,0,5,11,3,11,16,10,21,1978,2407,4384,1325,2137,3466,129,115,245,19317,18399,37715
SED10064,3,0,3,29,38,73,3,0,3,0,0,0,13,9,24,9201,9152,18351,611,698,1306,432,10,443,107,15,128,74,25,100,84,41,120,498,484,980,11060,10474,21533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,3,3,8,6,13,0,0,4,5,11,21,98,44,142,110,60,163,3,0,3,0,0,0,5,0,5,5,0,8,1669,2018,3693,1201,1937,3140,162,144,306,14209,14632,28841
SED10065,827,796,1622,382,560,944,0,0,4,0,0,0,41,43,84,9925,6053,15974,355,922,1277,169,0,167,157,21,181,117,35,161,123,100,226,556,625,1176,12662,9167,21828,399,473,876,0,0,0,8,9,22,77,48,127,15,27,37,19,15,32,517,574,1086,0,0,0,3,0,3,28,20,52,17,43,61,5,11,21,52,79,132,110,69,175,676,717,1398,113,119,236,9,13,17,4,3,9,122,131,252,11650,10587,22241,3346,3498,6841,152,98,248,28609,24206,52811
SED10066,395,276,672,49,94,143,0,0,0,3,0,3,25,32,57,10691,7271,17965,599,653,1252,406,5,409,153,9,163,50,14,68,81,67,143,316,354,672,12757,8776,21534,106,104,212,0,0,0,8,0,8,66,46,120,10,16,23,23,12,29,209,182,390,0,0,0,0,0,0,6,5,9,0,12,18,3,4,4,12,22,33,119,49,168,341,248,590,34,32,71,3,3,3,6,3,7,44,34,79,4621,6683,11305,2523,3435,5956,99,78,172,20380,19257,39637
SED10067,6,3,12,251,232,481,8,4,12,0,0,0,9,14,22,8153,5710,13866,355,417,769,260,3,258,149,24,171,127,23,154,123,63,182,383,421,801,9825,6912,16736,19,10,30,0,0,0,0,0,0,12,0,11,0,0,0,0,3,3,26,15,46,0,6,4,0,0,3,24,19,44,9,16,26,7,0,7,51,44,90,83,51,134,160,112,269,3,7,8,4,7,14,4,4,7,19,15,31,7027,7965,14991,1769,2807,4574,71,56,132,18874,17864,36740
SED10068,13,4,14,46,75,118,4,0,4,0,0,0,14,24,37,10574,10483,21049,665,894,1554,296,10,303,158,22,187,131,52,185,63,39,106,408,437,851,12364,12046,24411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,6,0,0,0,0,0,0,4,8,9,9,8,14,5,0,3,9,16,30,141,91,230,161,110,264,0,3,3,0,4,4,6,0,4,6,3,7,1868,2354,4219,1435,2277,3709,71,87,158,15900,16877,32775
SED10069,0,0,8,43,65,116,3,0,0,3,0,3,5,9,14,9613,7586,17205,557,549,1109,315,8,322,77,7,81,62,16,81,69,55,124,311,296,606,11072,8590,19663,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,4,9,0,0,0,0,5,5,3,6,8,4,10,19,0,0,3,11,16,26,109,57,170,126,75,202,0,0,0,6,0,6,4,4,9,8,4,13,2462,3223,5685,2086,2999,5091,112,104,209,15860,15000,30862
SED10070,354,334,693,77,123,198,0,0,3,0,0,0,24,29,53,8457,5475,13930,399,763,1155,272,6,275,50,8,51,47,3,50,124,71,194,163,185,352,9961,6993,16958,102,156,260,0,0,0,0,11,10,66,41,100,6,23,35,15,10,22,188,234,425,0,0,0,0,0,0,9,10,22,9,20,30,0,6,6,21,36,58,93,66,157,308,330,638,63,57,114,0,5,6,0,0,0,65,59,125,5298,6067,11373,2792,2478,5266,108,83,189,18534,16009,34540
SED10071,683,736,1411,191,251,447,0,0,0,3,5,11,32,14,47,11491,8685,20179,456,955,1416,248,0,248,124,5,131,39,6,49,143,97,237,114,150,266,13533,10903,24436,212,302,515,0,0,0,8,6,13,168,80,247,22,58,77,25,11,28,429,458,891,0,0,0,0,4,3,25,21,44,3,33,38,5,8,13,31,65,93,112,74,181,576,594,1167,122,143,263,3,12,19,0,5,6,129,161,292,13350,13248,26601,4014,4289,8308,128,109,239,31734,29307,61043
SED10072,1531,1536,3071,167,251,421,4,0,0,0,0,3,44,46,87,9428,5554,14983,396,829,1225,251,5,260,218,17,232,105,29,134,152,95,240,367,513,882,12656,8875,21534,394,526,915,0,0,4,18,19,35,99,52,159,20,45,67,27,17,47,563,667,1225,0,0,0,0,0,0,10,12,17,3,12,18,4,8,8,15,31,43,97,55,150,676,747,1424,80,95,182,0,4,0,3,0,4,86,101,185,7103,8409,15507,2579,3239,5819,135,111,245,23235,21483,44716
SED10073,724,798,1525,453,551,1005,4,8,6,0,3,9,23,37,58,8587,5707,14292,286,799,1087,143,0,142,162,18,181,86,19,102,116,86,199,597,653,1251,11184,8679,19854,268,344,616,11,0,16,5,12,20,61,29,90,13,49,62,22,20,40,380,455,832,0,0,3,5,4,8,19,13,33,18,37,55,8,26,33,53,77,131,110,69,179,542,597,1143,77,100,182,12,12,28,0,3,3,93,117,205,11293,11189,22481,2444,3456,5897,107,69,176,25655,24096,49754
SED10074,460,501,958,210,254,463,3,0,3,0,0,0,22,20,42,7887,5382,13272,350,708,1063,181,0,183,115,9,122,71,14,81,111,61,169,273,379,654,9680,7329,17013,145,253,392,0,0,0,11,6,12,61,41,93,10,26,37,19,12,30,235,335,564,0,0,0,3,0,0,21,16,36,8,30,37,5,9,12,33,55,87,67,53,118,335,442,774,61,84,145,5,9,8,5,0,0,68,92,156,7699,8023,15724,3039,2994,6026,94,49,143,20908,18926,39833
SED10075,108,35,144,100,92,194,9,0,9,4,0,4,18,13,30,12697,9634,22330,639,693,1331,278,9,286,97,8,111,69,10,80,92,65,156,146,192,341,14259,10761,25019,12,12,24,0,0,0,0,0,0,33,16,50,6,3,15,3,4,4,56,38,94,0,0,0,0,0,0,8,7,16,5,16,22,0,0,3,16,29,45,99,43,143,178,97,278,8,11,14,0,0,0,3,0,3,10,11,20,2889,4552,7445,2503,3755,6260,105,82,184,19944,19259,39202
SED10076,5,5,9,14,15,32,7,0,7,0,0,0,11,23,33,9862,8814,18677,641,732,1375,332,4,338,109,15,119,96,31,128,82,32,115,330,401,730,11483,10073,21562,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,4,7,13,5,6,6,0,3,4,10,20,28,107,49,157,118,68,191,3,3,4,0,0,0,4,0,5,9,7,12,1612,2224,3839,1365,2107,3474,108,98,213,14702,14580,29283
SED10077,2326,2214,4535,249,314,563,0,0,5,5,5,3,40,52,91,8972,5043,14020,381,887,1268,174,3,177,260,22,283,102,32,129,143,99,242,503,667,1171,13155,9332,22491,733,907,1643,5,3,13,28,35,54,108,44,159,18,75,93,45,24,70,941,1088,2029,0,0,0,0,0,5,10,8,17,3,27,32,12,6,15,20,41,66,107,46,150,1070,1181,2248,130,142,268,6,6,8,4,4,6,137,147,282,9016,9528,18544,2877,3517,6393,112,84,196,26370,23783,50157
SED10078,1117,1012,2124,243,316,559,0,0,3,48,51,102,53,53,103,5842,3839,9684,267,445,709,104,5,104,215,37,251,305,113,418,102,69,171,502,643,1141,8790,6587,15370,282,323,603,0,0,7,23,26,44,37,34,69,12,31,45,33,20,53,395,432,825,0,0,0,10,23,34,0,4,13,9,17,19,11,13,25,30,62,89,70,47,121,499,536,1034,78,75,148,0,4,5,3,3,7,80,77,160,9576,11548,21124,2281,2959,5242,83,57,146,21314,21765,43078
SED10079,24,16,39,55,67,119,0,0,0,0,0,0,0,0,6,9765,7679,17443,476,499,973,279,9,288,94,3,99,39,13,56,60,47,103,142,154,299,10936,8488,19420,11,3,14,0,0,0,0,0,0,21,14,35,7,3,7,0,0,0,41,18,63,0,0,0,0,0,0,0,4,9,7,8,16,0,4,4,9,15,20,91,28,120,143,65,207,4,5,6,0,0,3,0,0,0,4,4,10,2435,3757,6189,1953,3017,4974,71,68,145,15540,15395,30936
SED10080,1347,987,2327,858,925,1784,20,6,27,167,166,334,106,89,197,3815,2000,5818,230,379,610,29,0,30,347,58,408,541,125,669,831,296,1135,4245,3072,7314,12544,8115,20657,422,389,811,5,0,8,28,26,52,21,15,36,13,9,24,55,25,79,543,467,1016,3,4,8,34,36,69,17,5,21,8,15,27,20,17,38,83,73,158,93,47,141,722,590,1311,116,82,198,15,17,29,12,4,9,140,97,241,15036,12897,27931,2919,3198,6120,128,107,236,31487,25006,56493
SED10081,0,0,0,151,61,214,0,5,4,0,0,0,30,26,56,11987,10720,22709,977,954,1934,479,14,493,167,19,190,72,12,79,112,68,185,543,488,1031,14525,12373,26898,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,19,6,24,5,7,16,0,0,4,28,16,42,128,65,201,159,81,245,0,0,0,0,5,5,5,0,5,5,5,11,2079,2762,4841,1879,2687,4561,131,96,223,18772,18008,36784
SED10082,95,46,140,49,52,103,3,0,8,0,0,0,4,3,10,8878,7118,15998,454,507,957,224,6,230,83,9,85,40,10,46,58,42,106,144,176,321,10043,7966,18010,26,8,35,0,0,0,0,0,0,60,22,86,9,5,12,5,3,8,103,38,144,0,0,0,0,0,0,4,4,4,4,4,12,0,0,4,11,11,23,89,36,125,204,86,289,20,7,28,5,3,5,0,6,3,24,14,41,5190,6239,11432,2111,3286,5394,62,65,124,17635,17655,35286
SED10083,112,61,174,87,125,213,0,0,3,0,0,0,3,7,9,9690,7395,17077,537,557,1095,252,7,258,111,12,120,56,12,68,71,50,120,162,207,374,11087,8428,19513,33,24,57,0,0,0,0,0,0,44,21,60,3,3,7,6,4,8,86,50,140,0,0,0,0,0,0,3,4,12,6,17,19,9,4,6,15,23,40,86,29,117,194,103,291,12,10,23,5,5,7,4,0,4,20,13,32,3411,4697,8107,2106,3363,5466,74,65,133,16884,16663,33549
SED10084,11,0,10,83,79,162,0,0,0,0,0,0,11,13,26,11006,10348,21350,594,776,1374,301,3,308,142,15,160,182,111,284,87,50,133,357,443,807,12777,11847,24620,0,0,0,0,0,0,0,0,0,19,8,26,3,0,8,0,0,0,23,7,35,0,0,0,0,0,0,6,0,9,8,17,23,3,4,7,15,27,40,121,59,178,155,94,255,8,0,3,4,3,9,3,0,5,11,4,21,2096,2965,5063,1630,2602,4239,119,118,229,16795,17625,34419
SED10085,9,7,10,41,14,54,6,0,9,0,0,0,9,11,13,12941,9777,22714,660,678,1339,412,10,421,127,14,145,53,22,74,192,83,280,881,566,1447,15331,11179,26512,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,0,5,5,4,3,8,0,0,0,0,0,0,5,0,5,3,3,5,0,0,0,8,4,6,131,47,187,141,61,206,4,6,9,0,0,3,4,0,9,12,3,21,2118,2954,5067,2125,2692,4814,147,112,260,19873,17003,36877
SED10086,263,202,469,254,379,636,102,34,136,0,4,4,50,45,88,5579,3545,9121,266,449,720,104,0,104,366,75,439,190,72,266,104,99,204,633,890,1521,7920,5796,13714,287,250,535,4,6,8,0,0,0,16,7,19,5,5,13,12,5,21,324,268,599,8,0,9,0,0,0,8,5,17,7,12,23,9,13,31,38,38,77,81,44,124,447,354,801,70,33,109,0,0,0,13,0,13,84,33,120,11060,12161,23230,1567,2478,4051,109,110,219,21187,20936,42119
SED10087,7,0,8,107,77,186,8,7,13,6,0,6,30,31,63,14449,12973,27417,1059,1054,2117,275,13,286,158,16,169,118,34,149,444,139,578,1024,785,1804,17675,15129,32803,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,8,3,12,11,8,24,3,0,6,29,15,43,175,83,262,211,106,322,0,0,0,0,4,4,9,3,11,9,11,18,1637,2000,3635,1255,2338,3591,128,93,226,20911,19677,40587
SED10088,14,5,22,736,818,1554,3,0,3,0,0,0,26,22,51,9182,6614,15803,494,697,1191,263,8,270,303,36,340,153,30,183,88,68,154,450,551,1003,11720,8854,20575,47,59,102,0,0,0,0,0,0,4,0,7,0,0,0,3,0,3,54,58,112,10,3,6,0,5,7,39,34,68,28,65,92,14,20,34,93,119,213,116,60,170,260,234,498,23,7,29,17,12,26,3,0,0,39,20,60,7801,8728,16528,2030,3384,5410,88,74,164,21936,21297,43232
SED10089,43,11,55,187,238,428,5,0,6,0,0,0,24,26,54,12646,10194,22840,609,866,1469,203,9,207,180,26,213,125,23,150,82,51,130,251,297,556,14358,11746,26109,17,5,21,0,0,0,6,0,5,12,5,14,4,3,10,7,0,7,33,16,55,0,0,0,0,0,0,24,13,39,16,25,44,9,10,19,48,57,104,118,77,193,205,148,350,17,3,26,12,3,15,9,3,14,40,13,53,3582,4509,8088,2690,4044,6732,85,54,133,20958,20513,41469
SED10090,477,485,962,462,527,986,0,0,0,5,0,5,31,27,55,5306,3546,8854,245,563,810,73,0,76,167,25,191,134,33,167,80,79,160,859,1072,1929,7830,6360,14196,138,176,315,0,0,0,3,6,11,21,12,32,9,12,24,20,16,34,193,225,419,0,0,0,6,6,18,18,15,31,12,23,37,14,15,29,49,57,106,60,31,94,298,321,616,29,30,59,3,0,7,0,0,3,38,31,71,12047,12120,24163,1729,2863,4594,60,62,127,21999,21758,43757
SED10091,95,57,150,22,25,46,0,0,0,0,0,0,9,7,15,12180,8825,21005,706,679,1386,764,7,775,87,4,90,28,8,32,82,57,139,371,342,710,14341,10019,24363,8,3,13,0,0,0,0,0,0,49,22,68,6,3,13,4,4,7,65,33,95,0,0,0,0,0,0,3,8,11,0,8,9,6,4,6,10,18,32,107,45,154,186,94,279,9,3,12,0,0,0,0,0,6,19,4,21,3769,5613,9385,2101,3110,5212,96,91,191,20512,18931,39449
SED10092,200,121,316,171,232,407,3,0,3,0,0,3,28,30,66,10844,7434,18274,538,715,1247,173,0,176,135,18,154,161,21,179,86,59,145,604,647,1246,12938,9278,22213,23,24,47,0,0,0,3,5,3,39,12,49,10,13,21,7,0,15,84,51,138,0,0,0,0,0,0,12,9,24,12,29,41,8,9,16,35,50,85,101,61,164,219,167,384,9,7,22,0,14,11,4,4,5,18,20,43,3969,5231,9204,2304,3313,5611,75,65,138,19531,18065,37599
SED10093,118,64,172,76,99,179,0,0,0,0,0,0,4,6,8,10570,8245,18816,655,687,1342,314,4,318,85,10,94,36,7,45,52,47,100,158,188,345,12068,9357,21427,46,28,73,0,0,0,0,0,0,66,16,80,7,3,15,9,5,9,124,55,176,0,0,0,0,0,0,5,5,8,10,17,29,8,3,7,18,24,38,116,52,171,263,127,381,21,18,43,3,3,4,5,0,5,31,21,47,2881,4139,7015,2271,3487,5753,89,77,167,17604,17202,34804
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,29,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,35
