SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SED10077,0,0,8,84,248,233,274,259,69,101,110,186,54,3,46,1682,9,4,10,17,70,24,15,12,4,5,0,5,0,0,3,176,0,3,10,25,53,40,82,35,15,13,19,16,5,5,6,325,0,0,12,29,26,47,53,24,4,3,8,0,0,0,4,210,0,0,11,76,485,369,264,158,27,22,33,45,9,8,52,1552,0,0,0,4,95,97,112,205,74,83,83,80,23,0,13,872,0,0,0,12,51,82,200,209,75,29,38,36,6,0,35,790,15,62,168,158,126,135,186,120,28,16,14,32,12,7,29,1102,0,0,10,16,18,36,71,47,16,14,14,22,15,0,11,286,0,0,7,646,580,212,217,233,105,85,116,150,37,3,54,2445,62,167,394,659,652,562,602,470,180,227,244,252,79,6,84,4653,220,1249,2605,3608,6466,6566,10194,7641,2764,3630,5094,4856,1433,248,1358,57943
SED10078,0,0,6,57,274,204,219,192,52,58,65,89,23,8,21,1257,0,15,13,27,82,26,42,23,6,4,8,4,0,0,0,256,0,4,3,25,45,31,44,21,4,4,10,7,0,3,7,211,0,0,8,38,62,53,75,27,7,9,0,7,0,4,3,295,0,0,6,22,40,28,32,25,0,4,0,6,4,0,3,185,0,0,3,3,22,24,33,49,9,16,15,12,3,0,8,191,0,0,3,15,67,97,225,195,50,31,15,20,7,0,26,746,22,89,316,344,344,432,610,391,61,45,49,45,21,10,49,2825,0,0,24,36,62,93,115,99,34,25,28,37,9,6,11,579,0,0,3,319,597,381,218,243,55,90,64,88,34,3,87,2193,39,124,503,849,803,566,627,543,179,172,162,214,68,9,138,4982,173,1195,3121,3066,4277,3906,5038,3618,990,1144,1238,1242,369,97,928,30393
SED10079,0,0,6,15,63,41,51,44,8,11,7,31,0,0,10,291,5,0,4,4,16,0,4,8,0,0,3,0,0,0,0,42,4,4,3,9,4,3,10,3,0,5,0,0,0,0,0,34,0,0,12,26,50,47,71,19,12,3,14,12,6,0,0,277,0,0,0,5,3,3,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,7,38,49,6,0,6,0,0,3,8,122,87,325,877,456,280,167,303,137,22,12,22,14,8,5,65,2770,5,3,6,18,23,35,41,29,4,5,0,10,0,3,3,187,0,0,0,7,0,5,5,17,7,0,0,3,0,0,6,53,61,133,177,186,143,79,114,74,18,33,14,12,0,4,19,1069,278,806,1465,1148,968,659,960,549,108,109,98,129,38,24,184,7516
SED10080,0,0,9,50,174,151,163,155,51,62,66,134,48,37,28,1141,15,17,10,15,66,13,35,48,11,9,13,20,15,0,4,286,0,8,12,40,70,75,104,56,20,24,17,24,23,9,13,493,0,7,24,91,133,152,179,77,21,20,33,43,26,21,8,837,0,0,15,9,40,27,27,8,9,4,11,6,7,8,8,182,0,0,0,11,70,74,99,114,37,41,47,42,24,5,29,582,0,0,3,4,69,181,1197,1347,550,363,315,427,107,17,160,4745,72,157,455,430,562,609,1093,732,217,223,257,335,174,79,103,5514,8,10,38,84,109,175,279,243,86,70,91,127,100,88,22,1532,0,0,3,121,130,74,128,177,61,81,78,68,38,5,31,996,75,143,267,463,499,676,1106,1190,469,568,694,1125,448,173,171,8075,257,622,1449,2224,3888,4803,8467,8100,2725,2923,3222,4471,1856,858,1168,47059
SED10081,0,0,0,6,41,34,124,232,30,44,34,40,11,7,18,629,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,4,9,4,6,0,0,0,0,0,0,0,29,0,0,0,9,9,33,48,25,5,14,10,19,8,0,0,187,0,0,0,0,5,5,12,16,0,0,4,13,4,0,0,53,0,0,0,0,0,3,15,15,14,13,24,68,11,0,9,175,0,0,0,0,6,3,24,21,12,0,8,15,4,0,9,100,49,173,342,182,87,68,126,51,12,34,18,12,5,0,59,1212,0,0,17,19,25,17,21,11,7,5,0,7,3,0,5,136,0,0,0,4,9,0,25,36,36,92,99,36,5,0,16,360,14,31,62,54,48,42,127,112,53,29,26,47,25,16,17,701,96,365,568,469,420,417,926,986,298,403,420,512,177,75,214,6346
SED10082,0,0,9,28,58,54,45,27,13,9,9,9,10,0,4,279,9,6,9,6,32,12,16,13,3,0,0,0,0,0,4,108,0,0,3,14,6,14,21,15,6,5,0,0,0,0,0,87,0,0,25,78,86,127,310,77,21,18,20,17,6,14,11,814,0,0,10,16,15,3,11,3,0,3,0,3,0,4,5,80,0,0,0,0,5,0,9,8,0,0,0,5,0,3,0,25,0,0,0,10,9,23,41,26,5,10,4,9,0,0,3,141,124,343,1051,733,659,520,1252,594,85,44,42,61,39,15,138,5726,0,0,19,47,41,51,84,63,5,16,6,8,10,8,10,367,0,0,0,9,13,4,12,19,6,5,9,0,5,0,3,83,58,138,257,293,251,176,324,196,42,34,34,41,17,8,42,1916,335,891,1809,1736,1813,1554,2911,1457,265,227,187,253,121,68,321,13952
SED10083,0,0,6,26,111,99,92,88,18,14,14,28,7,0,15,524,8,5,3,10,31,10,15,7,0,0,0,0,0,0,4,97,0,0,4,6,8,3,0,5,0,0,0,0,0,0,0,33,0,4,15,37,43,53,120,36,21,15,9,8,4,0,8,374,0,0,8,8,14,3,12,5,0,0,0,0,0,0,4,62,0,0,0,0,5,9,4,0,0,0,0,0,0,0,0,17,0,0,0,5,6,11,57,34,9,8,6,10,0,5,8,157,104,292,862,525,459,357,518,271,43,27,22,27,25,6,114,3647,0,4,15,30,27,35,53,40,4,9,3,3,0,0,6,223,0,0,0,8,11,11,17,14,8,3,5,4,3,0,0,88,49,118,245,260,198,167,277,137,29,17,27,26,3,0,44,1595,253,703,1606,1380,1494,1282,1900,1093,236,171,174,216,79,32,316,10938
SED10084,0,0,4,16,79,54,103,116,26,17,31,31,7,7,20,507,4,9,0,6,32,4,11,3,4,0,0,0,0,0,3,72,0,0,3,12,4,4,7,5,0,0,0,0,0,0,0,49,0,4,16,46,69,62,93,45,12,7,3,10,19,0,8,406,0,0,4,4,7,4,8,0,0,0,0,4,0,0,0,43,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,24,0,0,0,3,15,26,74,31,16,6,17,12,3,0,6,207,148,525,1258,693,429,315,594,234,45,22,32,61,27,9,233,4625,4,6,38,33,38,53,94,32,12,3,11,12,11,0,11,357,0,0,0,4,3,0,14,20,3,0,3,3,3,0,4,62,42,121,192,208,161,125,329,275,85,72,71,72,31,3,50,1842,336,1022,1941,1597,1565,1232,2209,1279,305,251,263,314,150,49,520,13023
SED10085,0,0,0,8,57,38,81,142,33,31,29,32,9,8,9,471,0,0,7,5,9,0,0,0,0,0,0,0,0,0,0,18,0,0,6,11,5,5,4,0,0,0,0,0,0,0,0,29,0,0,4,13,16,27,120,40,5,7,12,17,6,0,3,271,0,0,0,0,4,0,6,20,4,0,3,0,0,0,0,44,0,0,0,0,0,0,5,6,0,0,3,4,0,0,0,20,0,0,0,7,7,4,32,24,9,0,5,10,7,5,14,121,41,167,429,297,208,124,208,95,29,11,9,23,12,5,66,1721,0,5,8,16,11,13,32,15,0,4,0,0,0,0,8,130,0,0,0,4,9,6,15,12,3,0,0,0,6,0,17,76,9,52,69,80,72,51,152,82,21,14,15,87,23,22,23,787,92,394,717,717,711,536,1140,718,174,137,205,325,108,72,264,6325
SED10086,0,0,5,21,60,55,100,76,31,19,43,43,12,0,16,494,50,65,31,18,66,12,32,38,12,9,6,11,3,0,15,376,0,15,31,47,32,28,62,49,17,8,10,14,13,0,3,339,4,3,40,371,1045,1401,985,295,64,61,63,63,57,14,51,4512,0,0,5,23,20,12,17,5,0,0,4,0,0,0,3,93,0,0,3,4,36,15,8,14,7,8,6,0,0,0,5,98,0,0,9,10,26,29,39,26,10,3,8,11,0,0,7,175,135,144,324,396,403,586,1102,1157,319,345,403,456,214,46,132,6158,5,6,33,52,82,114,310,243,69,70,88,135,64,15,33,1334,0,0,0,36,42,10,12,22,3,3,7,6,4,4,7,163,295,493,377,888,801,799,1178,1083,370,429,550,668,275,35,174,8418,717,1156,1480,2517,3726,4152,5431,4295,1210,1273,1563,1827,870,200,659,31070
SED10087,0,0,5,5,36,29,99,191,28,40,44,37,21,4,7,544,5,0,0,0,10,0,0,6,0,0,0,0,0,0,0,23,0,3,3,3,0,5,17,3,0,0,0,0,0,0,0,39,0,0,11,9,15,32,166,29,17,18,18,17,10,5,3,350,0,0,0,5,6,13,37,67,7,3,14,13,0,0,0,171,0,0,0,0,0,4,4,18,5,3,3,10,0,0,4,44,0,0,0,0,3,13,47,32,4,8,14,12,7,0,4,142,56,167,321,176,109,95,164,81,5,4,4,14,6,0,52,1254,0,3,6,23,19,24,37,18,10,9,0,7,12,0,0,161,0,0,0,0,13,9,12,24,4,13,0,17,11,0,0,99,24,48,92,68,76,119,349,260,61,68,73,111,45,28,22,1445,124,413,603,514,508,620,1732,1625,458,527,541,764,295,118,206,9049
SED10088,0,0,9,52,184,203,235,155,29,40,44,60,10,4,15,1046,4,0,5,15,63,16,45,24,7,0,3,0,8,0,6,210,0,4,8,14,22,24,32,21,12,10,13,4,3,0,3,166,0,0,25,72,107,238,299,121,43,27,30,38,11,0,13,1025,0,0,0,5,13,13,11,8,0,0,3,0,0,0,0,61,0,0,0,0,42,25,18,8,6,0,0,0,0,0,0,90,0,0,0,18,38,64,129,59,4,12,10,3,0,0,14,356,103,233,665,610,645,797,1619,820,101,93,105,106,47,14,117,6058,0,9,28,41,65,91,150,107,14,38,12,20,20,13,17,618,0,0,0,33,61,43,36,18,8,7,11,11,3,0,7,231,42,96,299,420,511,819,1142,828,263,278,249,244,73,26,81,5361,264,946,2079,2104,3303,3926,6018,3543,811,811,929,1012,340,83,570,26753
SED10089,0,0,3,9,121,90,147,125,31,28,26,30,18,8,13,648,34,4,18,22,49,12,14,4,0,0,3,0,0,0,10,180,0,0,0,9,5,6,17,10,4,15,15,7,9,0,0,103,0,0,5,21,10,42,83,45,4,16,14,13,11,0,6,277,0,0,0,4,17,24,60,28,4,4,3,4,5,0,0,165,0,0,0,0,0,0,7,17,8,0,6,3,0,0,8,56,0,0,0,3,5,23,51,34,8,9,15,15,0,4,7,179,63,201,416,251,224,128,295,191,24,23,21,26,13,18,92,1983,0,0,5,18,21,31,63,33,0,6,7,16,12,5,12,234,0,0,0,29,27,9,52,91,31,27,11,33,18,0,22,340,49,46,172,160,121,226,405,278,237,139,236,281,77,23,111,2566,275,566,1101,892,1014,1029,2517,2254,696,788,850,908,324,109,495,13822
SED10090,0,0,14,53,157,104,190,172,69,54,55,99,28,9,30,1017,9,9,16,19,52,12,52,27,4,0,6,3,4,0,0,219,0,7,16,56,89,58,136,56,20,21,34,14,19,9,3,551,0,6,24,86,168,172,244,66,34,47,38,49,29,15,8,996,0,8,3,42,36,33,33,12,3,4,0,3,4,0,4,195,0,0,4,11,199,266,162,105,34,28,30,53,9,0,16,921,0,0,5,22,37,52,193,135,30,37,27,28,20,3,19,610,78,163,438,443,490,579,954,532,104,110,65,78,32,23,57,4141,6,9,27,71,82,102,187,138,18,30,35,67,44,11,17,841,0,0,0,131,90,40,49,65,18,20,20,31,10,3,13,493,73,157,298,477,464,463,729,565,206,197,177,195,91,28,39,4158,312,807,1849,2712,5061,5409,8042,5136,1401,1552,1593,1873,923,354,562,37588
SED10091,0,3,3,13,54,33,44,33,12,18,12,25,6,0,4,259,10,8,8,19,37,6,5,4,0,0,0,0,0,0,3,94,0,4,9,9,5,9,16,7,0,0,0,0,3,0,0,65,4,0,14,56,40,63,101,39,8,0,9,6,5,4,0,349,0,4,5,3,8,10,12,8,0,3,0,0,0,0,6,55,0,0,0,0,3,3,6,5,5,0,0,0,0,0,0,29,0,0,0,8,15,12,50,29,7,3,0,5,4,0,3,135,135,418,1169,868,491,279,404,142,9,9,19,14,19,6,161,4134,5,4,35,39,30,36,49,39,6,0,12,3,7,0,10,287,0,0,0,16,14,13,16,10,0,0,0,4,0,0,3,80,67,189,368,418,240,192,200,96,12,18,25,24,16,3,65,1916,343,1029,2211,1992,1435,1056,1509,836,161,157,202,208,114,19,394,11658
SED10092,0,0,4,31,171,93,109,110,17,30,49,52,12,3,14,691,15,7,16,24,48,17,14,5,0,0,0,0,0,0,8,156,0,0,3,9,3,9,18,12,0,3,7,0,0,5,0,79,0,0,3,22,23,50,74,19,3,0,10,17,6,5,9,251,0,0,0,4,15,8,7,16,5,14,10,10,3,0,4,108,0,0,0,0,0,10,7,13,3,6,0,6,9,0,0,54,0,0,0,3,13,28,137,102,29,25,15,23,5,7,11,407,88,387,1050,522,283,175,268,165,19,22,29,19,19,7,136,3178,0,3,9,33,25,28,75,59,9,7,11,15,16,9,11,300,0,0,0,123,106,48,64,82,25,39,50,44,11,4,9,596,41,290,717,1130,452,519,658,546,230,124,212,245,73,10,149,5395,272,1694,3725,3312,1844,1786,2737,2320,720,669,862,1002,438,86,710,22182
SED10093,0,0,3,21,135,115,170,153,24,17,29,34,9,0,17,733,0,3,8,10,20,3,19,0,0,0,0,3,0,0,0,71,0,0,3,11,4,0,8,0,0,0,0,0,0,0,0,35,0,3,8,32,40,51,110,43,13,12,9,5,8,0,3,334,0,0,3,10,7,7,10,10,3,0,0,0,0,0,3,59,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,20,0,0,4,4,14,21,72,47,10,12,7,15,3,0,0,202,104,331,941,544,425,269,376,166,24,29,17,16,6,4,127,3380,0,0,10,20,26,28,52,47,8,7,8,6,4,0,0,219,0,0,3,13,22,14,21,22,0,8,0,5,0,0,8,115,61,142,256,318,255,168,272,137,26,30,26,24,11,6,63,1794,249,784,1702,1433,1542,1257,1917,1317,227,248,182,198,89,38,357,11549
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED20106,0,0,6,26,86,92,128,104,25,44,49,92,37,4,5,689,14,21,22,15,104,27,27,24,11,10,9,3,5,0,3,296,0,4,7,13,37,56,143,87,28,21,25,24,12,3,10,466,0,3,16,51,76,77,149,74,17,32,24,36,5,10,4,577,0,4,9,20,49,28,58,44,22,15,17,29,17,5,4,315,0,0,0,3,24,40,39,60,16,17,22,16,8,0,3,245,0,0,5,3,20,39,94,87,42,35,30,42,12,0,4,407,39,184,411,371,347,363,901,684,162,213,210,278,118,26,58,4361,6,8,25,64,52,78,173,142,40,58,73,75,47,22,14,879,0,0,0,55,85,67,87,115,44,29,25,27,29,0,17,585,55,134,226,361,425,643,986,1044,426,513,681,917,370,56,89,6925,177,782,1667,1575,2224,2855,6238,5503,1791,2080,2462,3142,1252,340,503,32586
SED20207,0,0,6,70,415,259,539,388,95,105,100,131,64,5,34,2208,4,10,19,16,110,36,33,24,4,4,0,12,4,3,4,297,0,0,0,13,32,53,261,142,29,40,25,50,23,0,4,687,0,7,9,26,58,68,347,236,48,106,67,108,33,4,12,1125,0,0,9,14,49,98,274,120,34,23,14,28,10,5,8,696,0,0,0,0,12,22,38,58,3,8,5,13,0,0,0,166,0,0,0,6,29,45,110,109,40,41,12,41,17,3,3,462,53,264,626,293,315,191,750,578,95,74,81,116,41,22,40,3526,0,0,4,18,16,31,111,97,23,26,26,31,4,7,3,403,0,0,0,159,460,263,181,135,24,22,26,28,11,4,30,1353,52,417,725,593,832,908,1651,1113,266,291,254,337,105,35,117,7694,197,1138,2404,1990,3519,4154,13699,10010,2327,2378,2372,2786,957,339,700,48971
SED20302,0,0,0,14,111,88,476,506,98,80,55,78,26,0,27,1557,3,5,12,10,55,19,17,4,0,0,0,0,0,0,0,132,0,0,0,3,12,12,59,39,15,4,10,6,0,0,0,159,0,4,17,51,82,64,177,98,21,16,21,8,0,10,3,574,0,9,21,50,128,210,1338,881,180,168,129,150,58,10,39,3380,0,0,0,0,4,10,20,26,5,5,23,35,7,5,0,144,0,0,0,6,27,29,71,70,10,8,9,4,7,4,6,251,138,602,1269,800,557,238,597,316,37,39,29,25,17,3,184,4843,0,3,8,23,33,25,59,52,14,10,3,6,3,0,3,253,0,0,0,21,39,39,60,53,10,7,7,5,14,0,0,254,38,159,286,339,487,494,1528,770,160,115,113,111,44,19,103,4764,288,1506,2167,1778,2232,2142,10226,6632,1389,1276,1151,1223,458,142,695,33328
SED20401,0,0,5,29,79,80,161,121,42,45,40,40,22,0,14,661,3,12,22,12,67,22,21,6,0,0,0,0,0,0,12,163,0,3,7,12,28,31,93,45,11,7,15,8,5,0,5,260,0,0,8,31,65,63,71,34,0,7,9,6,0,0,6,306,0,7,31,31,75,77,287,129,31,30,26,49,11,5,11,798,0,0,0,0,12,22,29,17,0,4,0,0,3,0,0,95,0,0,0,3,14,22,73,45,17,9,13,20,4,0,10,231,76,277,838,436,358,158,303,84,18,12,11,23,8,3,109,2716,0,5,10,9,15,34,42,34,3,0,6,7,4,0,3,174,0,0,0,72,142,64,90,51,9,21,8,16,3,3,10,484,50,141,169,240,307,244,477,278,44,32,54,71,30,9,101,2237,216,944,1531,1272,1889,1714,4457,2479,516,498,499,555,215,60,485,17330
SED20508,0,0,0,9,40,31,48,38,9,10,11,13,14,0,11,235,9,5,5,6,18,5,6,5,0,0,0,0,0,0,0,66,0,3,4,9,9,3,12,3,5,0,0,4,0,0,10,65,0,3,11,41,43,27,77,42,3,0,5,5,0,0,3,258,0,4,11,6,6,7,6,0,0,0,0,0,0,0,0,42,0,0,0,0,0,4,6,5,0,10,0,0,0,0,0,17,0,0,0,4,3,12,19,11,6,5,7,6,5,0,6,82,137,464,1003,525,387,191,445,221,48,31,38,27,19,8,199,3756,3,7,17,32,36,24,66,28,11,11,0,6,0,0,6,253,0,0,0,6,13,4,10,5,3,0,4,5,0,0,0,56,41,172,228,148,101,92,157,120,24,19,11,20,10,4,43,1182,334,1291,1818,1129,1007,651,1330,786,158,119,127,148,74,25,411,9409
SED20604,0,0,0,7,47,33,63,108,32,12,21,22,10,10,9,375,9,3,3,4,11,5,0,0,0,0,0,0,0,0,6,39,0,0,0,7,0,0,3,4,0,0,0,0,5,0,0,28,0,0,4,26,17,12,59,13,3,0,11,6,0,0,0,151,0,3,4,0,0,0,16,17,7,8,6,3,0,8,0,72,0,0,0,0,0,4,6,13,0,0,7,5,0,0,0,32,0,0,0,0,5,10,25,22,5,0,10,4,0,0,0,79,73,230,515,316,226,117,227,100,16,12,21,14,17,10,76,1970,0,0,10,21,19,20,31,44,5,0,9,9,6,0,5,162,0,0,0,3,0,0,6,14,0,33,54,63,5,0,14,203,54,134,163,114,89,76,223,166,63,62,131,106,24,18,43,1468,233,822,992,748,688,505,1198,867,203,232,328,309,109,56,247,7548
SED20704,0,0,3,8,26,24,69,90,21,28,35,36,3,0,3,357,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,3,0,0,3,0,0,4,0,0,0,0,28,0,0,0,13,15,18,78,35,0,9,9,5,12,0,7,199,0,3,0,9,10,20,53,47,15,14,3,15,6,5,0,194,0,0,0,0,0,0,9,11,0,0,4,9,0,0,0,31,0,0,0,0,6,7,175,137,33,28,43,16,4,3,0,451,42,180,365,256,152,91,193,76,18,14,17,12,6,5,46,1464,0,0,5,22,18,12,32,18,4,0,8,3,5,0,3,122,0,0,0,3,4,5,10,13,0,11,3,4,0,4,0,55,23,45,50,56,46,42,357,193,55,66,67,46,18,9,35,1104,112,400,578,541,456,424,1661,1084,299,275,333,256,121,37,185,6758
SED20804,0,0,0,5,32,36,71,66,21,24,28,30,6,4,11,350,0,4,3,0,11,0,0,7,0,0,0,3,0,0,0,29,0,0,0,4,0,3,7,7,0,0,0,0,0,0,0,31,0,0,8,12,22,40,29,15,0,3,3,0,0,0,5,140,0,4,11,5,6,11,21,20,0,9,7,11,4,0,3,103,0,0,0,0,0,0,9,20,0,5,0,0,3,0,0,34,0,0,0,0,6,6,83,89,41,37,35,18,4,0,8,341,51,228,480,282,189,114,178,70,19,10,6,10,11,5,93,1748,0,0,18,28,11,26,40,15,0,3,0,4,0,3,5,170,0,0,0,6,4,8,31,26,5,0,5,0,0,0,55,144,24,49,83,85,75,44,276,158,63,52,64,52,15,0,76,1118,143,494,791,630,586,482,1240,873,253,250,278,252,87,31,438,6829
SED20906,0,0,0,15,84,39,55,45,17,18,15,26,15,0,8,340,31,37,26,28,171,22,28,10,0,5,3,0,0,0,0,380,0,4,7,22,30,34,83,48,9,18,8,4,7,0,0,278,0,8,14,74,170,275,355,113,21,48,33,54,14,6,13,1187,0,13,76,84,124,71,80,34,5,7,18,4,0,0,12,542,0,0,0,4,6,24,29,23,4,0,4,0,5,0,3,115,0,0,0,4,20,17,58,29,10,8,8,8,7,0,13,180,56,144,341,246,246,202,536,389,55,68,49,50,9,9,28,2439,0,3,6,37,30,34,111,59,14,22,11,23,10,0,10,379,0,0,0,83,94,57,80,75,8,38,39,17,19,4,7,516,85,172,278,558,715,1277,989,629,139,140,154,138,44,42,69,5429,259,973,1915,1793,2605,3213,5513,3409,701,829,888,907,322,141,377,23859
SED21001,0,0,3,15,66,42,117,89,25,53,39,69,35,6,5,561,14,17,8,14,37,5,5,4,0,0,0,0,0,0,8,107,0,4,13,43,80,58,192,60,19,15,16,17,3,4,9,533,0,0,14,38,55,43,96,30,11,3,6,9,0,0,0,307,4,10,37,44,101,57,134,80,22,51,61,69,26,9,5,716,0,0,0,0,108,156,133,114,27,38,38,19,4,0,10,654,0,0,0,7,21,38,64,40,11,10,11,15,5,6,4,237,72,204,396,278,216,182,334,130,30,29,26,33,3,6,61,1991,0,0,9,25,24,35,77,55,19,4,15,21,7,6,11,308,0,0,3,254,237,101,93,83,24,34,39,38,19,0,12,946,62,146,169,233,245,223,350,234,45,62,58,86,44,13,59,2026,260,921,1376,1572,3027,3284,6653,4857,1407,1811,1863,1988,702,176,660,30557
SED21106,0,0,0,20,29,19,31,13,15,6,4,15,0,7,0,162,23,53,34,44,124,22,15,20,4,3,0,3,0,0,11,362,0,0,7,21,27,32,46,32,16,10,8,12,11,6,3,219,0,3,10,67,160,135,202,48,18,29,11,34,0,3,10,737,3,4,20,37,40,32,20,13,5,0,0,0,0,0,4,191,0,0,0,0,9,10,6,12,6,0,4,3,0,0,0,52,0,0,0,4,5,12,37,39,3,6,6,3,4,0,5,124,78,230,431,403,401,368,827,538,101,118,120,146,52,18,67,3898,0,0,23,41,48,78,139,101,24,15,29,64,29,13,14,623,0,0,0,42,38,18,24,19,11,10,0,10,17,0,4,198,95,184,222,445,468,540,531,380,97,130,128,152,81,4,72,3523,337,941,1376,1581,2072,2031,3142,2126,523,635,626,781,397,94,367,17017
