SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL21963,0,10,21,15,6,10,0,0,0,59,0,12,12,11,16,12,4,3,0,70,100,241,554,352,326,263,64,11,0,1917
SAL21964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,0,0,26
SAL21965,0,6,17,5,13,3,0,0,0,42,0,5,15,13,11,3,0,0,0,49,67,138,398,314,276,161,30,0,0,1399
SAL21966,3,25,84,45,30,28,5,0,0,218,12,54,113,68,47,32,8,0,0,325,224,1183,3250,1767,1033,617,188,19,3,8282
SAL21967,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,11,0,14,34,34,44,31,9,0,0,164
SAL21968,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,10,13,17,32,23,30,41,14,0,0,165
SAL21969,0,5,7,17,18,10,0,0,0,59,0,6,7,23,14,16,0,0,0,74,109,122,192,318,459,315,83,7,3,1605
SAL21970,6,7,17,14,9,19,8,0,0,82,5,3,10,11,13,5,6,0,0,50,130,156,315,282,279,228,48,3,0,1457
SAL21971,16,28,135,79,86,51,10,0,0,408,17,36,167,116,106,51,24,3,0,511,434,979,4468,3346,3127,1784,452,28,5,14623
SAL21972,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,6,12,18,18,14,23,4,0,0,105
SAL21973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,24
SAL21974,0,5,16,8,4,3,0,0,0,40,0,13,38,13,11,6,3,0,0,79,55,253,581,328,196,114,20,3,0,1552
SAL21975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,5,22,16,11,6,0,0,64
SAL21976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
SAL21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,9,0,0,0,16
SAL21978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,17
SAL21979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,15
SAL21980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,3,12,14,11,4,4,0,51
SAL21981,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,4,11,13,17,21,25,17,7,0,0,111
SAL21982,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,5,10,0,3,8,6,0,0,30
SAL21983,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,8,3,12,9,6,0,0,47
SAL21984,11,13,19,14,15,15,5,0,0,82,9,9,14,12,19,14,5,0,0,77,109,141,343,307,383,387,109,14,3,1798
SAL21985,7,18,59,50,52,31,12,3,0,224,5,15,58,57,45,30,7,0,0,224,272,517,1461,1604,1298,760,191,21,3,6135
SAL21986,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,12,23,26,31,26,11,4,0,142
SAL21987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,9,0,0,0,22
SAL21989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,8,3,0,0,0,21
SAL21990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,8,20,18,7,4,0,71
SAL21992,0,0,3,0,0,0,0,0,0,8,0,3,5,4,0,4,0,6,0,18,9,14,64,33,60,55,12,5,0,253
SAL21993,0,0,3,7,0,0,0,0,0,10,0,3,0,0,0,6,0,0,0,10,10,17,45,39,49,53,4,3,0,215
SAL21994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7
