SAL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL11114,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,8,15,11,15,16,3,0,73,26,93,291,295,315,347,304,158,47,1875
SAL11115,0,0,0,3,4,8,11,17,3,41,0,0,0,0,4,0,0,3,0,3,3,7,20,23,10,21,15,14,7,105,33,58,156,173,208,329,316,137,26,1435
SAL11116,0,0,12,11,17,20,41,46,26,178,0,0,0,3,0,3,6,11,5,33,10,13,74,33,31,23,20,19,7,226,102,315,1088,726,604,496,371,185,85,3976
SAL11117,0,4,4,16,11,41,50,63,18,209,0,0,5,0,6,5,33,25,20,99,3,10,17,13,20,7,13,4,3,101,56,140,280,265,280,233,192,139,44,1638
SAL11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,11,7,7,0,29
SAL11119,4,0,0,4,5,10,20,50,22,117,0,0,0,4,3,6,8,9,9,36,11,7,24,42,34,24,29,38,28,249,209,399,637,1062,1251,868,713,550,207,5894
SAL11120,0,0,0,7,5,19,52,69,40,198,0,0,3,4,0,5,5,3,7,22,18,39,162,114,106,92,97,90,105,829,296,1009,3208,2147,2199,2518,2141,1049,558,15120
SAL11121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,5,9,0,6,0,44
SAL11122,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,4,20,13,34,35,14,4,142
SAL11123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,11,12,27,10,6,0,70
SAL11124,0,0,0,0,10,17,32,43,31,137,0,0,0,0,0,3,3,0,3,11,12,4,11,19,15,32,26,25,19,160,66,113,226,232,300,435,397,275,125,2176
SAL11125,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,13,16,6,15,17,5,0,72
SAL11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,4,0,0,16,0,3,14,14,18,18,9,0,0,80
SAL11127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5,0,0,8
SAL11128,0,0,0,0,3,3,6,0,4,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,18,17,16,52,78,75,76,72,49,8,448
SAL11129,0,0,0,0,0,0,8,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,15,28,35,87,82,62,67,47,15,449
SAL11130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9
SAL11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,5,0,4,11,21,13,13,5,83
SAL11132,0,0,0,0,0,0,14,8,4,34,0,0,0,3,0,0,0,0,5,8,9,7,49,38,19,16,14,8,3,160,65,241,1171,1045,655,462,321,142,42,4147
SAL11133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,7,10,22,3,0,60
SAL11134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11135,0,3,11,14,18,47,110,151,97,443,0,0,15,21,8,14,44,58,43,206,8,18,35,49,33,49,75,75,116,462,210,658,1403,1394,1458,1337,998,700,448,8607
SAL11136,0,0,0,7,20,54,146,179,69,489,0,3,10,7,13,16,51,49,38,192,22,16,53,57,70,50,44,31,19,367,262,621,1288,1438,1624,1380,1076,578,245,8511
SAL11137,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,4,0,9,5,20,3,0,47
SAL11138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,14,0,0,0,7,7,3,4,0,0,24
SAL11139,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,4,6,0,23,4,7,15,22,32,46,41,19,7,196
SAL11140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,4,5,0,0,25
SAL11141,0,0,0,0,0,5,3,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,6,0,20,9,19,44,75,67,83,83,45,13,431
SAL11142,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,7,11,3,18,12,0,3,57
SAL11143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,18
SAL11144,0,0,0,0,0,4,0,0,4,14,0,0,0,0,0,0,0,0,0,0,3,7,0,6,8,15,8,0,0,37,26,53,105,114,124,143,97,37,13,710
SAL11145,0,0,0,0,0,4,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,3,4,7,10,5,6,0,0,32,4,11,22,43,60,51,57,10,4,258
SAL11146,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,5,6,3,26,7,12,22,21,42,53,52,36,4,247
SAL11147,4,0,0,4,0,14,23,28,33,104,0,0,0,5,0,0,3,0,0,8,3,4,9,9,3,15,11,19,12,81,62,121,297,276,330,532,454,342,128,2553
SAL11148,0,0,7,8,0,9,20,18,3,62,0,0,0,0,0,0,0,0,0,0,10,5,0,10,18,15,20,27,12,121,45,64,105,177,160,179,212,132,30,1107
SAL11149,0,0,0,0,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,6,12,13,13,24,31,25,11,3,128
SAL11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,3,8,5,0,0,32
SAL11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
SAL11152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,9,11,5,6,0,34
SAL11153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,6
SAL11154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,0,0,20
SAL11155,0,0,0,4,3,4,3,9,3,26,0,0,0,0,0,4,3,0,0,10,3,6,17,13,12,3,9,3,0,70,54,113,259,346,300,250,197,83,13,1613
SAL11156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,13
SAL11157,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,9,6,0,0,26,8,17,18,27,21,44,10,10,3,160
SAL11158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL11159,0,0,0,0,4,0,11,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,19,0,6,10,15,43,45,69,20,0,211
SAL11160,0,0,0,0,0,5,0,4,0,16,0,0,0,0,0,0,0,0,0,4,9,0,6,8,5,11,4,3,0,48,13,19,44,54,46,82,62,42,9,373
SAL11161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9
SAL11162,0,0,0,4,4,16,18,26,19,96,0,0,0,0,0,0,0,0,0,0,3,6,7,13,3,12,32,22,23,132,57,84,208,204,218,277,270,169,96,1594
SAL11163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,4,0,0,26
SAL11164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,11,15,35,40,6,5,121
SAL11165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,6,16,3,12,13,15,25,36,22,8,10,144
SAL11166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,0,5,0,0,4,0,0,17
SAL11167,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,8,18,7,21,18,21,9,0,97
SAL11168,0,0,0,0,0,0,5,4,3,15,0,0,0,0,0,0,0,3,0,5,0,3,7,9,21,12,4,3,0,61,59,139,228,278,454,293,168,85,35,1745
SAL11169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,5,3,4,0,4,0,0,6,0,0,13
SAL11170,0,0,0,4,4,9,14,8,0,44,0,0,0,0,0,0,0,0,0,0,3,5,0,5,4,6,9,0,3,46,22,48,101,77,81,121,86,38,15,586
SAL11171,0,0,0,0,0,0,8,0,3,17,0,0,0,0,0,0,0,0,0,0,4,5,14,6,8,12,16,5,0,74,10,14,68,54,55,81,68,25,7,383
SAL11172,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,10,3,4,13,3,0,42
SAL11173,0,0,0,0,0,0,5,4,0,17,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,6,0,18,23,5,32,46,45,50,36,27,6,270
SAL11174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11175,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,12,6,5,20,20,32,34,37,22,5,179
SAL11176,0,0,11,0,10,24,34,20,11,119,0,0,9,0,4,4,3,3,3,29,4,6,21,17,14,3,9,9,0,83,181,325,890,809,758,518,273,111,25,3881
SAL11177,0,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,3,5,16,4,9,32,34,39,143,109,47,23,451
SAL11178,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,24,23,24,16,13,5,134
SAL11179,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,12,11,24,30,21,33,21,4,0,145
SAL11180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,8,4,16,11,3,0,58
SAL11181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SAL11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,6,0,22,0,4,6,7,14,13,3,6,0,62
SAL11183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8,0,0,0,28
SAL11184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,0,19,18,5,0,53
SAL11185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,8,8,6,0,4,3,0,29
SAL11186,0,0,0,4,7,13,15,24,8,64,0,0,0,0,0,4,9,3,0,11,5,3,18,10,14,19,22,37,48,175,33,52,92,92,128,146,180,181,71,977
SAL11187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,8,4,0,3,6,13,5,11,0,0,39
SAL11188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,4,4,0,19
SAL11189,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,3,0,0,24,7,9,15,18,40,25,17,11,4,156
SAL11190,0,0,0,0,0,4,6,3,5,15,0,0,0,0,0,0,0,0,0,6,0,0,3,3,7,7,14,27,10,78,9,25,50,61,72,107,120,115,46,606
SAL11191,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,0,22,5,9,33,25,36,57,37,14,0,221
SAL11192,0,0,6,0,7,10,18,31,30,91,0,0,0,0,0,0,0,0,0,0,12,12,22,17,14,37,31,36,57,225,38,35,161,185,212,375,425,231,207,1875
SAL11193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL11194,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,3,8,10,3,3,8,6,0,41
SAL11195,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,4,0,14,3,9,12,23,39,39,33,19,5,182
SAL11196,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,3,12,21,27,27,47,32,14,5,184
SAL11197,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,13,17,12,9,0,81
SAL11198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,13,0,0,0,26
SAL11199,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,0,0,12,0,0,8,8,6,0,13,3,0,57
SAL11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,11,0,8,9,28,44,78,58,33,0,259
SAL11201,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,6,10,13,12,22,8,16,5,93
SAL11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9
SAL11203,3,3,8,17,18,38,108,103,76,371,4,0,0,0,0,3,7,8,3,34,27,26,57,52,33,31,42,58,25,343,327,699,1471,1310,1316,1216,1067,782,298,8488
SAL11204,0,0,0,0,3,4,4,5,0,16,0,0,0,0,0,0,0,0,0,0,4,4,8,13,14,42,31,12,0,125,16,22,32,57,72,115,85,53,6,465
SAL11205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,8,3,10,5,4,0,45
SAL11206,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,8,4,27,7,10,36,16,31,46,58,25,4,229
SAL11207,5,0,0,0,8,12,15,12,0,51,0,0,0,0,0,0,0,0,0,0,7,3,18,19,5,16,7,10,6,103,20,18,54,51,54,66,61,54,10,388
SAL11208,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,16,24,3,0,77
SAL11209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,6,9,7,5,0,35
SAL11210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,6,15,19,11,8,3,76
SAL11211,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,7,5,4,9,0,0,32,4,10,9,28,33,39,48,11,0,183
SAL11212,0,0,0,0,0,0,5,7,5,19,0,0,0,0,0,0,0,6,0,5,6,8,40,30,25,31,14,29,16,202,46,126,545,492,445,500,536,460,166,3301
SAL11213,0,0,8,8,7,14,18,13,7,76,0,0,3,9,7,6,7,3,0,34,19,72,264,196,166,155,132,131,72,1207,106,680,3242,2110,1451,1224,830,436,167,10239
SAL11214,0,0,0,0,0,0,8,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,16,5,30,71,43,46,45,32,17,12,299
SAL11215,0,0,0,0,3,6,0,6,3,14,0,0,0,0,0,0,0,3,3,7,12,19,45,30,15,9,10,3,0,138,163,644,749,277,201,155,103,41,9,2332
SAL11216,3,0,4,7,3,20,22,8,4,66,0,0,0,0,3,0,0,0,0,7,6,10,19,10,16,21,23,9,3,119,40,55,146,109,136,175,128,52,10,856
SAL11217,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,4,0,0,26
SAL11218,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,7,3,0,10,10,6,18,11,5,0,60
SAL11219,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,3,8,6,12,18,14,12,13,0,84
SAL11220,0,0,0,0,0,5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,25,22,64,84,137,119,83,35,8,578
SAL11221,0,0,0,0,3,0,10,4,0,24,0,0,0,0,0,0,3,0,0,6,4,0,0,3,3,0,9,7,0,29,83,144,130,298,501,314,338,185,24,2005
SAL11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,7,11,0,0,32
SAL11223,0,0,0,0,7,7,25,14,14,72,0,0,0,0,0,0,0,0,0,6,0,5,3,7,7,8,16,15,17,80,61,91,206,302,300,339,336,267,144,2048
SAL11224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,10,6,16,23,44,58,87,64,24,4,340
SAL11225,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,4,3,5,6,9,25,13,3,0,74
SAL11226,3,3,3,9,4,33,36,20,15,118,0,0,0,0,5,3,11,5,0,30,14,14,27,30,17,27,25,29,43,213,88,207,495,449,328,374,261,116,80,2409
SAL11227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,0,25
SAL11228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SAL11229,0,3,19,57,48,51,75,74,50,378,0,5,19,53,71,36,24,15,17,242,15,59,220,171,90,92,91,55,33,825,334,1461,4875,4163,2995,2524,1550,835,354,19086
SAL11230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
SAL11231,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,11,6,9,32,8,7,4,83
SAL11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,9
SAL11233,0,0,0,0,0,10,10,10,0,27,0,0,0,0,0,0,0,0,0,0,0,5,3,4,10,10,23,11,4,58,5,22,31,35,69,77,96,43,9,391
SAL11234,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,11,0,3,15,15,20,21,15,3,3,103
SAL11235,0,0,0,0,4,0,7,0,0,16,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,4,4,0,0,18,9,6,27,36,24,54,57,22,12,241
SAL11236,0,0,0,0,0,6,14,6,4,31,0,0,0,0,0,0,0,0,0,4,6,5,12,17,13,7,14,8,0,86,16,22,54,73,83,89,78,41,10,474
SAL11237,0,0,7,18,15,39,46,38,18,181,0,0,0,3,3,15,24,22,10,81,3,20,49,41,22,32,23,23,0,218,167,505,1792,1802,847,640,488,291,81,6616
SAL11238,0,0,0,0,0,0,11,8,5,21,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,4,22,19,35,86,17,17,49,45,45,84,131,98,78,558
SAL11239,0,7,6,12,28,72,106,91,54,375,0,0,3,0,3,10,4,8,6,32,39,34,97,93,91,100,91,78,28,661,210,354,752,714,919,1108,989,615,275,5938
SAL11240,3,0,0,3,0,14,10,12,16,59,0,0,0,3,4,10,3,3,5,21,0,7,14,17,19,24,37,44,59,221,67,218,399,469,533,576,457,243,134,3093
SAL11241,0,0,0,4,3,7,12,11,6,45,0,0,5,5,4,3,3,3,3,24,0,4,5,9,8,13,8,6,11,57,52,121,176,353,287,319,239,99,57,1704
SAL11242,0,0,0,0,0,0,8,0,0,13,0,0,0,0,3,0,4,3,0,14,0,0,0,5,4,6,4,0,0,18,22,54,59,139,135,118,133,31,15,714
SAL11243,0,0,3,0,3,7,25,32,19,83,0,0,0,0,0,0,0,4,0,10,9,5,10,17,14,11,21,12,8,110,63,87,206,228,249,252,203,124,56,1459
SAL11244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,8,8,12,3,0,0,38
SAL11245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,5,6,0,5,5,0,31
SAL11246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,5,5,10,16,3,0,42
SAL11248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10
SAL11249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,15
SAL11250,0,0,15,9,18,24,41,17,4,135,0,0,11,8,6,10,18,4,0,60,13,14,36,28,32,18,31,9,0,181,92,163,379,334,346,306,309,99,22,2046
SAL11251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,0,13,3,3,0,0,29
SAL11252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,6,0,0,25
SAL11253,0,0,0,0,0,5,12,0,4,23,0,0,0,0,0,0,0,0,0,0,5,0,14,6,4,13,3,4,3,56,19,28,79,95,122,203,176,49,17,788
SAL11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,11
SAL11255,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,24,0,0,6,13,11,16,12,0,0,59
SAL11256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,8,0,0,19
SAL11257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,9,13,14,19,18,3,0,80
SAL11258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,6,3,8,0,27
SAL11259,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,25
SAL11260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11261,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,6,0,6,8,3,3,10,0,39
SAL11262,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,16,21,11,4,0,69
SAL11263,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,6,15,8,10,14,9,5,0,81
SAL11264,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,5,0,12,17,4,22,7,16,5,84
SAL11265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,9,3,14,9,4,0,45
SAL11266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,3,3,0,25
SAL11267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11
