SAL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SAL31561,0,3,0,0,7,0,0,12,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,15,35,5,0,51
SAL31562,3,18,0,29,87,11,0,123,0,7,0,10,97,14,0,118,0,3,0,3,33,0,0,41,0,0,0,0,6,0,0,6,114,42,8,167,347,74,0,595
SAL31563,3,9,0,11,78,10,0,94,0,13,0,13,39,5,0,53,0,0,0,0,24,8,0,33,0,0,0,0,7,0,0,7,110,32,4,142,329,51,0,531
SAL31564,0,0,0,0,25,5,0,29,0,5,0,5,26,9,0,36,0,0,0,0,18,4,0,18,0,0,0,0,0,0,0,6,18,13,0,30,118,32,0,181
SAL31565,0,0,0,0,10,6,0,13,0,0,0,0,19,0,0,18,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,9,3,0,14,55,0,0,73
SAL31566,0,0,0,0,9,4,0,10,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,32
SAL31567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6
SAL31568,11,63,0,77,365,15,0,462,9,46,0,57,270,20,0,343,0,9,0,9,170,14,0,188,0,0,0,5,62,6,0,72,611,224,48,881,2177,230,11,3295
SAL31569,5,29,3,35,255,10,0,293,6,16,0,20,293,13,0,325,0,0,0,0,122,7,0,134,0,0,0,0,26,4,0,28,186,71,15,276,1061,104,0,1431
SAL31570,0,0,0,0,12,3,0,12,0,0,0,0,8,0,0,8,0,0,0,0,6,0,0,6,0,0,0,0,3,0,0,4,6,0,0,4,38,7,0,47
