SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL14024,26,1136,1161,766,349,1115,294,193,488,175,74,246,46,37,81,21,17,37,1329,1794,3128
SAL14025,92,2060,2149,2054,376,2430,993,76,1072,926,52,978,348,11,362,162,9,168,4581,2583,7163
SAL14026,17,691,714,622,91,706,340,27,365,247,13,263,111,3,116,58,4,55,1395,828,2226
SAL14027,0,0,0,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,4,6,11
SAL14028,0,3,6,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
SAL14029,4,68,69,60,19,69,22,0,22,8,0,10,3,0,3,8,0,8,103,83,191
SAL14030,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAL14031,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10
SAL14032,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
SAL14033,4,35,40,43,17,58,10,6,13,11,3,13,5,0,4,0,0,0,74,65,130
SAL14034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14035,0,5,5,3,0,3,6,0,6,3,0,3,0,0,0,0,0,0,16,5,21
SAL14036,0,7,13,4,4,8,4,0,4,5,0,6,0,0,3,5,0,5,15,15,34
SAL14037,0,11,11,15,0,22,3,0,8,3,0,3,0,0,0,0,0,0,27,17,43
SAL14038,0,17,17,21,9,27,11,0,11,4,0,4,6,0,6,3,0,3,42,28,66
SAL14039,0,8,16,24,5,32,9,3,7,7,0,7,4,0,6,3,0,3,46,21,69
SAL14040,0,11,12,26,0,27,5,0,5,5,0,5,5,0,5,0,0,0,51,11,63
