SAL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SAL12376,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,7,0,0,0,0,7,11,0,0,0,0,11,12,0,0,0,0,12,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,49,0,0,0,0,49
SAL12377,10,0,0,0,0,10,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,17,0,0,0,0,17,30,0,0,0,0,30,33,0,0,0,0,33,33,0,0,0,0,33,23,0,0,0,0,23,11,0,0,0,0,11,6,0,0,0,0,6,184,0,0,0,0,190
SAL12378,6,0,0,0,0,6,5,0,0,0,0,5,11,0,0,0,0,11,9,0,0,0,0,13,8,0,0,0,0,8,15,0,0,0,0,15,9,0,0,0,0,9,15,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,88,0,0,0,0,87
SAL12379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SAL12380,20,5,0,0,0,17,7,0,0,0,0,7,8,0,0,0,0,8,9,0,0,0,0,9,13,0,0,0,0,13,32,5,0,0,0,31,45,0,0,0,0,51,107,3,0,0,0,114,87,11,0,0,0,96,153,11,0,0,0,164,76,3,0,0,0,76,26,0,0,0,0,25,585,38,0,0,0,622
SAL12381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,21
SAL12383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5
SAL12384,20,0,0,0,0,20,5,0,0,0,0,5,9,0,0,0,0,9,13,0,0,0,0,13,13,0,0,0,0,13,27,0,0,0,0,27,33,0,0,0,0,42,80,0,0,0,0,80,57,0,0,0,0,57,71,0,0,0,0,71,71,0,0,0,0,70,52,0,0,0,0,50,440,0,0,3,0,444
SAL12385,19,0,0,0,0,23,11,0,0,0,0,11,6,0,0,0,0,6,10,0,0,0,0,10,8,0,0,0,0,7,31,0,0,0,0,33,30,0,0,0,0,30,50,4,0,0,0,54,19,0,0,0,0,23,13,3,0,0,0,16,11,0,0,0,0,11,12,0,0,0,0,12,229,13,0,0,0,240
