SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL12694,8,17,6,5,12,4,0,43,3,8,6,8,0,0,0,27,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,28,51,25,23,28,11,0,160
SAL12695,3,10,5,0,5,0,0,17,0,7,4,0,4,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,14,19,3,8,9,0,54
SAL12696,11,31,13,8,16,3,0,86,9,16,12,12,17,5,0,70,3,8,0,13,26,7,0,57,0,6,0,0,3,7,0,14,82,157,55,53,116,37,0,502
SAL12697,93,193,70,42,157,22,0,574,66,125,67,33,155,21,4,478,43,99,46,30,138,21,0,380,17,19,11,3,66,9,0,126,737,1103,432,292,1164,179,11,3915
SAL12698,8,8,5,0,9,0,0,27,0,3,0,7,9,6,0,18,0,0,0,0,5,3,0,13,0,0,0,0,0,0,0,8,37,40,19,11,39,11,0,156
SAL12699,8,8,4,0,4,0,0,26,0,0,0,3,10,3,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,21,13,41,0,0,145
SAL12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12701,0,5,0,0,0,0,0,12,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,6,0,5,10,0,32
SAL12702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,4,26,5,0,50
SAL12703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
SAL12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,8
SAL12706,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,0,0,19
SAL12707,0,0,0,6,0,0,0,6,0,0,0,0,5,0,0,5,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,3,0,3,8,0,0,19
SAL12708,0,6,0,0,7,0,0,10,3,4,4,9,3,0,0,26,0,4,0,0,9,0,0,10,0,0,0,0,0,0,0,0,7,27,18,22,20,3,0,101
SAL12709,10,35,16,14,13,0,0,84,9,16,20,7,11,0,0,64,4,4,3,6,6,0,0,28,0,0,0,0,3,0,0,4,118,157,77,48,68,6,9,480
SAL12710,29,55,28,25,28,17,0,180,19,31,18,26,48,4,0,149,13,19,9,13,49,6,0,106,3,0,3,0,56,9,0,70,155,257,138,110,263,69,0,990
SAL12711,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
SAL12712,0,6,0,6,0,0,0,14,0,0,3,0,0,0,0,8,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,9,17,14,10,8,5,0,52
SAL12713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12714,42,104,57,35,42,6,0,290,31,73,54,61,50,9,0,272,12,16,20,24,31,8,0,110,8,3,0,0,12,0,0,24,334,526,272,207,316,36,3,1702
SAL12715,16,27,6,14,7,0,0,76,0,12,13,13,7,6,0,51,7,0,4,0,5,3,0,23,3,0,0,0,5,0,0,4,58,84,46,50,35,20,0,302
SAL12716,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,6,3,0,0,19
SAL12717,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,4,0,6,0,0,16
SAL12718,4,5,3,5,4,3,0,23,0,4,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,10,11,17,14,0,88
SAL12719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12720,11,12,5,4,9,0,0,37,4,4,9,0,6,0,0,25,3,9,3,4,6,0,0,26,0,0,0,0,4,0,0,3,44,60,37,13,38,12,0,207
SAL12721,39,104,61,35,45,6,0,288,19,71,44,45,51,4,0,235,8,17,20,7,18,3,0,84,5,7,6,0,6,6,0,24,427,692,359,233,322,52,0,2084
SAL12722,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,5,0,0,18
SAL12723,136,274,128,115,342,35,0,1032,99,179,126,115,273,30,5,837,81,101,86,44,168,28,0,514,14,14,13,5,68,10,0,112,1509,2098,1060,925,2582,403,11,8582
SAL12724,5,4,0,0,4,0,0,8,3,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,4,3,10,0,37
SAL12725,10,28,20,12,16,4,0,84,10,14,23,9,15,7,0,76,3,12,0,0,6,6,0,31,0,0,0,0,3,0,0,4,70,116,79,60,94,24,0,437
SAL12726,0,8,6,0,0,4,0,28,5,3,6,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,28,35,17,15,16,8,0,130
SAL12727,0,9,3,0,3,3,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,4,13,17,7,3,16,0,0,54
SAL12728,0,7,3,7,12,0,0,27,0,0,3,3,3,0,0,16,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,4,12,26,24,10,22,6,0,101
SAL12729,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,5,5,0,0,3,0,12
SAL12730,3,5,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,8,11,3,8,3,9,0,47
SAL12731,0,4,0,3,0,0,0,18,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,12,3,5,5,3,0,41
SAL12732,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,11,13,9,7,4,0,0,44
SAL12733,186,324,126,86,283,222,0,1231,123,204,109,97,273,178,0,974,53,101,47,56,194,102,0,552,22,22,11,13,64,36,0,163,1093,1663,689,573,1931,1603,11,7562
SAL12734,58,124,68,47,118,21,0,443,70,128,83,49,174,27,0,534,43,120,79,47,258,40,0,590,33,47,15,9,226,32,0,375,546,830,373,303,1197,224,0,3491
SAL12735,17,42,19,9,20,0,0,109,10,30,30,29,26,6,0,125,6,20,13,15,20,0,0,76,0,0,0,0,9,0,0,17,145,232,121,104,189,40,0,836
SAL12736,0,3,0,0,0,3,0,11,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,11,0,32
SAL12737,5,11,3,3,0,0,0,19,0,0,5,5,5,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,21,11,11,16,0,96
SAL12738,26,78,41,16,33,6,0,198,41,96,60,37,57,0,0,294,41,54,48,25,76,17,0,255,9,16,3,9,25,7,0,67,242,456,228,135,285,48,0,1392
SAL12739,226,384,183,112,325,60,3,1287,125,225,167,90,274,37,12,933,75,104,66,35,152,19,5,453,33,35,17,8,175,9,0,277,1767,2455,1098,679,2423,379,23,8826
SAL12740,27,69,24,14,41,6,0,187,23,39,23,11,34,0,0,135,13,17,13,3,13,0,0,54,0,0,0,4,4,0,0,8,353,541,165,120,385,83,0,1646
SAL12741,5,11,8,9,3,3,0,38,3,7,9,13,5,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,31,43,22,41,27,11,0,174
SAL12742,5,24,4,7,11,0,0,55,5,15,5,6,13,5,0,43,0,6,0,12,6,0,0,20,0,0,0,0,0,0,0,0,27,74,37,35,57,9,0,242
SAL12743,3,25,10,16,11,5,0,68,8,21,13,6,23,6,0,77,3,5,0,0,24,3,0,43,5,0,6,0,3,0,0,12,76,143,50,41,111,25,0,447
SAL12744,3,7,0,0,0,6,0,16,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,9,8,8,11,19,0,66
SAL12745,111,250,149,70,134,62,0,782,81,167,133,116,146,45,0,692,38,66,63,61,110,31,0,376,11,26,12,10,71,26,0,153,644,992,566,400,757,336,4,3698
SAL12746,34,68,37,13,33,17,0,199,35,56,47,30,21,26,0,214,6,15,14,6,15,12,0,76,0,5,3,4,12,7,0,24,189,292,152,85,119,111,0,956
SAL12747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12748,6,7,4,0,0,0,0,18,0,0,0,5,9,0,0,18,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,16,32,11,18,23,8,0,101
SAL12749,739,1446,598,294,404,87,18,3582,498,1065,560,294,467,79,9,2968,367,640,342,191,500,100,5,2147,135,187,82,40,412,56,0,912,5570,7695,3098,1842,4130,765,77,23174
SAL12750,237,433,205,88,208,47,0,1220,141,335,241,191,239,65,0,1216,101,192,153,95,183,81,0,802,30,36,24,5,76,79,0,254,1491,2207,1103,744,1596,477,13,7625
SAL12751,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,26
SAL12752,23,65,22,3,11,4,0,131,10,34,22,20,20,8,0,121,5,16,8,7,10,0,0,48,4,0,0,0,3,0,0,7,114,202,105,38,78,21,0,554
SAL12753,4,12,5,10,0,0,0,26,3,5,4,0,4,4,0,29,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,18,35,15,22,29,10,0,116
SAL12754,8,16,13,10,14,14,0,77,11,16,13,7,25,8,0,80,0,5,6,0,12,9,0,33,0,5,0,0,9,4,0,16,56,87,45,33,95,73,0,396
SAL12755,0,0,3,0,0,0,0,5,6,0,3,0,0,3,0,7,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,15,17,9,6,0,6,9,63
SAL12756,219,441,179,134,270,31,0,1278,83,203,126,85,207,17,3,716,28,59,42,27,93,9,0,260,13,8,0,0,25,10,0,61,1920,2586,1208,826,2150,223,12,8924
SAL12757,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7
SAL12758,3,7,0,0,0,0,0,13,4,8,3,5,10,0,0,29,3,3,0,0,3,0,0,14,0,0,0,0,0,0,0,3,26,28,10,5,23,5,0,96
SAL12759,63,120,57,29,136,40,0,443,37,84,52,36,124,51,0,381,29,36,31,27,118,46,0,282,11,8,9,0,98,50,0,182,501,730,342,248,996,369,0,3187
SAL12760,13,22,15,13,3,20,0,77,4,13,5,8,7,9,0,43,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,35,58,38,34,33,55,0,248
SAL12761,173,406,208,105,159,16,6,1078,72,193,124,69,140,14,7,627,42,90,56,49,82,7,8,336,15,6,9,14,47,0,0,95,1340,2007,962,568,1225,121,29,6255
SAL12762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5
SAL12763,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
SAL12764,0,3,3,0,0,0,0,7,0,3,0,0,0,4,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,5,5,4,9,0,29
SAL12765,0,4,0,0,3,0,0,9,3,0,0,0,0,3,0,7,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,5,10,3,5,9,20,0,48
SAL12766,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,14
SAL12767,185,313,147,168,721,125,3,1664,110,161,112,96,531,100,4,1116,43,88,43,33,260,37,0,507,18,23,6,10,86,25,0,167,1729,2274,1074,1264,5562,1062,39,12994
SAL12768,4,12,3,6,0,0,0,26,3,13,12,0,0,0,0,31,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,4,25,39,40,7,19,5,0,136
SAL12769,6,14,16,8,8,0,0,42,5,7,9,8,6,0,0,28,0,0,5,0,4,0,0,14,0,0,0,0,0,0,0,0,35,59,43,28,22,9,0,196
SAL12770,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,3,0,17
SAL12771,5,14,5,0,3,0,0,24,4,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,14,8,7,3,4,98
SAL12772,7,12,10,13,12,4,0,61,0,6,3,10,13,5,0,38,0,9,6,0,5,0,0,25,0,0,0,0,0,0,0,0,27,74,38,40,87,39,0,302
SAL12773,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,0,4,0,0,28
SAL12774,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,17
SAL12775,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,6,0,0,20
SAL12776,16,31,13,11,15,3,0,92,6,21,13,20,19,3,0,82,10,0,4,8,8,0,0,29,0,0,0,0,4,0,0,9,109,164,81,86,129,28,0,589
SAL12777,73,152,72,49,97,14,0,465,40,76,56,31,111,14,0,328,21,47,35,26,146,9,0,294,17,20,16,6,181,17,0,258,576,839,365,254,923,114,0,3073
SAL12778,3,0,0,0,0,0,0,7,0,6,0,0,0,3,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,9,3,0,0,5,0,25
SAL12779,40,75,31,26,26,9,0,208,10,42,50,27,19,13,0,161,10,22,15,13,18,3,0,84,9,4,3,6,13,3,0,31,295,423,221,176,188,51,4,1347
SAL12780,19,78,30,22,18,4,0,172,15,19,23,23,13,3,0,101,6,22,12,11,12,0,0,54,3,5,3,0,0,0,0,15,178,264,135,120,132,16,0,841
SAL12781,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,12
SAL12782,0,0,0,3,0,3,0,9,4,6,0,0,0,0,0,11,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,10,3,3,3,12,0,33
SAL12783,31,104,51,17,18,13,0,240,19,40,36,38,30,5,0,161,16,17,27,15,22,0,0,93,4,5,3,0,13,0,0,23,271,431,253,161,218,32,0,1368
SAL12784,5,5,0,3,0,3,0,13,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,3,8,10,8,4,8,0,44
SAL12785,20,30,22,18,65,18,0,167,20,18,14,15,42,5,0,109,6,13,11,13,22,3,0,70,3,0,0,0,11,5,0,25,157,163,106,114,372,70,0,982
SAL12786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12787,0,8,5,0,0,0,0,9,0,6,0,0,0,3,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,17,5,5,10,11,0,51
SAL12788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL12789,5,8,0,6,0,6,0,25,5,3,3,0,3,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,22,14,7,9,17,0,88
SAL12790,0,9,5,0,0,4,0,22,4,0,0,4,3,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,13,12,5,10,5,0,49
SAL12791,0,8,5,0,0,0,0,11,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,4,4,3,0,28
SAL12792,3,12,10,3,0,0,0,28,0,3,3,3,4,4,0,13,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,22,31,20,24,10,4,0,110
SAL12793,38,91,37,14,31,6,0,226,16,46,34,20,28,4,0,144,10,24,20,14,27,3,0,95,10,8,9,3,26,7,0,69,273,425,203,132,263,27,0,1315
SAL12794,0,4,0,0,0,6,0,12,0,4,7,11,8,0,0,20,3,0,3,0,0,0,0,8,0,0,0,0,4,0,0,8,20,25,17,21,20,22,0,118
SAL12795,23,76,32,19,14,6,0,161,26,29,20,15,15,4,0,105,13,28,16,13,24,0,0,90,3,4,0,0,12,0,0,27,206,354,177,118,179,26,0,1055
SAL12796,179,248,157,135,493,92,6,1306,86,141,97,96,373,50,8,851,63,83,52,49,197,32,0,475,20,28,10,8,87,17,0,166,1228,1496,724,777,3435,625,18,8302
SAL12797,9,24,17,4,4,4,0,59,5,14,12,7,6,3,0,47,0,0,3,3,9,0,0,20,0,0,0,0,0,0,0,3,57,95,66,39,68,16,0,339
SAL12798,4,3,3,0,0,0,0,12,0,3,0,3,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,12,10,9,9,9,0,0,52
SAL12799,44,150,80,33,40,3,0,354,30,109,85,72,49,0,0,345,32,61,43,40,45,7,0,228,7,10,0,4,8,0,0,23,487,797,431,301,348,45,0,2409
SAL12800,0,0,3,3,0,0,0,9,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,18
SAL12801,9,9,0,0,3,0,0,17,8,0,0,4,0,0,0,9,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,31,27,17,5,15,4,0,101
SAL12802,32,59,43,15,42,6,0,190,12,21,28,16,36,3,0,113,9,11,7,9,21,8,0,62,3,3,0,0,7,0,0,27,220,342,171,106,264,50,0,1158
SAL12803,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,5,4,0,0,31
SAL12804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,4,0,0,20
SAL12805,0,6,0,0,6,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,18,10,5,19,8,0,70
SAL12806,0,4,4,3,5,0,0,17,0,8,0,5,3,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,15,9,20,8,5,5,66
SAL12807,19,43,34,29,47,8,0,178,6,27,16,28,38,0,0,112,5,9,12,5,29,0,0,57,0,4,0,3,13,0,0,17,158,217,115,144,335,35,0,1005
SAL12808,21,55,37,21,15,0,0,161,20,43,32,21,25,3,0,159,7,18,15,8,29,4,0,81,0,4,0,0,5,0,0,12,150,265,153,101,141,21,0,831
SAL12809,0,4,9,7,7,0,0,20,0,4,5,3,6,4,0,22,0,0,4,0,0,0,0,7,0,4,0,0,0,0,0,3,8,28,23,18,19,5,0,104
SAL12810,13,19,5,10,3,4,0,61,3,13,11,11,7,0,0,51,3,9,7,6,6,0,0,25,0,0,0,0,0,0,0,0,65,97,45,55,49,15,0,325
SAL12811,6,3,9,3,3,15,0,32,0,10,3,3,0,7,0,26,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,18,22,16,13,9,50,0,128
SAL12812,79,172,101,82,152,23,0,605,68,133,101,93,167,17,0,572,34,97,53,63,147,26,3,427,7,10,3,9,52,28,0,115,660,972,526,454,1141,210,0,3962
SAL12813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL12814,4,15,5,6,11,3,0,41,10,7,4,4,12,11,0,41,0,3,0,0,8,4,0,13,5,0,0,0,0,0,0,3,29,36,15,22,38,28,0,165
SAL12815,0,10,7,9,3,0,0,28,0,9,7,0,0,3,0,21,3,4,0,4,5,0,0,18,0,0,0,0,0,0,0,0,6,35,16,20,10,22,0,99
SAL12816,4,4,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,10,5,5,3,11,0,51
SAL12817,8,9,3,0,3,0,0,23,0,5,3,3,0,0,0,6,3,0,9,0,0,0,0,9,4,0,0,0,4,0,0,5,21,18,10,8,3,8,0,75
SAL12818,0,0,0,0,5,3,0,9,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,9,3,6,3,0,46
SAL12819,9,15,10,9,7,0,0,36,5,3,3,3,3,0,0,17,0,0,4,4,6,0,0,11,0,0,0,0,0,0,0,0,22,45,27,24,30,12,0,158
SAL12820,0,6,0,0,0,0,0,8,0,4,0,0,0,0,0,10,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,3,13,12,10,17,13,4,68
SAL12821,6,3,0,7,0,0,0,12,3,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,8,15,11,10,0,74
SAL12822,0,3,3,5,0,0,0,9,3,3,0,0,3,0,0,15,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,8,7,12,6,0,51
SAL12823,215,407,181,104,269,83,0,1255,119,270,155,117,300,66,0,1034,95,134,87,93,281,71,0,771,31,39,15,12,182,50,0,327,1755,2547,1088,858,2318,642,4,9222
SAL12824,10,40,22,7,12,12,0,105,10,26,25,12,15,8,0,95,0,6,5,8,9,4,0,39,0,4,0,3,3,0,0,12,92,164,89,71,92,42,0,551
SAL12825,37,85,43,33,32,13,0,257,24,59,50,28,49,4,0,207,27,29,19,18,24,5,0,118,7,0,0,4,10,0,0,21,353,481,247,194,307,70,0,1650
SAL12826,0,4,0,4,0,0,0,12,0,9,0,0,0,0,0,10,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,12,19,6,4,22,4,0,66
SAL12827,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,9
SAL12828,0,0,0,0,4,12,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,12,8,4,18,30,0,70
SAL12829,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,3,5,0,18
SAL12830,5,7,3,0,0,0,0,18,7,3,4,0,3,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,14,19,15,4,9,7,0,70
SAL12831,4,7,3,0,4,5,0,17,4,0,5,0,7,6,0,23,0,0,3,0,6,0,0,18,0,0,0,0,0,0,0,4,23,33,22,9,31,22,0,145
SAL12832,0,3,3,0,3,0,0,14,0,3,0,0,0,3,0,8,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,11,22,7,10,17,11,0,77
SAL12833,13,34,12,15,12,5,0,97,8,23,15,13,19,7,0,75,0,0,0,0,4,0,0,13,0,0,0,0,9,0,0,7,89,158,77,41,110,27,0,493
SAL12834,0,0,6,0,6,0,0,20,3,0,0,4,0,0,0,8,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,22,23,9,10,24,7,0,94
SAL12835,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,6,0,34
SAL12836,0,10,3,4,0,0,0,23,0,7,3,6,0,3,0,15,0,0,0,5,0,4,0,7,0,0,0,0,0,0,0,0,19,31,15,11,6,4,0,83
SAL12837,16,28,20,12,9,5,0,81,8,10,12,13,17,8,0,62,0,3,3,5,6,0,0,27,0,0,0,0,0,0,0,0,78,108,79,48,83,35,0,435
SAL12838,5,8,4,3,6,0,0,19,0,0,3,0,0,0,0,9,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,39,22,4,16,7,5,103
SAL12839,99,216,103,42,86,46,0,585,64,159,99,52,101,41,0,520,45,60,35,28,55,18,0,244,4,15,3,0,70,9,0,108,729,1007,477,300,626,323,4,3469
SAL12840,10,37,25,12,10,3,0,95,8,25,24,10,4,10,0,88,6,3,8,0,3,0,0,23,0,0,0,0,0,0,0,0,66,145,70,54,39,46,6,424
SAL12841,61,94,49,35,77,34,0,349,39,96,74,69,129,51,0,458,26,49,43,39,105,35,0,288,11,8,5,7,36,19,0,79,333,520,293,216,512,219,0,2097
SAL12842,0,0,0,0,0,5,0,4,0,5,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,9,8,6,0,32
SAL12843,4,8,9,6,11,10,0,46,5,7,3,6,22,3,0,57,0,0,0,0,15,0,0,20,0,0,0,0,5,0,0,5,29,47,33,35,72,21,0,248
SAL12844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
SAL12845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12846,3,7,4,0,4,0,0,16,0,7,0,5,3,4,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,31,25,10,15,3,0,107
