SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL13285,55,1376,570,350,1583,0.9,1178,2.4
SAL13286,33,2050,504,380,1483,1.1,1386,3.3
SAL13287,46,1257,874,0,2999,0.9,2999,3
SAL13288,32,0,311,185,700,0.9,574,2.9
SAL13289,54,1420,675,170,1781,0.8,1375,2.4
SAL13290,43,3467,1083,700,3313,0.8,3055,3
SAL13291,52,1975,989,470,2812,0.6,2625,2.6
SAL13292,50,1630,496,500,1343,0.8,1078,2.2
SAL13293,45,1257,530,320,1625,0.8,1624,3
SAL13294,41,3700,1217,630,3757,0.9,3368,2.9
SAL13295,60,1062,462,0,1083,0.7,1083,2.2
SAL13296,45,3088,969,360,1916,0.8,1958,2.6
SAL13297,37,2800,1295,580,3035,1.1,2416,2.1
SAL13298,54,1300,473,250,1197,0.9,1042,2.3
SAL13299,35,2300,915,450,2399,0.9,2311,3.1
SAL13300,46,800,545,50,1156,0.8,1042,2.5
SAL13301,53,0,1062,0,2125,0.7,1625,2
SAL13302,46,737,767,125,2250,0.8,1812,2.9
SAL13303,48,433,463,140,1093,0.7,877,2.4
SAL13304,39,1668,1021,340,2280,0.9,1690,2
SAL13305,34,1647,1081,310,2251,0.9,1685,2
SAL13306,35,2000,1101,350,2445,0.8,2102,2.5
SAL13307,40,4333,1508,682,4637,0.9,3434,2.6
SAL13308,41,2847,574,0,1625,1,1625,3.3
SAL13309,35,3033,1540,650,3385,1,2901,2.2
SAL13310,45,2000,657,408,1708,0.8,1458,2.7
SAL13311,23,1100,850,200,1874,0.7,1625,2.6
SAL13312,10,3033,1824,0,2750,1,2750,5
SAL13313,40,1617,748,250,1906,0.8,2016,2.7
SAL13314,46,1138,641,250,1581,0.7,1198,2.3
SAL13315,48,2600,847,430,2440,0.8,2392,2.9
SAL13316,36,2000,815,410,2039,0.8,1906,3
SAL13317,37,1733,779,366,1953,0.8,1781,2.9
SAL13318,50,1690,623,400,1399,0.7,1293,2.6
SAL13319,55,433,485,300,1187,0.8,1021,2.3
SAL13320,48,1725,597,350,1660,0.8,1468,2.6
SAL13321,50,1285,476,365,1089,0.8,1028,2.5
SAL13322,46,2383,782,549,2180,0.9,1786,2.5
SAL13323,45,2167,855,480,2105,0.8,1466,2.1
SAL13324,39,510,643,120,1781,0.9,1343,2.8
SAL13325,36,3000,1330,570,3255,1,2419,2.2
SAL13326,31,1750,687,150,2124,0.8,2124,2.8
SAL13327,42,3500,1187,0,2750,0.5,2750,1.9
SAL13328,39,2000,916,450,2373,0.8,2210,2.7
SAL13329,34,570,693,143,1483,0.7,1273,2.5
SAL13330,39,542,820,192,1916,0.8,1833,3.1
SAL13331,49,999,494,225,966,0.8,762,2.3
SAL13332,46,1733,723,400,1809,0.7,1507,2.6
SAL13333,50,2600,669,500,2249,0.8,2666,3
SAL13334,57,779,578,200,1212,0.7,961,2
SAL13335,36,1750,2124,0,0,0,1874,0
